"TG","[M+K]+","[M+K-acyl-sn1-H2O]+","[M+K-acyl-sn2-H2O]+","[M+K-acyl-sn3-H2O]+"
"TG(24:0) TG(8:0_8:0_8:0)",509.3239,365.209006,365.209006,365.209006
"TG(26:0) TG(10:0_8:0_8:0)",537.3552,365.209006,393.240306,393.240306
"TG(28:0) TG(12:0_8:0_8:0)",565.3865,365.209006,421.271606,421.271606
"TG(28:0) TG(10:0_10:0_8:0)",565.3865,393.240306,393.240306,421.271606
"TG(29:0) TG(13:0_8:0_8:0)",579.4022,365.209006,435.287306,435.287306
"TG(30:1) TG(14:1_8:0_8:0)",591.4022,365.209006,447.287306,447.287306
"TG(30:0) TG(10:0_10:0_10:0)",593.4178,421.271606,421.271606,421.271606
"TG(30:0) TG(14:0_8:0_8:0)",593.4178,365.209006,449.302906,449.302906
"TG(30:0) TG(10:0_12:0_8:0)",593.4178,421.271606,393.240306,449.302906
"TG(31:0) TG(15:0_8:0_8:0)",607.4335,365.209006,463.318606,463.318606
"TG(31:0) TG(10:0_13:0_8:0)",607.4335,435.287306,393.240306,463.318606
"TG(32:1) TG(16:1_8:0_8:0)",619.4335,365.209006,475.318606,475.318606
"TG(32:1) TG(10:0_14:1_8:0)",619.4335,447.287306,393.240306,475.318606
"TG(32:0) TG(10:0_10:0_12:0)",621.4491,449.302906,449.302906,421.271606
"TG(32:0) TG(16:0_8:0_8:0)",621.4491,365.209006,477.334206,477.334206
"TG(32:0) TG(10:0_14:0_8:0)",621.4491,449.302906,393.240306,477.334206
"TG(32:0) TG(12:0_12:0_8:0)",621.4491,421.271606,421.271606,477.334206
"TG(33:0) TG(10:0_10:0_13:0)",635.4648,463.318606,463.318606,421.271606
"TG(33:0) TG(17:0_8:0_8:0)",635.4648,365.209006,491.349906,491.349906
"TG(33:0) TG(10:0_15:0_8:0)",635.4648,463.318606,393.240306,491.349906
"TG(33:0) TG(12:0_13:0_8:0)",635.4648,435.287306,421.271606,491.349906
"TG(34:4) TG(18:4_8:0_8:0)",641.4178,365.209006,497.302906,497.302906
"TG(34:3) TG(18:3_8:0_8:0)",643.4335,365.209006,499.318606,499.318606
"TG(34:2) TG(18:2_8:0_8:0)",645.4491,365.209006,501.334206,501.334206
"TG(34:1) TG(10:0_10:0_14:1)",647.4648,475.318606,475.318606,421.271606
"TG(34:1) TG(18:1_8:0_8:0)",647.4648,365.209006,503.349906,503.349906
"TG(34:1) TG(10:0_16:1_8:0)",647.4648,475.318606,393.240306,503.349906
"TG(34:1) TG(12:0_14:1_8:0)",647.4648,447.287306,421.271606,503.349906
"TG(34:0) TG(10:0_10:0_14:0)",649.4804,477.334206,477.334206,421.271606
"TG(34:0) TG(10:0_12:0_12:0)",649.4804,477.334206,449.302906,449.302906
"TG(34:0) TG(18:0_8:0_8:0)",649.4804,365.209006,505.365506,505.365506
"TG(34:0) TG(10:0_16:0_8:0)",649.4804,477.334206,393.240306,505.365506
"TG(34:0) TG(12:0_14:0_8:0)",649.4804,449.302906,421.271606,505.365506
"TG(34:0) TG(13:0_13:0_8:0)",649.4805,435.287306,435.287306,505.365606
"TG(35:1) TG(13:0_14:1_8:0)",661.4805,447.287306,435.287306,517.365606
"TG(35:0) TG(10:0_10:0_15:0)",663.4961,491.349906,491.349906,421.271606
"TG(35:0) TG(10:0_12:0_13:0)",663.4961,491.349906,463.318606,449.302906
"TG(35:0) TG(19:0_8:0_8:0)",663.4961,365.209006,519.381206,519.381206
"TG(35:0) TG(10:0_17:0_8:0)",663.4961,491.349906,393.240306,519.381206
"TG(35:0) TG(12:0_15:0_8:0)",663.4961,463.318606,421.271606,519.381206
"TG(35:0) TG(13:0_14:0_8:0)",663.4961,449.302906,435.287306,519.381206
"TG(36:5) TG(20:5_8:0_8:0)",667.4335,365.209006,523.318606,523.318606
"TG(36:4) TG(20:4_8:0_8:0)",669.4491,365.209006,525.334206,525.334206
"TG(36:4) TG(10:0_18:4_8:0)",669.4491,497.302906,393.240306,525.334206
"TG(36:3) TG(20:3_8:0_8:0)",671.4648,365.209006,527.349906,527.349906
"TG(36:3) TG(10:0_18:3_8:0)",671.4648,499.318606,393.240306,527.349906
"TG(36:2) TG(20:2_8:0_8:0)",673.4804,365.209006,529.365506,529.365506
"TG(36:2) TG(10:0_18:2_8:0)",673.4804,501.334206,393.240306,529.365506
"TG(36:2) TG(14:1_14:1_8:0)",673.4805,447.287306,447.287306,529.365606
"TG(36:1) TG(10:0_10:0_16:1)",675.4961,503.349906,503.349906,421.271606
"TG(36:1) TG(10:0_12:0_14:1)",675.4961,503.349906,475.318606,449.302906
"TG(36:1) TG(20:1_8:0_8:0)",675.4961,365.209006,531.381206,531.381206
"TG(36:1) TG(10:0_18:1_8:0)",675.4961,503.349906,393.240306,531.381206
"TG(36:1) TG(12:0_16:1_8:0)",675.4961,475.318606,421.271606,531.381206
"TG(36:1) TG(14:0_14:1_8:0)",675.4961,447.287306,449.302906,531.381206
"TG(36:0) TG(12:0_12:0_12:0)",677.5117,477.334206,477.334206,477.334206
"TG(36:0) TG(10:0_10:0_16:0)",677.5117,505.365506,505.365506,421.271606
"TG(36:0) TG(10:0_12:0_14:0)",677.5117,505.365506,477.334206,449.302906
"TG(36:0) TG(20:0_8:0_8:0)",677.5117,365.209006,533.396806,533.396806
"TG(36:0) TG(10:0_18:0_8:0)",677.5117,505.365506,393.240306,533.396806
"TG(36:0) TG(12:0_16:0_8:0)",677.5117,477.334206,421.271606,533.396806
"TG(36:0) TG(14:0_14:0_8:0)",677.5117,449.302906,449.302906,533.396806
"TG(36:0) TG(10:0_13:0_13:0)",677.5118,505.365606,463.318606,463.318606
"TG(36:0) TG(13:0_15:0_8:0)",677.5118,463.318606,435.287306,533.396906
"TG(37:1) TG(10:0_13:0_14:1)",689.5118,517.365606,475.318606,463.318606
"TG(37:1) TG(13:0_16:1_8:0)",689.5118,475.318606,435.287306,545.396906
"TG(37:1) TG(14:1_15:0_8:0)",689.5118,463.318606,447.287306,545.396906
"TG(37:0) TG(12:0_12:0_13:0)",691.5274,491.349906,491.349906,477.334206
"TG(37:0) TG(10:0_10:0_17:0)",691.5274,519.381206,519.381206,421.271606
"TG(37:0) TG(10:0_12:0_15:0)",691.5274,519.381206,491.349906,449.302906
"TG(37:0) TG(10:0_13:0_14:0)",691.5274,519.381206,477.334206,463.318606
"TG(37:0) TG(21:0_8:0_8:0)",691.5274,365.209006,547.412506,547.412506
"TG(37:0) TG(10:0_19:0_8:0)",691.5274,519.381206,393.240306,547.412506
"TG(37:0) TG(12:0_17:0_8:0)",691.5274,491.349906,421.271606,547.412506
"TG(37:0) TG(13:0_16:0_8:0)",691.5274,477.334206,435.287306,547.412506
"TG(37:0) TG(14:0_15:0_8:0)",691.5274,463.318606,449.302906,547.412506
"TG(38:6) TG(22:6_8:0_8:0)",693.4491,365.209006,549.334206,549.334206
"TG(38:5) TG(22:5_8:0_8:0)",695.4648,365.209006,551.349906,551.349906
"TG(38:5) TG(10:0_20:5_8:0)",695.4648,523.318606,393.240306,551.349906
"TG(38:4) TG(10:0_10:0_18:4)",697.4804,525.334206,525.334206,421.271606
"TG(38:4) TG(22:4_8:0_8:0)",697.4804,365.209006,553.365506,553.365506
"TG(38:4) TG(10:0_20:4_8:0)",697.4804,525.334206,393.240306,553.365506
"TG(38:4) TG(12:0_18:4_8:0)",697.4804,497.302906,421.271606,553.365506
"TG(38:3) TG(10:0_10:0_18:3)",699.4961,527.349906,527.349906,421.271606
"TG(38:3) TG(10:0_20:3_8:0)",699.4961,527.349906,393.240306,555.381206
"TG(38:3) TG(12:0_18:3_8:0)",699.4961,499.318606,421.271606,555.381206
"TG(38:2) TG(10:0_10:0_18:2)",701.5117,529.365506,529.365506,421.271606
"TG(38:2) TG(22:2_8:0_8:0)",701.5117,365.209006,557.396806,557.396806
"TG(38:2) TG(10:0_20:2_8:0)",701.5117,529.365506,393.240306,557.396806
"TG(38:2) TG(12:0_18:2_8:0)",701.5117,501.334206,421.271606,557.396806
"TG(38:2) TG(10:0_14:1_14:1)",701.5118,529.365606,475.318606,475.318606
"TG(38:2) TG(14:1_16:1_8:0)",701.5118,475.318606,447.287306,557.396906
"TG(38:1) TG(12:0_12:0_14:1)",703.5274,503.349906,503.349906,477.334206
"TG(38:1) TG(10:0_10:0_18:1)",703.5274,531.381206,531.381206,421.271606
"TG(38:1) TG(10:0_12:0_16:1)",703.5274,531.381206,503.349906,449.302906
"TG(38:1) TG(10:0_14:0_14:1)",703.5274,531.381206,475.318606,477.334206
"TG(38:1) TG(22:1_8:0_8:0)",703.5274,365.209006,559.412506,559.412506
"TG(38:1) TG(10:0_20:1_8:0)",703.5274,531.381206,393.240306,559.412506
"TG(38:1) TG(12:0_18:1_8:0)",703.5274,503.349906,421.271606,559.412506
"TG(38:1) TG(14:1_16:0_8:0)",703.5274,477.334206,447.287306,559.412506
"TG(38:1) TG(14:0_16:1_8:0)",703.5274,475.318606,449.302906,559.412506
"TG(38:0) TG(12:0_12:0_14:0)",705.543,505.365506,505.365506,477.334206
"TG(38:0) TG(10:0_10:0_18:0)",705.543,533.396806,533.396806,421.271606
"TG(38:0) TG(10:0_12:0_16:0)",705.543,533.396806,505.365506,449.302906
"TG(38:0) TG(10:0_14:0_14:0)",705.543,533.396806,477.334206,477.334206
"TG(38:0) TG(22:0_8:0_8:0)",705.543,365.209006,561.428106,561.428106
"TG(38:0) TG(10:0_20:0_8:0)",705.543,533.396806,393.240306,561.428106
"TG(38:0) TG(12:0_18:0_8:0)",705.543,505.365506,421.271606,561.428106
"TG(38:0) TG(14:0_16:0_8:0)",705.543,477.334206,449.302906,561.428106
"TG(38:0) TG(12:0_13:0_13:0)",705.5431,505.365606,491.349906,491.349906
"TG(38:0) TG(10:0_13:0_15:0)",705.5431,533.396906,491.349906,463.318606
"TG(38:0) TG(13:0_17:0_8:0)",705.5431,491.349906,435.287306,561.428206
"TG(38:0) TG(15:0_15:0_8:0)",705.5431,463.318606,463.318606,561.428206
"TG(39:4) TG(13:0_18:4_8:0)",711.4961,497.302906,435.287306,567.381206
"TG(39:3) TG(13:0_18:3_8:0)",713.5118,499.318606,435.287306,569.396906
"TG(39:2) TG(13:0_18:2_8:0)",715.5274,501.334206,435.287306,571.412506
"TG(39:1) TG(12:0_13:0_14:1)",717.5431,517.365606,503.349906,491.349906
"TG(39:1) TG(10:0_13:0_16:1)",717.5431,545.396906,503.349906,463.318606
"TG(39:1) TG(10:0_14:1_15:0)",717.5431,545.396906,491.349906,475.318606
"TG(39:1) TG(13:0_18:1_8:0)",717.5431,503.349906,435.287306,573.428206
"TG(39:1) TG(14:1_17:0_8:0)",717.5431,491.349906,447.287306,573.428206
"TG(39:1) TG(15:0_16:1_8:0)",717.5431,475.318606,463.318606,573.428206
"TG(39:0) TG(12:0_12:0_15:0)",719.5587,519.381206,519.381206,477.334206
"TG(39:0) TG(12:0_13:0_14:0)",719.5587,519.381206,505.365506,491.349906
"TG(39:0) TG(10:0_10:0_19:0)",719.5587,547.412506,547.412506,421.271606
"TG(39:0) TG(10:0_12:0_17:0)",719.5587,547.412506,519.381206,449.302906
"TG(39:0) TG(10:0_13:0_16:0)",719.5587,547.412506,505.365506,463.318606
"TG(39:0) TG(10:0_14:0_15:0)",719.5587,547.412506,491.349906,477.334206
"TG(39:0) TG(23:0_8:0_8:0)",719.5587,365.209006,575.443806,575.443806
"TG(39:0) TG(10:0_21:0_8:0)",719.5587,547.412506,393.240306,575.443806
"TG(39:0) TG(12:0_19:0_8:0)",719.5587,519.381206,421.271606,575.443806
"TG(39:0) TG(13:0_18:0_8:0)",719.5587,505.365506,435.287306,575.443806
"TG(39:0) TG(14:0_17:0_8:0)",719.5587,491.349906,449.302906,575.443806
"TG(39:0) TG(15:0_16:0_8:0)",719.5587,477.334206,463.318606,575.443806
"TG(39:0) TG(13:0_13:0_13:0)",719.5588,505.365606,505.365606,505.365606
"TG(40:6) TG(10:0_22:6_8:0)",721.4804,549.334206,393.240306,577.365506
"TG(40:5) TG(10:0_10:0_20:5)",723.4961,551.349906,551.349906,421.271606
"TG(40:5) TG(10:0_22:5_8:0)",723.4961,551.349906,393.240306,579.381206
"TG(40:5) TG(12:0_20:5_8:0)",723.4961,523.318606,421.271606,579.381206
"TG(40:5) TG(14:1_18:4_8:0)",723.4961,497.302906,447.287306,579.381206
"TG(40:4) TG(10:0_10:0_20:4)",725.5117,553.365506,553.365506,421.271606
"TG(40:4) TG(10:0_12:0_18:4)",725.5117,553.365506,525.334206,449.302906
"TG(40:4) TG(10:0_22:4_8:0)",725.5117,553.365506,393.240306,581.396806
"TG(40:4) TG(12:0_20:4_8:0)",725.5117,525.334206,421.271606,581.396806
"TG(40:4) TG(14:0_18:4_8:0)",725.5117,497.302906,449.302906,581.396806
"TG(40:4) TG(14:1_18:3_8:0)",725.5118,499.318606,447.287306,581.396906
"TG(40:3) TG(10:0_10:0_20:3)",727.5274,555.381206,555.381206,421.271606
"TG(40:3) TG(10:0_12:0_18:3)",727.5274,555.381206,527.349906,449.302906
"TG(40:3) TG(12:0_20:3_8:0)",727.5274,527.349906,421.271606,583.412506
"TG(40:3) TG(14:1_18:2_8:0)",727.5274,501.334206,447.287306,583.412506
"TG(40:3) TG(14:0_18:3_8:0)",727.5274,499.318606,449.302906,583.412506
"TG(40:2) TG(10:0_10:0_20:2)",729.543,557.396806,557.396806,421.271606
"TG(40:2) TG(10:0_12:0_18:2)",729.543,557.396806,529.365506,449.302906
"TG(40:2) TG(10:0_22:2_8:0)",729.543,557.396806,393.240306,585.428106
"TG(40:2) TG(12:0_20:2_8:0)",729.543,529.365506,421.271606,585.428106
"TG(40:2) TG(14:0_18:2_8:0)",729.543,501.334206,449.302906,585.428106
"TG(40:2) TG(12:0_14:1_14:1)",729.5431,529.365606,503.349906,503.349906
"TG(40:2) TG(10:0_14:1_16:1)",729.5431,557.396906,503.349906,475.318606
"TG(40:2) TG(14:1_18:1_8:0)",729.5431,503.349906,447.287306,585.428206
"TG(40:2) TG(16:1_16:1_8:0)",729.5431,475.318606,475.318606,585.428206
"TG(40:1) TG(12:0_12:0_16:1)",731.5587,531.381206,531.381206,477.334206
"TG(40:1) TG(12:0_14:0_14:1)",731.5587,531.381206,503.349906,505.365506
"TG(40:1) TG(10:0_10:0_20:1)",731.5587,559.412506,559.412506,421.271606
"TG(40:1) TG(10:0_12:0_18:1)",731.5587,559.412506,531.381206,449.302906
"TG(40:1) TG(10:0_14:1_16:0)",731.5587,559.412506,505.365506,475.318606
"TG(40:1) TG(10:0_14:0_16:1)",731.5587,559.412506,503.349906,477.334206
"TG(40:1) TG(24:1_8:0_8:0)",731.5587,365.209006,587.443806,587.443806
"TG(40:1) TG(10:0_22:1_8:0)",731.5587,559.412506,393.240306,587.443806
"TG(40:1) TG(12:0_20:1_8:0)",731.5587,531.381206,421.271606,587.443806
"TG(40:1) TG(14:1_18:0_8:0)",731.5587,505.365506,447.287306,587.443806
"TG(40:1) TG(14:0_18:1_8:0)",731.5587,503.349906,449.302906,587.443806
"TG(40:1) TG(16:0_16:1_8:0)",731.5587,475.318606,477.334206,587.443806
"TG(40:1) TG(13:0_13:0_14:1)",731.5588,517.365606,517.365606,505.365606
"TG(40:0) TG(12:0_12:0_16:0)",733.5743,533.396806,533.396806,477.334206
"TG(40:0) TG(12:0_14:0_14:0)",733.5743,533.396806,505.365506,505.365506
"TG(40:0) TG(10:0_10:0_20:0)",733.5743,561.428106,561.428106,421.271606
"TG(40:0) TG(10:0_12:0_18:0)",733.5743,561.428106,533.396806,449.302906
"TG(40:0) TG(10:0_14:0_16:0)",733.5743,561.428106,505.365506,477.334206
"TG(40:0) TG(24:0_8:0_8:0)",733.5743,365.209006,589.459406,589.459406
"TG(40:0) TG(10:0_22:0_8:0)",733.5743,561.428106,393.240306,589.459406
"TG(40:0) TG(12:0_20:0_8:0)",733.5743,533.396806,421.271606,589.459406
"TG(40:0) TG(14:0_18:0_8:0)",733.5743,505.365506,449.302906,589.459406
"TG(40:0) TG(16:0_16:0_8:0)",733.5743,477.334206,477.334206,589.459406
"TG(40:0) TG(13:0_13:0_14:0)",733.5744,519.381206,519.381206,505.365606
"TG(40:0) TG(12:0_13:0_15:0)",733.5744,533.396906,519.381206,491.349906
"TG(40:0) TG(10:0_13:0_17:0)",733.5744,561.428206,519.381206,463.318606
"TG(40:0) TG(10:0_15:0_15:0)",733.5744,561.428206,491.349906,491.349906
"TG(40:0) TG(13:0_19:0_8:0)",733.5744,519.381206,435.287306,589.459506
"TG(40:0) TG(15:0_17:0_8:0)",733.5744,491.349906,463.318606,589.459506
"TG(41:5) TG(13:0_20:5_8:0)",737.5118,523.318606,435.287306,593.396906
"TG(41:4) TG(10:0_13:0_18:4)",739.5274,567.381206,525.334206,463.318606
"TG(41:4) TG(13:0_20:4_8:0)",739.5274,525.334206,435.287306,595.412506
"TG(41:4) TG(15:0_18:4_8:0)",739.5274,497.302906,463.318606,595.412506
"TG(41:3) TG(10:0_13:0_18:3)",741.5431,569.396906,527.349906,463.318606
"TG(41:3) TG(13:0_20:3_8:0)",741.5431,527.349906,435.287306,597.428206
"TG(41:3) TG(15:0_18:3_8:0)",741.5431,499.318606,463.318606,597.428206
"TG(41:2) TG(10:0_13:0_18:2)",743.5587,571.412506,529.365506,463.318606
"TG(41:2) TG(13:0_20:2_8:0)",743.5587,529.365506,435.287306,599.443806
"TG(41:2) TG(15:0_18:2_8:0)",743.5587,501.334206,463.318606,599.443806
"TG(41:2) TG(13:0_14:1_14:1)",743.5588,529.365606,517.365606,517.365606
"TG(41:1) TG(13:0_14:0_14:1)",745.5744,531.381206,517.365606,519.381206
"TG(41:1) TG(12:0_13:0_16:1)",745.5744,545.396906,531.381206,491.349906
"TG(41:1) TG(12:0_14:1_15:0)",745.5744,545.396906,519.381206,503.349906
"TG(41:1) TG(10:0_13:0_18:1)",745.5744,573.428206,531.381206,463.318606
"TG(41:1) TG(10:0_14:1_17:0)",745.5744,573.428206,519.381206,475.318606
"TG(41:1) TG(10:0_15:0_16:1)",745.5744,573.428206,503.349906,491.349906
"TG(41:1) TG(13:0_20:1_8:0)",745.5744,531.381206,435.287306,601.459506
"TG(41:1) TG(14:1_19:0_8:0)",745.5744,519.381206,447.287306,601.459506
"TG(41:1) TG(15:0_18:1_8:0)",745.5744,503.349906,463.318606,601.459506
"TG(41:1) TG(16:1_17:0_8:0)",745.5744,491.349906,475.318606,601.459506
"TG(41:0) TG(13:0_14:0_14:0)",747.59,533.396806,519.381206,519.381206
"TG(41:0) TG(12:0_12:0_17:0)",747.59,547.412506,547.412506,477.334206
"TG(41:0) TG(12:0_13:0_16:0)",747.59,547.412506,533.396806,491.349906
"TG(41:0) TG(12:0_14:0_15:0)",747.59,547.412506,519.381206,505.365506
"TG(41:0) TG(10:0_10:0_21:0)",747.59,575.443806,575.443806,421.271606
"TG(41:0) TG(10:0_12:0_19:0)",747.59,575.443806,547.412506,449.302906
"TG(41:0) TG(10:0_13:0_18:0)",747.59,575.443806,533.396806,463.318606
"TG(41:0) TG(10:0_14:0_17:0)",747.59,575.443806,519.381206,477.334206
"TG(41:0) TG(10:0_15:0_16:0)",747.59,575.443806,505.365506,491.349906
"TG(41:0) TG(10:0_23:0_8:0)",747.59,575.443806,393.240306,603.475106
"TG(41:0) TG(12:0_21:0_8:0)",747.59,547.412506,421.271606,603.475106
"TG(41:0) TG(13:0_20:0_8:0)",747.59,533.396806,435.287306,603.475106
"TG(41:0) TG(14:0_19:0_8:0)",747.59,519.381206,449.302906,603.475106
"TG(41:0) TG(15:0_18:0_8:0)",747.59,505.365506,463.318606,603.475106
"TG(41:0) TG(16:0_17:0_8:0)",747.59,491.349906,477.334206,603.475106
"TG(41:0) TG(13:0_13:0_15:0)",747.5901,533.396906,533.396906,505.365606
"TG(42:6) TG(10:0_10:0_22:6)",749.5117,577.365506,577.365506,421.271606
"TG(42:6) TG(12:0_22:6_8:0)",749.5117,549.334206,421.271606,605.396806
"TG(42:6) TG(14:1_20:5_8:0)",749.5118,523.318606,447.287306,605.396906
"TG(42:5) TG(10:0_10:0_22:5)",751.5274,579.381206,579.381206,421.271606
"TG(42:5) TG(10:0_12:0_20:5)",751.5274,579.381206,551.349906,449.302906
"TG(42:5) TG(10:0_14:1_18:4)",751.5274,579.381206,525.334206,475.318606
"TG(42:5) TG(12:0_22:5_8:0)",751.5274,551.349906,421.271606,607.412506
"TG(42:5) TG(14:1_20:4_8:0)",751.5274,525.334206,447.287306,607.412506
"TG(42:5) TG(14:0_20:5_8:0)",751.5274,523.318606,449.302906,607.412506
"TG(42:5) TG(16:1_18:4_8:0)",751.5274,497.302906,475.318606,607.412506
"TG(42:4) TG(12:0_12:0_18:4)",753.543,553.365506,553.365506,477.334206
"TG(42:4) TG(10:0_10:0_22:4)",753.543,581.396806,581.396806,421.271606
"TG(42:4) TG(10:0_12:0_20:4)",753.543,581.396806,553.365506,449.302906
"TG(42:4) TG(10:0_14:0_18:4)",753.543,581.396806,525.334206,477.334206
"TG(42:4) TG(12:0_22:4_8:0)",753.543,553.365506,421.271606,609.428106
"TG(42:4) TG(14:0_20:4_8:0)",753.543,525.334206,449.302906,609.428106
"TG(42:4) TG(16:0_18:4_8:0)",753.543,497.302906,477.334206,609.428106
"TG(42:4) TG(10:0_14:1_18:3)",753.5431,581.396906,527.349906,475.318606
"TG(42:4) TG(14:1_20:3_8:0)",753.5431,527.349906,447.287306,609.428206
"TG(42:4) TG(16:1_18:3_8:0)",753.5431,499.318606,475.318606,609.428206
"TG(42:3) TG(12:0_12:0_18:3)",755.5587,555.381206,555.381206,477.334206
"TG(42:3) TG(10:0_12:0_20:3)",755.5587,583.412506,555.381206,449.302906
"TG(42:3) TG(10:0_14:1_18:2)",755.5587,583.412506,529.365506,475.318606
"TG(42:3) TG(10:0_14:0_18:3)",755.5587,583.412506,527.349906,477.334206
"TG(42:3) TG(14:1_20:2_8:0)",755.5587,529.365506,447.287306,611.443806
"TG(42:3) TG(14:0_20:3_8:0)",755.5587,527.349906,449.302906,611.443806
"TG(42:3) TG(16:1_18:2_8:0)",755.5587,501.334206,475.318606,611.443806
"TG(42:3) TG(16:0_18:3_8:0)",755.5587,499.318606,477.334206,611.443806
"TG(42:3) TG(14:1_14:1_14:1)",755.5588,529.365606,529.365606,529.365606
"TG(42:2) TG(12:0_12:0_18:2)",757.5743,557.396806,557.396806,477.334206
"TG(42:2) TG(10:0_10:0_22:2)",757.5743,585.428106,585.428106,421.271606
"TG(42:2) TG(10:0_12:0_20:2)",757.5743,585.428106,557.396806,449.302906
"TG(42:2) TG(10:0_14:0_18:2)",757.5743,585.428106,529.365506,477.334206
"TG(42:2) TG(12:0_22:2_8:0)",757.5743,557.396806,421.271606,613.459406
"TG(42:2) TG(14:0_20:2_8:0)",757.5743,529.365506,449.302906,613.459406
"TG(42:2) TG(16:0_18:2_8:0)",757.5743,501.334206,477.334206,613.459406
"TG(42:2) TG(14:0_14:1_14:1)",757.5744,529.365606,531.381206,531.381206
"TG(42:2) TG(12:0_14:1_16:1)",757.5744,557.396906,531.381206,503.349906
"TG(42:2) TG(10:0_14:1_18:1)",757.5744,585.428206,531.381206,475.318606
"TG(42:2) TG(10:0_16:1_16:1)",757.5744,585.428206,503.349906,503.349906
"TG(42:2) TG(14:1_20:1_8:0)",757.5744,531.381206,447.287306,613.459506
"TG(42:2) TG(16:1_18:1_8:0)",757.5744,503.349906,475.318606,613.459506
"TG(42:1) TG(14:0_14:0_14:1)",759.59,531.381206,531.381206,533.396806
"TG(42:1) TG(12:0_12:0_18:1)",759.59,559.412506,559.412506,477.334206
"TG(42:1) TG(12:0_14:1_16:0)",759.59,559.412506,533.396806,503.349906
"TG(42:1) TG(12:0_14:0_16:1)",759.59,559.412506,531.381206,505.365506
"TG(42:1) TG(10:0_10:0_22:1)",759.59,587.443806,587.443806,421.271606
"TG(42:1) TG(10:0_12:0_20:1)",759.59,587.443806,559.412506,449.302906
"TG(42:1) TG(10:0_14:1_18:0)",759.59,587.443806,533.396806,475.318606
"TG(42:1) TG(10:0_14:0_18:1)",759.59,587.443806,531.381206,477.334206
"TG(42:1) TG(10:0_16:0_16:1)",759.59,587.443806,503.349906,505.365506
"TG(42:1) TG(10:0_24:1_8:0)",759.59,587.443806,393.240306,615.475106
"TG(42:1) TG(12:0_22:1_8:0)",759.59,559.412506,421.271606,615.475106
"TG(42:1) TG(14:1_20:0_8:0)",759.59,533.396806,447.287306,615.475106
"TG(42:1) TG(14:0_20:1_8:0)",759.59,531.381206,449.302906,615.475106
"TG(42:1) TG(16:1_18:0_8:0)",759.59,505.365506,475.318606,615.475106
"TG(42:1) TG(16:0_18:1_8:0)",759.59,503.349906,477.334206,615.475106
"TG(42:1) TG(13:0_13:0_16:1)",759.5901,545.396906,545.396906,505.365606
"TG(42:1) TG(13:0_14:1_15:0)",759.5901,545.396906,533.396906,517.365606
"TG(42:0) TG(14:0_14:0_14:0)",761.6056,533.396806,533.396806,533.396806
"TG(42:0) TG(12:0_12:0_18:0)",761.6056,561.428106,561.428106,477.334206
"TG(42:0) TG(12:0_14:0_16:0)",761.6056,561.428106,533.396806,505.365506
"TG(42:0) TG(10:0_10:0_22:0)",761.6056,589.459406,589.459406,421.271606
"TG(42:0) TG(10:0_12:0_20:0)",761.6056,589.459406,561.428106,449.302906
"TG(42:0) TG(10:0_14:0_18:0)",761.6056,589.459406,533.396806,477.334206
"TG(42:0) TG(10:0_16:0_16:0)",761.6056,589.459406,505.365506,505.365506
"TG(42:0) TG(10:0_24:0_8:0)",761.6056,589.459406,393.240306,617.490706
"TG(42:0) TG(12:0_22:0_8:0)",761.6056,561.428106,421.271606,617.490706
"TG(42:0) TG(14:0_20:0_8:0)",761.6056,533.396806,449.302906,617.490706
"TG(42:0) TG(16:0_18:0_8:0)",761.6056,505.365506,477.334206,617.490706
"TG(42:0) TG(13:0_13:0_16:0)",761.6057,547.412506,547.412506,505.365606
"TG(42:0) TG(13:0_14:0_15:0)",761.6057,547.412506,533.396906,519.381206
"TG(42:0) TG(12:0_13:0_17:0)",761.6057,561.428206,547.412506,491.349906
"TG(42:0) TG(12:0_15:0_15:0)",761.6057,561.428206,519.381206,519.381206
"TG(42:0) TG(10:0_13:0_19:0)",761.6057,589.459506,547.412506,463.318606
"TG(42:0) TG(10:0_15:0_17:0)",761.6057,589.459506,519.381206,491.349906
"TG(42:0) TG(13:0_21:0_8:0)",761.6057,547.412506,435.287306,617.490806
"TG(42:0) TG(15:0_19:0_8:0)",761.6057,519.381206,463.318606,617.490806
"TG(42:0) TG(17:0_17:0_8:0)",761.6057,491.349906,491.349906,617.490806
"TG(43:6) TG(13:0_22:6_8:0)",763.5274,549.334206,435.287306,619.412506
"TG(43:5) TG(10:0_13:0_20:5)",765.5431,593.396906,551.349906,463.318606
"TG(43:5) TG(13:0_22:5_8:0)",765.5431,551.349906,435.287306,621.428206
"TG(43:5) TG(15:0_20:5_8:0)",765.5431,523.318606,463.318606,621.428206
"TG(43:4) TG(12:0_13:0_18:4)",767.5587,567.381206,553.365506,491.349906
"TG(43:4) TG(10:0_13:0_20:4)",767.5587,595.412506,553.365506,463.318606
"TG(43:4) TG(10:0_15:0_18:4)",767.5587,595.412506,525.334206,491.349906
"TG(43:4) TG(13:0_22:4_8:0)",767.5587,553.365506,435.287306,623.443806
"TG(43:4) TG(15:0_20:4_8:0)",767.5587,525.334206,463.318606,623.443806
"TG(43:4) TG(17:0_18:4_8:0)",767.5587,497.302906,491.349906,623.443806
"TG(43:3) TG(12:0_13:0_18:3)",769.5744,569.396906,555.381206,491.349906
"TG(43:3) TG(10:0_13:0_20:3)",769.5744,597.428206,555.381206,463.318606
