HexCer,[M+Na]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d14:1/40:0),1002.86764,962.87514,800.8223,782.8118,226.2166,208.206
HexCer(d14:1/40:1),1000.85204,960.85954,798.8067,780.7961,226.2166,208.206
HexCer(d14:1/40:2),998.83634,958.84384,796.791,778.7805,226.2166,208.206
HexCer(d14:1/42:0),1030.89894,990.90644,828.8536,810.8431,226.2166,208.206
HexCer(d14:1/42:1),1028.88294,988.89044,826.838,808.8274,226.2166,208.206
HexCer(d14:1/42:2),1026.86794,986.87544,824.8223,806.8118,226.2166,208.206
HexCer(d14:2/12:0),608.41384,568.42134,406.3685,388.3579,224.2009,206.1903
HexCer(d14:2/12:1),606.39824,566.40574,404.3528,386.3423,224.2009,206.1903
HexCer(d14:2/13:0),622.42944,582.43694,420.3841,402.3736,224.2009,206.1903
HexCer(d14:2/13:1),620.41384,580.42134,418.3685,400.3579,224.2009,206.1903
HexCer(d14:2/14:0),636.44514,596.45264,434.3998,416.3892,224.2009,206.1903
HexCer(d14:2/14:1),634.42944,594.43694,432.3841,414.3736,224.2009,206.1903
HexCer(d14:2/15:0),650.46074,610.46824,448.4154,430.4049,224.2009,206.1903
HexCer(d14:2/15:1),648.44514,608.45264,446.3998,428.3892,224.2009,206.1903
HexCer(d14:2/16:0),664.47644,624.48394,462.4311,444.4205,224.2009,206.1903
HexCer(d14:2/16:1),662.46074,622.46824,460.4154,442.4049,224.2009,206.1903
HexCer(d14:2/16:2),660.44514,620.45264,458.3998,440.3892,224.2009,206.1903
HexCer(d14:2/17:0),678.49204,638.49954,476.4467,458.4362,224.2009,206.1903
HexCer(d14:2/18:0),692.50774,652.51524,490.4624,472.4518,224.2009,206.1903
HexCer(d14:2/18:1),690.49204,650.49954,488.4467,470.4362,224.2009,206.1903
HexCer(d14:2/18:2),688.47644,648.48394,486.4311,468.4205,224.2009,206.1903
HexCer(d14:2/19:0),706.52334,666.53084,504.478,486.4675,224.2009,206.1903
HexCer(d14:2/19:1),704.50774,664.51524,502.4624,484.4518,224.2009,206.1903
HexCer(d14:2/20:0),720.53904,680.54654,518.4937,500.4831,224.2009,206.1903
HexCer(d14:2/20:1),718.52334,678.53084,516.478,498.4675,224.2009,206.1903
HexCer(d14:2/20:2),716.50774,676.51524,514.4624,496.4518,224.2009,206.1903
HexCer(d14:2/21:0),734.55474,694.56224,532.5093,514.4988,224.2009,206.1903
HexCer(d14:2/21:1),732.53904,692.54654,530.4937,512.4831,224.2009,206.1903
HexCer(d14:2/22:0),748.57034,708.57784,546.525,528.5144,224.2009,206.1903
HexCer(d14:2/22:1),746.55474,706.56224,544.5093,526.4988,224.2009,206.1903
HexCer(d14:2/22:2),744.53904,704.54654,542.4937,524.4831,224.2009,206.1903
HexCer(d14:2/23:0),762.58604,722.59354,560.5406,542.5301,224.2009,206.1903
HexCer(d14:2/23:1),760.57034,720.57784,558.525,540.5144,224.2009,206.1903
HexCer(d14:2/24:0),776.60164,736.60914,574.5563,556.5457,224.2009,206.1903
HexCer(d14:2/24:1),774.58604,734.59354,572.5406,554.5301,224.2009,206.1903
HexCer(d14:2/24:2),772.57034,732.57784,570.525,552.5144,224.2009,206.1903
HexCer(d14:2/25:0),790.61724,750.62474,588.572,570.5613,224.2009,206.1903
HexCer(d14:2/25:1),788.60164,748.60914,586.5563,568.5457,224.2009,206.1903
HexCer(d14:2/26:0),804.63294,764.64044,602.5876,584.577,224.2009,206.1903
HexCer(d14:2/26:1),802.61724,762.62474,600.572,582.5613,224.2009,206.1903
HexCer(d14:2/26:2),800.60164,760.60914,598.5563,580.5457,224.2009,206.1903
HexCer(d14:2/27:0),818.64854,778.65604,616.6032,598.5927,224.2009,206.1903
HexCer(d14:2/27:1),816.63294,776.64044,614.5876,596.577,224.2009,206.1903
HexCer(d14:2/28:0),832.66424,792.67174,630.6189,612.6083,224.2009,206.1903
HexCer(d14:2/28:1),830.64854,790.65604,628.6032,610.5927,224.2009,206.1903
HexCer(d14:2/28:2),828.63294,788.64044,626.5876,608.577,224.2009,206.1903
HexCer(d14:2/29:0),846.67984,806.68734,644.6345,626.624,224.2009,206.1903
HexCer(d14:2/29:1),844.66424,804.67174,642.6189,624.6083,224.2009,206.1903
HexCer(d14:2/30:0),860.69554,820.70304,658.6502,640.6396,224.2009,206.1903
HexCer(d14:2/30:1),858.67984,818.68734,656.6345,638.624,224.2009,206.1903
HexCer(d14:2/30:2),856.66424,816.67174,654.6189,636.6083,224.2009,206.1903
HexCer(d14:2/31:0),874.71114,834.71864,672.6658,654.6553,224.2009,206.1903
HexCer(d14:2/31:1),872.69554,832.70304,670.6502,652.6396,224.2009,206.1903
HexCer(d14:2/32:0),888.72684,848.73434,686.6815,668.6709,224.2009,206.1903
HexCer(d14:2/32:1),886.71114,846.71864,684.6658,666.6553,224.2009,206.1903
HexCer(d14:2/32:2),884.69554,844.70304,682.6502,664.6396,224.2009,206.1903
HexCer(d14:2/33:0),902.74254,862.75004,700.6971,682.6866,224.2009,206.1903
HexCer(d14:2/33:1),900.72684,860.73434,698.6815,680.6709,224.2009,206.1903
HexCer(d14:2/34:0),916.75814,876.76564,714.7128,696.7022,224.2009,206.1903
HexCer(d14:2/34:1),914.74254,874.75004,712.6971,694.6866,224.2009,206.1903
HexCer(d14:2/34:2),912.72684,872.73434,710.6815,692.6709,224.2009,206.1903
HexCer(d14:2/35:0),930.77384,890.78134,728.7285,710.7179,224.2009,206.1903
HexCer(d14:2/35:1),928.75814,888.76564,726.7128,708.7022,224.2009,206.1903
HexCer(d14:2/36:0),944.78944,904.79694,742.7441,724.7335,224.2009,206.1903
HexCer(d14:2/36:1),942.77384,902.78134,740.7285,722.7179,224.2009,206.1903
HexCer(d14:2/36:2),940.75814,900.76564,738.7128,720.7022,224.2009,206.1903
HexCer(d14:2/38:0),972.82074,932.82824,770.7754,752.7648,224.2009,206.1903
HexCer(d14:2/38:1),970.80504,930.81254,768.7598,750.7491,224.2009,206.1903
HexCer(d14:2/38:2),968.78944,928.79694,766.7441,748.7335,224.2009,206.1903
HexCer(d14:2/40:0),1000.85204,960.85954,798.8067,780.7961,224.2009,206.1903
HexCer(d14:2/40:1),998.83634,958.84384,796.791,778.7805,224.2009,206.1903
HexCer(d14:2/40:2),996.82074,956.82824,794.7754,776.7648,224.2009,206.1903
HexCer(d14:2/42:0),1028.88294,988.89044,826.838,808.8274,224.2009,206.1903
HexCer(d14:2/42:1),1026.86794,986.87544,824.8223,806.8118,224.2009,206.1903
HexCer(d14:2/42:2),1024.85194,984.85944,822.8067,804.7961,224.2009,206.1903
HexCer(d14:3/12:0),606.39824,566.40574,404.3528,386.3423,222.1853,204.1747
HexCer(d14:3/12:1),604.38254,564.39004,402.3372,384.3266,222.1853,204.1747
HexCer(d14:3/13:0),620.41384,580.42134,418.3685,400.3579,222.1853,204.1747
HexCer(d14:3/13:1),618.39824,578.40574,416.3528,398.3423,222.1853,204.1747
HexCer(d14:3/14:0),634.42944,594.43694,432.3841,414.3736,222.1853,204.1747
HexCer(d14:3/14:1),632.41384,592.42134,430.3685,412.3579,222.1853,204.1747
HexCer(d14:3/15:0),648.44514,608.45264,446.3998,428.3892,222.1853,204.1747
HexCer(d14:3/15:1),646.42944,606.43694,444.3841,426.3736,222.1853,204.1747
HexCer(d14:3/16:0),662.46074,622.46824,460.4154,442.4049,222.1853,204.1747
HexCer(d14:3/16:1),660.44514,620.45264,458.3998,440.3892,222.1853,204.1747
HexCer(d14:3/16:2),658.42944,618.43694,456.3841,438.3736,222.1853,204.1747
HexCer(d14:3/17:0),676.47644,636.48394,474.4311,456.4205,222.1853,204.1747
HexCer(d14:3/18:0),690.49204,650.49954,488.4467,470.4362,222.1853,204.1747
HexCer(d14:3/18:1),688.47644,648.48394,486.4311,468.4205,222.1853,204.1747
HexCer(d14:3/18:2),686.46074,646.46824,484.4154,466.4049,222.1853,204.1747
HexCer(d14:3/19:0),704.50774,664.51524,502.4624,484.4518,222.1853,204.1747
HexCer(d14:3/19:1),702.49204,662.49954,500.4467,482.4362,222.1853,204.1747
HexCer(d14:3/20:0),718.52334,678.53084,516.478,498.4675,222.1853,204.1747
HexCer(d14:3/20:1),716.50774,676.51524,514.4624,496.4518,222.1853,204.1747
HexCer(d14:3/20:2),714.49204,674.49954,512.4467,494.4362,222.1853,204.1747
HexCer(d14:3/21:0),732.53904,692.54654,530.4937,512.4831,222.1853,204.1747
HexCer(d14:3/21:1),730.52334,690.53084,528.478,510.4675,222.1853,204.1747
HexCer(d14:3/22:0),746.55474,706.56224,544.5093,526.4988,222.1853,204.1747
HexCer(d14:3/22:1),744.53904,704.54654,542.4937,524.4831,222.1853,204.1747
HexCer(d14:3/22:2),742.52334,702.53084,540.478,522.4675,222.1853,204.1747
HexCer(d14:3/23:0),760.57034,720.57784,558.525,540.5144,222.1853,204.1747
HexCer(d14:3/23:1),758.55474,718.56224,556.5093,538.4988,222.1853,204.1747
HexCer(d14:3/24:0),774.58604,734.59354,572.5406,554.5301,222.1853,204.1747
HexCer(d14:3/24:1),772.57034,732.57784,570.525,552.5144,222.1853,204.1747
HexCer(d14:3/24:2),770.55474,730.56224,568.5093,550.4988,222.1853,204.1747
HexCer(d14:3/25:0),788.60164,748.60914,586.5563,568.5457,222.1853,204.1747
HexCer(d14:3/25:1),786.58604,746.59354,584.5406,566.5301,222.1853,204.1747
HexCer(d14:3/26:0),802.61724,762.62474,600.572,582.5613,222.1853,204.1747
HexCer(d14:3/26:1),800.60164,760.60914,598.5563,580.5457,222.1853,204.1747
HexCer(d14:3/26:2),798.58604,758.59354,596.5406,578.5301,222.1853,204.1747
HexCer(d14:3/27:0),816.63294,776.64044,614.5876,596.577,222.1853,204.1747
HexCer(d14:3/27:1),814.61724,774.62474,612.572,594.5613,222.1853,204.1747
HexCer(d14:3/28:0),830.64854,790.65604,628.6032,610.5927,222.1853,204.1747
HexCer(d14:3/28:1),828.63294,788.64044,626.5876,608.577,222.1853,204.1747
HexCer(d14:3/28:2),826.61724,786.62474,624.572,606.5613,222.1853,204.1747
HexCer(d14:3/29:0),844.66424,804.67174,642.6189,624.6083,222.1853,204.1747
HexCer(d14:3/29:1),842.64854,802.65604,640.6032,622.5927,222.1853,204.1747
HexCer(d14:3/30:0),858.67984,818.68734,656.6345,638.624,222.1853,204.1747
HexCer(d14:3/30:1),856.66424,816.67174,654.6189,636.6083,222.1853,204.1747
HexCer(d14:3/30:2),854.64854,814.65604,652.6032,634.5927,222.1853,204.1747
HexCer(d14:3/31:0),872.69554,832.70304,670.6502,652.6396,222.1853,204.1747
HexCer(d14:3/31:1),870.67984,830.68734,668.6345,650.624,222.1853,204.1747
HexCer(d14:3/32:0),886.71114,846.71864,684.6658,666.6553,222.1853,204.1747
HexCer(d14:3/32:1),884.69554,844.70304,682.6502,664.6396,222.1853,204.1747
HexCer(d14:3/32:2),882.67984,842.68734,680.6345,662.624,222.1853,204.1747
HexCer(d14:3/33:0),900.72684,860.73434,698.6815,680.6709,222.1853,204.1747
HexCer(d14:3/33:1),898.71114,858.71864,696.6658,678.6553,222.1853,204.1747
