HexCer,[M+Na]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d16:3/38:1),996.82074,956.82824,794.7754,776.7648,250.2166,232.206
HexCer(d16:3/38:2),994.80504,954.81254,792.7598,774.7491,250.2166,232.206
HexCer(d16:3/40:0),1026.86794,986.87544,824.8223,806.8118,250.2166,232.206
HexCer(d16:3/40:1),1024.85194,984.85944,822.8067,804.7961,250.2166,232.206
HexCer(d16:3/40:2),1022.83594,982.84344,820.791,802.7805,250.2166,232.206
HexCer(d16:3/42:0),1054.89894,1014.90644,852.8536,834.8431,250.2166,232.206
HexCer(d16:3/42:1),1052.88294,1012.89044,850.838,832.8274,250.2166,232.206
HexCer(d16:3/42:2),1050.86794,1010.87544,848.8223,830.8118,250.2166,232.206
HexCer(d17:1/12:0),652.47644,612.48394,450.4311,432.4205,268.2635,250.2529
HexCer(d17:1/12:1),650.46074,610.46824,448.4154,430.4049,268.2635,250.2529
HexCer(d17:1/13:0),666.49204,626.49954,464.4467,446.4362,268.2635,250.2529
HexCer(d17:1/13:1),664.47644,624.48394,462.4311,444.4205,268.2635,250.2529
HexCer(d17:1/14:0),680.50774,640.51524,478.4624,460.4518,268.2635,250.2529
HexCer(d17:1/14:1),678.49204,638.49954,476.4467,458.4362,268.2635,250.2529
HexCer(d17:1/15:0),694.52334,654.53084,492.478,474.4675,268.2635,250.2529
HexCer(d17:1/15:1),692.50774,652.51524,490.4624,472.4518,268.2635,250.2529
HexCer(d17:1/16:0),708.53904,668.54654,506.4937,488.4831,268.2635,250.2529
HexCer(d17:1/16:1),706.52334,666.53084,504.478,486.4675,268.2635,250.2529
HexCer(d17:1/16:2),704.50774,664.51524,502.4624,484.4518,268.2635,250.2529
HexCer(d17:1/17:0),722.55474,682.56224,520.5093,502.4988,268.2635,250.2529
HexCer(d17:1/18:0),736.57034,696.57784,534.525,516.5144,268.2635,250.2529
HexCer(d17:1/18:1),734.55474,694.56224,532.5093,514.4988,268.2635,250.2529
HexCer(d17:1/18:2),732.53904,692.54654,530.4937,512.4831,268.2635,250.2529
HexCer(d17:1/19:0),750.58604,710.59354,548.5406,530.5301,268.2635,250.2529
HexCer(d17:1/19:1),748.57034,708.57784,546.525,528.5144,268.2635,250.2529
HexCer(d17:1/20:0),764.60164,724.60914,562.5563,544.5457,268.2635,250.2529
HexCer(d17:1/20:1),762.58604,722.59354,560.5406,542.5301,268.2635,250.2529
HexCer(d17:1/20:2),760.57034,720.57784,558.525,540.5144,268.2635,250.2529
HexCer(d17:1/21:0),778.61724,738.62474,576.572,558.5613,268.2635,250.2529
HexCer(d17:1/21:1),776.60164,736.60914,574.5563,556.5457,268.2635,250.2529
HexCer(d17:1/22:0),792.63294,752.64044,590.5876,572.577,268.2635,250.2529
HexCer(d17:1/22:1),790.61724,750.62474,588.572,570.5613,268.2635,250.2529
HexCer(d17:1/22:2),788.60164,748.60914,586.5563,568.5457,268.2635,250.2529
HexCer(d17:1/23:0),806.64854,766.65604,604.6032,586.5927,268.2635,250.2529
HexCer(d17:1/23:1),804.63294,764.64044,602.5876,584.577,268.2635,250.2529
HexCer(d17:1/24:0),820.66424,780.67174,618.6189,600.6083,268.2635,250.2529
HexCer(d17:1/24:1),818.64854,778.65604,616.6032,598.5927,268.2635,250.2529
HexCer(d17:1/24:2),816.63294,776.64044,614.5876,596.577,268.2635,250.2529
HexCer(d17:1/25:0),834.67984,794.68734,632.6345,614.624,268.2635,250.2529
HexCer(d17:1/25:1),832.66424,792.67174,630.6189,612.6083,268.2635,250.2529
HexCer(d17:1/26:0),848.69554,808.70304,646.6502,628.6396,268.2635,250.2529
HexCer(d17:1/26:1),846.67984,806.68734,644.6345,626.624,268.2635,250.2529
HexCer(d17:1/26:2),844.66424,804.67174,642.6189,624.6083,268.2635,250.2529
HexCer(d17:1/27:0),862.71114,822.71864,660.6658,642.6553,268.2635,250.2529
HexCer(d17:1/27:1),860.69554,820.70304,658.6502,640.6396,268.2635,250.2529
HexCer(d17:1/28:0),876.72684,836.73434,674.6815,656.6709,268.2635,250.2529
HexCer(d17:1/28:1),874.71114,834.71864,672.6658,654.6553,268.2635,250.2529
HexCer(d17:1/28:2),872.69554,832.70304,670.6502,652.6396,268.2635,250.2529
HexCer(d17:1/29:0),890.74254,850.75004,688.6971,670.6866,268.2635,250.2529
HexCer(d17:1/29:1),888.72684,848.73434,686.6815,668.6709,268.2635,250.2529
HexCer(d17:1/30:0),904.75814,864.76564,702.7128,684.7022,268.2635,250.2529
HexCer(d17:1/30:1),902.74254,862.75004,700.6971,682.6866,268.2635,250.2529
HexCer(d17:1/30:2),900.72684,860.73434,698.6815,680.6709,268.2635,250.2529
HexCer(d17:1/31:0),918.77384,878.78134,716.7285,698.7179,268.2635,250.2529
HexCer(d17:1/31:1),916.75814,876.76564,714.7128,696.7022,268.2635,250.2529
HexCer(d17:1/32:0),932.78944,892.79694,730.7441,712.7335,268.2635,250.2529
HexCer(d17:1/32:1),930.77384,890.78134,728.7285,710.7179,268.2635,250.2529
HexCer(d17:1/32:2),928.75814,888.76564,726.7128,708.7022,268.2635,250.2529
HexCer(d17:1/33:0),946.80504,906.81254,744.7598,726.7491,268.2635,250.2529
HexCer(d17:1/33:1),944.78944,904.79694,742.7441,724.7335,268.2635,250.2529
HexCer(d17:1/34:0),960.82074,920.82824,758.7754,740.7648,268.2635,250.2529
HexCer(d17:1/34:1),958.80504,918.81254,756.7598,738.7491,268.2635,250.2529
HexCer(d17:1/34:2),956.78944,916.79694,754.7441,736.7335,268.2635,250.2529
HexCer(d17:1/35:0),974.83634,934.84384,772.791,754.7805,268.2635,250.2529
HexCer(d17:1/35:1),972.82074,932.82824,770.7754,752.7648,268.2635,250.2529
HexCer(d17:1/36:0),988.85204,948.85954,786.8067,768.7961,268.2635,250.2529
HexCer(d17:1/36:1),986.83634,946.84384,784.791,766.7805,268.2635,250.2529
HexCer(d17:1/36:2),984.82074,944.82824,782.7754,764.7648,268.2635,250.2529
HexCer(d17:1/38:0),1016.88334,976.89084,814.838,796.8274,268.2635,250.2529
HexCer(d17:1/38:1),1014.86764,974.87514,812.8223,794.8118,268.2635,250.2529
HexCer(d17:1/38:2),1012.85204,972.85954,810.8067,792.7961,268.2635,250.2529
HexCer(d17:1/40:0),1044.91494,1004.92244,842.8693,824.8587,268.2635,250.2529
HexCer(d17:1/40:1),1042.89894,1002.90644,840.8536,822.8431,268.2635,250.2529
HexCer(d17:1/40:2),1040.88294,1000.89044,838.838,820.8274,268.2635,250.2529
HexCer(d17:1/42:0),1072.94594,1032.95344,870.9006,852.89,268.2635,250.2529
HexCer(d17:1/42:1),1070.92994,1030.93744,868.8849,850.8744,268.2635,250.2529
HexCer(d17:1/42:2),1068.91494,1028.92244,866.8693,848.8587,268.2635,250.2529
HexCer(d17:2/12:0),650.46074,610.46824,448.4154,430.4049,266.2479,248.2373
HexCer(d17:2/12:1),648.44514,608.45264,446.3998,428.3892,266.2479,248.2373
HexCer(d17:2/13:0),664.47644,624.48394,462.4311,444.4205,266.2479,248.2373
HexCer(d17:2/13:1),662.46074,622.46824,460.4154,442.4049,266.2479,248.2373
HexCer(d17:2/14:0),678.49204,638.49954,476.4467,458.4362,266.2479,248.2373
HexCer(d17:2/14:1),676.47644,636.48394,474.4311,456.4205,266.2479,248.2373
HexCer(d17:2/15:0),692.50774,652.51524,490.4624,472.4518,266.2479,248.2373
HexCer(d17:2/15:1),690.49204,650.49954,488.4467,470.4362,266.2479,248.2373
HexCer(d17:2/16:0),706.52334,666.53084,504.478,486.4675,266.2479,248.2373
HexCer(d17:2/16:1),704.50774,664.51524,502.4624,484.4518,266.2479,248.2373
HexCer(d17:2/16:2),702.49204,662.49954,500.4467,482.4362,266.2479,248.2373
HexCer(d17:2/17:0),720.53904,680.54654,518.4937,500.4831,266.2479,248.2373
HexCer(d17:2/18:0),734.55474,694.56224,532.5093,514.4988,266.2479,248.2373
HexCer(d17:2/18:1),732.53904,692.54654,530.4937,512.4831,266.2479,248.2373
HexCer(d17:2/18:2),730.52334,690.53084,528.478,510.4675,266.2479,248.2373
HexCer(d17:2/19:0),748.57034,708.57784,546.525,528.5144,266.2479,248.2373
HexCer(d17:2/19:1),746.55474,706.56224,544.5093,526.4988,266.2479,248.2373
HexCer(d17:2/20:0),762.58604,722.59354,560.5406,542.5301,266.2479,248.2373
HexCer(d17:2/20:1),760.57034,720.57784,558.525,540.5144,266.2479,248.2373
HexCer(d17:2/20:2),758.55474,718.56224,556.5093,538.4988,266.2479,248.2373
HexCer(d17:2/21:0),776.60164,736.60914,574.5563,556.5457,266.2479,248.2373
HexCer(d17:2/21:1),774.58604,734.59354,572.5406,554.5301,266.2479,248.2373
HexCer(d17:2/22:0),790.61724,750.62474,588.572,570.5613,266.2479,248.2373
HexCer(d17:2/22:1),788.60164,748.60914,586.5563,568.5457,266.2479,248.2373
HexCer(d17:2/22:2),786.58604,746.59354,584.5406,566.5301,266.2479,248.2373
HexCer(d17:2/23:0),804.63294,764.64044,602.5876,584.577,266.2479,248.2373
HexCer(d17:2/23:1),802.61724,762.62474,600.572,582.5613,266.2479,248.2373
HexCer(d17:2/24:0),818.64854,778.65604,616.6032,598.5927,266.2479,248.2373
HexCer(d17:2/24:1),816.63294,776.64044,614.5876,596.577,266.2479,248.2373
HexCer(d17:2/24:2),814.61724,774.62474,612.572,594.5613,266.2479,248.2373
HexCer(d17:2/25:0),832.66424,792.67174,630.6189,612.6083,266.2479,248.2373
HexCer(d17:2/25:1),830.64854,790.65604,628.6032,610.5927,266.2479,248.2373
HexCer(d17:2/26:0),846.67984,806.68734,644.6345,626.624,266.2479,248.2373
HexCer(d17:2/26:1),844.66424,804.67174,642.6189,624.6083,266.2479,248.2373
HexCer(d17:2/26:2),842.64854,802.65604,640.6032,622.5927,266.2479,248.2373
HexCer(d17:2/27:0),860.69554,820.70304,658.6502,640.6396,266.2479,248.2373
HexCer(d17:2/27:1),858.67984,818.68734,656.6345,638.624,266.2479,248.2373
HexCer(d17:2/28:0),874.71114,834.71864,672.6658,654.6553,266.2479,248.2373
HexCer(d17:2/28:1),872.69554,832.70304,670.6502,652.6396,266.2479,248.2373
HexCer(d17:2/28:2),870.67984,830.68734,668.6345,650.624,266.2479,248.2373
HexCer(d17:2/29:0),888.72684,848.73434,686.6815,668.6709,266.2479,248.2373
HexCer(d17:2/29:1),886.71114,846.71864,684.6658,666.6553,266.2479,248.2373
HexCer(d17:2/30:0),902.74254,862.75004,700.6971,682.6866,266.2479,248.2373
HexCer(d17:2/30:1),900.72684,860.73434,698.6815,680.6709,266.2479,248.2373
HexCer(d17:2/30:2),898.71114,858.71864,696.6658,678.6553,266.2479,248.2373
HexCer(d17:2/31:0),916.75814,876.76564,714.7128,696.7022,266.2479,248.2373
HexCer(d17:2/31:1),914.74254,874.75004,712.6971,694.6866,266.2479,248.2373
HexCer(d17:2/32:0),930.77384,890.78134,728.7285,710.7179,266.2479,248.2373
HexCer(d17:2/32:1),928.75814,888.76564,726.7128,708.7022,266.2479,248.2373
HexCer(d17:2/32:2),926.74254,886.75004,724.6971,706.6866,266.2479,248.2373
HexCer(d17:2/33:0),944.78944,904.79694,742.7441,724.7335,266.2479,248.2373
HexCer(d17:2/33:1),942.77384,902.78134,740.7285,722.7179,266.2479,248.2373
HexCer(d17:2/34:0),958.80504,918.81254,756.7598,738.7491,266.2479,248.2373
HexCer(d17:2/34:1),956.78944,916.79694,754.7441,736.7335,266.2479,248.2373
HexCer(d17:2/34:2),954.77384,914.78134,752.7285,734.7179,266.2479,248.2373
HexCer(d17:2/35:0),972.82074,932.82824,770.7754,752.7648,266.2479,248.2373
HexCer(d17:2/35:1),970.80504,930.81254,768.7598,750.7491,266.2479,248.2373
HexCer(d17:2/36:0),986.83634,946.84384,784.791,766.7805,266.2479,248.2373
HexCer(d17:2/36:1),984.82074,944.82824,782.7754,764.7648,266.2479,248.2373
HexCer(d17:2/36:2),982.80504,942.81254,780.7598,762.7491,266.2479,248.2373
HexCer(d17:2/38:0),1014.86764,974.87514,812.8223,794.8118,266.2479,248.2373
HexCer(d17:2/38:1),1012.85204,972.85954,810.8067,792.7961,266.2479,248.2373
HexCer(d17:2/38:2),1010.83634,970.84384,808.791,790.7805,266.2479,248.2373
HexCer(d17:2/40:0),1042.89894,1002.90644,840.8536,822.8431,266.2479,248.2373
HexCer(d17:2/40:1),1040.88294,1000.89044,838.838,820.8274,266.2479,248.2373
HexCer(d17:2/40:2),1038.86794,998.87544,836.8223,818.8118,266.2479,248.2373
HexCer(d17:2/42:0),1070.92994,1030.93744,868.8849,850.8744,266.2479,248.2373
HexCer(d17:2/42:1),1068.91494,1028.92244,866.8693,848.8587,266.2479,248.2373
HexCer(d17:2/42:2),1066.89894,1026.90644,864.8536,846.8431,266.2479,248.2373
HexCer(d17:3/12:0),648.44514,608.45264,446.3998,428.3892,264.2322,246.2216
HexCer(d17:3/12:1),646.42944,606.43694,444.3841,426.3736,264.2322,246.2216
HexCer(d17:3/13:0),662.46074,622.46824,460.4154,442.4049,264.2322,246.2216
HexCer(d17:3/13:1),660.44514,620.45264,458.3998,440.3892,264.2322,246.2216
HexCer(d17:3/14:0),676.47644,636.48394,474.4311,456.4205,264.2322,246.2216
HexCer(d17:3/14:1),674.46074,634.46824,472.4154,454.4049,264.2322,246.2216
HexCer(d17:3/15:0),690.49204,650.49954,488.4467,470.4362,264.2322,246.2216
HexCer(d17:3/15:1),688.47644,648.48394,486.4311,468.4205,264.2322,246.2216
HexCer(d17:3/16:0),704.50774,664.51524,502.4624,484.4518,264.2322,246.2216
HexCer(d17:3/16:1),702.49204,662.49954,500.4467,482.4362,264.2322,246.2216
HexCer(d17:3/16:2),700.47644,660.48394,498.4311,480.4205,264.2322,246.2216
HexCer(d17:3/17:0),718.52334,678.53084,516.478,498.4675,264.2322,246.2216
HexCer(d17:3/18:0),732.53904,692.54654,530.4937,512.4831,264.2322,246.2216
HexCer(d17:3/18:1),730.52334,690.53084,528.478,510.4675,264.2322,246.2216
HexCer(d17:3/18:2),728.50774,688.51524,526.4624,508.4518,264.2322,246.2216
HexCer(d17:3/19:0),746.55474,706.56224,544.5093,526.4988,264.2322,246.2216
HexCer(d17:3/19:1),744.53904,704.54654,542.4937,524.4831,264.2322,246.2216
HexCer(d17:3/20:0),760.57034,720.57784,558.525,540.5144,264.2322,246.2216
HexCer(d17:3/20:1),758.55474,718.56224,556.5093,538.4988,264.2322,246.2216
HexCer(d17:3/20:2),756.53904,716.54654,554.4937,536.4831,264.2322,246.2216
HexCer(d17:3/21:0),774.58604,734.59354,572.5406,554.5301,264.2322,246.2216
HexCer(d17:3/21:1),772.57034,732.57784,570.525,552.5144,264.2322,246.2216
HexCer(d17:3/22:0),788.60164,748.60914,586.5563,568.5457,264.2322,246.2216
HexCer(d17:3/22:1),786.58604,746.59354,584.5406,566.5301,264.2322,246.2216
HexCer(d17:3/22:2),784.57034,744.57784,582.525,564.5144,264.2322,246.2216
HexCer(d17:3/23:0),802.61724,762.62474,600.572,582.5613,264.2322,246.2216
HexCer(d17:3/23:1),800.60164,760.60914,598.5563,580.5457,264.2322,246.2216
HexCer(d17:3/24:0),816.63294,776.64044,614.5876,596.577,264.2322,246.2216
HexCer(d17:3/24:1),814.61724,774.62474,612.572,594.5613,264.2322,246.2216
HexCer(d17:3/24:2),812.60164,772.60914,610.5563,592.5457,264.2322,246.2216
HexCer(d17:3/25:0),830.64854,790.65604,628.6032,610.5927,264.2322,246.2216
HexCer(d17:3/25:1),828.63294,788.64044,626.5876,608.577,264.2322,246.2216
HexCer(d17:3/26:0),844.66424,804.67174,642.6189,624.6083,264.2322,246.2216
HexCer(d17:3/26:1),842.64854,802.65604,640.6032,622.5927,264.2322,246.2216
HexCer(d17:3/26:2),840.63294,800.64044,638.5876,620.577,264.2322,246.2216
HexCer(d17:3/27:0),858.67984,818.68734,656.6345,638.624,264.2322,246.2216
HexCer(d17:3/27:1),856.66424,816.67174,654.6189,636.6083,264.2322,246.2216
HexCer(d17:3/28:0),872.69554,832.70304,670.6502,652.6396,264.2322,246.2216
HexCer(d17:3/28:1),870.67984,830.68734,668.6345,650.624,264.2322,246.2216
HexCer(d17:3/28:2),868.66424,828.67174,666.6189,648.6083,264.2322,246.2216
HexCer(d17:3/29:0),886.71114,846.71864,684.6658,666.6553,264.2322,246.2216
HexCer(d17:3/29:1),884.69554,844.70304,682.6502,664.6396,264.2322,246.2216
HexCer(d17:3/30:0),900.72684,860.73434,698.6815,680.6709,264.2322,246.2216
HexCer(d17:3/30:1),898.71114,858.71864,696.6658,678.6553,264.2322,246.2216
HexCer(d17:3/30:2),896.69554,856.70304,694.6502,676.6396,264.2322,246.2216
HexCer(d17:3/31:0),914.74254,874.75004,712.6971,694.6866,264.2322,246.2216
HexCer(d17:3/31:1),912.72684,872.73434,710.6815,692.6709,264.2322,246.2216
HexCer(d17:3/32:0),928.75814,888.76564,726.7128,708.7022,264.2322,246.2216
HexCer(d17:3/32:1),926.74254,886.75004,724.6971,706.6866,264.2322,246.2216
HexCer(d17:3/32:2),924.72684,884.73434,722.6815,704.6709,264.2322,246.2216
HexCer(d17:3/33:0),942.77384,902.78134,740.7285,722.7179,264.2322,246.2216
HexCer(d17:3/33:1),940.75814,900.76564,738.7128,720.7022,264.2322,246.2216
HexCer(d17:3/34:0),956.78944,916.79694,754.7441,736.7335,264.2322,246.2216
HexCer(d17:3/34:1),954.77384,914.78134,752.7285,734.7179,264.2322,246.2216
HexCer(d17:3/34:2),952.75814,912.76564,750.7128,732.7022,264.2322,246.2216
HexCer(d17:3/35:0),970.80504,930.81254,768.7598,750.7491,264.2322,246.2216
HexCer(d17:3/35:1),968.78944,928.79694,766.7441,748.7335,264.2322,246.2216
HexCer(d17:3/36:0),984.82074,944.82824,782.7754,764.7648,264.2322,246.2216
HexCer(d17:3/36:1),982.80504,942.81254,780.7598,762.7491,264.2322,246.2216
HexCer(d17:3/36:2),980.78944,940.79694,778.7441,760.7335,264.2322,246.2216
HexCer(d17:3/38:0),1012.85204,972.85954,810.8067,792.7961,264.2322,246.2216
HexCer(d17:3/38:1),1010.83634,970.84384,808.791,790.7805,264.2322,246.2216
HexCer(d17:3/38:2),1008.82074,968.82824,806.7754,788.7648,264.2322,246.2216
HexCer(d17:3/40:0),1040.88294,1000.89044,838.838,820.8274,264.2322,246.2216
HexCer(d17:3/40:1),1038.86794,998.87544,836.8223,818.8118,264.2322,246.2216
HexCer(d17:3/40:2),1036.85194,996.85944,834.8067,816.7961,264.2322,246.2216
HexCer(d17:3/42:0),1068.91494,1028.92244,866.8693,848.8587,264.2322,246.2216
HexCer(d17:3/42:1),1066.89894,1026.90644,864.8536,846.8431,264.2322,246.2216
HexCer(d17:3/42:2),1064.88294,1024.89044,862.838,844.8274,264.2322,246.2216
HexCer(d18:1/12:0),666.49204,626.49954,464.4467,446.4362,282.2791,264.2686
HexCer(d18:1/12:1),664.47644,624.48394,462.4311,444.4205,282.2791,264.2686
HexCer(d18:1/13:0),680.50774,640.51524,478.4624,460.4518,282.2791,264.2686
HexCer(d18:1/13:1),678.49204,638.49954,476.4467,458.4362,282.2791,264.2686
HexCer(d18:1/14:0),694.52334,654.53084,492.478,474.4675,282.2791,264.2686
HexCer(d18:1/14:1),692.50774,652.51524,490.4624,472.4518,282.2791,264.2686
HexCer(d18:1/15:0),708.53904,668.54654,506.4937,488.4831,282.2791,264.2686
HexCer(d18:1/15:1),706.52334,666.53084,504.478,486.4675,282.2791,264.2686
HexCer(d18:1/16:0),722.55474,682.56224,520.5093,502.4988,282.2791,264.2686
HexCer(d18:1/16:1),720.53904,680.54654,518.4937,500.4831,282.2791,264.2686
HexCer(d18:1/16:2),718.52334,678.53084,516.478,498.4675,282.2791,264.2686
HexCer(d18:1/17:0),736.57034,696.57784,534.525,516.5144,282.2791,264.2686
HexCer(d18:1/18:0),750.58604,710.59354,548.5406,530.5301,282.2791,264.2686
HexCer(d18:1/18:1),748.57034,708.57784,546.525,528.5144,282.2791,264.2686
HexCer(d18:1/18:2),746.55474,706.56224,544.5093,526.4988,282.2791,264.2686
HexCer(d18:1/19:0),764.60164,724.60914,562.5563,544.5457,282.2791,264.2686
HexCer(d18:1/19:1),762.58604,722.59354,560.5406,542.5301,282.2791,264.2686
HexCer(d18:1/20:0),778.61724,738.62474,576.572,558.5613,282.2791,264.2686
HexCer(d18:1/20:1),776.60164,736.60914,574.5563,556.5457,282.2791,264.2686
HexCer(d18:1/20:2),774.58604,734.59354,572.5406,554.5301,282.2791,264.2686
HexCer(d18:1/21:0),792.63294,752.64044,590.5876,572.577,282.2791,264.2686
HexCer(d18:1/21:1),790.61724,750.62474,588.572,570.5613,282.2791,264.2686
HexCer(d18:1/22:0),806.64854,766.65604,604.6032,586.5927,282.2791,264.2686
HexCer(d18:1/22:1),804.63294,764.64044,602.5876,584.577,282.2791,264.2686
HexCer(d18:1/22:2),802.61724,762.62474,600.572,582.5613,282.2791,264.2686
HexCer(d18:1/23:0),820.66424,780.67174,618.6189,600.6083,282.2791,264.2686
HexCer(d18:1/23:1),818.64854,778.65604,616.6032,598.5927,282.2791,264.2686
HexCer(d18:1/24:0),834.67984,794.68734,632.6345,614.624,282.2791,264.2686
HexCer(d18:1/24:1),832.66424,792.67174,630.6189,612.6083,282.2791,264.2686
HexCer(d18:1/24:2),830.64854,790.65604,628.6032,610.5927,282.2791,264.2686
HexCer(d18:1/25:0),848.69554,808.70304,646.6502,628.6396,282.2791,264.2686
HexCer(d18:1/25:1),846.67984,806.68734,644.6345,626.624,282.2791,264.2686
HexCer(d18:1/26:0),862.71114,822.71864,660.6658,642.6553,282.2791,264.2686
HexCer(d18:1/26:1),860.69554,820.70304,658.6502,640.6396,282.2791,264.2686
HexCer(d18:1/26:2),858.67984,818.68734,656.6345,638.624,282.2791,264.2686
HexCer(d18:1/27:0),876.72684,836.73434,674.6815,656.6709,282.2791,264.2686
HexCer(d18:1/27:1),874.71114,834.71864,672.6658,654.6553,282.2791,264.2686
HexCer(d18:1/28:0),890.74254,850.75004,688.6971,670.6866,282.2791,264.2686
HexCer(d18:1/28:1),888.72684,848.73434,686.6815,668.6709,282.2791,264.2686
HexCer(d18:1/28:2),886.71114,846.71864,684.6658,666.6553,282.2791,264.2686
HexCer(d18:1/29:0),904.75814,864.76564,702.7128,684.7022,282.2791,264.2686
HexCer(d18:1/29:1),902.74254,862.75004,700.6971,682.6866,282.2791,264.2686
HexCer(d18:1/30:0),918.77384,878.78134,716.7285,698.7179,282.2791,264.2686
HexCer(d18:1/30:1),916.75814,876.76564,714.7128,696.7022,282.2791,264.2686
HexCer(d18:1/30:2),914.74254,874.75004,712.6971,694.6866,282.2791,264.2686
HexCer(d18:1/31:0),932.78944,892.79694,730.7441,712.7335,282.2791,264.2686
HexCer(d18:1/31:1),930.77384,890.78134,728.7285,710.7179,282.2791,264.2686
HexCer(d18:1/32:0),946.80504,906.81254,744.7598,726.7491,282.2791,264.2686
HexCer(d18:1/32:1),944.78944,904.79694,742.7441,724.7335,282.2791,264.2686
HexCer(d18:1/32:2),942.77384,902.78134,740.7285,722.7179,282.2791,264.2686
HexCer(d18:1/33:0),960.82074,920.82824,758.7754,740.7648,282.2791,264.2686
HexCer(d18:1/33:1),958.80504,918.81254,756.7598,738.7491,282.2791,264.2686
HexCer(d18:1/34:0),974.83634,934.84384,772.791,754.7805,282.2791,264.2686
HexCer(d18:1/34:1),972.82074,932.82824,770.7754,752.7648,282.2791,264.2686
HexCer(d18:1/34:2),970.80504,930.81254,768.7598,750.7491,282.2791,264.2686
HexCer(d18:1/35:0),988.85204,948.85954,786.8067,768.7961,282.2791,264.2686
HexCer(d18:1/35:1),986.83634,946.84384,784.791,766.7805,282.2791,264.2686
HexCer(d18:1/36:0),1002.86764,962.87514,800.8223,782.8118,282.2791,264.2686
HexCer(d18:1/36:1),1000.85204,960.85954,798.8067,780.7961,282.2791,264.2686
HexCer(d18:1/36:2),998.83634,958.84384,796.791,778.7805,282.2791,264.2686
HexCer(d18:1/38:0),1030.89894,990.90644,828.8536,810.8431,282.2791,264.2686
HexCer(d18:1/38:1),1028.88294,988.89044,826.838,808.8274,282.2791,264.2686
HexCer(d18:1/38:2),1026.86794,986.87544,824.8223,806.8118,282.2791,264.2686
HexCer(d18:1/40:0),1058.92994,1018.93744,856.8849,838.8744,282.2791,264.2686
HexCer(d18:1/40:1),1056.91494,1016.92244,854.8693,836.8587,282.2791,264.2686
HexCer(d18:1/40:2),1054.89894,1014.90644,852.8536,834.8431,282.2791,264.2686
HexCer(d18:1/42:0),1086.96194,1046.96944,884.9163,866.9056,282.2791,264.2686
HexCer(d18:1/42:1),1084.94594,1044.95344,882.9006,864.89,282.2791,264.2686
HexCer(d18:1/42:2),1082.92994,1042.93744,880.8849,862.8744,282.2791,264.2686
HexCer(d18:2/12:0),664.47644,624.48394,462.4311,444.4205,280.2635,262.2529
HexCer(d18:2/12:1),662.46074,622.46824,460.4154,442.4049,280.2635,262.2529
HexCer(d18:2/13:0),678.49204,638.49954,476.4467,458.4362,280.2635,262.2529
HexCer(d18:2/13:1),676.47644,636.48394,474.4311,456.4205,280.2635,262.2529
HexCer(d18:2/14:0),692.50774,652.51524,490.4624,472.4518,280.2635,262.2529
HexCer(d18:2/14:1),690.49204,650.49954,488.4467,470.4362,280.2635,262.2529
HexCer(d18:2/15:0),706.52334,666.53084,504.478,486.4675,280.2635,262.2529
HexCer(d18:2/15:1),704.50774,664.51524,502.4624,484.4518,280.2635,262.2529
HexCer(d18:2/16:0),720.53904,680.54654,518.4937,500.4831,280.2635,262.2529
HexCer(d18:2/16:1),718.52334,678.53084,516.478,498.4675,280.2635,262.2529
HexCer(d18:2/16:2),716.50774,676.51524,514.4624,496.4518,280.2635,262.2529
HexCer(d18:2/17:0),734.55474,694.56224,532.5093,514.4988,280.2635,262.2529
HexCer(d18:2/18:0),748.57034,708.57784,546.525,528.5144,280.2635,262.2529
HexCer(d18:2/18:1),746.55474,706.56224,544.5093,526.4988,280.2635,262.2529
HexCer(d18:2/18:2),744.53904,704.54654,542.4937,524.4831,280.2635,262.2529
HexCer(d18:2/19:0),762.58604,722.59354,560.5406,542.5301,280.2635,262.2529
HexCer(d18:2/19:1),760.57034,720.57784,558.525,540.5144,280.2635,262.2529
HexCer(d18:2/20:0),776.60164,736.60914,574.5563,556.5457,280.2635,262.2529
HexCer(d18:2/20:1),774.58604,734.59354,572.5406,554.5301,280.2635,262.2529
HexCer(d18:2/20:2),772.57034,732.57784,570.525,552.5144,280.2635,262.2529
HexCer(d18:2/21:0),790.61724,750.62474,588.572,570.5613,280.2635,262.2529
HexCer(d18:2/21:1),788.60164,748.60914,586.5563,568.5457,280.2635,262.2529
HexCer(d18:2/22:0),804.63294,764.64044,602.5876,584.577,280.2635,262.2529
HexCer(d18:2/22:1),802.61724,762.62474,600.572,582.5613,280.2635,262.2529
HexCer(d18:2/22:2),800.60164,760.60914,598.5563,580.5457,280.2635,262.2529
HexCer(d18:2/23:0),818.64854,778.65604,616.6032,598.5927,280.2635,262.2529
HexCer(d18:2/23:1),816.63294,776.64044,614.5876,596.577,280.2635,262.2529
HexCer(d18:2/24:0),832.66424,792.67174,630.6189,612.6083,280.2635,262.2529
HexCer(d18:2/24:1),830.64854,790.65604,628.6032,610.5927,280.2635,262.2529
HexCer(d18:2/24:2),828.63294,788.64044,626.5876,608.577,280.2635,262.2529
HexCer(d18:2/25:0),846.67984,806.68734,644.6345,626.624,280.2635,262.2529
HexCer(d18:2/25:1),844.66424,804.67174,642.6189,624.6083,280.2635,262.2529
