"PC","[M+Na]+","[M+Na-PC]+","[M+Na-N(CH3)3]+","[M+Na-NaPC]+","[M+Na-tail1-N(CH3)3]+","[M+Na-tail2-N(CH3)3]+","[M+Na-tail1]+","[M+Na-tail2]+","[C2H5O4NaP]+"
"PC(35:1) PC(17:1_18:0)",796.58268,613.51664,737.509181,591.5347,469.268951,453.237651,528.34245,512.31115,146.98179
"PC(35:2) PC(17:1_18:1)",794.56708,611.50104,735.493581,589.5191,467.253351,453.237651,526.32685,512.31115,146.98179
"PC(35:3) PC(17:1_18:2)",792.55138,609.48534,733.477881,587.5034,465.237651,453.237651,524.31115,512.31115,146.98179
"PC(35:4) PC(17:1_18:3)",790.53578,607.46974,731.462281,585.4878,463.222051,453.237651,522.29555,512.31115,146.98179
"PC(35:5) PC(17:1_18:4)",788.52008,605.45404,729.446581,583.4721,461.206351,453.237651,520.27985,512.31115,146.98179
"PC(36:1) PC(17:1_19:0)",810.59838,627.53234,751.524881,605.5504,483.284651,453.237651,542.35815,512.31115,146.98179
"PC(37:1) PC(17:1_20:0)",824.61398,641.54794,765.540481,619.566,497.300251,453.237651,556.37375,512.31115,146.98179
"PC(37:2) PC(17:1_20:1)",822.59838,639.53234,763.524881,617.5504,495.284651,453.237651,554.35815,512.31115,146.98179
"PC(37:3) PC(17:1_20:2)",820.58268,637.51664,761.509181,615.5347,493.268951,453.237651,552.34245,512.31115,146.98179
"PC(37:4) PC(17:1_20:3)",818.56708,635.50104,759.493581,613.5191,491.253351,453.237651,550.32685,512.31115,146.98179
"PC(37:5) PC(17:1_20:4)",816.55138,633.48534,757.477881,611.5034,489.237651,453.237651,548.31115,512.31115,146.98179
"PC(37:6) PC(17:1_20:5)",814.53578,631.46974,755.462281,609.4878,487.222051,453.237651,546.29555,512.31115,146.98179
"PC(38:1) PC(17:1_21:0)",838.62968,655.56364,779.556181,633.5817,511.315951,453.237651,570.38945,512.31115,146.98179
"PC(39:1) PC(17:1_22:0)",852.64528,669.57924,793.571781,647.5973,525.331551,453.237651,584.40505,512.31115,146.98179
"PC(39:2) PC(17:1_22:1)",850.62968,667.56364,791.556181,645.5817,523.315951,453.237651,582.38945,512.31115,146.98179
"PC(39:3) PC(17:1_22:2)",848.61398,665.54794,789.540481,643.566,521.300251,453.237651,580.37375,512.31115,146.98179
"PC(39:4) PC(17:1_22:3)",846.59838,663.53234,787.524881,641.5504,519.284651,453.237651,578.35815,512.31115,146.98179
"PC(39:5) PC(17:1_22:4)",844.58268,661.51664,785.509181,639.5347,517.268951,453.237651,576.34245,512.31115,146.98179
"PC(39:6) PC(17:1_22:5)",842.56708,659.50104,783.493581,637.5191,515.253351,453.237651,574.32685,512.31115,146.98179
"PC(39:7) PC(17:1_22:6)",840.55138,657.48534,781.477881,635.5034,513.237651,453.237651,572.31115,512.31115,146.98179
"PC(40:1) PC(17:1_23:0)",866.66098,683.59494,807.587481,661.613,539.347251,453.237651,598.42075,512.31115,146.98179
"PC(41:1) PC(17:1_24:0)",880.67658,697.61054,821.603081,675.6286,553.362851,453.237651,612.43635,512.31115,146.98179
"PC(41:2) PC(17:1_24:1)",878.66098,695.59494,819.587481,673.613,551.347251,453.237651,610.42075,512.31115,146.98179
"PC(42:1) PC(17:1_25:0)",894.69228,711.62624,835.618781,689.6443,567.378551,453.237651,626.45205,512.31115,146.98179
"PC(43:1) PC(17:1_26:0)",908.70788,725.64184,849.634381,703.6599,581.394151,453.237651,640.46765,512.31115,146.98179
"PC(34:4) PC(17:2_17:2)",776.52018,593.45414,717.446681,571.4722,451.222051,451.222051,510.29555,510.29555,146.98179
"PC(35:2) PC(17:2_18:0)",794.56708,611.50104,735.493581,589.5191,469.268951,451.222051,528.34245,510.29555,146.98179
"PC(35:3) PC(17:2_18:1)",792.55148,609.48544,733.477981,587.5035,467.253351,451.222051,526.32685,510.29555,146.98179
"PC(35:4) PC(17:2_18:2)",790.53578,607.46974,731.462281,585.4878,465.237651,451.222051,524.31115,510.29555,146.98179
"PC(35:5) PC(17:2_18:3)",788.52018,605.45414,729.446681,583.4722,463.222051,451.222051,522.29555,510.29555,146.98179
"PC(35:6) PC(17:2_18:4)",786.50448,603.43844,727.430981,581.4565,461.206351,451.222051,520.27985,510.29555,146.98179
"PC(36:2) PC(17:2_19:0)",808.58278,625.51674,749.509281,603.5348,483.284651,451.222051,542.35815,510.29555,146.98179
"PC(37:2) PC(17:2_20:0)",822.59838,639.53234,763.524881,617.5504,497.300251,451.222051,556.37375,510.29555,146.98179
"PC(37:3) PC(17:2_20:1)",820.58278,637.51674,761.509281,615.5348,495.284651,451.222051,554.35815,510.29555,146.98179
"PC(37:4) PC(17:2_20:2)",818.56708,635.50104,759.493581,613.5191,493.268951,451.222051,552.34245,510.29555,146.98179
"PC(37:5) PC(17:2_20:3)",816.55148,633.48544,757.477981,611.5035,491.253351,451.222051,550.32685,510.29555,146.98179
"PC(37:6) PC(17:2_20:4)",814.53578,631.46974,755.462281,609.4878,489.237651,451.222051,548.31115,510.29555,146.98179
"PC(37:7) PC(17:2_20:5)",812.52018,629.45414,753.446681,607.4722,487.222051,451.222051,546.29555,510.29555,146.98179
"PC(38:2) PC(17:2_21:0)",836.61408,653.54804,777.540581,631.5661,511.315951,451.222051,570.38945,510.29555,146.98179
"PC(39:2) PC(17:2_22:0)",850.62968,667.56364,791.556181,645.5817,525.331551,451.222051,584.40505,510.29555,146.98179
"PC(39:3) PC(17:2_22:1)",848.61408,665.54804,789.540581,643.5661,523.315951,451.222051,582.38945,510.29555,146.98179
"PC(39:4) PC(17:2_22:2)",846.59838,663.53234,787.524881,641.5504,521.300251,451.222051,580.37375,510.29555,146.98179
"PC(39:5) PC(17:2_22:3)",844.58278,661.51674,785.509281,639.5348,519.284651,451.222051,578.35815,510.29555,146.98179
"PC(39:6) PC(17:2_22:4)",842.56708,659.50104,783.493581,637.5191,517.268951,451.222051,576.34245,510.29555,146.98179
"PC(39:7) PC(17:2_22:5)",840.55148,657.48544,781.477981,635.5035,515.253351,451.222051,574.32685,510.29555,146.98179
"PC(39:8) PC(17:2_22:6)",838.53578,655.46974,779.462281,633.4878,513.237651,451.222051,572.31115,510.29555,146.98179
"PC(40:2) PC(17:2_23:0)",864.64538,681.57934,805.571881,659.5974,539.347251,451.222051,598.42075,510.29555,146.98179
"PC(41:2) PC(17:2_24:0)",878.66098,695.59494,819.587481,673.613,553.362851,451.222051,612.43635,510.29555,146.98179
"PC(41:3) PC(17:2_24:1)",876.64538,693.57934,817.571881,671.5974,551.347251,451.222051,610.42075,510.29555,146.98179
"PC(42:2) PC(17:2_25:0)",892.67668,709.61064,833.603181,687.6287,567.378551,451.222051,626.45205,510.29555,146.98179
"PC(43:2) PC(17:2_26:0)",906.69228,723.62624,847.618781,701.6443,581.394151,451.222051,640.46765,510.29555,146.98179
"PC(36:0) PC(18:0_18:0)",812.61398,629.54794,753.540481,607.566,469.268951,469.268951,528.34245,528.34245,146.98179
"PC(36:1) PC(18:0_18:1)",810.59838,627.53234,751.524881,605.5504,467.253351,469.268951,526.32685,528.34245,146.98179
"PC(36:2) PC(18:0_18:2)",808.58268,625.51664,749.509181,603.5347,465.237651,469.268951,524.31115,528.34245,146.98179
"PC(36:3) PC(18:0_18:3)",806.56708,623.50104,747.493581,601.5191,463.222051,469.268951,522.29555,528.34245,146.98179
"PC(36:4) PC(18:0_18:4)",804.55138,621.48534,745.477881,599.5034,461.206351,469.268951,520.27985,528.34245,146.98179
"PC(37:0) PC(18:0_19:0)",826.62968,643.56364,767.556181,621.5817,483.284651,469.268951,542.35815,528.34245,146.98179
"PC(38:0) PC(18:0_20:0)",840.64528,657.57924,781.571781,635.5973,497.300251,469.268951,556.37375,528.34245,146.98179
"PC(38:1) PC(18:0_20:1)",838.62968,655.56364,779.556181,633.5817,495.284651,469.268951,554.35815,528.34245,146.98179
"PC(38:2) PC(18:0_20:2)",836.61398,653.54794,777.540481,631.566,493.268951,469.268951,552.34245,528.34245,146.98179
"PC(38:3) PC(18:0_20:3)",834.59838,651.53234,775.524881,629.5504,491.253351,469.268951,550.32685,528.34245,146.98179
"PC(38:4) PC(18:0_20:4)",832.58268,649.51664,773.509181,627.5347,489.237651,469.268951,548.31115,528.34245,146.98179
"PC(38:5) PC(18:0_20:5)",830.56708,647.50104,771.493581,625.5191,487.222051,469.268951,546.29555,528.34245,146.98179
"PC(39:0) PC(18:0_21:0)",854.66098,671.59494,795.587481,649.613,511.315951,469.268951,570.38945,528.34245,146.98179
"PC(40:0) PC(18:0_22:0)",868.67658,685.61054,809.603081,663.6286,525.331551,469.268951,584.40505,528.34245,146.98179
"PC(40:1) PC(18:0_22:1)",866.66098,683.59494,807.587481,661.613,523.315951,469.268951,582.38945,528.34245,146.98179
"PC(40:2) PC(18:0_22:2)",864.64528,681.57924,805.571781,659.5973,521.300251,469.268951,580.37375,528.34245,146.98179
"PC(40:3) PC(18:0_22:3)",862.62968,679.56364,803.556181,657.5817,519.284651,469.268951,578.35815,528.34245,146.98179
"PC(40:4) PC(18:0_22:4)",860.61398,677.54794,801.540481,655.566,517.268951,469.268951,576.34245,528.34245,146.98179
"PC(40:5) PC(18:0_22:5)",858.59838,675.53234,799.524881,653.5504,515.253351,469.268951,574.32685,528.34245,146.98179
"PC(40:6) PC(18:0_22:6)",856.58268,673.51664,797.509181,651.5347,513.237651,469.268951,572.31115,528.34245,146.98179
"PC(41:0) PC(18:0_23:0)",882.69228,699.62624,823.618781,677.6443,539.347251,469.268951,598.42075,528.34245,146.98179
"PC(42:0) PC(18:0_24:0)",896.70788,713.64184,837.634381,691.6599,553.362851,469.268951,612.43635,528.34245,146.98179
"PC(42:1) PC(18:0_24:1)",894.69228,711.62624,835.618781,689.6443,551.347251,469.268951,610.42075,528.34245,146.98179
"PC(43:0) PC(18:0_25:0)",910.72358,727.65754,851.650081,705.6756,567.378551,469.268951,626.45205,528.34245,146.98179
"PC(44:0) PC(18:0_26:0)",924.73918,741.67314,865.665681,719.6912,581.394151,469.268951,640.46765,528.34245,146.98179
"PC(36:2) PC(18:1_18:1)",808.58278,625.51674,749.509281,603.5348,467.253351,467.253351,526.32685,526.32685,146.98179
"PC(36:3) PC(18:1_18:2)",806.56708,623.50104,747.493581,601.5191,465.237651,467.253351,524.31115,526.32685,146.98179
"PC(36:4) PC(18:1_18:3)",804.55148,621.48544,745.477981,599.5035,463.222051,467.253351,522.29555,526.32685,146.98179
"PC(36:5) PC(18:1_18:4)",802.53578,619.46974,743.462281,597.4878,461.206351,467.253351,520.27985,526.32685,146.98179
"PC(37:1) PC(18:1_19:0)",824.61408,641.54804,765.540581,619.5661,483.284651,467.253351,542.35815,526.32685,146.98179
"PC(38:1) PC(18:1_20:0)",838.62968,655.56364,779.556181,633.5817,497.300251,467.253351,556.37375,526.32685,146.98179
"PC(38:2) PC(18:1_20:1)",836.61408,653.54804,777.540581,631.5661,495.284651,467.253351,554.35815,526.32685,146.98179
"PC(38:3) PC(18:1_20:2)",834.59838,651.53234,775.524881,629.5504,493.268951,467.253351,552.34245,526.32685,146.98179
"PC(38:4) PC(18:1_20:3)",832.58278,649.51674,773.509281,627.5348,491.253351,467.253351,550.32685,526.32685,146.98179
"PC(38:5) PC(18:1_20:4)",830.56708,647.50104,771.493581,625.5191,489.237651,467.253351,548.31115,526.32685,146.98179
"PC(38:6) PC(18:1_20:5)",828.55148,645.48544,769.477981,623.5035,487.222051,467.253351,546.29555,526.32685,146.98179
"PC(39:1) PC(18:1_21:0)",852.64538,669.57934,793.571881,647.5974,511.315951,467.253351,570.38945,526.32685,146.98179
"PC(40:1) PC(18:1_22:0)",866.66098,683.59494,807.587481,661.613,525.331551,467.253351,584.40505,526.32685,146.98179
"PC(40:2) PC(18:1_22:1)",864.64538,681.57934,805.571881,659.5974,523.315951,467.253351,582.38945,526.32685,146.98179
"PC(40:3) PC(18:1_22:2)",862.62968,679.56364,803.556181,657.5817,521.300251,467.253351,580.37375,526.32685,146.98179
"PC(40:4) PC(18:1_22:3)",860.61408,677.54804,801.540581,655.5661,519.284651,467.253351,578.35815,526.32685,146.98179
"PC(40:5) PC(18:1_22:4)",858.59838,675.53234,799.524881,653.5504,517.268951,467.253351,576.34245,526.32685,146.98179
"PC(40:6) PC(18:1_22:5)",856.58278,673.51674,797.509281,651.5348,515.253351,467.253351,574.32685,526.32685,146.98179
"PC(40:7) PC(18:1_22:6)",854.56708,671.50104,795.493581,649.5191,513.237651,467.253351,572.31115,526.32685,146.98179
"PC(41:1) PC(18:1_23:0)",880.67668,697.61064,821.603181,675.6287,539.347251,467.253351,598.42075,526.32685,146.98179
"PC(42:1) PC(18:1_24:0)",894.69228,711.62624,835.618781,689.6443,553.362851,467.253351,612.43635,526.32685,146.98179
"PC(42:2) PC(18:1_24:1)",892.67668,709.61064,833.603181,687.6287,551.347251,467.253351,610.42075,526.32685,146.98179
"PC(43:1) PC(18:1_25:0)",908.70798,725.64194,849.634481,703.66,567.378551,467.253351,626.45205,526.32685,146.98179
"PC(44:1) PC(18:1_26:0)",922.72358,739.65754,863.650081,717.6756,581.394151,467.253351,640.46765,526.32685,146.98179
"PC(36:4) PC(18:2_18:2)",804.55138,621.48534,745.477881,599.5034,465.237651,465.237651,524.31115,524.31115,146.98179
"PC(36:5) PC(18:2_18:3)",802.53578,619.46974,743.462281,597.4878,463.222051,465.237651,522.29555,524.31115,146.98179
"PC(36:6) PC(18:2_18:4)",800.52008,617.45404,741.446581,595.4721,461.206351,465.237651,520.27985,524.31115,146.98179
"PC(37:2) PC(18:2_19:0)",822.59838,639.53234,763.524881,617.5504,483.284651,465.237651,542.35815,524.31115,146.98179
"PC(38:2) PC(18:2_20:0)",836.61398,653.54794,777.540481,631.566,497.300251,465.237651,556.37375,524.31115,146.98179
"PC(38:3) PC(18:2_20:1)",834.59838,651.53234,775.524881,629.5504,495.284651,465.237651,554.35815,524.31115,146.98179
"PC(38:4) PC(18:2_20:2)",832.58268,649.51664,773.509181,627.5347,493.268951,465.237651,552.34245,524.31115,146.98179
"PC(38:5) PC(18:2_20:3)",830.56708,647.50104,771.493581,625.5191,491.253351,465.237651,550.32685,524.31115,146.98179
"PC(38:6) PC(18:2_20:4)",828.55138,645.48534,769.477881,623.5034,489.237651,465.237651,548.31115,524.31115,146.98179
"PC(38:7) PC(18:2_20:5)",826.53578,643.46974,767.462281,621.4878,487.222051,465.237651,546.29555,524.31115,146.98179
"PC(39:2) PC(18:2_21:0)",850.62968,667.56364,791.556181,645.5817,511.315951,465.237651,570.38945,524.31115,146.98179
"PC(40:2) PC(18:2_22:0)",864.64528,681.57924,805.571781,659.5973,525.331551,465.237651,584.40505,524.31115,146.98179
"PC(40:3) PC(18:2_22:1)",862.62968,679.56364,803.556181,657.5817,523.315951,465.237651,582.38945,524.31115,146.98179
"PC(40:4) PC(18:2_22:2)",860.61398,677.54794,801.540481,655.566,521.300251,465.237651,580.37375,524.31115,146.98179
"PC(40:5) PC(18:2_22:3)",858.59838,675.53234,799.524881,653.5504,519.284651,465.237651,578.35815,524.31115,146.98179
"PC(40:6) PC(18:2_22:4)",856.58268,673.51664,797.509181,651.5347,517.268951,465.237651,576.34245,524.31115,146.98179
"PC(40:7) PC(18:2_22:5)",854.56708,671.50104,795.493581,649.5191,515.253351,465.237651,574.32685,524.31115,146.98179
"PC(40:8) PC(18:2_22:6)",852.55138,669.48534,793.477881,647.5034,513.237651,465.237651,572.31115,524.31115,146.98179
"PC(41:2) PC(18:2_23:0)",878.66098,695.59494,819.587481,673.613,539.347251,465.237651,598.42075,524.31115,146.98179
"PC(42:2) PC(18:2_24:0)",892.67658,709.61054,833.603081,687.6286,553.362851,465.237651,612.43635,524.31115,146.98179
"PC(42:3) PC(18:2_24:1)",890.66098,707.59494,831.587481,685.613,551.347251,465.237651,610.42075,524.31115,146.98179
"PC(43:2) PC(18:2_25:0)",906.69228,723.62624,847.618781,701.6443,567.378551,465.237651,626.45205,524.31115,146.98179
"PC(44:2) PC(18:2_26:0)",920.70788,737.64184,861.634381,715.6599,581.394151,465.237651,640.46765,524.31115,146.98179
"PC(36:6) PC(18:3_18:3)",800.52018,617.45414,741.446681,595.4722,463.222051,463.222051,522.29555,522.29555,146.98179
"PC(36:7) PC(18:3_18:4)",798.50448,615.43844,739.430981,593.4565,461.206351,463.222051,520.27985,522.29555,146.98179
"PC(37:3) PC(18:3_19:0)",820.58278,637.51674,761.509281,615.5348,483.284651,463.222051,542.35815,522.29555,146.98179
"PC(38:3) PC(18:3_20:0)",834.59838,651.53234,775.524881,629.5504,497.300251,463.222051,556.37375,522.29555,146.98179
"PC(38:4) PC(18:3_20:1)",832.58278,649.51674,773.509281,627.5348,495.284651,463.222051,554.35815,522.29555,146.98179
"PC(38:5) PC(18:3_20:2)",830.56708,647.50104,771.493581,625.5191,493.268951,463.222051,552.34245,522.29555,146.98179
"PC(38:6) PC(18:3_20:3)",828.55148,645.48544,769.477981,623.5035,491.253351,463.222051,550.32685,522.29555,146.98179
"PC(38:7) PC(18:3_20:4)",826.53578,643.46974,767.462281,621.4878,489.237651,463.222051,548.31115,522.29555,146.98179
"PC(38:8) PC(18:3_20:5)",824.52018,641.45414,765.446681,619.4722,487.222051,463.222051,546.29555,522.29555,146.98179
"PC(39:3) PC(18:3_21:0)",848.61408,665.54804,789.540581,643.5661,511.315951,463.222051,570.38945,522.29555,146.98179
"PC(40:3) PC(18:3_22:0)",862.62968,679.56364,803.556181,657.5817,525.331551,463.222051,584.40505,522.29555,146.98179
"PC(40:4) PC(18:3_22:1)",860.61408,677.54804,801.540581,655.5661,523.315951,463.222051,582.38945,522.29555,146.98179
"PC(40:5) PC(18:3_22:2)",858.59838,675.53234,799.524881,653.5504,521.300251,463.222051,580.37375,522.29555,146.98179
"PC(40:6) PC(18:3_22:3)",856.58278,673.51674,797.509281,651.5348,519.284651,463.222051,578.35815,522.29555,146.98179
"PC(40:7) PC(18:3_22:4)",854.56708,671.50104,795.493581,649.5191,517.268951,463.222051,576.34245,522.29555,146.98179
"PC(40:8) PC(18:3_22:5)",852.55148,669.48544,793.477981,647.5035,515.253351,463.222051,574.32685,522.29555,146.98179
"PC(40:9) PC(18:3_22:6)",850.53578,667.46974,791.462281,645.4878,513.237651,463.222051,572.31115,522.29555,146.98179
"PC(41:3) PC(18:3_23:0)",876.64538,693.57934,817.571881,671.5974,539.347251,463.222051,598.42075,522.29555,146.98179
"PC(42:3) PC(18:3_24:0)",890.66098,707.59494,831.587481,685.613,553.362851,463.222051,612.43635,522.29555,146.98179
"PC(42:4) PC(18:3_24:1)",888.64538,705.57934,829.571881,683.5974,551.347251,463.222051,610.42075,522.29555,146.98179
"PC(43:3) PC(18:3_25:0)",904.67668,721.61064,845.603181,699.6287,567.378551,463.222051,626.45205,522.29555,146.98179
"PC(44:3) PC(18:3_26:0)",918.69228,735.62624,859.618781,713.6443,581.394151,463.222051,640.46765,522.29555,146.98179
"PC(36:8) PC(18:4_18:4)",796.48878,613.42274,737.415281,591.4408,461.206351,461.206351,520.27985,520.27985,146.98179
"PC(37:4) PC(18:4_19:0)",818.56708,635.50104,759.493581,613.5191,483.284651,461.206351,542.35815,520.27985,146.98179
"PC(38:4) PC(18:4_20:0)",832.58268,649.51664,773.509181,627.5347,497.300251,461.206351,556.37375,520.27985,146.98179
"PC(38:5) PC(18:4_20:1)",830.56708,647.50104,771.493581,625.5191,495.284651,461.206351,554.35815,520.27985,146.98179
"PC(38:6) PC(18:4_20:2)",828.55138,645.48534,769.477881,623.5034,493.268951,461.206351,552.34245,520.27985,146.98179
"PC(38:7) PC(18:4_20:3)",826.53578,643.46974,767.462281,621.4878,491.253351,461.206351,550.32685,520.27985,146.98179
"PC(38:8) PC(18:4_20:4)",824.52008,641.45404,765.446581,619.4721,489.237651,461.206351,548.31115,520.27985,146.98179
"PC(38:9) PC(18:4_20:5)",822.50448,639.43844,763.430981,617.4565,487.222051,461.206351,546.29555,520.27985,146.98179
"PC(39:4) PC(18:4_21:0)",846.59838,663.53234,787.524881,641.5504,511.315951,461.206351,570.38945,520.27985,146.98179
"PC(40:4) PC(18:4_22:0)",860.61398,677.54794,801.540481,655.566,525.331551,461.206351,584.40505,520.27985,146.98179
"PC(40:5) PC(18:4_22:1)",858.59838,675.53234,799.524881,653.5504,523.315951,461.206351,582.38945,520.27985,146.98179
"PC(40:6) PC(18:4_22:2)",856.58268,673.51664,797.509181,651.5347,521.300251,461.206351,580.37375,520.27985,146.98179
"PC(40:7) PC(18:4_22:3)",854.56708,671.50104,795.493581,649.5191,519.284651,461.206351,578.35815,520.27985,146.98179
"PC(40:8) PC(18:4_22:4)",852.55138,669.48534,793.477881,647.5034,517.268951,461.206351,576.34245,520.27985,146.98179
"PC(40:9) PC(18:4_22:5)",850.53578,667.46974,791.462281,645.4878,515.253351,461.206351,574.32685,520.27985,146.98179
"PC(40:10) PC(18:4_22:6)",848.52008,665.45404,789.446581,643.4721,513.237651,461.206351,572.31115,520.27985,146.98179
"PC(41:4) PC(18:4_23:0)",874.62968,691.56364,815.556181,669.5817,539.347251,461.206351,598.42075,520.27985,146.98179
"PC(42:4) PC(18:4_24:0)",888.64528,705.57924,829.571781,683.5973,553.362851,461.206351,612.43635,520.27985,146.98179
"PC(42:5) PC(18:4_24:1)",886.62968,703.56364,827.556181,681.5817,551.347251,461.206351,610.42075,520.27985,146.98179
"PC(43:4) PC(18:4_25:0)",902.66098,719.59494,843.587481,697.613,567.378551,461.206351,626.45205,520.27985,146.98179
"PC(44:4) PC(18:4_26:0)",916.67658,733.61054,857.603081,711.6286,581.394151,461.206351,640.46765,520.27985,146.98179
"PC(38:0) PC(19:0_19:0)",840.64538,657.57934,781.571881,635.5974,483.284651,483.284651,542.35815,542.35815,146.98179
"PC(39:0) PC(19:0_20:0)",854.66098,671.59494,795.587481,649.613,497.300251,483.284651,556.37375,542.35815,146.98179
"PC(39:1) PC(19:0_20:1)",852.64538,669.57934,793.571881,647.5974,495.284651,483.284651,554.35815,542.35815,146.98179
"PC(39:2) PC(19:0_20:2)",850.62968,667.56364,791.556181,645.5817,493.268951,483.284651,552.34245,542.35815,146.98179
"PC(39:3) PC(19:0_20:3)",848.61408,665.54804,789.540581,643.5661,491.253351,483.284651,550.32685,542.35815,146.98179
"PC(39:4) PC(19:0_20:4)",846.59838,663.53234,787.524881,641.5504,489.237651,483.284651,548.31115,542.35815,146.98179
"PC(39:5) PC(19:0_20:5)",844.58278,661.51674,785.509281,639.5348,487.222051,483.284651,546.29555,542.35815,146.98179
"PC(40:0) PC(19:0_21:0)",868.67668,685.61064,809.603181,663.6287,511.315951,483.284651,570.38945,542.35815,146.98179
"PC(41:0) PC(19:0_22:0)",882.69228,699.62624,823.618781,677.6443,525.331551,483.284651,584.40505,542.35815,146.98179
"PC(41:1) PC(19:0_22:1)",880.67668,697.61064,821.603181,675.6287,523.315951,483.284651,582.38945,542.35815,146.98179
"PC(41:2) PC(19:0_22:2)",878.66098,695.59494,819.587481,673.613,521.300251,483.284651,580.37375,542.35815,146.98179
"PC(41:3) PC(19:0_22:3)",876.64538,693.57934,817.571881,671.5974,519.284651,483.284651,578.35815,542.35815,146.98179
"PC(41:4) PC(19:0_22:4)",874.62968,691.56364,815.556181,669.5817,517.268951,483.284651,576.34245,542.35815,146.98179
"PC(41:5) PC(19:0_22:5)",872.61408,689.54804,813.540581,667.5661,515.253351,483.284651,574.32685,542.35815,146.98179
"PC(41:6) PC(19:0_22:6)",870.59838,687.53234,811.524881,665.5504,513.237651,483.284651,572.31115,542.35815,146.98179
"PC(42:0) PC(19:0_23:0)",896.70798,713.64194,837.634481,691.66,539.347251,483.284651,598.42075,542.35815,146.98179
"PC(43:0) PC(19:0_24:0)",910.72358,727.65754,851.650081,705.6756,553.362851,483.284651,612.43635,542.35815,146.98179
"PC(43:1) PC(19:0_24:1)",908.70798,725.64194,849.634481,703.66,551.347251,483.284651,610.42075,542.35815,146.98179
"PC(44:0) PC(19:0_25:0)",924.73928,741.67324,865.665781,719.6913,567.378551,483.284651,626.45205,542.35815,146.98179
"PC(45:0) PC(19:0_26:0)",938.75488,755.68884,879.681381,733.7069,581.394151,483.284651,640.46765,542.35815,146.98179
"PC(40:0) PC(20:0_20:0)",868.67658,685.61054,809.603081,663.6286,497.300251,497.300251,556.37375,556.37375,146.98179
"PC(40:1) PC(20:0_20:1)",866.66098,683.59494,807.587481,661.613,495.284651,497.300251,554.35815,556.37375,146.98179
"PC(40:2) PC(20:0_20:2)",864.64528,681.57924,805.571781,659.5973,493.268951,497.300251,552.34245,556.37375,146.98179
"PC(40:3) PC(20:0_20:3)",862.62968,679.56364,803.556181,657.5817,491.253351,497.300251,550.32685,556.37375,146.98179
"PC(40:4) PC(20:0_20:4)",860.61398,677.54794,801.540481,655.566,489.237651,497.300251,548.31115,556.37375,146.98179
"PC(40:5) PC(20:0_20:5)",858.59838,675.53234,799.524881,653.5504,487.222051,497.300251,546.29555,556.37375,146.98179
"PC(41:0) PC(20:0_21:0)",882.69228,699.62624,823.618781,677.6443,511.315951,497.300251,570.38945,556.37375,146.98179
"PC(42:0) PC(20:0_22:0)",896.70788,713.64184,837.634381,691.6599,525.331551,497.300251,584.40505,556.37375,146.98179
"PC(42:1) PC(20:0_22:1)",894.69228,711.62624,835.618781,689.6443,523.315951,497.300251,582.38945,556.37375,146.98179
"PC(42:2) PC(20:0_22:2)",892.67658,709.61054,833.603081,687.6286,521.300251,497.300251,580.37375,556.37375,146.98179
"PC(42:3) PC(20:0_22:3)",890.66098,707.59494,831.587481,685.613,519.284651,497.300251,578.35815,556.37375,146.98179
"PC(42:4) PC(20:0_22:4)",888.64528,705.57924,829.571781,683.5973,517.268951,497.300251,576.34245,556.37375,146.98179
"PC(42:5) PC(20:0_22:5)",886.62968,703.56364,827.556181,681.5817,515.253351,497.300251,574.32685,556.37375,146.98179
"PC(42:6) PC(20:0_22:6)",884.61398,701.54794,825.540481,679.566,513.237651,497.300251,572.31115,556.37375,146.98179
"PC(43:0) PC(20:0_23:0)",910.72358,727.65754,851.650081,705.6756,539.347251,497.300251,598.42075,556.37375,146.98179
"PC(44:0) PC(20:0_24:0)",924.73918,741.67314,865.665681,719.6912,553.362851,497.300251,612.43635,556.37375,146.98179
"PC(44:1) PC(20:0_24:1)",922.72358,739.65754,863.650081,717.6756,551.347251,497.300251,610.42075,556.37375,146.98179
"PC(45:0) PC(20:0_25:0)",938.75488,755.68884,879.681381,733.7069,567.378551,497.300251,626.45205,556.37375,146.98179
"PC(46:0) PC(20:0_26:0)",952.77048,769.70444,893.696981,747.7225,581.394151,497.300251,640.46765,556.37375,146.98179
"PC(40:2) PC(20:1_20:1)",864.64538,681.57934,805.571881,659.5974,495.284651,495.284651,554.35815,554.35815,146.98179
"PC(40:3) PC(20:1_20:2)",862.62968,679.56364,803.556181,657.5817,493.268951,495.284651,552.34245,554.35815,146.98179
"PC(40:4) PC(20:1_20:3)",860.61408,677.54804,801.540581,655.5661,491.253351,495.284651,550.32685,554.35815,146.98179
"PC(40:5) PC(20:1_20:4)",858.59838,675.53234,799.524881,653.5504,489.237651,495.284651,548.31115,554.35815,146.98179
"PC(40:6) PC(20:1_20:5)",856.58278,673.51674,797.509281,651.5348,487.222051,495.284651,546.29555,554.35815,146.98179
"PC(41:1) PC(20:1_21:0)",880.67668,697.61064,821.603181,675.6287,511.315951,495.284651,570.38945,554.35815,146.98179
"PC(42:1) PC(20:1_22:0)",894.69228,711.62624,835.618781,689.6443,525.331551,495.284651,584.40505,554.35815,146.98179
"PC(42:2) PC(20:1_22:1)",892.67668,709.61064,833.603181,687.6287,523.315951,495.284651,582.38945,554.35815,146.98179
