"PA","[M+H]+","[M+H-96]+","[M+H-96-acyl-sn1]+","[M+H-96-acyl-sn2]+","[acyl-sn1-RCO]+","[acyl-sn2-RCO]+"
"PA(41:1) PA(15:1_26:0)",773.6055,675.62859,453.43024,297.24244,223.20565,379.39345
"PA(32:0) PA(16:0_16:0)",649.4803,551.50339,313.27374,313.27374,239.23695,239.23695
"PA(32:1) PA(16:0_16:1)",647.4647,549.48779,311.25814,313.27374,239.23695,237.22135
"PA(33:0) PA(16:0_17:0)",663.496,565.51909,327.28944,313.27374,239.23695,253.25265
"PA(33:1) PA(16:0_17:1)",661.4803,563.50339,325.27374,313.27374,239.23695,251.23695
"PA(33:2) PA(16:0_17:2)",659.4647,561.48779,323.25814,313.27374,239.23695,249.22135
"PA(34:0) PA(16:0_18:0)",677.5116,579.53469,341.30504,313.27374,239.23695,267.26825
"PA(34:1) PA(16:0_18:1)",675.496,577.51909,339.28944,313.27374,239.23695,265.25265
"PA(34:2) PA(16:0_18:2)",673.4803,575.50339,337.27374,313.27374,239.23695,263.23695
"PA(34:3) PA(16:0_18:3)",671.4647,573.48779,335.25814,313.27374,239.23695,261.22135
"PA(34:4) PA(16:0_18:4)",669.449,571.47209,333.24244,313.27374,239.23695,259.20565
"PA(35:0) PA(16:0_19:0)",691.5273,593.55039,355.32074,313.27374,239.23695,281.28395
"PA(36:0) PA(16:0_20:0)",705.5429,607.56599,369.33634,313.27374,239.23695,295.29955
"PA(36:1) PA(16:0_20:1)",703.5273,605.55039,367.32074,313.27374,239.23695,293.28395
"PA(36:2) PA(16:0_20:2)",701.5116,603.53469,365.30504,313.27374,239.23695,291.26825
"PA(36:3) PA(16:0_20:3)",699.496,601.51909,363.28944,313.27374,239.23695,289.25265
"PA(36:4) PA(16:0_20:4)",697.4803,599.50339,361.27374,313.27374,239.23695,287.23695
"PA(36:5) PA(16:0_20:5)",695.4647,597.48779,359.25814,313.27374,239.23695,285.22135
"PA(37:0) PA(16:0_21:0)",719.5586,621.58169,383.35204,313.27374,239.23695,309.31525
"PA(38:0) PA(16:0_22:0)",733.5742,635.59729,397.36764,313.27374,239.23695,323.33085
"PA(38:1) PA(16:0_22:1)",731.5586,633.58169,395.35204,313.27374,239.23695,321.31525
"PA(38:2) PA(16:0_22:2)",729.5429,631.56599,393.33634,313.27374,239.23695,319.29955
"PA(38:3) PA(16:0_22:3)",727.5273,629.55039,391.32074,313.27374,239.23695,317.28395
"PA(38:4) PA(16:0_22:4)",725.5116,627.53469,389.30504,313.27374,239.23695,315.26825
"PA(38:5) PA(16:0_22:5)",723.496,625.51909,387.28944,313.27374,239.23695,313.25265
"PA(38:6) PA(16:0_22:6)",721.4803,623.50339,385.27374,313.27374,239.23695,311.23695
"PA(39:0) PA(16:0_23:0)",747.5899,649.61299,411.38334,313.27374,239.23695,337.34655
"PA(40:0) PA(16:0_24:0)",761.6055,663.62859,425.39894,313.27374,239.23695,351.36215
"PA(40:1) PA(16:0_24:1)",759.5899,661.61299,423.38334,313.27374,239.23695,349.34655
"PA(41:0) PA(16:0_25:0)",775.6212,677.64429,439.41464,313.27374,239.23695,365.37785
"PA(42:0) PA(16:0_26:0)",789.6368,691.65989,453.43024,313.27374,239.23695,379.39345
"PA(32:2) PA(16:1_16:1)",645.4491,547.47219,311.25814,311.25814,237.22135,237.22135
"PA(33:1) PA(16:1_17:0)",661.4804,563.50349,327.28944,311.25814,237.22135,253.25265
"PA(33:2) PA(16:1_17:1)",659.4647,561.48779,325.27374,311.25814,237.22135,251.23695
"PA(33:3) PA(16:1_17:2)",657.4491,559.47219,323.25814,311.25814,237.22135,249.22135
"PA(34:1) PA(16:1_18:0)",675.496,577.51909,341.30504,311.25814,237.22135,267.26825
"PA(34:2) PA(16:1_18:1)",673.4804,575.50349,339.28944,311.25814,237.22135,265.25265
"PA(34:3) PA(16:1_18:2)",671.4647,573.48779,337.27374,311.25814,237.22135,263.23695
"PA(34:4) PA(16:1_18:3)",669.4491,571.47219,335.25814,311.25814,237.22135,261.22135
"PA(34:5) PA(16:1_18:4)",667.4334,569.45649,333.24244,311.25814,237.22135,259.20565
"PA(35:1) PA(16:1_19:0)",689.5117,591.53479,355.32074,311.25814,237.22135,281.28395
"PA(36:1) PA(16:1_20:0)",703.5273,605.55039,369.33634,311.25814,237.22135,295.29955
"PA(36:2) PA(16:1_20:1)",701.5117,603.53479,367.32074,311.25814,237.22135,293.28395
"PA(36:3) PA(16:1_20:2)",699.496,601.51909,365.30504,311.25814,237.22135,291.26825
"PA(36:4) PA(16:1_20:3)",697.4804,599.50349,363.28944,311.25814,237.22135,289.25265
"PA(36:5) PA(16:1_20:4)",695.4647,597.48779,361.27374,311.25814,237.22135,287.23695
"PA(36:6) PA(16:1_20:5)",693.4491,595.47219,359.25814,311.25814,237.22135,285.22135
"PA(37:1) PA(16:1_21:0)",717.543,619.56609,383.35204,311.25814,237.22135,309.31525
"PA(38:1) PA(16:1_22:0)",731.5586,633.58169,397.36764,311.25814,237.22135,323.33085
"PA(38:2) PA(16:1_22:1)",729.543,631.56609,395.35204,311.25814,237.22135,321.31525
"PA(38:3) PA(16:1_22:2)",727.5273,629.55039,393.33634,311.25814,237.22135,319.29955
"PA(38:4) PA(16:1_22:3)",725.5117,627.53479,391.32074,311.25814,237.22135,317.28395
"PA(38:5) PA(16:1_22:4)",723.496,625.51909,389.30504,311.25814,237.22135,315.26825
"PA(38:6) PA(16:1_22:5)",721.4804,623.50349,387.28944,311.25814,237.22135,313.25265
"PA(38:7) PA(16:1_22:6)",719.4647,621.48779,385.27374,311.25814,237.22135,311.23695
"PA(39:1) PA(16:1_23:0)",745.5743,647.59739,411.38334,311.25814,237.22135,337.34655
"PA(40:1) PA(16:1_24:0)",759.5899,661.61299,425.39894,311.25814,237.22135,351.36215
"PA(40:2) PA(16:1_24:1)",757.5743,659.59739,423.38334,311.25814,237.22135,349.34655
"PA(41:1) PA(16:1_25:0)",773.6056,675.62869,439.41464,311.25814,237.22135,365.37785
"PA(42:1) PA(16:1_26:0)",787.6212,689.64429,453.43024,311.25814,237.22135,379.39345
"PA(34:0) PA(17:0_17:0)",677.5117,579.53479,327.28944,327.28944,253.25265,253.25265
"PA(34:1) PA(17:0_17:1)",675.496,577.51909,325.27374,327.28944,253.25265,251.23695
"PA(34:2) PA(17:0_17:2)",673.4804,575.50349,323.25814,327.28944,253.25265,249.22135
"PA(35:0) PA(17:0_18:0)",691.5273,593.55039,341.30504,327.28944,253.25265,267.26825
"PA(35:1) PA(17:0_18:1)",689.5117,591.53479,339.28944,327.28944,253.25265,265.25265
"PA(35:2) PA(17:0_18:2)",687.496,589.51909,337.27374,327.28944,253.25265,263.23695
"PA(35:3) PA(17:0_18:3)",685.4804,587.50349,335.25814,327.28944,253.25265,261.22135
"PA(35:4) PA(17:0_18:4)",683.4647,585.48779,333.24244,327.28944,253.25265,259.20565
"PA(36:0) PA(17:0_19:0)",705.543,607.56609,355.32074,327.28944,253.25265,281.28395
"PA(37:0) PA(17:0_20:0)",719.5586,621.58169,369.33634,327.28944,253.25265,295.29955
"PA(37:1) PA(17:0_20:1)",717.543,619.56609,367.32074,327.28944,253.25265,293.28395
"PA(37:2) PA(17:0_20:2)",715.5273,617.55039,365.30504,327.28944,253.25265,291.26825
"PA(37:3) PA(17:0_20:3)",713.5117,615.53479,363.28944,327.28944,253.25265,289.25265
"PA(37:4) PA(17:0_20:4)",711.496,613.51909,361.27374,327.28944,253.25265,287.23695
"PA(37:5) PA(17:0_20:5)",709.4804,611.50349,359.25814,327.28944,253.25265,285.22135
"PA(38:0) PA(17:0_21:0)",733.5743,635.59739,383.35204,327.28944,253.25265,309.31525
"PA(39:0) PA(17:0_22:0)",747.5899,649.61299,397.36764,327.28944,253.25265,323.33085
"PA(39:1) PA(17:0_22:1)",745.5743,647.59739,395.35204,327.28944,253.25265,321.31525
"PA(39:2) PA(17:0_22:2)",743.5586,645.58169,393.33634,327.28944,253.25265,319.29955
"PA(39:3) PA(17:0_22:3)",741.543,643.56609,391.32074,327.28944,253.25265,317.28395
"PA(39:4) PA(17:0_22:4)",739.5273,641.55039,389.30504,327.28944,253.25265,315.26825
"PA(39:5) PA(17:0_22:5)",737.5117,639.53479,387.28944,327.28944,253.25265,313.25265
"PA(39:6) PA(17:0_22:6)",735.496,637.51909,385.27374,327.28944,253.25265,311.23695
"PA(40:0) PA(17:0_23:0)",761.6056,663.62869,411.38334,327.28944,253.25265,337.34655
"PA(41:0) PA(17:0_24:0)",775.6212,677.64429,425.39894,327.28944,253.25265,351.36215
"PA(41:1) PA(17:0_24:1)",773.6056,675.62869,423.38334,327.28944,253.25265,349.34655
"PA(42:0) PA(17:0_25:0)",789.6369,691.65999,439.41464,327.28944,253.25265,365.37785
"PA(43:0) PA(17:0_26:0)",803.6525,705.67559,453.43024,327.28944,253.25265,379.39345
"PA(34:2) PA(17:1_17:1)",673.4803,575.50339,325.27374,325.27374,251.23695,251.23695
"PA(34:3) PA(17:1_17:2)",671.4647,573.48779,323.25814,325.27374,251.23695,249.22135
"PA(35:1) PA(17:1_18:0)",689.5116,591.53469,341.30504,325.27374,251.23695,267.26825
"PA(35:2) PA(17:1_18:1)",687.496,589.51909,339.28944,325.27374,251.23695,265.25265
"PA(35:3) PA(17:1_18:2)",685.4803,587.50339,337.27374,325.27374,251.23695,263.23695
"PA(35:4) PA(17:1_18:3)",683.4647,585.48779,335.25814,325.27374,251.23695,261.22135
"PA(35:5) PA(17:1_18:4)",681.449,583.47209,333.24244,325.27374,251.23695,259.20565
"PA(36:1) PA(17:1_19:0)",703.5273,605.55039,355.32074,325.27374,251.23695,281.28395
"PA(37:1) PA(17:1_20:0)",717.5429,619.56599,369.33634,325.27374,251.23695,295.29955
"PA(37:2) PA(17:1_20:1)",715.5273,617.55039,367.32074,325.27374,251.23695,293.28395
"PA(37:3) PA(17:1_20:2)",713.5116,615.53469,365.30504,325.27374,251.23695,291.26825
"PA(37:4) PA(17:1_20:3)",711.496,613.51909,363.28944,325.27374,251.23695,289.25265
"PA(37:5) PA(17:1_20:4)",709.4803,611.50339,361.27374,325.27374,251.23695,287.23695
"PA(37:6) PA(17:1_20:5)",707.4647,609.48779,359.25814,325.27374,251.23695,285.22135
"PA(38:1) PA(17:1_21:0)",731.5586,633.58169,383.35204,325.27374,251.23695,309.31525
"PA(39:1) PA(17:1_22:0)",745.5742,647.59729,397.36764,325.27374,251.23695,323.33085
"PA(39:2) PA(17:1_22:1)",743.5586,645.58169,395.35204,325.27374,251.23695,321.31525
"PA(39:3) PA(17:1_22:2)",741.5429,643.56599,393.33634,325.27374,251.23695,319.29955
"PA(39:4) PA(17:1_22:3)",739.5273,641.55039,391.32074,325.27374,251.23695,317.28395
"PA(39:5) PA(17:1_22:4)",737.5116,639.53469,389.30504,325.27374,251.23695,315.26825
"PA(39:6) PA(17:1_22:5)",735.496,637.51909,387.28944,325.27374,251.23695,313.25265
"PA(39:7) PA(17:1_22:6)",733.4803,635.50339,385.27374,325.27374,251.23695,311.23695
"PA(40:1) PA(17:1_23:0)",759.5899,661.61299,411.38334,325.27374,251.23695,337.34655
"PA(41:1) PA(17:1_24:0)",773.6055,675.62859,425.39894,325.27374,251.23695,351.36215
"PA(41:2) PA(17:1_24:1)",771.5899,673.61299,423.38334,325.27374,251.23695,349.34655
"PA(42:1) PA(17:1_25:0)",787.6212,689.64429,439.41464,325.27374,251.23695,365.37785
"PA(43:1) PA(17:1_26:0)",801.6368,703.65989,453.43024,325.27374,251.23695,379.39345
"PA(34:4) PA(17:2_17:2)",669.4491,571.47219,323.25814,323.25814,249.22135,249.22135
"PA(35:2) PA(17:2_18:0)",687.496,589.51909,341.30504,323.25814,249.22135,267.26825
"PA(35:3) PA(17:2_18:1)",685.4804,587.50349,339.28944,323.25814,249.22135,265.25265
"PA(35:4) PA(17:2_18:2)",683.4647,585.48779,337.27374,323.25814,249.22135,263.23695
"PA(35:5) PA(17:2_18:3)",681.4491,583.47219,335.25814,323.25814,249.22135,261.22135
"PA(35:6) PA(17:2_18:4)",679.4334,581.45649,333.24244,323.25814,249.22135,259.20565
"PA(36:2) PA(17:2_19:0)",701.5117,603.53479,355.32074,323.25814,249.22135,281.28395
"PA(37:2) PA(17:2_20:0)",715.5273,617.55039,369.33634,323.25814,249.22135,295.29955
"PA(37:3) PA(17:2_20:1)",713.5117,615.53479,367.32074,323.25814,249.22135,293.28395
"PA(37:4) PA(17:2_20:2)",711.496,613.51909,365.30504,323.25814,249.22135,291.26825
"PA(37:5) PA(17:2_20:3)",709.4804,611.50349,363.28944,323.25814,249.22135,289.25265
"PA(37:6) PA(17:2_20:4)",707.4647,609.48779,361.27374,323.25814,249.22135,287.23695
"PA(37:7) PA(17:2_20:5)",705.4491,607.47219,359.25814,323.25814,249.22135,285.22135
"PA(38:2) PA(17:2_21:0)",729.543,631.56609,383.35204,323.25814,249.22135,309.31525
"PA(39:2) PA(17:2_22:0)",743.5586,645.58169,397.36764,323.25814,249.22135,323.33085
"PA(39:3) PA(17:2_22:1)",741.543,643.56609,395.35204,323.25814,249.22135,321.31525
"PA(39:4) PA(17:2_22:2)",739.5273,641.55039,393.33634,323.25814,249.22135,319.29955
"PA(39:5) PA(17:2_22:3)",737.5117,639.53479,391.32074,323.25814,249.22135,317.28395
"PA(39:6) PA(17:2_22:4)",735.496,637.51909,389.30504,323.25814,249.22135,315.26825
"PA(39:7) PA(17:2_22:5)",733.4804,635.50349,387.28944,323.25814,249.22135,313.25265
"PA(39:8) PA(17:2_22:6)",731.4647,633.48779,385.27374,323.25814,249.22135,311.23695
"PA(40:2) PA(17:2_23:0)",757.5743,659.59739,411.38334,323.25814,249.22135,337.34655
"PA(41:2) PA(17:2_24:0)",771.5899,673.61299,425.39894,323.25814,249.22135,351.36215
"PA(41:3) PA(17:2_24:1)",769.5743,671.59739,423.38334,323.25814,249.22135,349.34655
"PA(42:2) PA(17:2_25:0)",785.6056,687.62869,439.41464,323.25814,249.22135,365.37785
"PA(43:2) PA(17:2_26:0)",799.6212,701.64429,453.43024,323.25814,249.22135,379.39345
"PA(36:0) PA(18:0_18:0)",705.5429,607.56599,341.30504,341.30504,267.26825,267.26825
"PA(36:1) PA(18:0_18:1)",703.5273,605.55039,339.28944,341.30504,267.26825,265.25265
"PA(36:2) PA(18:0_18:2)",701.5116,603.53469,337.27374,341.30504,267.26825,263.23695
"PA(36:3) PA(18:0_18:3)",699.496,601.51909,335.25814,341.30504,267.26825,261.22135
"PA(36:4) PA(18:0_18:4)",697.4803,599.50339,333.24244,341.30504,267.26825,259.20565
"PA(37:0) PA(18:0_19:0)",719.5586,621.58169,355.32074,341.30504,267.26825,281.28395
"PA(38:0) PA(18:0_20:0)",733.5742,635.59729,369.33634,341.30504,267.26825,295.29955
"PA(38:1) PA(18:0_20:1)",731.5586,633.58169,367.32074,341.30504,267.26825,293.28395
"PA(38:2) PA(18:0_20:2)",729.5429,631.56599,365.30504,341.30504,267.26825,291.26825
"PA(38:3) PA(18:0_20:3)",727.5273,629.55039,363.28944,341.30504,267.26825,289.25265
"PA(38:4) PA(18:0_20:4)",725.5116,627.53469,361.27374,341.30504,267.26825,287.23695
"PA(38:5) PA(18:0_20:5)",723.496,625.51909,359.25814,341.30504,267.26825,285.22135
"PA(39:0) PA(18:0_21:0)",747.5899,649.61299,383.35204,341.30504,267.26825,309.31525
"PA(40:0) PA(18:0_22:0)",761.6055,663.62859,397.36764,341.30504,267.26825,323.33085
"PA(40:1) PA(18:0_22:1)",759.5899,661.61299,395.35204,341.30504,267.26825,321.31525
"PA(40:2) PA(18:0_22:2)",757.5742,659.59729,393.33634,341.30504,267.26825,319.29955
"PA(40:3) PA(18:0_22:3)",755.5586,657.58169,391.32074,341.30504,267.26825,317.28395
"PA(40:4) PA(18:0_22:4)",753.5429,655.56599,389.30504,341.30504,267.26825,315.26825
"PA(40:5) PA(18:0_22:5)",751.5273,653.55039,387.28944,341.30504,267.26825,313.25265
"PA(40:6) PA(18:0_22:6)",749.5116,651.53469,385.27374,341.30504,267.26825,311.23695
"PA(41:0) PA(18:0_23:0)",775.6212,677.64429,411.38334,341.30504,267.26825,337.34655
"PA(42:0) PA(18:0_24:0)",789.6368,691.65989,425.39894,341.30504,267.26825,351.36215
"PA(42:1) PA(18:0_24:1)",787.6212,689.64429,423.38334,341.30504,267.26825,349.34655
"PA(43:0) PA(18:0_25:0)",803.6525,705.67559,439.41464,341.30504,267.26825,365.37785
"PA(44:0) PA(18:0_26:0)",817.6681,719.69119,453.43024,341.30504,267.26825,379.39345
"PA(36:2) PA(18:1_18:1)",701.5117,603.53479,339.28944,339.28944,265.25265,265.25265
"PA(36:3) PA(18:1_18:2)",699.496,601.51909,337.27374,339.28944,265.25265,263.23695
"PA(36:4) PA(18:1_18:3)",697.4804,599.50349,335.25814,339.28944,265.25265,261.22135
"PA(36:5) PA(18:1_18:4)",695.4647,597.48779,333.24244,339.28944,265.25265,259.20565
"PA(37:1) PA(18:1_19:0)",717.543,619.56609,355.32074,339.28944,265.25265,281.28395
"PA(38:1) PA(18:1_20:0)",731.5586,633.58169,369.33634,339.28944,265.25265,295.29955
"PA(38:2) PA(18:1_20:1)",729.543,631.56609,367.32074,339.28944,265.25265,293.28395
"PA(38:3) PA(18:1_20:2)",727.5273,629.55039,365.30504,339.28944,265.25265,291.26825
"PA(38:4) PA(18:1_20:3)",725.5117,627.53479,363.28944,339.28944,265.25265,289.25265
"PA(38:5) PA(18:1_20:4)",723.496,625.51909,361.27374,339.28944,265.25265,287.23695
"PA(38:6) PA(18:1_20:5)",721.4804,623.50349,359.25814,339.28944,265.25265,285.22135
"PA(39:1) PA(18:1_21:0)",745.5743,647.59739,383.35204,339.28944,265.25265,309.31525
"PA(40:1) PA(18:1_22:0)",759.5899,661.61299,397.36764,339.28944,265.25265,323.33085
"PA(40:2) PA(18:1_22:1)",757.5743,659.59739,395.35204,339.28944,265.25265,321.31525
"PA(40:3) PA(18:1_22:2)",755.5586,657.58169,393.33634,339.28944,265.25265,319.29955
"PA(40:4) PA(18:1_22:3)",753.543,655.56609,391.32074,339.28944,265.25265,317.28395
"PA(40:5) PA(18:1_22:4)",751.5273,653.55039,389.30504,339.28944,265.25265,315.26825
"PA(40:6) PA(18:1_22:5)",749.5117,651.53479,387.28944,339.28944,265.25265,313.25265
"PA(40:7) PA(18:1_22:6)",747.496,649.51909,385.27374,339.28944,265.25265,311.23695
"PA(41:1) PA(18:1_23:0)",773.6056,675.62869,411.38334,339.28944,265.25265,337.34655
"PA(42:1) PA(18:1_24:0)",787.6212,689.64429,425.39894,339.28944,265.25265,351.36215
"PA(42:2) PA(18:1_24:1)",785.6056,687.62869,423.38334,339.28944,265.25265,349.34655
"PA(43:1) PA(18:1_25:0)",801.6369,703.65999,439.41464,339.28944,265.25265,365.37785
"PA(44:1) PA(18:1_26:0)",815.6525,717.67559,453.43024,339.28944,265.25265,379.39345
"PA(36:4) PA(18:2_18:2)",697.4803,599.50339,337.27374,337.27374,263.23695,263.23695
"PA(36:5) PA(18:2_18:3)",695.4647,597.48779,335.25814,337.27374,263.23695,261.22135
"PA(36:6) PA(18:2_18:4)",693.449,595.47209,333.24244,337.27374,263.23695,259.20565
"PA(37:2) PA(18:2_19:0)",715.5273,617.55039,355.32074,337.27374,263.23695,281.28395
"PA(38:2) PA(18:2_20:0)",729.5429,631.56599,369.33634,337.27374,263.23695,295.29955
"PA(38:3) PA(18:2_20:1)",727.5273,629.55039,367.32074,337.27374,263.23695,293.28395
"PA(38:4) PA(18:2_20:2)",725.5116,627.53469,365.30504,337.27374,263.23695,291.26825
"PA(38:5) PA(18:2_20:3)",723.496,625.51909,363.28944,337.27374,263.23695,289.25265
"PA(38:6) PA(18:2_20:4)",721.4803,623.50339,361.27374,337.27374,263.23695,287.23695
"PA(38:7) PA(18:2_20:5)",719.4647,621.48779,359.25814,337.27374,263.23695,285.22135
"PA(39:2) PA(18:2_21:0)",743.5586,645.58169,383.35204,337.27374,263.23695,309.31525
"PA(40:2) PA(18:2_22:0)",757.5742,659.59729,397.36764,337.27374,263.23695,323.33085
"PA(40:3) PA(18:2_22:1)",755.5586,657.58169,395.35204,337.27374,263.23695,321.31525
"PA(40:4) PA(18:2_22:2)",753.5429,655.56599,393.33634,337.27374,263.23695,319.29955
"PA(40:5) PA(18:2_22:3)",751.5273,653.55039,391.32074,337.27374,263.23695,317.28395
"PA(40:6) PA(18:2_22:4)",749.5116,651.53469,389.30504,337.27374,263.23695,315.26825
"PA(40:7) PA(18:2_22:5)",747.496,649.51909,387.28944,337.27374,263.23695,313.25265
"PA(40:8) PA(18:2_22:6)",745.4803,647.50339,385.27374,337.27374,263.23695,311.23695
"PA(41:2) PA(18:2_23:0)",771.5899,673.61299,411.38334,337.27374,263.23695,337.34655
"PA(42:2) PA(18:2_24:0)",785.6055,687.62859,425.39894,337.27374,263.23695,351.36215
"PA(42:3) PA(18:2_24:1)",783.5899,685.61299,423.38334,337.27374,263.23695,349.34655
"PA(43:2) PA(18:2_25:0)",799.6212,701.64429,439.41464,337.27374,263.23695,365.37785
"PA(44:2) PA(18:2_26:0)",813.6368,715.65989,453.43024,337.27374,263.23695,379.39345
"PA(36:6) PA(18:3_18:3)",693.4491,595.47219,335.25814,335.25814,261.22135,261.22135
"PA(36:7) PA(18:3_18:4)",691.4334,593.45649,333.24244,335.25814,261.22135,259.20565
"PA(37:3) PA(18:3_19:0)",713.5117,615.53479,355.32074,335.25814,261.22135,281.28395
"PA(38:3) PA(18:3_20:0)",727.5273,629.55039,369.33634,335.25814,261.22135,295.29955
"PA(38:4) PA(18:3_20:1)",725.5117,627.53479,367.32074,335.25814,261.22135,293.28395
"PA(38:5) PA(18:3_20:2)",723.496,625.51909,365.30504,335.25814,261.22135,291.26825
"PA(38:6) PA(18:3_20:3)",721.4804,623.50349,363.28944,335.25814,261.22135,289.25265
"PA(38:7) PA(18:3_20:4)",719.4647,621.48779,361.27374,335.25814,261.22135,287.23695
"PA(38:8) PA(18:3_20:5)",717.4491,619.47219,359.25814,335.25814,261.22135,285.22135
"PA(39:3) PA(18:3_21:0)",741.543,643.56609,383.35204,335.25814,261.22135,309.31525
"PA(40:3) PA(18:3_22:0)",755.5586,657.58169,397.36764,335.25814,261.22135,323.33085
"PA(40:4) PA(18:3_22:1)",753.543,655.56609,395.35204,335.25814,261.22135,321.31525
"PA(40:5) PA(18:3_22:2)",751.5273,653.55039,393.33634,335.25814,261.22135,319.29955
"PA(40:6) PA(18:3_22:3)",749.5117,651.53479,391.32074,335.25814,261.22135,317.28395
"PA(40:7) PA(18:3_22:4)",747.496,649.51909,389.30504,335.25814,261.22135,315.26825
"PA(40:8) PA(18:3_22:5)",745.4804,647.50349,387.28944,335.25814,261.22135,313.25265
"PA(40:9) PA(18:3_22:6)",743.4647,645.48779,385.27374,335.25814,261.22135,311.23695
"PA(41:3) PA(18:3_23:0)",769.5743,671.59739,411.38334,335.25814,261.22135,337.34655
"PA(42:3) PA(18:3_24:0)",783.5899,685.61299,425.39894,335.25814,261.22135,351.36215
"PA(42:4) PA(18:3_24:1)",781.5743,683.59739,423.38334,335.25814,261.22135,349.34655
"PA(43:3) PA(18:3_25:0)",797.6056,699.62869,439.41464,335.25814,261.22135,365.37785
"PA(44:3) PA(18:3_26:0)",811.6212,713.64429,453.43024,335.25814,261.22135,379.39345
"PA(36:8) PA(18:4_18:4)",689.4177,591.44079,333.24244,333.24244,259.20565,259.20565
"PA(37:4) PA(18:4_19:0)",711.496,613.51909,355.32074,333.24244,259.20565,281.28395
"PA(38:4) PA(18:4_20:0)",725.5116,627.53469,369.33634,333.24244,259.20565,295.29955
"PA(38:5) PA(18:4_20:1)",723.496,625.51909,367.32074,333.24244,259.20565,293.28395
"PA(38:6) PA(18:4_20:2)",721.4803,623.50339,365.30504,333.24244,259.20565,291.26825
"PA(38:7) PA(18:4_20:3)",719.4647,621.48779,363.28944,333.24244,259.20565,289.25265
"PA(38:8) PA(18:4_20:4)",717.449,619.47209,361.27374,333.24244,259.20565,287.23695
"PA(38:9) PA(18:4_20:5)",715.4334,617.45649,359.25814,333.24244,259.20565,285.22135
"PA(39:4) PA(18:4_21:0)",739.5273,641.55039,383.35204,333.24244,259.20565,309.31525
"PA(40:4) PA(18:4_22:0)",753.5429,655.56599,397.36764,333.24244,259.20565,323.33085
"PA(40:5) PA(18:4_22:1)",751.5273,653.55039,395.35204,333.24244,259.20565,321.31525
"PA(40:6) PA(18:4_22:2)",749.5116,651.53469,393.33634,333.24244,259.20565,319.29955
"PA(40:7) PA(18:4_22:3)",747.496,649.51909,391.32074,333.24244,259.20565,317.28395
"PA(40:8) PA(18:4_22:4)",745.4803,647.50339,389.30504,333.24244,259.20565,315.26825
"PA(40:9) PA(18:4_22:5)",743.4647,645.48779,387.28944,333.24244,259.20565,313.25265
"PA(40:10) PA(18:4_22:6)",741.449,643.47209,385.27374,333.24244,259.20565,311.23695
"PA(41:4) PA(18:4_23:0)",767.5586,669.58169,411.38334,333.24244,259.20565,337.34655
"PA(42:4) PA(18:4_24:0)",781.5742,683.59729,425.39894,333.24244,259.20565,351.36215
"PA(42:5) PA(18:4_24:1)",779.5586,681.58169,423.38334,333.24244,259.20565,349.34655
"PA(43:4) PA(18:4_25:0)",795.5899,697.61299,439.41464,333.24244,259.20565,365.37785
"PA(44:4) PA(18:4_26:0)",809.6055,711.62859,453.43024,333.24244,259.20565,379.39345
"PA(38:0) PA(19:0_19:0)",733.5743,635.59739,355.32074,355.32074,281.28395,281.28395
"PA(39:0) PA(19:0_20:0)",747.5899,649.61299,369.33634,355.32074,281.28395,295.29955
"PA(39:1) PA(19:0_20:1)",745.5743,647.59739,367.32074,355.32074,281.28395,293.28395
"PA(39:2) PA(19:0_20:2)",743.5586,645.58169,365.30504,355.32074,281.28395,291.26825
"PA(39:3) PA(19:0_20:3)",741.543,643.56609,363.28944,355.32074,281.28395,289.25265
"PA(39:4) PA(19:0_20:4)",739.5273,641.55039,361.27374,355.32074,281.28395,287.23695
"PA(39:5) PA(19:0_20:5)",737.5117,639.53479,359.25814,355.32074,281.28395,285.22135
"PA(40:0) PA(19:0_21:0)",761.6056,663.62869,383.35204,355.32074,281.28395,309.31525
"PA(41:0) PA(19:0_22:0)",775.6212,677.64429,397.36764,355.32074,281.28395,323.33085
"PA(41:1) PA(19:0_22:1)",773.6056,675.62869,395.35204,355.32074,281.28395,321.31525
"PA(41:2) PA(19:0_22:2)",771.5899,673.61299,393.33634,355.32074,281.28395,319.29955
"PA(41:3) PA(19:0_22:3)",769.5743,671.59739,391.32074,355.32074,281.28395,317.28395
"PA(41:4) PA(19:0_22:4)",767.5586,669.58169,389.30504,355.32074,281.28395,315.26825
"PA(41:5) PA(19:0_22:5)",765.543,667.56609,387.28944,355.32074,281.28395,313.25265
"PA(41:6) PA(19:0_22:6)",763.5273,665.55039,385.27374,355.32074,281.28395,311.23695
"PA(42:0) PA(19:0_23:0)",789.6369,691.65999,411.38334,355.32074,281.28395,337.34655
"PA(43:0) PA(19:0_24:0)",803.6525,705.67559,425.39894,355.32074,281.28395,351.36215
"PA(43:1) PA(19:0_24:1)",801.6369,703.65999,423.38334,355.32074,281.28395,349.34655
"PA(44:0) PA(19:0_25:0)",817.6682,719.69129,439.41464,355.32074,281.28395,365.37785
"PA(45:0) PA(19:0_26:0)",831.6838,733.70689,453.43024,355.32074,281.28395,379.39345
"PA(40:0) PA(20:0_20:0)",761.6055,663.62859,369.33634,369.33634,295.29955,295.29955
"PA(40:1) PA(20:0_20:1)",759.5899,661.61299,367.32074,369.33634,295.29955,293.28395
"PA(40:2) PA(20:0_20:2)",757.5742,659.59729,365.30504,369.33634,295.29955,291.26825
