Cer,[M+H]+,[M+H-H2O]+,[M+H-2H2O]+,[M+H-R1-H2O]+,[M+H-R1-2H2O]+
Cer(d20:2/20:1),618.58198,600.5714,582.56082,308.294595,290.284015
Cer(d20:2/20:2),616.56628,598.5557,580.54512,308.294595,290.284015
Cer(d20:2/20:2),616.56628,598.5557,580.54512,308.294595,290.284015
Cer(d20:2/20:3),614.55068,596.5401,578.52952,308.294595,290.284015
Cer(d20:2/20:4),612.53498,594.5244,576.51382,308.294595,290.284015
Cer(d20:2/20:5),610.51938,592.5088,574.49822,308.294595,290.284015
Cer(d20:2/21:0),634.61328,616.6027,598.59212,308.294595,290.284015
Cer(d20:2/22:0),648.62888,630.6183,612.60772,308.294595,290.284015
Cer(d20:2/22:1),646.61328,628.6027,610.59212,308.294595,290.284015
Cer(d20:2/22:2),644.59758,626.587,608.57642,308.294595,290.284015
Cer(d20:2/22:3),642.58198,624.5714,606.56082,308.294595,290.284015
Cer(d20:2/22:4),640.56628,622.5557,604.54512,308.294595,290.284015
Cer(d20:2/22:5),638.55068,620.5401,602.52952,308.294595,290.284015
Cer(d20:2/22:6),636.53498,618.5244,600.51382,308.294595,290.284015
Cer(d20:2/23:0),662.64458,644.634,626.62342,308.294595,290.284015
Cer(d20:2/24:0),676.66018,658.6496,640.63902,308.294595,290.284015
Cer(d20:2/24:1),674.64458,656.634,638.62342,308.294595,290.284015
Cer(d20:2/25:0),690.67588,672.6653,654.65472,308.294595,290.284015
Cer(d20:2/26:0),704.69148,686.6809,668.67032,308.294595,290.284015
Cer(d20:2/8:0),452.40978,434.3992,416.38862,308.294595,290.284015
Cer(d20:3/10:0),478.42548,460.4149,442.40432,306.278995,288.268415
Cer(d20:3/12:0),506.45678,488.4462,470.43562,306.278995,288.268415
Cer(d20:3/13:0),520.47248,502.4619,484.45132,306.278995,288.268415
Cer(d20:3/14:0),534.48808,516.4775,498.46692,306.278995,288.268415
Cer(d20:3/14:1),532.47248,514.4619,496.45132,306.278995,288.268415
Cer(d20:3/15:0),548.50378,530.4932,512.48262,306.278995,288.268415
Cer(d20:3/15:1),546.48808,528.4775,510.46692,306.278995,288.268415
Cer(d20:3/16:0),562.51938,544.5088,526.49822,306.278995,288.268415
Cer(d20:3/16:1),560.50378,542.4932,524.48262,306.278995,288.268415
Cer(d20:3/17:0),576.53508,558.5245,540.51392,306.278995,288.268415
Cer(d20:3/17:1),574.51938,556.5088,538.49822,306.278995,288.268415
Cer(d20:3/17:2),572.50378,554.4932,536.48262,306.278995,288.268415
Cer(d20:3/18:0),590.55068,572.5401,554.52952,306.278995,288.268415
Cer(d20:3/18:1),588.53508,570.5245,552.51392,306.278995,288.268415
Cer(d20:3/18:2),586.51938,568.5088,550.49822,306.278995,288.268415
Cer(d20:3/18:3),584.50378,566.4932,548.48262,306.278995,288.268415
Cer(d20:3/18:4),582.48808,564.4775,546.46692,306.278995,288.268415
Cer(d20:3/19:0),604.56638,586.5558,568.54522,306.278995,288.268415
Cer(d20:3/20:0),618.58198,600.5714,582.56082,306.278995,288.268415
Cer(d20:3/20:1),616.56638,598.5558,580.54522,306.278995,288.268415
Cer(d20:3/20:2),614.55068,596.5401,578.52952,306.278995,288.268415
Cer(d20:3/20:3),612.53508,594.5245,576.51392,306.278995,288.268415
Cer(d20:3/20:3),612.53508,594.5245,576.51392,306.278995,288.268415
Cer(d20:3/20:4),610.51938,592.5088,574.49822,306.278995,288.268415
Cer(d20:3/20:5),608.50378,590.4932,572.48262,306.278995,288.268415
Cer(d20:3/21:0),632.59768,614.5871,596.57652,306.278995,288.268415
Cer(d20:3/22:0),646.61328,628.6027,610.59212,306.278995,288.268415
Cer(d20:3/22:1),644.59768,626.5871,608.57652,306.278995,288.268415
Cer(d20:3/22:2),642.58198,624.5714,606.56082,306.278995,288.268415
Cer(d20:3/22:3),640.56638,622.5558,604.54522,306.278995,288.268415
Cer(d20:3/22:4),638.55068,620.5401,602.52952,306.278995,288.268415
Cer(d20:3/22:5),636.53508,618.5245,600.51392,306.278995,288.268415
Cer(d20:3/22:6),634.51938,616.5088,598.49822,306.278995,288.268415
Cer(d20:3/23:0),660.62898,642.6184,624.60782,306.278995,288.268415
Cer(d20:3/24:0),674.64458,656.634,638.62342,306.278995,288.268415
Cer(d20:3/24:1),672.62898,654.6184,636.60782,306.278995,288.268415
Cer(d20:3/25:0),688.66028,670.6497,652.63912,306.278995,288.268415
Cer(d20:3/26:0),702.67588,684.6653,666.65472,306.278995,288.268415
Cer(d20:3/8:0),450.39418,432.3836,414.37302,306.278995,288.268415
Cer(d20:4/10:0),476.40978,458.3992,440.38862,304.263295,286.252715
Cer(d20:4/12:0),504.44108,486.4305,468.41992,304.263295,286.252715
Cer(d20:4/13:0),518.45678,500.4462,482.43562,304.263295,286.252715
Cer(d20:4/14:0),532.47238,514.4618,496.45122,304.263295,286.252715
Cer(d20:4/14:1),530.45678,512.4462,494.43562,304.263295,286.252715
Cer(d20:4/15:0),546.48808,528.4775,510.46692,304.263295,286.252715
Cer(d20:4/15:1),544.47238,526.4618,508.45122,304.263295,286.252715
Cer(d20:4/16:0),560.50368,542.4931,524.48252,304.263295,286.252715
Cer(d20:4/16:1),558.48808,540.4775,522.46692,304.263295,286.252715
Cer(d20:4/17:0),574.51938,556.5088,538.49822,304.263295,286.252715
Cer(d20:4/17:1),572.50368,554.4931,536.48252,304.263295,286.252715
Cer(d20:4/17:2),570.48808,552.4775,534.46692,304.263295,286.252715
Cer(d20:4/18:0),588.53498,570.5244,552.51382,304.263295,286.252715
Cer(d20:4/18:1),586.51938,568.5088,550.49822,304.263295,286.252715
Cer(d20:4/18:2),584.50368,566.4931,548.48252,304.263295,286.252715
Cer(d20:4/18:3),582.48808,564.4775,546.46692,304.263295,286.252715
Cer(d20:4/18:4),580.47238,562.4618,544.45122,304.263295,286.252715
Cer(d20:4/19:0),602.55068,584.5401,566.52952,304.263295,286.252715
Cer(d20:4/20:0),616.56628,598.5557,580.54512,304.263295,286.252715
Cer(d20:4/20:1),614.55068,596.5401,578.52952,304.263295,286.252715
Cer(d20:4/20:2),612.53498,594.5244,576.51382,304.263295,286.252715
Cer(d20:4/20:3),610.51938,592.5088,574.49822,304.263295,286.252715
Cer(d20:4/20:4),608.50368,590.4931,572.48252,304.263295,286.252715
Cer(d20:4/20:4),608.50368,590.4931,572.48252,304.263295,286.252715
Cer(d20:4/20:5),606.48808,588.4775,570.46692,304.263295,286.252715
Cer(d20:4/21:0),630.58198,612.5714,594.56082,304.263295,286.252715
Cer(d20:4/22:0),644.59758,626.587,608.57642,304.263295,286.252715
Cer(d20:4/22:1),642.58198,624.5714,606.56082,304.263295,286.252715
Cer(d20:4/22:2),640.56628,622.5557,604.54512,304.263295,286.252715
Cer(d20:4/22:3),638.55068,620.5401,602.52952,304.263295,286.252715
Cer(d20:4/22:4),636.53498,618.5244,600.51382,304.263295,286.252715
Cer(d20:4/22:5),634.51938,616.5088,598.49822,304.263295,286.252715
Cer(d20:4/22:6),632.50368,614.4931,596.48252,304.263295,286.252715
Cer(d20:4/23:0),658.61328,640.6027,622.59212,304.263295,286.252715
Cer(d20:4/24:0),672.62888,654.6183,636.60772,304.263295,286.252715
Cer(d20:4/24:1),670.61328,652.6027,634.59212,304.263295,286.252715
Cer(d20:4/25:0),686.64458,668.634,650.62342,304.263295,286.252715
Cer(d20:4/26:0),700.66018,682.6496,664.63902,304.263295,286.252715
Cer(d20:4/8:0),448.37848,430.3679,412.35732,304.263295,286.252715
Cer(d20:5/10:0),474.39418,456.3836,438.37302,302.247695,284.237115
Cer(d20:5/12:0),502.42548,484.4149,466.40432,302.247695,284.237115
Cer(d20:5/13:0),516.44118,498.4306,480.42002,302.247695,284.237115
Cer(d20:5/14:0),530.45678,512.4462,494.43562,302.247695,284.237115
Cer(d20:5/14:1),528.44118,510.4306,492.42002,302.247695,284.237115
Cer(d20:5/15:0),544.47248,526.4619,508.45132,302.247695,284.237115
Cer(d20:5/15:1),542.45678,524.4462,506.43562,302.247695,284.237115
Cer(d20:5/16:0),558.48808,540.4775,522.46692,302.247695,284.237115
Cer(d20:5/16:1),556.47248,538.4619,520.45132,302.247695,284.237115
Cer(d20:5/17:0),572.50378,554.4932,536.48262,302.247695,284.237115
Cer(d20:5/17:1),570.48808,552.4775,534.46692,302.247695,284.237115
Cer(d20:5/17:2),568.47248,550.4619,532.45132,302.247695,284.237115
Cer(d20:5/18:0),586.51938,568.5088,550.49822,302.247695,284.237115
Cer(d20:5/18:1),584.50378,566.4932,548.48262,302.247695,284.237115
Cer(d20:5/18:2),582.48808,564.4775,546.46692,302.247695,284.237115
Cer(d20:5/18:3),580.47248,562.4619,544.45132,302.247695,284.237115
Cer(d20:5/18:4),578.45678,560.4462,542.43562,302.247695,284.237115
Cer(d20:5/19:0),600.53508,582.5245,564.51392,302.247695,284.237115
Cer(d20:5/20:0),614.55068,596.5401,578.52952,302.247695,284.237115
Cer(d20:5/20:1),612.53508,594.5245,576.51392,302.247695,284.237115
Cer(d20:5/20:2),610.51938,592.5088,574.49822,302.247695,284.237115
Cer(d20:5/20:3),608.50378,590.4932,572.48262,302.247695,284.237115
Cer(d20:5/20:4),606.48808,588.4775,570.46692,302.247695,284.237115
Cer(d20:5/20:5),604.47248,586.4619,568.45132,302.247695,284.237115
Cer(d20:5/20:5),604.47248,586.4619,568.45132,302.247695,284.237115
Cer(d20:5/21:0),628.56638,610.5558,592.54522,302.247695,284.237115
Cer(d20:5/22:0),642.58198,624.5714,606.56082,302.247695,284.237115
Cer(d20:5/22:1),640.56638,622.5558,604.54522,302.247695,284.237115
Cer(d20:5/22:2),638.55068,620.5401,602.52952,302.247695,284.237115
Cer(d20:5/22:3),636.53508,618.5245,600.51392,302.247695,284.237115
Cer(d20:5/22:4),634.51938,616.5088,598.49822,302.247695,284.237115
Cer(d20:5/22:5),632.50378,614.4932,596.48262,302.247695,284.237115
Cer(d20:5/22:6),630.48808,612.4775,594.46692,302.247695,284.237115
Cer(d20:5/23:0),656.59768,638.5871,620.57652,302.247695,284.237115
Cer(d20:5/24:0),670.61328,652.6027,634.59212,302.247695,284.237115
Cer(d20:5/24:1),668.59768,650.5871,632.57652,302.247695,284.237115
Cer(d20:5/25:0),684.62898,666.6184,648.60782,302.247695,284.237115
Cer(d20:5/26:0),698.64458,680.634,662.62342,302.247695,284.237115
Cer(d20:5/8:0),446.36288,428.3523,410.34172,302.247695,284.237115
Cer(d21:0/10:0),498.48808,480.4775,462.46692,326.341595,308.331015
Cer(d21:0/12:0),526.51938,508.5088,490.49822,326.341595,308.331015
Cer(d21:0/13:0),540.53508,522.5245,504.51392,326.341595,308.331015
Cer(d21:0/14:0),554.55068,536.5401,518.52952,326.341595,308.331015
Cer(d21:0/14:1),552.53508,534.5245,516.51392,326.341595,308.331015
Cer(d21:0/15:0),568.56638,550.5558,532.54522,326.341595,308.331015
Cer(d21:0/15:1),566.55068,548.5401,530.52952,326.341595,308.331015
Cer(d21:0/16:0),582.58198,564.5714,546.56082,326.341595,308.331015
Cer(d21:0/16:1),580.56638,562.5558,544.54522,326.341595,308.331015
Cer(d21:0/17:0),596.59768,578.5871,560.57652,326.341595,308.331015
Cer(d21:0/17:1),594.58198,576.5714,558.56082,326.341595,308.331015
Cer(d21:0/17:2),592.56638,574.5558,556.54522,326.341595,308.331015
Cer(d21:0/18:0),610.61328,592.6027,574.59212,326.341595,308.331015
Cer(d21:0/18:1),608.59768,590.5871,572.57652,326.341595,308.331015
Cer(d21:0/18:2),606.58198,588.5714,570.56082,326.341595,308.331015
Cer(d21:0/18:3),604.56638,586.5558,568.54522,326.341595,308.331015
Cer(d21:0/18:4),602.55068,584.5401,566.52952,326.341595,308.331015
Cer(d21:0/19:0),624.62898,606.6184,588.60782,326.341595,308.331015
Cer(d21:0/20:0),638.64458,620.634,602.62342,326.341595,308.331015
Cer(d21:0/20:1),636.62898,618.6184,600.60782,326.341595,308.331015
Cer(d21:0/20:2),634.61328,616.6027,598.59212,326.341595,308.331015
Cer(d21:0/20:3),632.59768,614.5871,596.57652,326.341595,308.331015
Cer(d21:0/20:4),630.58198,612.5714,594.56082,326.341595,308.331015
Cer(d21:0/20:5),628.56638,610.5558,592.54522,326.341595,308.331015
Cer(d21:0/21:0),652.66028,634.6497,616.63912,326.341595,308.331015
Cer(d21:0/21:0),652.66028,634.6497,616.63912,326.341595,308.331015
Cer(d21:0/22:0),666.67588,648.6653,630.65472,326.341595,308.331015
Cer(d21:0/22:1),664.66028,646.6497,628.63912,326.341595,308.331015
Cer(d21:0/22:2),662.64458,644.634,626.62342,326.341595,308.331015
Cer(d21:0/22:3),660.62898,642.6184,624.60782,326.341595,308.331015
Cer(d21:0/22:4),658.61328,640.6027,622.59212,326.341595,308.331015
Cer(d21:0/22:5),656.59768,638.5871,620.57652,326.341595,308.331015
Cer(d21:0/22:6),654.58198,636.5714,618.56082,326.341595,308.331015
Cer(d21:0/23:0),680.69158,662.681,644.67042,326.341595,308.331015
Cer(d21:0/24:0),694.70718,676.6966,658.68602,326.341595,308.331015
Cer(d21:0/24:1),692.69158,674.681,656.67042,326.341595,308.331015
Cer(d21:0/25:0),708.72288,690.7123,672.70172,326.341595,308.331015
Cer(d21:0/26:0),722.73848,704.7279,686.71732,326.341595,308.331015
Cer(d21:0/8:0),470.45678,452.4462,434.43562,326.341595,308.331015
Cer(d22:0/10:0),512.50368,494.4931,476.48252,340.357195,322.346615
Cer(d22:0/12:0),540.53498,522.5244,504.51382,340.357195,322.346615
Cer(d22:0/13:0),554.55068,536.5401,518.52952,340.357195,322.346615
Cer(d22:0/14:0),568.56628,550.5557,532.54512,340.357195,322.346615
Cer(d22:0/14:1),566.55068,548.5401,530.52952,340.357195,322.346615
Cer(d22:0/15:0),582.58198,564.5714,546.56082,340.357195,322.346615
Cer(d22:0/15:1),580.56628,562.5557,544.54512,340.357195,322.346615
Cer(d22:0/16:0),596.59758,578.587,560.57642,340.357195,322.346615
Cer(d22:0/16:1),594.58198,576.5714,558.56082,340.357195,322.346615
Cer(d22:0/17:0),610.61328,592.6027,574.59212,340.357195,322.346615
Cer(d22:0/17:1),608.59758,590.587,572.57642,340.357195,322.346615
Cer(d22:0/17:2),606.58198,588.5714,570.56082,340.357195,322.346615
Cer(d22:0/18:0),624.62888,606.6183,588.60772,340.357195,322.346615
Cer(d22:0/18:1),622.61328,604.6027,586.59212,340.357195,322.346615
Cer(d22:0/18:2),620.59758,602.587,584.57642,340.357195,322.346615
Cer(d22:0/18:3),618.58198,600.5714,582.56082,340.357195,322.346615
Cer(d22:0/18:4),616.56628,598.5557,580.54512,340.357195,322.346615
Cer(d22:0/19:0),638.64458,620.634,602.62342,340.357195,322.346615
Cer(d22:0/20:0),652.66018,634.6496,616.63902,340.357195,322.346615
Cer(d22:0/20:1),650.64458,632.634,614.62342,340.357195,322.346615
Cer(d22:0/20:2),648.62888,630.6183,612.60772,340.357195,322.346615
Cer(d22:0/20:3),646.61328,628.6027,610.59212,340.357195,322.346615
Cer(d22:0/20:4),644.59758,626.587,608.57642,340.357195,322.346615
Cer(d22:0/20:5),642.58198,624.5714,606.56082,340.357195,322.346615
Cer(d22:0/21:0),666.67588,648.6653,630.65472,340.357195,322.346615
Cer(d22:0/22:0),680.69148,662.6809,644.67032,340.357195,322.346615
Cer(d22:0/22:0),680.69148,662.6809,644.67032,340.357195,322.346615
Cer(d22:0/22:1),678.67588,660.6653,642.65472,340.357195,322.346615
Cer(d22:0/22:2),676.66018,658.6496,640.63902,340.357195,322.346615
Cer(d22:0/22:3),674.64458,656.634,638.62342,340.357195,322.346615
Cer(d22:0/22:4),672.62888,654.6183,636.60772,340.357195,322.346615
Cer(d22:0/22:5),670.61328,652.6027,634.59212,340.357195,322.346615
Cer(d22:0/22:6),668.59758,650.587,632.57642,340.357195,322.346615
Cer(d22:0/23:0),694.70718,676.6966,658.68602,340.357195,322.346615
Cer(d22:0/24:0),708.72278,690.7122,672.70162,340.357195,322.346615
Cer(d22:0/24:1),706.70718,688.6966,670.68602,340.357195,322.346615
Cer(d22:0/25:0),722.73848,704.7279,686.71732,340.357195,322.346615
Cer(d22:0/26:0),736.75408,718.7435,700.73292,340.357195,322.346615
Cer(d22:0/8:0),484.47238,466.4618,448.45122,340.357195,322.346615
Cer(d22:1/10:0),510.48808,492.4775,474.46692,338.341595,320.331015
Cer(d22:1/12:0),538.51938,520.5088,502.49822,338.341595,320.331015
Cer(d22:1/13:0),552.53508,534.5245,516.51392,338.341595,320.331015
Cer(d22:1/14:0),566.55068,548.5401,530.52952,338.341595,320.331015
Cer(d22:1/14:1),564.53508,546.5245,528.51392,338.341595,320.331015
Cer(d22:1/15:0),580.56638,562.5558,544.54522,338.341595,320.331015
Cer(d22:1/15:1),578.55068,560.5401,542.52952,338.341595,320.331015
Cer(d22:1/16:0),594.58198,576.5714,558.56082,338.341595,320.331015
Cer(d22:1/16:1),592.56638,574.5558,556.54522,338.341595,320.331015
Cer(d22:1/17:0),608.59768,590.5871,572.57652,338.341595,320.331015
Cer(d22:1/17:1),606.58198,588.5714,570.56082,338.341595,320.331015
Cer(d22:1/17:2),604.56638,586.5558,568.54522,338.341595,320.331015
Cer(d22:1/18:0),622.61328,604.6027,586.59212,338.341595,320.331015
Cer(d22:1/18:1),620.59768,602.5871,584.57652,338.341595,320.331015
Cer(d22:1/18:2),618.58198,600.5714,582.56082,338.341595,320.331015
Cer(d22:1/18:3),616.56638,598.5558,580.54522,338.341595,320.331015
Cer(d22:1/18:4),614.55068,596.5401,578.52952,338.341595,320.331015
Cer(d22:1/19:0),636.62898,618.6184,600.60782,338.341595,320.331015
Cer(d22:1/20:0),650.64458,632.634,614.62342,338.341595,320.331015
Cer(d22:1/20:1),648.62898,630.6184,612.60782,338.341595,320.331015
Cer(d22:1/20:2),646.61328,628.6027,610.59212,338.341595,320.331015
Cer(d22:1/20:3),644.59768,626.5871,608.57652,338.341595,320.331015
Cer(d22:1/20:4),642.58198,624.5714,606.56082,338.341595,320.331015
Cer(d22:1/20:5),640.56638,622.5558,604.54522,338.341595,320.331015
Cer(d22:1/21:0),664.66028,646.6497,628.63912,338.341595,320.331015
Cer(d22:1/22:0),678.67588,660.6653,642.65472,338.341595,320.331015
Cer(d22:1/22:1),676.66028,658.6497,640.63912,338.341595,320.331015
Cer(d22:1/22:1),676.66028,658.6497,640.63912,338.341595,320.331015
Cer(d22:1/22:2),674.64458,656.634,638.62342,338.341595,320.331015
Cer(d22:1/22:3),672.62898,654.6184,636.60782,338.341595,320.331015
Cer(d22:1/22:4),670.61328,652.6027,634.59212,338.341595,320.331015
Cer(d22:1/22:5),668.59768,650.5871,632.57652,338.341595,320.331015
Cer(d22:1/22:6),666.58198,648.5714,630.56082,338.341595,320.331015
Cer(d22:1/23:0),692.69158,674.681,656.67042,338.341595,320.331015
Cer(d22:1/24:0),706.70718,688.6966,670.68602,338.341595,320.331015
Cer(d22:1/24:1),704.69158,686.681,668.67042,338.341595,320.331015
Cer(d22:1/25:0),720.72288,702.7123,684.70172,338.341595,320.331015
Cer(d22:1/26:0),734.73848,716.7279,698.71732,338.341595,320.331015
Cer(d22:1/8:0),482.45678,464.4462,446.43562,338.341595,320.331015
Cer(d22:2/10:0),508.47238,490.4618,472.45122,336.325895,318.315315
Cer(d22:2/12:0),536.50368,518.4931,500.48252,336.325895,318.315315
Cer(d22:2/13:0),550.51938,532.5088,514.49822,336.325895,318.315315
Cer(d22:2/14:0),564.53498,546.5244,528.51382,336.325895,318.315315
Cer(d22:2/14:1),562.51938,544.5088,526.49822,336.325895,318.315315
Cer(d22:2/15:0),578.55068,560.5401,542.52952,336.325895,318.315315
Cer(d22:2/15:1),576.53498,558.5244,540.51382,336.325895,318.315315
Cer(d22:2/16:0),592.56628,574.5557,556.54512,336.325895,318.315315
Cer(d22:2/16:1),590.55068,572.5401,554.52952,336.325895,318.315315
Cer(d22:2/17:0),606.58198,588.5714,570.56082,336.325895,318.315315
Cer(d22:2/17:1),604.56628,586.5557,568.54512,336.325895,318.315315
Cer(d22:2/17:2),602.55068,584.5401,566.52952,336.325895,318.315315
Cer(d22:2/18:0),620.59758,602.587,584.57642,336.325895,318.315315
Cer(d22:2/18:1),618.58198,600.5714,582.56082,336.325895,318.315315
Cer(d22:2/18:2),616.56628,598.5557,580.54512,336.325895,318.315315
Cer(d22:2/18:3),614.55068,596.5401,578.52952,336.325895,318.315315
Cer(d22:2/18:4),612.53498,594.5244,576.51382,336.325895,318.315315
Cer(d22:2/19:0),634.61328,616.6027,598.59212,336.325895,318.315315
Cer(d22:2/20:0),648.62888,630.6183,612.60772,336.325895,318.315315
Cer(d22:2/20:1),646.61328,628.6027,610.59212,336.325895,318.315315
Cer(d22:2/20:2),644.59758,626.587,608.57642,336.325895,318.315315
Cer(d22:2/20:3),642.58198,624.5714,606.56082,336.325895,318.315315
Cer(d22:2/20:4),640.56628,622.5557,604.54512,336.325895,318.315315
Cer(d22:2/20:5),638.55068,620.5401,602.52952,336.325895,318.315315
Cer(d22:2/21:0),662.64458,644.634,626.62342,336.325895,318.315315
Cer(d22:2/22:0),676.66018,658.6496,640.63902,336.325895,318.315315
Cer(d22:2/22:1),674.64458,656.634,638.62342,336.325895,318.315315
Cer(d22:2/22:2),672.62888,654.6183,636.60772,336.325895,318.315315
Cer(d22:2/22:2),672.62888,654.6183,636.60772,336.325895,318.315315
Cer(d22:2/22:3),670.61328,652.6027,634.59212,336.325895,318.315315
Cer(d22:2/22:4),668.59758,650.587,632.57642,336.325895,318.315315
Cer(d22:2/22:5),666.58198,648.5714,630.56082,336.325895,318.315315
Cer(d22:2/22:6),664.56628,646.5557,628.54512,336.325895,318.315315
Cer(d22:2/23:0),690.67588,672.6653,654.65472,336.325895,318.315315
Cer(d22:2/24:0),704.69148,686.6809,668.67032,336.325895,318.315315
Cer(d22:2/24:1),702.67588,684.6653,666.65472,336.325895,318.315315
Cer(d22:2/25:0),718.70718,700.6966,682.68602,336.325895,318.315315
Cer(d22:2/26:0),732.72278,714.7122,696.70162,336.325895,318.315315
Cer(d22:2/8:0),480.44108,462.4305,444.41992,336.325895,318.315315
Cer(d22:3/10:0),506.45678,488.4462,470.43562,334.310295,316.299715
Cer(d22:3/12:0),534.48808,516.4775,498.46692,334.310295,316.299715
Cer(d22:3/13:0),548.50378,530.4932,512.48262,334.310295,316.299715
Cer(d22:3/14:0),562.51938,544.5088,526.49822,334.310295,316.299715
Cer(d22:3/14:1),560.50378,542.4932,524.48262,334.310295,316.299715
Cer(d22:3/15:0),576.53508,558.5245,540.51392,334.310295,316.299715
Cer(d22:3/15:1),574.51938,556.5088,538.49822,334.310295,316.299715
Cer(d22:3/16:0),590.55068,572.5401,554.52952,334.310295,316.299715
Cer(d22:3/16:1),588.53508,570.5245,552.51392,334.310295,316.299715
Cer(d22:3/17:0),604.56638,586.5558,568.54522,334.310295,316.299715
Cer(d22:3/17:1),602.55068,584.5401,566.52952,334.310295,316.299715
Cer(d22:3/17:2),600.53508,582.5245,564.51392,334.310295,316.299715
Cer(d22:3/18:0),618.58198,600.5714,582.56082,334.310295,316.299715
Cer(d22:3/18:1),616.56638,598.5558,580.54522,334.310295,316.299715
Cer(d22:3/18:2),614.55068,596.5401,578.52952,334.310295,316.299715
Cer(d22:3/18:3),612.53508,594.5245,576.51392,334.310295,316.299715
Cer(d22:3/18:4),610.51938,592.5088,574.49822,334.310295,316.299715
Cer(d22:3/19:0),632.59768,614.5871,596.57652,334.310295,316.299715
Cer(d22:3/20:0),646.61328,628.6027,610.59212,334.310295,316.299715
Cer(d22:3/20:1),644.59768,626.5871,608.57652,334.310295,316.299715
Cer(d22:3/20:2),642.58198,624.5714,606.56082,334.310295,316.299715
Cer(d22:3/20:3),640.56638,622.5558,604.54522,334.310295,316.299715
Cer(d22:3/20:4),638.55068,620.5401,602.52952,334.310295,316.299715
Cer(d22:3/20:5),636.53508,618.5245,600.51392,334.310295,316.299715
Cer(d22:3/21:0),660.62898,642.6184,624.60782,334.310295,316.299715
Cer(d22:3/22:0),674.64458,656.634,638.62342,334.310295,316.299715
Cer(d22:3/22:1),672.62898,654.6184,636.60782,334.310295,316.299715
Cer(d22:3/22:2),670.61328,652.6027,634.59212,334.310295,316.299715
Cer(d22:3/22:3),668.59768,650.5871,632.57652,334.310295,316.299715
Cer(d22:3/22:3),668.59768,650.5871,632.57652,334.310295,316.299715
Cer(d22:3/22:4),666.58198,648.5714,630.56082,334.310295,316.299715
Cer(d22:3/22:5),664.56638,646.5558,628.54522,334.310295,316.299715
Cer(d22:3/22:6),662.55068,644.5401,626.52952,334.310295,316.299715
Cer(d22:3/23:0),688.66028,670.6497,652.63912,334.310295,316.299715
Cer(d22:3/24:0),702.67588,684.6653,666.65472,334.310295,316.299715
Cer(d22:3/24:1),700.66028,682.6497,664.63912,334.310295,316.299715
Cer(d22:3/25:0),716.69158,698.681,680.67042,334.310295,316.299715
Cer(d22:3/26:0),730.70718,712.6966,694.68602,334.310295,316.299715
Cer(d22:3/8:0),478.42548,460.4149,442.40432,334.310295,316.299715
Cer(d22:4/10:0),504.44108,486.4305,468.41992,332.294595,314.284015
Cer(d22:4/12:0),532.47238,514.4618,496.45122,332.294595,314.284015
Cer(d22:4/13:0),546.48808,528.4775,510.46692,332.294595,314.284015
Cer(d22:4/14:0),560.50368,542.4931,524.48252,332.294595,314.284015
Cer(d22:4/14:1),558.48808,540.4775,522.46692,332.294595,314.284015
Cer(d22:4/15:0),574.51938,556.5088,538.49822,332.294595,314.284015
Cer(d22:4/15:1),572.50368,554.4931,536.48252,332.294595,314.284015
Cer(d22:4/16:0),588.53498,570.5244,552.51382,332.294595,314.284015
Cer(d22:4/16:1),586.51938,568.5088,550.49822,332.294595,314.284015
Cer(d22:4/17:0),602.55068,584.5401,566.52952,332.294595,314.284015
Cer(d22:4/17:1),600.53498,582.5244,564.51382,332.294595,314.284015
Cer(d22:4/17:2),598.51938,580.5088,562.49822,332.294595,314.284015
Cer(d22:4/18:0),616.56628,598.5557,580.54512,332.294595,314.284015
Cer(d22:4/18:1),614.55068,596.5401,578.52952,332.294595,314.284015
Cer(d22:4/18:2),612.53498,594.5244,576.51382,332.294595,314.284015
Cer(d22:4/18:3),610.51938,592.5088,574.49822,332.294595,314.284015
Cer(d22:4/18:4),608.50368,590.4931,572.48252,332.294595,314.284015
Cer(d22:4/19:0),630.58198,612.5714,594.56082,332.294595,314.284015
Cer(d22:4/20:0),644.59758,626.587,608.57642,332.294595,314.284015
Cer(d22:4/20:1),642.58198,624.5714,606.56082,332.294595,314.284015
Cer(d22:4/20:2),640.56628,622.5557,604.54512,332.294595,314.284015
Cer(d22:4/20:3),638.55068,620.5401,602.52952,332.294595,314.284015
Cer(d22:4/20:4),636.53498,618.5244,600.51382,332.294595,314.284015
Cer(d22:4/20:5),634.51938,616.5088,598.49822,332.294595,314.284015
Cer(d22:4/21:0),658.61328,640.6027,622.59212,332.294595,314.284015
Cer(d22:4/22:0),672.62888,654.6183,636.60772,332.294595,314.284015
Cer(d22:4/22:1),670.61328,652.6027,634.59212,332.294595,314.284015
Cer(d22:4/22:2),668.59758,650.587,632.57642,332.294595,314.284015
Cer(d22:4/22:3),666.58198,648.5714,630.56082,332.294595,314.284015
Cer(d22:4/22:4),664.56628,646.5557,628.54512,332.294595,314.284015
Cer(d22:4/22:4),664.56628,646.5557,628.54512,332.294595,314.284015
Cer(d22:4/22:5),662.55068,644.5401,626.52952,332.294595,314.284015
Cer(d22:4/22:6),660.53498,642.5244,624.51382,332.294595,314.284015
Cer(d22:4/23:0),686.64458,668.634,650.62342,332.294595,314.284015
Cer(d22:4/24:0),700.66018,682.6496,664.63902,332.294595,314.284015
