"PS","[M+H]+","[M+H-PS head]+","[acyl-sn1-RCOO+58]+","[acyl-sn2-RCOO+58]+","[acyl-sn1-RCO]+","[acyl-sn2-RCO]+"
"PS(31:0) PS(10:0_21:0)",722.49676,537.48781,383.35206,229.17986,155.14305,309.31525
"PS(32:0) PS(10:0_22:0)",736.51236,551.50341,397.36766,229.17986,155.14305,323.33085
"PS(32:1) PS(10:0_22:1)",734.49676,549.48781,395.35206,229.17986,155.14305,321.31525
"PS(32:2) PS(10:0_22:2)",732.48106,547.47211,393.33636,229.17986,155.14305,319.29955
"PS(32:3) PS(10:0_22:3)",730.46546,545.45651,391.32076,229.17986,155.14305,317.28395
"PS(32:4) PS(10:0_22:4)",728.44976,543.44081,389.30506,229.17986,155.14305,315.26825
"PS(32:5) PS(10:0_22:5)",726.43416,541.42521,387.28946,229.17986,155.14305,313.25265
"PS(32:6) PS(10:0_22:6)",724.41846,539.40951,385.27376,229.17986,155.14305,311.23695
"PS(33:0) PS(10:0_23:0)",750.52806,565.51911,411.38336,229.17986,155.14305,337.34655
"PS(34:0) PS(10:0_24:0)",764.54366,579.53471,425.39896,229.17986,155.14305,351.36215
"PS(34:1) PS(10:0_24:1)",762.52806,577.51911,423.38336,229.17986,155.14305,349.34655
"PS(35:0) PS(10:0_25:0)",778.55936,593.55041,439.41466,229.17986,155.14305,365.37785
"PS(36:0) PS(10:0_26:0)",792.57496,607.56601,453.43026,229.17986,155.14305,379.39345
"PS(24:0) PS(12:0_12:0)",624.38716,439.37821,257.21116,257.21116,183.17435,183.17435
"PS(25:0) PS(12:0_13:0)",638.40286,453.39391,271.22686,257.21116,183.17435,197.19005
"PS(26:0) PS(12:0_14:0)",652.41846,467.40951,285.24246,257.21116,183.17435,211.20565
"PS(26:1) PS(12:0_14:1)",650.40286,465.39391,283.22686,257.21116,183.17435,209.19005
"PS(27:0) PS(12:0_15:0)",666.43416,481.42521,299.25816,257.21116,183.17435,225.22135
"PS(27:1) PS(12:0_15:1)",664.41846,479.40951,297.24246,257.21116,183.17435,223.20565
"PS(28:0) PS(12:0_16:0)",680.44976,495.44081,313.27376,257.21116,183.17435,239.23695
"PS(28:1) PS(12:0_16:1)",678.43416,493.42521,311.25816,257.21116,183.17435,237.22135
"PS(29:0) PS(12:0_17:0)",694.46546,509.45651,327.28946,257.21116,183.17435,253.25265
"PS(29:1) PS(12:0_17:1)",692.44976,507.44081,325.27376,257.21116,183.17435,251.23695
"PS(29:2) PS(12:0_17:2)",690.43416,505.42521,323.25816,257.21116,183.17435,249.22135
"PS(30:0) PS(12:0_18:0)",708.48106,523.47211,341.30506,257.21116,183.17435,267.26825
"PS(30:1) PS(12:0_18:1)",706.46546,521.45651,339.28946,257.21116,183.17435,265.25265
"PS(30:2) PS(12:0_18:2)",704.44976,519.44081,337.27376,257.21116,183.17435,263.23695
"PS(30:3) PS(12:0_18:3)",702.43416,517.42521,335.25816,257.21116,183.17435,261.22135
"PS(30:4) PS(12:0_18:4)",700.41846,515.40951,333.24246,257.21116,183.17435,259.20565
"PS(31:0) PS(12:0_19:0)",722.49676,537.48781,355.32076,257.21116,183.17435,281.28395
"PS(32:0) PS(12:0_20:0)",736.51236,551.50341,369.33636,257.21116,183.17435,295.29955
"PS(32:1) PS(12:0_20:1)",734.49676,549.48781,367.32076,257.21116,183.17435,293.28395
"PS(32:2) PS(12:0_20:2)",732.48106,547.47211,365.30506,257.21116,183.17435,291.26825
"PS(32:3) PS(12:0_20:3)",730.46546,545.45651,363.28946,257.21116,183.17435,289.25265
"PS(32:4) PS(12:0_20:4)",728.44976,543.44081,361.27376,257.21116,183.17435,287.23695
"PS(32:5) PS(12:0_20:5)",726.43416,541.42521,359.25816,257.21116,183.17435,285.22135
"PS(33:0) PS(12:0_21:0)",750.52806,565.51911,383.35206,257.21116,183.17435,309.31525
"PS(34:0) PS(12:0_22:0)",764.54366,579.53471,397.36766,257.21116,183.17435,323.33085
