"DG","[M+NH4]+","[M+H-H2O]+","[M+H-acyl-sn1-2H2O]+","[M+H-acyl-sn2-2H2O]+","[acyl-sn1CO]+","[acyl-sn2CO]+","[acyl-sn1CO-H2O]+","[acyl-sn2CO-H2O]+","[acyl-sn1CO-H2O+74]+","[acyl-sn2CO-H2O+74]+"
"DG(25:1) DG(10:0_15:1)",486.4153,451.3782,297.2424,229.1798,155.143,223.2056,137.1325,205.1951,211.1693,279.2319
"DG(26:0) DG(10:0_16:0)",502.4466,467.4095,313.2737,229.1798,155.143,239.2369,137.1325,221.2264,211.1693,295.2632
"DG(26:1) DG(10:0_16:1)",500.431,465.3939,311.2581,229.1798,155.143,237.2213,137.1325,219.2108,211.1693,293.2476
"DG(27:0) DG(10:0_17:0)",516.4623,481.4252,327.2894,229.1798,155.143,253.2526,137.1325,235.2421,211.1693,309.2789
"DG(27:1) DG(10:0_17:1)",514.4466,479.4095,325.2737,229.1798,155.143,251.2369,137.1325,233.2264,211.1693,307.2632
"DG(27:2) DG(10:0_17:2)",512.431,477.3939,323.2581,229.1798,155.143,249.2213,137.1325,231.2108,211.1693,305.2476
"DG(28:0) DG(10:0_18:0)",530.4779,495.4408,341.305,229.1798,155.143,267.2682,137.1325,249.2577,211.1693,323.2945
"DG(28:1) DG(10:0_18:1)",528.4623,493.4252,339.2894,229.1798,155.143,265.2526,137.1325,247.2421,211.1693,321.2789
"DG(28:2) DG(10:0_18:2)",526.4466,491.4095,337.2737,229.1798,155.143,263.2369,137.1325,245.2264,211.1693,319.2632
"DG(28:3) DG(10:0_18:3)",524.431,489.3939,335.2581,229.1798,155.143,261.2213,137.1325,243.2108,211.1693,317.2476
"DG(28:4) DG(10:0_18:4)",522.4153,487.3782,333.2424,229.1798,155.143,259.2056,137.1325,241.1951,211.1693,315.2319
"DG(29:0) DG(10:0_19:0)",544.4936,509.4565,355.3207,229.1798,155.143,281.2839,137.1325,263.2734,211.1693,337.3102
"DG(30:0) DG(10:0_20:0)",558.5092,523.4721,369.3363,229.1798,155.143,295.2995,137.1325,277.289,211.1693,351.3258
"DG(30:1) DG(10:0_20:1)",556.4936,521.4565,367.3207,229.1798,155.143,293.2839,137.1325,275.2734,211.1693,349.3102
"DG(30:2) DG(10:0_20:2)",554.4779,519.4408,365.305,229.1798,155.143,291.2682,137.1325,273.2577,211.1693,347.2945
"DG(30:3) DG(10:0_20:3)",552.4623,517.4252,363.2894,229.1798,155.143,289.2526,137.1325,271.2421,211.1693,345.2789
"DG(30:4) DG(10:0_20:4)",550.4466,515.4095,361.2737,229.1798,155.143,287.2369,137.1325,269.2264,211.1693,343.2632
"DG(30:5) DG(10:0_20:5)",548.431,513.3939,359.2581,229.1798,155.143,285.2213,137.1325,267.2108,211.1693,341.2476
"DG(31:0) DG(10:0_21:0)",572.5249,537.4878,383.352,229.1798,155.143,309.3152,137.1325,291.3047,211.1693,365.3415
"DG(32:0) DG(10:0_22:0)",586.5405,551.5034,397.3676,229.1798,155.143,323.3308,137.1325,305.3203,211.1693,379.3571
"DG(32:1) DG(10:0_22:1)",584.5249,549.4878,395.352,229.1798,155.143,321.3152,137.1325,303.3047,211.1693,377.3415
"DG(32:2) DG(10:0_22:2)",582.5092,547.4721,393.3363,229.1798,155.143,319.2995,137.1325,301.289,211.1693,375.3258
"DG(32:3) DG(10:0_22:3)",580.4936,545.4565,391.3207,229.1798,155.143,317.2839,137.1325,299.2734,211.1693,373.3102
"DG(32:4) DG(10:0_22:4)",578.4779,543.4408,389.305,229.1798,155.143,315.2682,137.1325,297.2577,211.1693,371.2945
"DG(32:5) DG(10:0_22:5)",576.4623,541.4252,387.2894,229.1798,155.143,313.2526,137.1325,295.2421,211.1693,369.2789
"DG(32:6) DG(10:0_22:6)",574.4466,539.4095,385.2737,229.1798,155.143,311.2369,137.1325,293.2264,211.1693,367.2632
"DG(33:0) DG(10:0_23:0)",600.5562,565.5191,411.3833,229.1798,155.143,337.3465,137.1325,319.336,211.1693,393.3728
"DG(34:0) DG(10:0_24:0)",614.5718,579.5347,425.3989,229.1798,155.143,351.3621,137.1325,333.3516,211.1693,407.3884
"DG(34:1) DG(10:0_24:1)",612.5562,577.5191,423.3833,229.1798,155.143,349.3465,137.1325,331.336,211.1693,405.3728
"DG(35:0) DG(10:0_25:0)",628.5875,593.5504,439.4146,229.1798,155.143,365.3778,137.1325,347.3673,211.1693,421.4041
"DG(36:0) DG(10:0_26:0)",642.6031,607.566,453.4302,229.1798,155.143,379.3934,137.1325,361.3829,211.1693,435.4197
"DG(24:0) DG(12:0_12:0)",474.4153,439.3782,257.2111,257.2111,183.1743,183.1743,165.1638,165.1638,239.2006,239.2006
"DG(25:0) DG(12:0_13:0)",488.431,453.3939,271.2268,257.2111,183.1743,197.19,165.1638,179.1795,239.2006,253.2163
"DG(26:0) DG(12:0_14:0)",502.4466,467.4095,285.2424,257.2111,183.1743,211.2056,165.1638,193.1951,239.2006,267.2319
"DG(26:1) DG(12:0_14:1)",500.431,465.3939,283.2268,257.2111,183.1743,209.19,165.1638,191.1795,239.2006,265.2163
"DG(27:0) DG(12:0_15:0)",516.4623,481.4252,299.2581,257.2111,183.1743,225.2213,165.1638,207.2108,239.2006,281.2476
