"PG","[M+NH4]+","[M+NH4-PG head]+","[M+NH4-PG head-H2O]+","[M+NH4-T1_RCOOH]+","[M+NH4-T2_RCOOH]+","[T1_RCO]+","[T2_RCO]+","[T1RCOO+58]+","[T2RCOO+58]+"
"PG(27:0) PG(10:0_17:0)",670.46546,499.45956,481.425227,481.292586,383.182986,155.14305,253.25265,229.17983,327.28943
"PG(27:1) PG(10:0_17:1)",668.44976,497.44386,479.409527,479.276886,383.182986,155.14305,251.23695,229.17983,325.27373
"PG(27:2) PG(10:0_17:2)",666.43416,495.42826,477.393927,477.261286,383.182986,155.14305,249.22135,229.17983,323.25813
"PG(28:0) PG(10:0_18:0)",684.48106,513.47516,495.440827,495.308186,383.182986,155.14305,267.26825,229.17983,341.30503
"PG(28:1) PG(10:0_18:1)",682.46546,511.45956,493.425227,493.292586,383.182986,155.14305,265.25265,229.17983,339.28943
"PG(28:2) PG(10:0_18:2)",680.44976,509.44386,491.409527,491.276886,383.182986,155.14305,263.23695,229.17983,337.27373
"PG(28:3) PG(10:0_18:3)",678.43416,507.42826,489.393927,489.261286,383.182986,155.14305,261.22135,229.17983,335.25813
"PG(28:4) PG(10:0_18:4)",676.41846,505.41256,487.378227,487.245586,383.182986,155.14305,259.20565,229.17983,333.24243
"PG(29:0) PG(10:0_19:0)",698.49676,527.49086,509.456527,509.323886,383.182986,155.14305,281.28395,229.17983,355.32073
"PG(30:0) PG(10:0_20:0)",712.51236,541.50646,523.472127,523.339486,383.182986,155.14305,295.29955,229.17983,369.33633
"PG(30:1) PG(10:0_20:1)",710.49676,539.49086,521.456527,521.323886,383.182986,155.14305,293.28395,229.17983,367.32073
"PG(30:2) PG(10:0_20:2)",708.48106,537.47516,519.440827,519.308186,383.182986,155.14305,291.26825,229.17983,365.30503
"PG(30:3) PG(10:0_20:3)",706.46546,535.45956,517.425227,517.292586,383.182986,155.14305,289.25265,229.17983,363.28943
"PG(30:4) PG(10:0_20:4)",704.44976,533.44386,515.409527,515.276886,383.182986,155.14305,287.23695,229.17983,361.27373
"PG(30:5) PG(10:0_20:5)",702.43416,531.42826,513.393927,513.261286,383.182986,155.14305,285.22135,229.17983,359.25813
"PG(31:0) PG(10:0_21:0)",726.52806,555.52216,537.487827,537.355186,383.182986,155.14305,309.31525,229.17983,383.35203
"PG(32:0) PG(10:0_22:0)",740.54366,569.53776,551.503427,551.370786,383.182986,155.14305,323.33085,229.17983,397.36763
"PG(32:1) PG(10:0_22:1)",738.52806,567.52216,549.487827,549.355186,383.182986,155.14305,321.31525,229.17983,395.35203
"PG(32:2) PG(10:0_22:2)",736.51236,565.50646,547.472127,547.339486,383.182986,155.14305,319.29955,229.17983,393.33633
"PG(32:3) PG(10:0_22:3)",734.49676,563.49086,545.456527,545.323886,383.182986,155.14305,317.28395,229.17983,391.32073
"PG(32:4) PG(10:0_22:4)",732.48106,561.47516,543.440827,543.308186,383.182986,155.14305,315.26825,229.17983,389.30503
"PG(32:5) PG(10:0_22:5)",730.46546,559.45956,541.425227,541.292586,383.182986,155.14305,313.25265,229.17983,387.28943
"PG(32:6) PG(10:0_22:6)",728.44976,557.44386,539.409527,539.276886,383.182986,155.14305,311.23695,229.17983,385.27373
"PG(33:0) PG(10:0_23:0)",754.55936,583.55346,565.519127,565.386486,383.182986,155.14305,337.34655,229.17983,411.38333
"PG(34:0) PG(10:0_24:0)",768.57496,597.56906,579.534727,579.402086,383.182986,155.14305,351.36215,229.17983,425.39893
"PG(34:1) PG(10:0_24:1)",766.55936,595.55346,577.519127,577.386486,383.182986,155.14305,349.34655,229.17983,423.38333
"PG(35:0) PG(10:0_25:0)",782.59066,611.58476,593.550427,593.417786,383.182986,155.14305,365.37785,229.17983,439.41463
"PG(36:0) PG(10:0_26:0)",796.60626,625.60036,607.566027,607.433386,383.182986,155.14305,379.39345,229.17983,453.43023
"PG(24:0) PG(12:0_12:0)",628.41846,457.41256,439.378227,411.214286,411.214286,183.17435,183.17435,257.21113,257.21113
"PG(25:0) PG(12:0_13:0)",642.43416,471.42826,453.393927,425.229986,411.214286,183.17435,197.19005,257.21113,271.22683
"PG(26:0) PG(12:0_14:0)",656.44976,485.44386,467.409527,439.245586,411.214286,183.17435,211.20565,257.21113,285.24243
"PG(26:1) PG(12:0_14:1)",654.43416,483.42826,465.393927,437.229986,411.214286,183.17435,209.19005,257.21113,283.22683
