"TG","[M+NH4]+","[M+H-R1-H2O]+","[M+H-R2-H2O]+","[M+H-R3-H2O]+","[R1CO]+","[R2CO]+","[R3CO]+","[R1CO+74]+","[R2CO+74]+","[R3CO+74]+","[R1CO+74-H2O]+","[R2CO+74-H2O]+","[R3CO+74-H2O]+"
"TG(34:1) TG(18:1_8:0_8:0)",626.5354504,327.2529764,465.3938764,465.3938764,265.2526364,127.1117364,127.1117364,339.2894364,201.1485364,201.1485364,321.2788714,183.1379714,183.1379714
"TG(34:1) TG(10:0_16:1_8:0)",626.5354504,437.3625764,355.2842764,465.3938764,155.1430364,237.2213364,127.1117364,229.1798364,311.2581364,201.1485364,211.1692714,293.2475714,183.1379714
"TG(34:1) TG(12:0_14:1_8:0)",626.5354504,409.3312764,383.3155764,465.3938764,183.1743364,209.1900364,127.1117364,257.2111364,283.2268364,201.1485364,239.2005714,265.2162714,183.1379714
"TG(34:0) TG(10:0_10:0_14:0)",628.5510504,439.3781764,439.3781764,383.3155764,155.1430364,155.1430364,211.2056364,229.1798364,229.1798364,285.2424364,211.1692714,211.1692714,267.2318714
"TG(34:0) TG(10:0_12:0_12:0)",628.5510504,439.3781764,411.3468764,411.3468764,155.1430364,183.1743364,183.1743364,229.1798364,257.2111364,257.2111364,211.1692714,239.2005714,239.2005714
"TG(34:0) TG(18:0_8:0_8:0)",628.5510504,327.2529764,467.4094764,467.4094764,267.2682364,127.1117364,127.1117364,341.3050364,201.1485364,201.1485364,323.2944714,183.1379714,183.1379714
"TG(34:0) TG(10:0_16:0_8:0)",628.5510504,439.3781764,355.2842764,467.4094764,155.1430364,239.2369364,127.1117364,229.1798364,313.2737364,201.1485364,211.1692714,295.2631714,183.1379714
"TG(34:0) TG(12:0_14:0_8:0)",628.5510504,411.3468764,383.3155764,467.4094764,183.1743364,211.2056364,127.1117364,257.2111364,285.2424364,201.1485364,239.2005714,267.2318714,183.1379714
"TG(34:0) TG(13:0_13:0_8:0)",628.5511504,397.3312764,397.3312764,467.4095764,197.1900364,197.1900364,127.1117364,271.2268364,271.2268364,201.1485364,253.2162714,253.2162714,183.1379714
"TG(35:2) TG(10:0_17:2_8:0)",638.5354504,449.3625764,355.2842764,477.3938764,155.1430364,249.2213364,127.1117364,229.1798364,323.2581364,201.1485364,211.1692714,305.2475714,183.1379714
"TG(35:1) TG(10:0_10:0_15:1)",640.5510504,451.3781764,451.3781764,383.3155764,155.1430364,155.1430364,223.2056364,229.1798364,229.1798364,297.2424364,211.1692714,211.1692714,279.2318714
"TG(35:1) TG(10:0_17:1_8:0)",640.5510504,451.3781764,355.2842764,479.4094764,155.1430364,251.2369364,127.1117364,229.1798364,325.2737364,201.1485364,211.1692714,307.2631714,183.1379714
"TG(35:1) TG(12:0_15:1_8:0)",640.5510504,423.3468764,383.3155764,479.4094764,183.1743364,223.2056364,127.1117364,257.2111364,297.2424364,201.1485364,239.2005714,279.2318714,183.1379714
"TG(35:1) TG(13:0_14:1_8:0)",640.5511504,409.3312764,397.3312764,479.4095764,197.1900364,209.1900364,127.1117364,271.2268364,283.2268364,201.1485364,253.2162714,265.2162714,183.1379714
"TG(35:0) TG(10:0_10:0_15:0)",642.5667504,453.3938764,453.3938764,383.3155764,155.1430364,155.1430364,225.2213364,229.1798364,229.1798364,299.2581364,211.1692714,211.1692714,281.2475714
"TG(35:0) TG(10:0_12:0_13:0)",642.5667504,453.3938764,425.3625764,411.3468764,155.1430364,183.1743364,197.1900364,229.1798364,257.2111364,271.2268364,211.1692714,239.2005714,253.2162714
