HexCer,[M+H]+,[M+H-H2O]+,[M+H-Hex]+,[M+H-Hex-H2O]+,[M+H-R1-H2O-Hex]+,[M+H-R1-2H2O-Hex]+
HexCer(d17:1/14:0),658.5258,640.51524,478.4624,460.4518,268.2635,250.2529
HexCer(d17:1/14:1),656.5101,638.49954,476.4467,458.4362,268.2635,250.2529
HexCer(d17:1/15:0),672.5414,654.53084,492.478,474.4675,268.2635,250.2529
HexCer(d17:1/15:1),670.5258,652.51524,490.4624,472.4518,268.2635,250.2529
HexCer(d17:1/16:0),686.5571,668.54654,506.4937,488.4831,268.2635,250.2529
HexCer(d17:1/16:1),684.5414,666.53084,504.478,486.4675,268.2635,250.2529
HexCer(d17:1/16:2),682.5258,664.51524,502.4624,484.4518,268.2635,250.2529
HexCer(d17:1/17:0),700.5728,682.56224,520.5093,502.4988,268.2635,250.2529
HexCer(d17:1/18:0),714.5884,696.57784,534.525,516.5144,268.2635,250.2529
HexCer(d17:1/18:1),712.5728,694.56224,532.5093,514.4988,268.2635,250.2529
HexCer(d17:1/18:2),710.5571,692.54654,530.4937,512.4831,268.2635,250.2529
HexCer(d17:1/19:0),728.6041,710.59354,548.5406,530.5301,268.2635,250.2529
HexCer(d17:1/19:1),726.5884,708.57784,546.525,528.5144,268.2635,250.2529
HexCer(d17:1/20:0),742.6197,724.60914,562.5563,544.5457,268.2635,250.2529
HexCer(d17:1/20:1),740.6041,722.59354,560.5406,542.5301,268.2635,250.2529
HexCer(d17:1/20:2),738.5884,720.57784,558.525,540.5144,268.2635,250.2529
HexCer(d17:1/21:0),756.6353,738.62474,576.572,558.5613,268.2635,250.2529
HexCer(d17:1/21:1),754.6197,736.60914,574.5563,556.5457,268.2635,250.2529
HexCer(d17:1/22:0),770.651,752.64044,590.5876,572.577,268.2635,250.2529
HexCer(d17:1/22:1),768.6353,750.62474,588.572,570.5613,268.2635,250.2529
HexCer(d17:1/22:2),766.6197,748.60914,586.5563,568.5457,268.2635,250.2529
HexCer(d17:1/23:0),784.6666,766.65604,604.6032,586.5927,268.2635,250.2529
HexCer(d17:1/23:1),782.651,764.64044,602.5876,584.577,268.2635,250.2529
HexCer(d17:1/24:0),798.6823,780.67174,618.6189,600.6083,268.2635,250.2529
HexCer(d17:1/24:1),796.6666,778.65604,616.6032,598.5927,268.2635,250.2529
HexCer(d17:1/24:2),794.651,776.64044,614.5876,596.577,268.2635,250.2529
HexCer(d17:1/25:0),812.6979,794.68734,632.6345,614.624,268.2635,250.2529
HexCer(d17:1/25:1),810.6823,792.67174,630.6189,612.6083,268.2635,250.2529
HexCer(d17:1/26:0),826.7136,808.70304,646.6502,628.6396,268.2635,250.2529
HexCer(d17:1/26:1),824.6979,806.68734,644.6345,626.624,268.2635,250.2529
HexCer(d17:1/26:2),822.6823,804.67174,642.6189,624.6083,268.2635,250.2529
HexCer(d17:1/27:0),840.7292,822.71864,660.6658,642.6553,268.2635,250.2529
HexCer(d17:1/27:1),838.7136,820.70304,658.6502,640.6396,268.2635,250.2529
HexCer(d17:1/28:0),854.7449,836.73434,674.6815,656.6709,268.2635,250.2529
HexCer(d17:1/28:1),852.7292,834.71864,672.6658,654.6553,268.2635,250.2529
HexCer(d17:1/28:2),850.7136,832.70304,670.6502,652.6396,268.2635,250.2529
HexCer(d17:1/29:0),868.7606,850.75004,688.6971,670.6866,268.2635,250.2529
HexCer(d17:1/29:1),866.7449,848.73434,686.6815,668.6709,268.2635,250.2529
HexCer(d17:1/30:0),882.7762,864.76564,702.7128,684.7022,268.2635,250.2529
HexCer(d17:1/30:1),880.7606,862.75004,700.6971,682.6866,268.2635,250.2529
HexCer(d17:1/30:2),878.7449,860.73434,698.6815,680.6709,268.2635,250.2529
HexCer(d17:1/31:0),896.7919,878.78134,716.7285,698.7179,268.2635,250.2529
HexCer(d17:1/31:1),894.7762,876.76564,714.7128,696.7022,268.2635,250.2529
HexCer(d17:1/32:0),910.8075,892.79694,730.7441,712.7335,268.2635,250.2529
HexCer(d17:1/32:1),908.7919,890.78134,728.7285,710.7179,268.2635,250.2529
HexCer(d17:1/32:2),906.7762,888.76564,726.7128,708.7022,268.2635,250.2529
HexCer(d17:1/33:0),924.8231,906.81254,744.7598,726.7491,268.2635,250.2529
HexCer(d17:1/33:1),922.8075,904.79694,742.7441,724.7335,268.2635,250.2529
HexCer(d17:1/34:0),938.8388,920.82824,758.7754,740.7648,268.2635,250.2529
HexCer(d17:1/34:1),936.8231,918.81254,756.7598,738.7491,268.2635,250.2529
HexCer(d17:1/34:2),934.8075,916.79694,754.7441,736.7335,268.2635,250.2529
HexCer(d17:1/35:0),952.8544,934.84384,772.791,754.7805,268.2635,250.2529
HexCer(d17:1/35:1),950.8388,932.82824,770.7754,752.7648,268.2635,250.2529
HexCer(d17:1/36:0),966.8701,948.85954,786.8067,768.7961,268.2635,250.2529
HexCer(d17:1/36:1),964.8544,946.84384,784.791,766.7805,268.2635,250.2529
HexCer(d17:1/36:2),962.8388,944.82824,782.7754,764.7648,268.2635,250.2529
HexCer(d17:1/38:0),994.9014,976.89084,814.838,796.8274,268.2635,250.2529
HexCer(d17:1/38:1),992.8857,974.87514,812.8223,794.8118,268.2635,250.2529
HexCer(d17:1/38:2),990.8701,972.85954,810.8067,792.7961,268.2635,250.2529
HexCer(d17:1/40:0),1022.933,1004.92244,842.8693,824.8587,268.2635,250.2529
HexCer(d17:1/40:1),1020.917,1002.90644,840.8536,822.8431,268.2635,250.2529
HexCer(d17:1/40:2),1018.901,1000.89044,838.838,820.8274,268.2635,250.2529
HexCer(d17:1/42:0),1050.964,1032.95344,870.9006,852.89,268.2635,250.2529
HexCer(d17:1/42:1),1048.948,1030.93744,868.8849,850.8744,268.2635,250.2529
HexCer(d17:1/42:2),1046.933,1028.92244,866.8693,848.8587,268.2635,250.2529
HexCer(d17:2/12:0),628.4788,610.46824,448.4154,430.4049,266.2479,248.2373
HexCer(d17:2/12:1),626.4632,608.45264,446.3998,428.3892,266.2479,248.2373
HexCer(d17:2/13:0),642.4945,624.48394,462.4311,444.4205,266.2479,248.2373
HexCer(d17:2/13:1),640.4788,622.46824,460.4154,442.4049,266.2479,248.2373
HexCer(d17:2/14:0),656.5101,638.49954,476.4467,458.4362,266.2479,248.2373
HexCer(d17:2/14:1),654.4945,636.48394,474.4311,456.4205,266.2479,248.2373
HexCer(d17:2/15:0),670.5258,652.51524,490.4624,472.4518,266.2479,248.2373
HexCer(d17:2/15:1),668.5101,650.49954,488.4467,470.4362,266.2479,248.2373
HexCer(d17:2/16:0),684.5414,666.53084,504.478,486.4675,266.2479,248.2373
HexCer(d17:2/16:1),682.5258,664.51524,502.4624,484.4518,266.2479,248.2373
HexCer(d17:2/16:2),680.5101,662.49954,500.4467,482.4362,266.2479,248.2373
HexCer(d17:2/17:0),698.5571,680.54654,518.4937,500.4831,266.2479,248.2373
HexCer(d17:2/18:0),712.5728,694.56224,532.5093,514.4988,266.2479,248.2373
HexCer(d17:2/18:1),710.5571,692.54654,530.4937,512.4831,266.2479,248.2373
HexCer(d17:2/18:2),708.5414,690.53084,528.478,510.4675,266.2479,248.2373
HexCer(d17:2/19:0),726.5884,708.57784,546.525,528.5144,266.2479,248.2373
HexCer(d17:2/19:1),724.5728,706.56224,544.5093,526.4988,266.2479,248.2373
HexCer(d17:2/20:0),740.6041,722.59354,560.5406,542.5301,266.2479,248.2373
HexCer(d17:2/20:1),738.5884,720.57784,558.525,540.5144,266.2479,248.2373
HexCer(d17:2/20:2),736.5728,718.56224,556.5093,538.4988,266.2479,248.2373
HexCer(d17:2/21:0),754.6197,736.60914,574.5563,556.5457,266.2479,248.2373
HexCer(d17:2/21:1),752.6041,734.59354,572.5406,554.5301,266.2479,248.2373
HexCer(d17:2/22:0),768.6353,750.62474,588.572,570.5613,266.2479,248.2373
HexCer(d17:2/22:1),766.6197,748.60914,586.5563,568.5457,266.2479,248.2373
HexCer(d17:2/22:2),764.6041,746.59354,584.5406,566.5301,266.2479,248.2373
HexCer(d17:2/23:0),782.651,764.64044,602.5876,584.577,266.2479,248.2373
HexCer(d17:2/23:1),780.6353,762.62474,600.572,582.5613,266.2479,248.2373
HexCer(d17:2/24:0),796.6666,778.65604,616.6032,598.5927,266.2479,248.2373
HexCer(d17:2/24:1),794.651,776.64044,614.5876,596.577,266.2479,248.2373
HexCer(d17:2/24:2),792.6353,774.62474,612.572,594.5613,266.2479,248.2373
HexCer(d17:2/25:0),810.6823,792.67174,630.6189,612.6083,266.2479,248.2373
HexCer(d17:2/25:1),808.6666,790.65604,628.6032,610.5927,266.2479,248.2373
HexCer(d17:2/26:0),824.6979,806.68734,644.6345,626.624,266.2479,248.2373
HexCer(d17:2/26:1),822.6823,804.67174,642.6189,624.6083,266.2479,248.2373
HexCer(d17:2/26:2),820.6666,802.65604,640.6032,622.5927,266.2479,248.2373
HexCer(d17:2/27:0),838.7136,820.70304,658.6502,640.6396,266.2479,248.2373
HexCer(d17:2/27:1),836.6979,818.68734,656.6345,638.624,266.2479,248.2373
HexCer(d17:2/28:0),852.7292,834.71864,672.6658,654.6553,266.2479,248.2373
HexCer(d17:2/28:1),850.7136,832.70304,670.6502,652.6396,266.2479,248.2373
HexCer(d17:2/28:2),848.6979,830.68734,668.6345,650.624,266.2479,248.2373
HexCer(d17:2/29:0),866.7449,848.73434,686.6815,668.6709,266.2479,248.2373
HexCer(d17:2/29:1),864.7292,846.71864,684.6658,666.6553,266.2479,248.2373
HexCer(d17:2/30:0),880.7606,862.75004,700.6971,682.6866,266.2479,248.2373
HexCer(d17:2/30:1),878.7449,860.73434,698.6815,680.6709,266.2479,248.2373
HexCer(d17:2/30:2),876.7292,858.71864,696.6658,678.6553,266.2479,248.2373
HexCer(d17:2/31:0),894.7762,876.76564,714.7128,696.7022,266.2479,248.2373
HexCer(d17:2/31:1),892.7606,874.75004,712.6971,694.6866,266.2479,248.2373
HexCer(d17:2/32:0),908.7919,890.78134,728.7285,710.7179,266.2479,248.2373
HexCer(d17:2/32:1),906.7762,888.76564,726.7128,708.7022,266.2479,248.2373
HexCer(d17:2/32:2),904.7606,886.75004,724.6971,706.6866,266.2479,248.2373
HexCer(d17:2/33:0),922.8075,904.79694,742.7441,724.7335,266.2479,248.2373
HexCer(d17:2/33:1),920.7919,902.78134,740.7285,722.7179,266.2479,248.2373
HexCer(d17:2/34:0),936.8231,918.81254,756.7598,738.7491,266.2479,248.2373
HexCer(d17:2/34:1),934.8075,916.79694,754.7441,736.7335,266.2479,248.2373
HexCer(d17:2/34:2),932.7919,914.78134,752.7285,734.7179,266.2479,248.2373
HexCer(d17:2/35:0),950.8388,932.82824,770.7754,752.7648,266.2479,248.2373
HexCer(d17:2/35:1),948.8231,930.81254,768.7598,750.7491,266.2479,248.2373
HexCer(d17:2/36:0),964.8544,946.84384,784.791,766.7805,266.2479,248.2373
HexCer(d17:2/36:1),962.8388,944.82824,782.7754,764.7648,266.2479,248.2373
HexCer(d17:2/36:2),960.8231,942.81254,780.7598,762.7491,266.2479,248.2373
HexCer(d17:2/38:0),992.8857,974.87514,812.8223,794.8118,266.2479,248.2373
HexCer(d17:2/38:1),990.8701,972.85954,810.8067,792.7961,266.2479,248.2373
HexCer(d17:2/38:2),988.8544,970.84384,808.791,790.7805,266.2479,248.2373
HexCer(d17:2/40:0),1020.917,1002.90644,840.8536,822.8431,266.2479,248.2373
HexCer(d17:2/40:1),1018.901,1000.89044,838.838,820.8274,266.2479,248.2373
HexCer(d17:2/40:2),1016.886,998.87544,836.8223,818.8118,266.2479,248.2373
HexCer(d17:2/42:0),1048.948,1030.93744,868.8849,850.8744,266.2479,248.2373
HexCer(d17:2/42:1),1046.933,1028.92244,866.8693,848.8587,266.2479,248.2373
HexCer(d17:2/42:2),1044.917,1026.90644,864.8536,846.8431,266.2479,248.2373
HexCer(d17:3/12:0),626.4632,608.45264,446.3998,428.3892,264.2322,246.2216
HexCer(d17:3/12:1),624.4475,606.43694,444.3841,426.3736,264.2322,246.2216
HexCer(d17:3/13:0),640.4788,622.46824,460.4154,442.4049,264.2322,246.2216
HexCer(d17:3/13:1),638.4632,620.45264,458.3998,440.3892,264.2322,246.2216
HexCer(d17:3/14:0),654.4945,636.48394,474.4311,456.4205,264.2322,246.2216
HexCer(d17:3/14:1),652.4788,634.46824,472.4154,454.4049,264.2322,246.2216
HexCer(d17:3/15:0),668.5101,650.49954,488.4467,470.4362,264.2322,246.2216
HexCer(d17:3/15:1),666.4945,648.48394,486.4311,468.4205,264.2322,246.2216
HexCer(d17:3/16:0),682.5258,664.51524,502.4624,484.4518,264.2322,246.2216
HexCer(d17:3/16:1),680.5101,662.49954,500.4467,482.4362,264.2322,246.2216
HexCer(d17:3/16:2),678.4945,660.48394,498.4311,480.4205,264.2322,246.2216
HexCer(d17:3/17:0),696.5414,678.53084,516.478,498.4675,264.2322,246.2216
HexCer(d17:3/18:0),710.5571,692.54654,530.4937,512.4831,264.2322,246.2216
HexCer(d17:3/18:1),708.5414,690.53084,528.478,510.4675,264.2322,246.2216
HexCer(d17:3/18:2),706.5258,688.51524,526.4624,508.4518,264.2322,246.2216
HexCer(d17:3/19:0),724.5728,706.56224,544.5093,526.4988,264.2322,246.2216
HexCer(d17:3/19:1),722.5571,704.54654,542.4937,524.4831,264.2322,246.2216
HexCer(d17:3/20:0),738.5884,720.57784,558.525,540.5144,264.2322,246.2216
HexCer(d17:3/20:1),736.5728,718.56224,556.5093,538.4988,264.2322,246.2216
HexCer(d17:3/20:2),734.5571,716.54654,554.4937,536.4831,264.2322,246.2216
HexCer(d17:3/21:0),752.6041,734.59354,572.5406,554.5301,264.2322,246.2216
HexCer(d17:3/21:1),750.5884,732.57784,570.525,552.5144,264.2322,246.2216
HexCer(d17:3/22:0),766.6197,748.60914,586.5563,568.5457,264.2322,246.2216
HexCer(d17:3/22:1),764.6041,746.59354,584.5406,566.5301,264.2322,246.2216
HexCer(d17:3/22:2),762.5884,744.57784,582.525,564.5144,264.2322,246.2216
HexCer(d17:3/23:0),780.6353,762.62474,600.572,582.5613,264.2322,246.2216
HexCer(d17:3/23:1),778.6197,760.60914,598.5563,580.5457,264.2322,246.2216
HexCer(d17:3/24:0),794.651,776.64044,614.5876,596.577,264.2322,246.2216
HexCer(d17:3/24:1),792.6353,774.62474,612.572,594.5613,264.2322,246.2216
HexCer(d17:3/24:2),790.6197,772.60914,610.5563,592.5457,264.2322,246.2216
HexCer(d17:3/25:0),808.6666,790.65604,628.6032,610.5927,264.2322,246.2216
HexCer(d17:3/25:1),806.651,788.64044,626.5876,608.577,264.2322,246.2216
HexCer(d17:3/26:0),822.6823,804.67174,642.6189,624.6083,264.2322,246.2216
HexCer(d17:3/26:1),820.6666,802.65604,640.6032,622.5927,264.2322,246.2216
HexCer(d17:3/26:2),818.651,800.64044,638.5876,620.577,264.2322,246.2216
HexCer(d17:3/27:0),836.6979,818.68734,656.6345,638.624,264.2322,246.2216
HexCer(d17:3/27:1),834.6823,816.67174,654.6189,636.6083,264.2322,246.2216
HexCer(d17:3/28:0),850.7136,832.70304,670.6502,652.6396,264.2322,246.2216
HexCer(d17:3/28:1),848.6979,830.68734,668.6345,650.624,264.2322,246.2216
HexCer(d17:3/28:2),846.6823,828.67174,666.6189,648.6083,264.2322,246.2216
HexCer(d17:3/29:0),864.7292,846.71864,684.6658,666.6553,264.2322,246.2216
HexCer(d17:3/29:1),862.7136,844.70304,682.6502,664.6396,264.2322,246.2216
HexCer(d17:3/30:0),878.7449,860.73434,698.6815,680.6709,264.2322,246.2216
HexCer(d17:3/30:1),876.7292,858.71864,696.6658,678.6553,264.2322,246.2216
HexCer(d17:3/30:2),874.7136,856.70304,694.6502,676.6396,264.2322,246.2216
HexCer(d17:3/31:0),892.7606,874.75004,712.6971,694.6866,264.2322,246.2216
HexCer(d17:3/31:1),890.7449,872.73434,710.6815,692.6709,264.2322,246.2216
HexCer(d17:3/32:0),906.7762,888.76564,726.7128,708.7022,264.2322,246.2216
HexCer(d17:3/32:1),904.7606,886.75004,724.6971,706.6866,264.2322,246.2216
HexCer(d17:3/32:2),902.7449,884.73434,722.6815,704.6709,264.2322,246.2216
HexCer(d17:3/33:0),920.7919,902.78134,740.7285,722.7179,264.2322,246.2216
HexCer(d17:3/33:1),918.7762,900.76564,738.7128,720.7022,264.2322,246.2216
HexCer(d17:3/34:0),934.8075,916.79694,754.7441,736.7335,264.2322,246.2216
HexCer(d17:3/34:1),932.7919,914.78134,752.7285,734.7179,264.2322,246.2216
HexCer(d17:3/34:2),930.7762,912.76564,750.7128,732.7022,264.2322,246.2216
HexCer(d17:3/35:0),948.8231,930.81254,768.7598,750.7491,264.2322,246.2216
HexCer(d17:3/35:1),946.8075,928.79694,766.7441,748.7335,264.2322,246.2216
HexCer(d17:3/36:0),962.8388,944.82824,782.7754,764.7648,264.2322,246.2216
HexCer(d17:3/36:1),960.8231,942.81254,780.7598,762.7491,264.2322,246.2216
HexCer(d17:3/36:2),958.8075,940.79694,778.7441,760.7335,264.2322,246.2216
HexCer(d17:3/38:0),990.8701,972.85954,810.8067,792.7961,264.2322,246.2216
HexCer(d17:3/38:1),988.8544,970.84384,808.791,790.7805,264.2322,246.2216
HexCer(d17:3/38:2),986.8388,968.82824,806.7754,788.7648,264.2322,246.2216
HexCer(d17:3/40:0),1018.901,1000.89044,838.838,820.8274,264.2322,246.2216
HexCer(d17:3/40:1),1016.886,998.87544,836.8223,818.8118,264.2322,246.2216
HexCer(d17:3/40:2),1014.87,996.85944,834.8067,816.7961,264.2322,246.2216
HexCer(d17:3/42:0),1046.933,1028.92244,866.8693,848.8587,264.2322,246.2216
HexCer(d17:3/42:1),1044.917,1026.90644,864.8536,846.8431,264.2322,246.2216
HexCer(d17:3/42:2),1042.901,1024.89044,862.838,844.8274,264.2322,246.2216
HexCer(d18:1/12:0),644.5101,626.49954,464.4467,446.4362,282.2791,264.2686
HexCer(d18:1/12:1),642.4945,624.48394,462.4311,444.4205,282.2791,264.2686
HexCer(d18:1/13:0),658.5258,640.51524,478.4624,460.4518,282.2791,264.2686
HexCer(d18:1/13:1),656.5101,638.49954,476.4467,458.4362,282.2791,264.2686
HexCer(d18:1/14:0),672.5414,654.53084,492.478,474.4675,282.2791,264.2686
HexCer(d18:1/14:1),670.5258,652.51524,490.4624,472.4518,282.2791,264.2686
HexCer(d18:1/15:0),686.5571,668.54654,506.4937,488.4831,282.2791,264.2686
HexCer(d18:1/15:1),684.5414,666.53084,504.478,486.4675,282.2791,264.2686
HexCer(d18:1/16:0),700.5728,682.56224,520.5093,502.4988,282.2791,264.2686
HexCer(d18:1/16:1),698.5571,680.54654,518.4937,500.4831,282.2791,264.2686
HexCer(d18:1/16:2),696.5414,678.53084,516.478,498.4675,282.2791,264.2686
HexCer(d18:1/17:0),714.5884,696.57784,534.525,516.5144,282.2791,264.2686
HexCer(d18:1/18:0),728.6041,710.59354,548.5406,530.5301,282.2791,264.2686
HexCer(d18:1/18:1),726.5884,708.57784,546.525,528.5144,282.2791,264.2686
HexCer(d18:1/18:2),724.5728,706.56224,544.5093,526.4988,282.2791,264.2686
HexCer(d18:1/19:0),742.6197,724.60914,562.5563,544.5457,282.2791,264.2686
HexCer(d18:1/19:1),740.6041,722.59354,560.5406,542.5301,282.2791,264.2686
HexCer(d18:1/20:0),756.6353,738.62474,576.572,558.5613,282.2791,264.2686
HexCer(d18:1/20:1),754.6197,736.60914,574.5563,556.5457,282.2791,264.2686
HexCer(d18:1/20:2),752.6041,734.59354,572.5406,554.5301,282.2791,264.2686
HexCer(d18:1/21:0),770.651,752.64044,590.5876,572.577,282.2791,264.2686
HexCer(d18:1/21:1),768.6353,750.62474,588.572,570.5613,282.2791,264.2686
HexCer(d18:1/22:0),784.6666,766.65604,604.6032,586.5927,282.2791,264.2686
HexCer(d18:1/22:1),782.651,764.64044,602.5876,584.577,282.2791,264.2686
HexCer(d18:1/22:2),780.6353,762.62474,600.572,582.5613,282.2791,264.2686
HexCer(d18:1/23:0),798.6823,780.67174,618.6189,600.6083,282.2791,264.2686
HexCer(d18:1/23:1),796.6666,778.65604,616.6032,598.5927,282.2791,264.2686
HexCer(d18:1/24:0),812.6979,794.68734,632.6345,614.624,282.2791,264.2686
HexCer(d18:1/24:1),810.6823,792.67174,630.6189,612.6083,282.2791,264.2686
HexCer(d18:1/24:2),808.6666,790.65604,628.6032,610.5927,282.2791,264.2686
HexCer(d18:1/25:0),826.7136,808.70304,646.6502,628.6396,282.2791,264.2686
HexCer(d18:1/25:1),824.6979,806.68734,644.6345,626.624,282.2791,264.2686
HexCer(d18:1/26:0),840.7292,822.71864,660.6658,642.6553,282.2791,264.2686
HexCer(d18:1/26:1),838.7136,820.70304,658.6502,640.6396,282.2791,264.2686
HexCer(d18:1/26:2),836.6979,818.68734,656.6345,638.624,282.2791,264.2686
HexCer(d18:1/27:0),854.7449,836.73434,674.6815,656.6709,282.2791,264.2686
HexCer(d18:1/27:1),852.7292,834.71864,672.6658,654.6553,282.2791,264.2686
HexCer(d18:1/28:0),868.7606,850.75004,688.6971,670.6866,282.2791,264.2686
HexCer(d18:1/28:1),866.7449,848.73434,686.6815,668.6709,282.2791,264.2686
HexCer(d18:1/28:2),864.7292,846.71864,684.6658,666.6553,282.2791,264.2686
HexCer(d18:1/29:0),882.7762,864.76564,702.7128,684.7022,282.2791,264.2686
HexCer(d18:1/29:1),880.7606,862.75004,700.6971,682.6866,282.2791,264.2686
HexCer(d18:1/30:0),896.7919,878.78134,716.7285,698.7179,282.2791,264.2686
HexCer(d18:1/30:1),894.7762,876.76564,714.7128,696.7022,282.2791,264.2686
HexCer(d18:1/30:2),892.7606,874.75004,712.6971,694.6866,282.2791,264.2686
HexCer(d18:1/31:0),910.8075,892.79694,730.7441,712.7335,282.2791,264.2686
HexCer(d18:1/31:1),908.7919,890.78134,728.7285,710.7179,282.2791,264.2686
HexCer(d18:1/32:0),924.8231,906.81254,744.7598,726.7491,282.2791,264.2686
HexCer(d18:1/32:1),922.8075,904.79694,742.7441,724.7335,282.2791,264.2686
HexCer(d18:1/32:2),920.7919,902.78134,740.7285,722.7179,282.2791,264.2686
HexCer(d18:1/33:0),938.8388,920.82824,758.7754,740.7648,282.2791,264.2686
HexCer(d18:1/33:1),936.8231,918.81254,756.7598,738.7491,282.2791,264.2686
HexCer(d18:1/34:0),952.8544,934.84384,772.791,754.7805,282.2791,264.2686
HexCer(d18:1/34:1),950.8388,932.82824,770.7754,752.7648,282.2791,264.2686
HexCer(d18:1/34:2),948.8231,930.81254,768.7598,750.7491,282.2791,264.2686
HexCer(d18:1/35:0),966.8701,948.85954,786.8067,768.7961,282.2791,264.2686
HexCer(d18:1/35:1),964.8544,946.84384,784.791,766.7805,282.2791,264.2686
HexCer(d18:1/36:0),980.8857,962.87514,800.8223,782.8118,282.2791,264.2686
HexCer(d18:1/36:1),978.8701,960.85954,798.8067,780.7961,282.2791,264.2686
HexCer(d18:1/36:2),976.8544,958.84384,796.791,778.7805,282.2791,264.2686
HexCer(d18:1/38:0),1008.917,990.90644,828.8536,810.8431,282.2791,264.2686
HexCer(d18:1/38:1),1006.901,988.89044,826.838,808.8274,282.2791,264.2686
HexCer(d18:1/38:2),1004.886,986.87544,824.8223,806.8118,282.2791,264.2686
HexCer(d18:1/40:0),1036.948,1018.93744,856.8849,838.8744,282.2791,264.2686
HexCer(d18:1/40:1),1034.933,1016.92244,854.8693,836.8587,282.2791,264.2686
HexCer(d18:1/40:2),1032.917,1014.90644,852.8536,834.8431,282.2791,264.2686
HexCer(d18:1/42:0),1064.98,1046.96944,884.9163,866.9056,282.2791,264.2686
HexCer(d18:1/42:1),1062.964,1044.95344,882.9006,864.89,282.2791,264.2686
HexCer(d18:1/42:2),1060.948,1042.93744,880.8849,862.8744,282.2791,264.2686
HexCer(d18:2/12:0),642.4945,624.48394,462.4311,444.4205,280.2635,262.2529
HexCer(d18:2/12:1),640.4788,622.46824,460.4154,442.4049,280.2635,262.2529
HexCer(d18:2/13:0),656.5101,638.49954,476.4467,458.4362,280.2635,262.2529
HexCer(d18:2/13:1),654.4945,636.48394,474.4311,456.4205,280.2635,262.2529
HexCer(d18:2/14:0),670.5258,652.51524,490.4624,472.4518,280.2635,262.2529
HexCer(d18:2/14:1),668.5101,650.49954,488.4467,470.4362,280.2635,262.2529
HexCer(d18:2/15:0),684.5414,666.53084,504.478,486.4675,280.2635,262.2529
HexCer(d18:2/15:1),682.5258,664.51524,502.4624,484.4518,280.2635,262.2529
HexCer(d18:2/16:0),698.5571,680.54654,518.4937,500.4831,280.2635,262.2529
HexCer(d18:2/16:1),696.5414,678.53084,516.478,498.4675,280.2635,262.2529
HexCer(d18:2/16:2),694.5258,676.51524,514.4624,496.4518,280.2635,262.2529
HexCer(d18:2/17:0),712.5728,694.56224,532.5093,514.4988,280.2635,262.2529
HexCer(d18:2/18:0),726.5884,708.57784,546.525,528.5144,280.2635,262.2529
HexCer(d18:2/18:1),724.5728,706.56224,544.5093,526.4988,280.2635,262.2529
HexCer(d18:2/18:2),722.5571,704.54654,542.4937,524.4831,280.2635,262.2529
HexCer(d18:2/19:0),740.6041,722.59354,560.5406,542.5301,280.2635,262.2529
HexCer(d18:2/19:1),738.5884,720.57784,558.525,540.5144,280.2635,262.2529
HexCer(d18:2/20:0),754.6197,736.60914,574.5563,556.5457,280.2635,262.2529
HexCer(d18:2/20:1),752.6041,734.59354,572.5406,554.5301,280.2635,262.2529
HexCer(d18:2/20:2),750.5884,732.57784,570.525,552.5144,280.2635,262.2529
HexCer(d18:2/21:0),768.6353,750.62474,588.572,570.5613,280.2635,262.2529
HexCer(d18:2/21:1),766.6197,748.60914,586.5563,568.5457,280.2635,262.2529
HexCer(d18:2/22:0),782.651,764.64044,602.5876,584.577,280.2635,262.2529
HexCer(d18:2/22:1),780.6353,762.62474,600.572,582.5613,280.2635,262.2529
HexCer(d18:2/22:2),778.6197,760.60914,598.5563,580.5457,280.2635,262.2529
HexCer(d18:2/23:0),796.6666,778.65604,616.6032,598.5927,280.2635,262.2529
HexCer(d18:2/23:1),794.651,776.64044,614.5876,596.577,280.2635,262.2529
HexCer(d18:2/24:0),810.6823,792.67174,630.6189,612.6083,280.2635,262.2529
HexCer(d18:2/24:1),808.6666,790.65604,628.6032,610.5927,280.2635,262.2529
HexCer(d18:2/24:2),806.651,788.64044,626.5876,608.577,280.2635,262.2529
HexCer(d18:2/25:0),824.6979,806.68734,644.6345,626.624,280.2635,262.2529
HexCer(d18:2/25:1),822.6823,804.67174,642.6189,624.6083,280.2635,262.2529
HexCer(d18:2/26:0),838.7136,820.70304,658.6502,640.6396,280.2635,262.2529
HexCer(d18:2/26:1),836.6979,818.68734,656.6345,638.624,280.2635,262.2529
HexCer(d18:2/26:2),834.6823,816.67174,654.6189,636.6083,280.2635,262.2529
HexCer(d18:2/27:0),852.7292,834.71864,672.6658,654.6553,280.2635,262.2529
HexCer(d18:2/27:1),850.7136,832.70304,670.6502,652.6396,280.2635,262.2529
HexCer(d18:2/28:0),866.7449,848.73434,686.6815,668.6709,280.2635,262.2529
HexCer(d18:2/28:1),864.7292,846.71864,684.6658,666.6553,280.2635,262.2529
HexCer(d18:2/28:2),862.7136,844.70304,682.6502,664.6396,280.2635,262.2529
HexCer(d18:2/29:0),880.7606,862.75004,700.6971,682.6866,280.2635,262.2529
HexCer(d18:2/29:1),878.7449,860.73434,698.6815,680.6709,280.2635,262.2529
HexCer(d18:2/30:0),894.7762,876.76564,714.7128,696.7022,280.2635,262.2529
HexCer(d18:2/30:1),892.7606,874.75004,712.6971,694.6866,280.2635,262.2529
HexCer(d18:2/30:2),890.7449,872.73434,710.6815,692.6709,280.2635,262.2529
