GM3,[M+H]+,[M-H2O+H]+,[M-C11H17NO8+H]+,[M-C11H15NO7+H]+,[M-C17H27NO13+H]+,[M-C17H25NO12+H]+,[M-C23H37NO18+H]+,[M-C23H35NO17+H]+,[C11H17NO8+H]+,[Sph+H]+,[Sph-H2O+H]+
GM3(d18:1/12:0),1097.658,1079.648,806.5629,788.5523,644.51,626.4995,482.4572,464.4466,292.1027,282.2791,264.2686
GM3(d14:0/16:2),1095.642,1077.632,804.5469,786.5363,642.494,624.4835,480.4412,462.4306,292.1027,228.2322,210.2216
GM3(d14:1/16:1),1095.642,1077.632,804.5469,786.5363,642.494,624.4835,480.4412,462.4306,292.1027,226.2166,208.206
GM3(d15:1/15:1),1095.642,1077.632,804.5469,786.5363,642.494,624.4835,480.4412,462.4306,292.1027,240.2322,222.2216
GM3(d16:1/14:1),1095.642,1077.632,804.5469,786.5363,642.494,624.4835,480.4412,462.4306,292.1027,254.2478,236.2373
GM3(d17:1/13:1),1095.642,1077.632,804.5469,786.5363,642.494,624.4835,480.4412,462.4306,292.1027,268.2635,250.2529
GM3(d18:1/12:1),1095.642,1077.632,804.5469,786.5363,642.494,624.4835,480.4412,462.4306,292.1027,282.2791,264.2686
GM3(d14:1/16:2),1093.626,1075.616,802.5309,784.5203,640.478,622.4675,478.4252,460.4146,292.1027,226.2166,208.206
GM3(d14:0/17:0),1113.689,1095.679,822.5939,804.5833,660.541,642.5305,498.4882,480.4776,292.1027,228.2322,210.2216
GM3(d15:0/16:0),1113.689,1095.679,822.5939,804.5833,660.541,642.5305,498.4882,480.4776,292.1027,242.2478,224.2373
GM3(d16:0/15:0),1113.689,1095.679,822.5939,804.5833,660.541,642.5305,498.4882,480.4776,292.1027,256.2635,238.2529
GM3(d17:0/14:0),1113.689,1095.679,822.5939,804.5833,660.541,642.5305,498.4882,480.4776,292.1027,270.2791,252.2686
GM3(d18:0/13:0),1113.689,1095.679,822.5939,804.5833,660.541,642.5305,498.4882,480.4776,292.1027,284.2948,266.2842
GM3(d19:0/12:0),1113.689,1095.679,822.5939,804.5833,660.541,642.5305,498.4882,480.4776,292.1027,298.3105,280.2999
GM3(d14:1/17:0),1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027,226.2166,208.206
GM3(d15:0/16:1),1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027,242.2478,224.2373
GM3(d15:1/16:0),1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027,240.2322,222.2216
GM3(d16:0/15:1),1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027,256.2635,238.2529
GM3(d16:1/15:0),1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027,254.2478,236.2373
GM3(d17:0/14:1),1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027,270.2791,252.2686
GM3(d17:1/14:0),1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027,268.2635,250.2529
GM3(d18:0/13:1),1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027,284.2948,266.2842
GM3(d18:1/13:0),1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027,282.2791,264.2686
GM3(d19:0/12:1),1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027,298.3105,280.2999
GM3(d19:1/12:0),1111.673,1093.663,820.5779,802.5673,658.525,640.5145,496.4722,478.4616,292.1027,296.2948,278.2842
GM3(d15:0/16:2),1109.658,1091.648,818.5629,800.5523,656.51,638.4995,494.4572,476.4466,292.1027,242.2478,224.2373
GM3(d15:1/16:1),1109.658,1091.648,818.5629,800.5523,656.51,638.4995,494.4572,476.4466,292.1027,240.2322,222.2216
GM3(d16:1/15:1),1109.658,1091.648,818.5629,800.5523,656.51,638.4995,494.4572,476.4466,292.1027,254.2478,236.2373
GM3(d17:1/14:1),1109.658,1091.648,818.5629,800.5523,656.51,638.4995,494.4572,476.4466,292.1027,268.2635,250.2529
GM3(d18:1/13:1),1109.658,1091.648,818.5629,800.5523,656.51,638.4995,494.4572,476.4466,292.1027,282.2791,264.2686
GM3(d19:1/12:1),1109.658,1091.648,818.5629,800.5523,656.51,638.4995,494.4572,476.4466,292.1027,296.2948,278.2842
GM3(d15:1/16:2),1107.642,1089.632,816.5469,798.5363,654.494,636.4835,492.4412,474.4306,292.1027,240.2322,222.2216
GM3(d14:0/18:0),1127.705,1109.695,836.6099,818.5993,674.5571,656.5464,512.5042,494.4937,292.1027,228.2322,210.2216
GM3(d15:0/17:0),1127.705,1109.695,836.6099,818.5993,674.5571,656.5464,512.5042,494.4937,292.1027,242.2478,224.2373
GM3(d16:0/16:0),1127.705,1109.695,836.6099,818.5993,674.5571,656.5464,512.5042,494.4937,292.1027,256.2635,238.2529
GM3(d17:0/15:0),1127.705,1109.695,836.6099,818.5993,674.5571,656.5464,512.5042,494.4937,292.1027,270.2791,252.2686
GM3(d18:0/14:0),1127.705,1109.695,836.6099,818.5993,674.5571,656.5464,512.5042,494.4937,292.1027,284.2948,266.2842
GM3(d19:0/13:0),1127.705,1109.695,836.6099,818.5993,674.5571,656.5464,512.5042,494.4937,292.1027,298.3105,280.2999
GM3(d20:0/12:0),1127.705,1109.695,836.6099,818.5993,674.5571,656.5464,512.5042,494.4937,292.1027,312.3261,294.3155
GM3(d14:0/18:1),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,228.2322,210.2216
GM3(d14:1/18:0),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,226.2166,208.206
GM3(d15:1/17:0),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,240.2322,222.2216
GM3(d16:0/16:1),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,256.2635,238.2529
GM3(d16:1/16:0),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,254.2478,236.2373
GM3(d17:0/15:1),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,270.2791,252.2686
GM3(d17:1/15:0),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,268.2635,250.2529
GM3(d18:0/14:1),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,284.2948,266.2842
GM3(d18:1/14:0),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,282.2791,264.2686
GM3(d19:0/13:1),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,298.3105,280.2999
GM3(d19:1/13:0),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,296.2948,278.2842
GM3(d20:0/12:1),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,312.3261,294.3155
GM3(d20:1/12:0),1125.689,1107.679,834.5939,816.5833,672.541,654.5305,510.4882,492.4776,292.1027,310.3105,292.2999
GM3(d14:0/18:2),1123.673,1105.663,832.5779,814.5673,670.525,652.5145,508.4722,490.4616,292.1027,228.2322,210.2216
GM3(d14:1/18:1),1123.673,1105.663,832.5779,814.5673,670.525,652.5145,508.4722,490.4616,292.1027,226.2166,208.206
GM3(d16:0/16:2),1123.673,1105.663,832.5779,814.5673,670.525,652.5145,508.4722,490.4616,292.1027,256.2635,238.2529
GM3(d16:1/16:1),1123.673,1105.663,832.5779,814.5673,670.525,652.5145,508.4722,490.4616,292.1027,254.2478,236.2373
GM3(d17:1/15:1),1123.673,1105.663,832.5779,814.5673,670.525,652.5145,508.4722,490.4616,292.1027,268.2635,250.2529
GM3(d18:1/14:1),1123.673,1105.663,832.5779,814.5673,670.525,652.5145,508.4722,490.4616,292.1027,282.2791,264.2686
GM3(d19:1/13:1),1123.673,1105.663,832.5779,814.5673,670.525,652.5145,508.4722,490.4616,292.1027,296.2948,278.2842
GM3(d20:1/12:1),1123.673,1105.663,832.5779,814.5673,670.525,652.5145,508.4722,490.4616,292.1027,310.3105,292.2999
GM3(d14:1/18:2),1121.658,1103.648,830.5629,812.5523,668.51,650.4995,506.4572,488.4466,292.1027,226.2166,208.206
GM3(d16:1/16:2),1121.658,1103.648,830.5629,812.5523,668.51,650.4995,506.4572,488.4466,292.1027,254.2478,236.2373
GM3(d14:0/19:0),1141.72,1123.71,850.6249,832.6143,688.572,670.5615,526.5192,508.5086,292.1027,228.2322,210.2216
GM3(d15:0/18:0),1141.72,1123.71,850.6249,832.6143,688.572,670.5615,526.5192,508.5086,292.1027,242.2478,224.2373
GM3(d16:0/17:0),1141.72,1123.71,850.6249,832.6143,688.572,670.5615,526.5192,508.5086,292.1027,256.2635,238.2529
GM3(d17:0/16:0),1141.72,1123.71,850.6249,832.6143,688.572,670.5615,526.5192,508.5086,292.1027,270.2791,252.2686
GM3(d18:0/15:0),1141.72,1123.71,850.6249,832.6143,688.572,670.5615,526.5192,508.5086,292.1027,284.2948,266.2842
GM3(d19:0/14:0),1141.72,1123.71,850.6249,832.6143,688.572,670.5615,526.5192,508.5086,292.1027,298.3105,280.2999
