"PE","[M+H]+","[M-PE head]+","[M+H-acyl1_RCO]+","[M+H-acyl2_RCO]+","[acyl1_RCO]+","[acyl2_RCO]+"
"PE(28:4) PE(10:0_18:4)",628.39728,487.37817,333.24242,229.17982,155.14305,259.20565
"PE(29:0) PE(10:0_19:0)",650.47558,509.45647,355.32072,229.17982,155.14305,281.28395
"PE(30:0) PE(10:0_20:0)",664.49118,523.47207,369.33632,229.17982,155.14305,295.29955
"PE(30:1) PE(10:0_20:1)",662.47558,521.45647,367.32072,229.17982,155.14305,293.28395
"PE(30:2) PE(10:0_20:2)",660.45988,519.44077,365.30502,229.17982,155.14305,291.26825
"PE(30:3) PE(10:0_20:3)",658.44428,517.42517,363.28942,229.17982,155.14305,289.25265
"PE(30:4) PE(10:0_20:4)",656.42858,515.40947,361.27372,229.17982,155.14305,287.23695
"PE(30:5) PE(10:0_20:5)",654.41298,513.39387,359.25812,229.17982,155.14305,285.22135
"PE(31:0) PE(10:0_21:0)",678.50688,537.48777,383.35202,229.17982,155.14305,309.31525
"PE(32:0) PE(10:0_22:0)",692.52248,551.50337,397.36762,229.17982,155.14305,323.33085
"PE(32:1) PE(10:0_22:1)",690.50688,549.48777,395.35202,229.17982,155.14305,321.31525
"PE(32:2) PE(10:0_22:2)",688.49118,547.47207,393.33632,229.17982,155.14305,319.29955
"PE(32:3) PE(10:0_22:3)",686.47558,545.45647,391.32072,229.17982,155.14305,317.28395
"PE(32:4) PE(10:0_22:4)",684.45988,543.44077,389.30502,229.17982,155.14305,315.26825
"PE(32:5) PE(10:0_22:5)",682.44428,541.42517,387.28942,229.17982,155.14305,313.25265
"PE(32:6) PE(10:0_22:6)",680.42858,539.40947,385.27372,229.17982,155.14305,311.23695
"PE(33:0) PE(10:0_23:0)",706.53818,565.51907,411.38332,229.17982,155.14305,337.34655
"PE(34:0) PE(10:0_24:0)",720.55378,579.53467,425.39892,229.17982,155.14305,351.36215
"PE(34:1) PE(10:0_24:1)",718.53818,577.51907,423.38332,229.17982,155.14305,349.34655
"PE(35:0) PE(10:0_25:0)",734.56948,593.55037,439.41462,229.17982,155.14305,365.37785
"PE(36:0) PE(10:0_26:0)",748.58508,607.56597,453.43022,229.17982,155.14305,379.39345
"PE(24:0) PE(12:0_12:0)",580.39728,439.37817,257.21112,257.21112,183.17435,183.17435
"PE(25:0) PE(12:0_13:0)",594.41298,453.39387,271.22682,257.21112,183.17435,197.19005
"PE(26:0) PE(12:0_14:0)",608.42858,467.40947,285.24242,257.21112,183.17435,211.20565
"PE(26:1) PE(12:0_14:1)",606.41298,465.39387,283.22682,257.21112,183.17435,209.19005
"PE(27:0) PE(12:0_15:0)",622.44428,481.42517,299.25812,257.21112,183.17435,225.22135
"PE(27:1) PE(12:0_15:1)",620.42858,479.40947,297.24242,257.21112,183.17435,223.20565
"PE(28:0) PE(12:0_16:0)",636.45988,495.44077,313.27372,257.21112,183.17435,239.23695
"PE(28:1) PE(12:0_16:1)",634.44428,493.42517,311.25812,257.21112,183.17435,237.22135
"PE(29:0) PE(12:0_17:0)",650.47558,509.45647,327.28942,257.21112,183.17435,253.25265
"PE(29:1) PE(12:0_17:1)",648.45988,507.44077,325.27372,257.21112,183.17435,251.23695
"PE(29:2) PE(12:0_17:2)",646.44428,505.42517,323.25812,257.21112,183.17435,249.22135
"PE(30:0) PE(12:0_18:0)",664.49118,523.47207,341.30502,257.21112,183.17435,267.26825
"PE(30:1) PE(12:0_18:1)",662.47558,521.45647,339.28942,257.21112,183.17435,265.25265
"PE(30:2) PE(12:0_18:2)",660.45988,519.44077,337.27372,257.21112,183.17435,263.23695
"PE(30:3) PE(12:0_18:3)",658.44428,517.42517,335.25812,257.21112,183.17435,261.22135
"PE(30:4) PE(12:0_18:4)",656.42858,515.40947,333.24242,257.21112,183.17435,259.20565
"PE(31:0) PE(12:0_19:0)",678.50688,537.48777,355.32072,257.21112,183.17435,281.28395
"PE(32:0) PE(12:0_20:0)",692.52248,551.50337,369.33632,257.21112,183.17435,295.29955
"PE(32:1) PE(12:0_20:1)",690.50688,549.48777,367.32072,257.21112,183.17435,293.28395
"PE(32:2) PE(12:0_20:2)",688.49118,547.47207,365.30502,257.21112,183.17435,291.26825
"PE(32:3) PE(12:0_20:3)",686.47558,545.45647,363.28942,257.21112,183.17435,289.25265
"PE(32:4) PE(12:0_20:4)",684.45988,543.44077,361.27372,257.21112,183.17435,287.23695
"PE(32:5) PE(12:0_20:5)",682.44428,541.42517,359.25812,257.21112,183.17435,285.22135
"PE(33:0) PE(12:0_21:0)",706.53818,565.51907,383.35202,257.21112,183.17435,309.31525
"PE(34:0) PE(12:0_22:0)",720.55378,579.53467,397.36762,257.21112,183.17435,323.33085
"PE(34:1) PE(12:0_22:1)",718.53818,577.51907,395.35202,257.21112,183.17435,321.31525
"PE(34:2) PE(12:0_22:2)",716.52248,575.50337,393.33632,257.21112,183.17435,319.29955
"PE(34:3) PE(12:0_22:3)",714.50688,573.48777,391.32072,257.21112,183.17435,317.28395
"PE(34:4) PE(12:0_22:4)",712.49118,571.47207,389.30502,257.21112,183.17435,315.26825
"PE(34:5) PE(12:0_22:5)",710.47558,569.45647,387.28942,257.21112,183.17435,313.25265
"PE(34:6) PE(12:0_22:6)",708.45988,567.44077,385.27372,257.21112,183.17435,311.23695
"PE(35:0) PE(12:0_23:0)",734.56948,593.55037,411.38332,257.21112,183.17435,337.34655
"PE(36:0) PE(12:0_24:0)",748.58508,607.56597,425.39892,257.21112,183.17435,351.36215
"PE(36:1) PE(12:0_24:1)",746.56948,605.55037,423.38332,257.21112,183.17435,349.34655
"PE(37:0) PE(12:0_25:0)",762.60078,621.58167,439.41462,257.21112,183.17435,365.37785
"PE(38:0) PE(12:0_26:0)",776.61638,635.59727,453.43022,257.21112,183.17435,379.39345
"PE(26:0) PE(13:0_13:0)",608.42868,467.40957,271.22682,271.22682,197.19005,197.19005
"PE(27:0) PE(13:0_14:0)",622.44428,481.42517,285.24242,271.22682,197.19005,211.20565
"PE(27:1) PE(13:0_14:1)",620.42868,479.40957,283.22682,271.22682,197.19005,209.19005
"PE(28:0) PE(13:0_15:0)",636.45998,495.44087,299.25812,271.22682,197.19005,225.22135
"PE(28:1) PE(13:0_15:1)",634.44428,493.42517,297.24242,271.22682,197.19005,223.20565
"PE(29:0) PE(13:0_16:0)",650.47558,509.45647,313.27372,271.22682,197.19005,239.23695
"PE(29:1) PE(13:0_16:1)",648.45998,507.44087,311.25812,271.22682,197.19005,237.22135
"PE(30:0) PE(13:0_17:0)",664.49128,523.47217,327.28942,271.22682,197.19005,253.25265
"PE(30:1) PE(13:0_17:1)",662.47558,521.45647,325.27372,271.22682,197.19005,251.23695
"PE(30:2) PE(13:0_17:2)",660.45998,519.44087,323.25812,271.22682,197.19005,249.22135
"PE(31:0) PE(13:0_18:0)",678.50688,537.48777,341.30502,271.22682,197.19005,267.26825
"PE(31:1) PE(13:0_18:1)",676.49128,535.47217,339.28942,271.22682,197.19005,265.25265
"PE(31:2) PE(13:0_18:2)",674.47558,533.45647,337.27372,271.22682,197.19005,263.23695
"PE(31:3) PE(13:0_18:3)",672.45998,531.44087,335.25812,271.22682,197.19005,261.22135
"PE(31:4) PE(13:0_18:4)",670.44428,529.42517,333.24242,271.22682,197.19005,259.20565
"PE(32:0) PE(13:0_19:0)",692.52258,551.50347,355.32072,271.22682,197.19005,281.28395
"PE(33:0) PE(13:0_20:0)",706.53818,565.51907,369.33632,271.22682,197.19005,295.29955
"PE(33:1) PE(13:0_20:1)",704.52258,563.50347,367.32072,271.22682,197.19005,293.28395
"PE(33:2) PE(13:0_20:2)",702.50688,561.48777,365.30502,271.22682,197.19005,291.26825
"PE(33:3) PE(13:0_20:3)",700.49128,559.47217,363.28942,271.22682,197.19005,289.25265
"PE(33:4) PE(13:0_20:4)",698.47558,557.45647,361.27372,271.22682,197.19005,287.23695
"PE(33:5) PE(13:0_20:5)",696.45998,555.44087,359.25812,271.22682,197.19005,285.22135
"PE(34:0) PE(13:0_21:0)",720.55388,579.53477,383.35202,271.22682,197.19005,309.31525
"PE(35:0) PE(13:0_22:0)",734.56948,593.55037,397.36762,271.22682,197.19005,323.33085
