"PE","[M+H]+","[M-PE head]+","[M+H-acyl1_RCO]+","[M+H-acyl2_RCO]+","[acyl1_RCO]+","[acyl2_RCO]+"
"PE(39:2) PE(15:1_24:1)",786.60078,645.58167,423.38332,297.24242,223.20565,349.34655
"PE(40:1) PE(15:1_25:0)",802.63208,661.61297,439.41462,297.24242,223.20565,365.37785
"PE(41:1) PE(15:1_26:0)",816.64768,675.62857,453.43022,297.24242,223.20565,379.39345
"PE(32:0) PE(16:0_16:0)",692.52248,551.50337,313.27372,313.27372,239.23695,239.23695
"PE(32:1) PE(16:0_16:1)",690.50688,549.48777,311.25812,313.27372,239.23695,237.22135
"PE(33:0) PE(16:0_17:0)",706.53818,565.51907,327.28942,313.27372,239.23695,253.25265
"PE(33:1) PE(16:0_17:1)",704.52248,563.50337,325.27372,313.27372,239.23695,251.23695
"PE(33:2) PE(16:0_17:2)",702.50688,561.48777,323.25812,313.27372,239.23695,249.22135
"PE(34:0) PE(16:0_18:0)",720.55378,579.53467,341.30502,313.27372,239.23695,267.26825
"PE(34:1) PE(16:0_18:1)",718.53818,577.51907,339.28942,313.27372,239.23695,265.25265
"PE(34:2) PE(16:0_18:2)",716.52248,575.50337,337.27372,313.27372,239.23695,263.23695
"PE(34:3) PE(16:0_18:3)",714.50688,573.48777,335.25812,313.27372,239.23695,261.22135
"PE(34:4) PE(16:0_18:4)",712.49118,571.47207,333.24242,313.27372,239.23695,259.20565
"PE(35:0) PE(16:0_19:0)",734.56948,593.55037,355.32072,313.27372,239.23695,281.28395
"PE(36:0) PE(16:0_20:0)",748.58508,607.56597,369.33632,313.27372,239.23695,295.29955
"PE(36:1) PE(16:0_20:1)",746.56948,605.55037,367.32072,313.27372,239.23695,293.28395
"PE(36:2) PE(16:0_20:2)",744.55378,603.53467,365.30502,313.27372,239.23695,291.26825
"PE(36:3) PE(16:0_20:3)",742.53818,601.51907,363.28942,313.27372,239.23695,289.25265
"PE(36:4) PE(16:0_20:4)",740.52248,599.50337,361.27372,313.27372,239.23695,287.23695
"PE(36:5) PE(16:0_20:5)",738.50688,597.48777,359.25812,313.27372,239.23695,285.22135
"PE(37:0) PE(16:0_21:0)",762.60078,621.58167,383.35202,313.27372,239.23695,309.31525
"PE(38:0) PE(16:0_22:0)",776.61638,635.59727,397.36762,313.27372,239.23695,323.33085
"PE(38:1) PE(16:0_22:1)",774.60078,633.58167,395.35202,313.27372,239.23695,321.31525
"PE(38:2) PE(16:0_22:2)",772.58508,631.56597,393.33632,313.27372,239.23695,319.29955
"PE(38:3) PE(16:0_22:3)",770.56948,629.55037,391.32072,313.27372,239.23695,317.28395
"PE(38:4) PE(16:0_22:4)",768.55378,627.53467,389.30502,313.27372,239.23695,315.26825
"PE(38:5) PE(16:0_22:5)",766.53818,625.51907,387.28942,313.27372,239.23695,313.25265
"PE(38:6) PE(16:0_22:6)",764.52248,623.50337,385.27372,313.27372,239.23695,311.23695
"PE(39:0) PE(16:0_23:0)",790.63208,649.61297,411.38332,313.27372,239.23695,337.34655
"PE(40:0) PE(16:0_24:0)",804.64768,663.62857,425.39892,313.27372,239.23695,351.36215
"PE(40:1) PE(16:0_24:1)",802.63208,661.61297,423.38332,313.27372,239.23695,349.34655
"PE(41:0) PE(16:0_25:0)",818.66338,677.64427,439.41462,313.27372,239.23695,365.37785
"PE(42:0) PE(16:0_26:0)",832.67898,691.65987,453.43022,313.27372,239.23695,379.39345
"PE(32:2) PE(16:1_16:1)",688.49128,547.47217,311.25812,311.25812,237.22135,237.22135
"PE(33:1) PE(16:1_17:0)",704.52258,563.50347,327.28942,311.25812,237.22135,253.25265
"PE(33:2) PE(16:1_17:1)",702.50688,561.48777,325.27372,311.25812,237.22135,251.23695
"PE(33:3) PE(16:1_17:2)",700.49128,559.47217,323.25812,311.25812,237.22135,249.22135
"PE(34:1) PE(16:1_18:0)",718.53818,577.51907,341.30502,311.25812,237.22135,267.26825
"PE(34:2) PE(16:1_18:1)",716.52258,575.50347,339.28942,311.25812,237.22135,265.25265
"PE(34:3) PE(16:1_18:2)",714.50688,573.48777,337.27372,311.25812,237.22135,263.23695
"PE(34:4) PE(16:1_18:3)",712.49128,571.47217,335.25812,311.25812,237.22135,261.22135
"PE(34:5) PE(16:1_18:4)",710.47558,569.45647,333.24242,311.25812,237.22135,259.20565
"PE(35:1) PE(16:1_19:0)",732.55388,591.53477,355.32072,311.25812,237.22135,281.28395
"PE(36:1) PE(16:1_20:0)",746.56948,605.55037,369.33632,311.25812,237.22135,295.29955
"PE(36:2) PE(16:1_20:1)",744.55388,603.53477,367.32072,311.25812,237.22135,293.28395
"PE(36:3) PE(16:1_20:2)",742.53818,601.51907,365.30502,311.25812,237.22135,291.26825
"PE(36:4) PE(16:1_20:3)",740.52258,599.50347,363.28942,311.25812,237.22135,289.25265
"PE(36:5) PE(16:1_20:4)",738.50688,597.48777,361.27372,311.25812,237.22135,287.23695
"PE(36:6) PE(16:1_20:5)",736.49128,595.47217,359.25812,311.25812,237.22135,285.22135
"PE(37:1) PE(16:1_21:0)",760.58518,619.56607,383.35202,311.25812,237.22135,309.31525
"PE(38:1) PE(16:1_22:0)",774.60078,633.58167,397.36762,311.25812,237.22135,323.33085
"PE(38:2) PE(16:1_22:1)",772.58518,631.56607,395.35202,311.25812,237.22135,321.31525
"PE(38:3) PE(16:1_22:2)",770.56948,629.55037,393.33632,311.25812,237.22135,319.29955
"PE(38:4) PE(16:1_22:3)",768.55388,627.53477,391.32072,311.25812,237.22135,317.28395
"PE(38:5) PE(16:1_22:4)",766.53818,625.51907,389.30502,311.25812,237.22135,315.26825
"PE(38:6) PE(16:1_22:5)",764.52258,623.50347,387.28942,311.25812,237.22135,313.25265
"PE(38:7) PE(16:1_22:6)",762.50688,621.48777,385.27372,311.25812,237.22135,311.23695
"PE(39:1) PE(16:1_23:0)",788.61648,647.59737,411.38332,311.25812,237.22135,337.34655
"PE(40:1) PE(16:1_24:0)",802.63208,661.61297,425.39892,311.25812,237.22135,351.36215
"PE(40:2) PE(16:1_24:1)",800.61648,659.59737,423.38332,311.25812,237.22135,349.34655
"PE(41:1) PE(16:1_25:0)",816.64778,675.62867,439.41462,311.25812,237.22135,365.37785
"PE(42:1) PE(16:1_26:0)",830.66338,689.64427,453.43022,311.25812,237.22135,379.39345
"PE(34:0) PE(17:0_17:0)",720.55388,579.53477,327.28942,327.28942,253.25265,253.25265
"PE(34:1) PE(17:0_17:1)",718.53818,577.51907,325.27372,327.28942,253.25265,251.23695
"PE(34:2) PE(17:0_17:2)",716.52258,575.50347,323.25812,327.28942,253.25265,249.22135
"PE(35:0) PE(17:0_18:0)",734.56948,593.55037,341.30502,327.28942,253.25265,267.26825
"PE(35:1) PE(17:0_18:1)",732.55388,591.53477,339.28942,327.28942,253.25265,265.25265
"PE(35:2) PE(17:0_18:2)",730.53818,589.51907,337.27372,327.28942,253.25265,263.23695
"PE(35:3) PE(17:0_18:3)",728.52258,587.50347,335.25812,327.28942,253.25265,261.22135
"PE(35:4) PE(17:0_18:4)",726.50688,585.48777,333.24242,327.28942,253.25265,259.20565
"PE(36:0) PE(17:0_19:0)",748.58518,607.56607,355.32072,327.28942,253.25265,281.28395
"PE(37:0) PE(17:0_20:0)",762.60078,621.58167,369.33632,327.28942,253.25265,295.29955
"PE(37:1) PE(17:0_20:1)",760.58518,619.56607,367.32072,327.28942,253.25265,293.28395
"PE(37:2) PE(17:0_20:2)",758.56948,617.55037,365.30502,327.28942,253.25265,291.26825
"PE(37:3) PE(17:0_20:3)",756.55388,615.53477,363.28942,327.28942,253.25265,289.25265
"PE(37:4) PE(17:0_20:4)",754.53818,613.51907,361.27372,327.28942,253.25265,287.23695
"PE(37:5) PE(17:0_20:5)",752.52258,611.50347,359.25812,327.28942,253.25265,285.22135
"PE(38:0) PE(17:0_21:0)",776.61648,635.59737,383.35202,327.28942,253.25265,309.31525
"PE(39:0) PE(17:0_22:0)",790.63208,649.61297,397.36762,327.28942,253.25265,323.33085
"PE(39:1) PE(17:0_22:1)",788.61648,647.59737,395.35202,327.28942,253.25265,321.31525
"PE(39:2) PE(17:0_22:2)",786.60078,645.58167,393.33632,327.28942,253.25265,319.29955
"PE(39:3) PE(17:0_22:3)",784.58518,643.56607,391.32072,327.28942,253.25265,317.28395
"PE(39:4) PE(17:0_22:4)",782.56948,641.55037,389.30502,327.28942,253.25265,315.26825
"PE(39:5) PE(17:0_22:5)",780.55388,639.53477,387.28942,327.28942,253.25265,313.25265
"PE(39:6) PE(17:0_22:6)",778.53818,637.51907,385.27372,327.28942,253.25265,311.23695
"PE(40:0) PE(17:0_23:0)",804.64778,663.62867,411.38332,327.28942,253.25265,337.34655
"PE(41:0) PE(17:0_24:0)",818.66338,677.64427,425.39892,327.28942,253.25265,351.36215
"PE(41:1) PE(17:0_24:1)",816.64778,675.62867,423.38332,327.28942,253.25265,349.34655
"PE(42:0) PE(17:0_25:0)",832.67908,691.65997,439.41462,327.28942,253.25265,365.37785
"PE(43:0) PE(17:0_26:0)",846.69468,705.67557,453.43022,327.28942,253.25265,379.39345
"PE(34:2) PE(17:1_17:1)",716.52248,575.50337,325.27372,325.27372,251.23695,251.23695
"PE(34:3) PE(17:1_17:2)",714.50688,573.48777,323.25812,325.27372,251.23695,249.22135
"PE(35:1) PE(17:1_18:0)",732.55378,591.53467,341.30502,325.27372,251.23695,267.26825
"PE(35:2) PE(17:1_18:1)",730.53818,589.51907,339.28942,325.27372,251.23695,265.25265
"PE(35:3) PE(17:1_18:2)",728.52248,587.50337,337.27372,325.27372,251.23695,263.23695
"PE(35:4) PE(17:1_18:3)",726.50688,585.48777,335.25812,325.27372,251.23695,261.22135
"PE(35:5) PE(17:1_18:4)",724.49118,583.47207,333.24242,325.27372,251.23695,259.20565
"PE(36:1) PE(17:1_19:0)",746.56948,605.55037,355.32072,325.27372,251.23695,281.28395
"PE(37:1) PE(17:1_20:0)",760.58508,619.56597,369.33632,325.27372,251.23695,295.29955
"PE(37:2) PE(17:1_20:1)",758.56948,617.55037,367.32072,325.27372,251.23695,293.28395
"PE(37:3) PE(17:1_20:2)",756.55378,615.53467,365.30502,325.27372,251.23695,291.26825
"PE(37:4) PE(17:1_20:3)",754.53818,613.51907,363.28942,325.27372,251.23695,289.25265
"PE(37:5) PE(17:1_20:4)",752.52248,611.50337,361.27372,325.27372,251.23695,287.23695
"PE(37:6) PE(17:1_20:5)",750.50688,609.48777,359.25812,325.27372,251.23695,285.22135
"PE(38:1) PE(17:1_21:0)",774.60078,633.58167,383.35202,325.27372,251.23695,309.31525
"PE(39:1) PE(17:1_22:0)",788.61638,647.59727,397.36762,325.27372,251.23695,323.33085
"PE(39:2) PE(17:1_22:1)",786.60078,645.58167,395.35202,325.27372,251.23695,321.31525
"PE(39:3) PE(17:1_22:2)",784.58508,643.56597,393.33632,325.27372,251.23695,319.29955
"PE(39:4) PE(17:1_22:3)",782.56948,641.55037,391.32072,325.27372,251.23695,317.28395
"PE(39:5) PE(17:1_22:4)",780.55378,639.53467,389.30502,325.27372,251.23695,315.26825
"PE(39:6) PE(17:1_22:5)",778.53818,637.51907,387.28942,325.27372,251.23695,313.25265
"PE(39:7) PE(17:1_22:6)",776.52248,635.50337,385.27372,325.27372,251.23695,311.23695
"PE(40:1) PE(17:1_23:0)",802.63208,661.61297,411.38332,325.27372,251.23695,337.34655
"PE(41:1) PE(17:1_24:0)",816.64768,675.62857,425.39892,325.27372,251.23695,351.36215
"PE(41:2) PE(17:1_24:1)",814.63208,673.61297,423.38332,325.27372,251.23695,349.34655
"PE(42:1) PE(17:1_25:0)",830.66338,689.64427,439.41462,325.27372,251.23695,365.37785
"PE(43:1) PE(17:1_26:0)",844.67898,703.65987,453.43022,325.27372,251.23695,379.39345
"PE(34:4) PE(17:2_17:2)",712.49128,571.47217,323.25812,323.25812,249.22135,249.22135
"PE(35:2) PE(17:2_18:0)",730.53818,589.51907,341.30502,323.25812,249.22135,267.26825
"PE(35:3) PE(17:2_18:1)",728.52258,587.50347,339.28942,323.25812,249.22135,265.25265
"PE(35:4) PE(17:2_18:2)",726.50688,585.48777,337.27372,323.25812,249.22135,263.23695
"PE(35:5) PE(17:2_18:3)",724.49128,583.47217,335.25812,323.25812,249.22135,261.22135
"PE(35:6) PE(17:2_18:4)",722.47558,581.45647,333.24242,323.25812,249.22135,259.20565
"PE(36:2) PE(17:2_19:0)",744.55388,603.53477,355.32072,323.25812,249.22135,281.28395
"PE(37:2) PE(17:2_20:0)",758.56948,617.55037,369.33632,323.25812,249.22135,295.29955
"PE(37:3) PE(17:2_20:1)",756.55388,615.53477,367.32072,323.25812,249.22135,293.28395
"PE(37:4) PE(17:2_20:2)",754.53818,613.51907,365.30502,323.25812,249.22135,291.26825
"PE(37:5) PE(17:2_20:3)",752.52258,611.50347,363.28942,323.25812,249.22135,289.25265
"PE(37:6) PE(17:2_20:4)",750.50688,609.48777,361.27372,323.25812,249.22135,287.23695
"PE(37:7) PE(17:2_20:5)",748.49128,607.47217,359.25812,323.25812,249.22135,285.22135
"PE(38:2) PE(17:2_21:0)",772.58518,631.56607,383.35202,323.25812,249.22135,309.31525
"PE(39:2) PE(17:2_22:0)",786.60078,645.58167,397.36762,323.25812,249.22135,323.33085
"PE(39:3) PE(17:2_22:1)",784.58518,643.56607,395.35202,323.25812,249.22135,321.31525
"PE(39:4) PE(17:2_22:2)",782.56948,641.55037,393.33632,323.25812,249.22135,319.29955
"PE(39:5) PE(17:2_22:3)",780.55388,639.53477,391.32072,323.25812,249.22135,317.28395
"PE(39:6) PE(17:2_22:4)",778.53818,637.51907,389.30502,323.25812,249.22135,315.26825
"PE(39:7) PE(17:2_22:5)",776.52258,635.50347,387.28942,323.25812,249.22135,313.25265
"PE(39:8) PE(17:2_22:6)",774.50688,633.48777,385.27372,323.25812,249.22135,311.23695
"PE(40:2) PE(17:2_23:0)",800.61648,659.59737,411.38332,323.25812,249.22135,337.34655
"PE(41:2) PE(17:2_24:0)",814.63208,673.61297,425.39892,323.25812,249.22135,351.36215
"PE(41:3) PE(17:2_24:1)",812.61648,671.59737,423.38332,323.25812,249.22135,349.34655
"PE(42:2) PE(17:2_25:0)",828.64778,687.62867,439.41462,323.25812,249.22135,365.37785
"PE(43:2) PE(17:2_26:0)",842.66338,701.64427,453.43022,323.25812,249.22135,379.39345
"PE(36:0) PE(18:0_18:0)",748.58508,607.56597,341.30502,341.30502,267.26825,267.26825
"PE(36:1) PE(18:0_18:1)",746.56948,605.55037,339.28942,341.30502,267.26825,265.25265
"PE(36:2) PE(18:0_18:2)",744.55378,603.53467,337.27372,341.30502,267.26825,263.23695
"PE(36:3) PE(18:0_18:3)",742.53818,601.51907,335.25812,341.30502,267.26825,261.22135
"PE(36:4) PE(18:0_18:4)",740.52248,599.50337,333.24242,341.30502,267.26825,259.20565
"PE(37:0) PE(18:0_19:0)",762.60078,621.58167,355.32072,341.30502,267.26825,281.28395
"PE(38:0) PE(18:0_20:0)",776.61638,635.59727,369.33632,341.30502,267.26825,295.29955
"PE(38:1) PE(18:0_20:1)",774.60078,633.58167,367.32072,341.30502,267.26825,293.28395
"PE(38:2) PE(18:0_20:2)",772.58508,631.56597,365.30502,341.30502,267.26825,291.26825
"PE(38:3) PE(18:0_20:3)",770.56948,629.55037,363.28942,341.30502,267.26825,289.25265
"PE(38:4) PE(18:0_20:4)",768.55378,627.53467,361.27372,341.30502,267.26825,287.23695
"PE(38:5) PE(18:0_20:5)",766.53818,625.51907,359.25812,341.30502,267.26825,285.22135
"PE(39:0) PE(18:0_21:0)",790.63208,649.61297,383.35202,341.30502,267.26825,309.31525
"PE(40:0) PE(18:0_22:0)",804.64768,663.62857,397.36762,341.30502,267.26825,323.33085
"PE(40:1) PE(18:0_22:1)",802.63208,661.61297,395.35202,341.30502,267.26825,321.31525
"PE(40:2) PE(18:0_22:2)",800.61638,659.59727,393.33632,341.30502,267.26825,319.29955
"PE(40:3) PE(18:0_22:3)",798.60078,657.58167,391.32072,341.30502,267.26825,317.28395
"PE(40:4) PE(18:0_22:4)",796.58508,655.56597,389.30502,341.30502,267.26825,315.26825
"PE(40:5) PE(18:0_22:5)",794.56948,653.55037,387.28942,341.30502,267.26825,313.25265
"PE(40:6) PE(18:0_22:6)",792.55378,651.53467,385.27372,341.30502,267.26825,311.23695
"PE(41:0) PE(18:0_23:0)",818.66338,677.64427,411.38332,341.30502,267.26825,337.34655
"PE(42:0) PE(18:0_24:0)",832.67898,691.65987,425.39892,341.30502,267.26825,351.36215
"PE(42:1) PE(18:0_24:1)",830.66338,689.64427,423.38332,341.30502,267.26825,349.34655
"PE(43:0) PE(18:0_25:0)",846.69468,705.67557,439.41462,341.30502,267.26825,365.37785
"PE(44:0) PE(18:0_26:0)",860.71028,719.69117,453.43022,341.30502,267.26825,379.39345
"PE(36:2) PE(18:1_18:1)",744.55388,603.53477,339.28942,339.28942,265.25265,265.25265
"PE(36:3) PE(18:1_18:2)",742.53818,601.51907,337.27372,339.28942,265.25265,263.23695
"PE(36:4) PE(18:1_18:3)",740.52258,599.50347,335.25812,339.28942,265.25265,261.22135
"PE(36:5) PE(18:1_18:4)",738.50688,597.48777,333.24242,339.28942,265.25265,259.20565
"PE(37:1) PE(18:1_19:0)",760.58518,619.56607,355.32072,339.28942,265.25265,281.28395
"PE(38:1) PE(18:1_20:0)",774.60078,633.58167,369.33632,339.28942,265.25265,295.29955
"PE(38:2) PE(18:1_20:1)",772.58518,631.56607,367.32072,339.28942,265.25265,293.28395
"PE(38:3) PE(18:1_20:2)",770.56948,629.55037,365.30502,339.28942,265.25265,291.26825
"PE(38:4) PE(18:1_20:3)",768.55388,627.53477,363.28942,339.28942,265.25265,289.25265
"PE(38:5) PE(18:1_20:4)",766.53818,625.51907,361.27372,339.28942,265.25265,287.23695
"PE(38:6) PE(18:1_20:5)",764.52258,623.50347,359.25812,339.28942,265.25265,285.22135
"PE(39:1) PE(18:1_21:0)",788.61648,647.59737,383.35202,339.28942,265.25265,309.31525
"PE(40:1) PE(18:1_22:0)",802.63208,661.61297,397.36762,339.28942,265.25265,323.33085
"PE(40:2) PE(18:1_22:1)",800.61648,659.59737,395.35202,339.28942,265.25265,321.31525
"PE(40:3) PE(18:1_22:2)",798.60078,657.58167,393.33632,339.28942,265.25265,319.29955
"PE(40:4) PE(18:1_22:3)",796.58518,655.56607,391.32072,339.28942,265.25265,317.28395
"PE(40:5) PE(18:1_22:4)",794.56948,653.55037,389.30502,339.28942,265.25265,315.26825
"PE(40:6) PE(18:1_22:5)",792.55388,651.53477,387.28942,339.28942,265.25265,313.25265
"PE(40:7) PE(18:1_22:6)",790.53818,649.51907,385.27372,339.28942,265.25265,311.23695
"PE(41:1) PE(18:1_23:0)",816.64778,675.62867,411.38332,339.28942,265.25265,337.34655
"PE(42:1) PE(18:1_24:0)",830.66338,689.64427,425.39892,339.28942,265.25265,351.36215
"PE(42:2) PE(18:1_24:1)",828.64778,687.62867,423.38332,339.28942,265.25265,349.34655
"PE(43:1) PE(18:1_25:0)",844.67908,703.65997,439.41462,339.28942,265.25265,365.37785
"PE(44:1) PE(18:1_26:0)",858.69468,717.67557,453.43022,339.28942,265.25265,379.39345
"PE(36:4) PE(18:2_18:2)",740.52248,599.50337,337.27372,337.27372,263.23695,263.23695
"PE(36:5) PE(18:2_18:3)",738.50688,597.48777,335.25812,337.27372,263.23695,261.22135
"PE(36:6) PE(18:2_18:4)",736.49118,595.47207,333.24242,337.27372,263.23695,259.20565
"PE(37:2) PE(18:2_19:0)",758.56948,617.55037,355.32072,337.27372,263.23695,281.28395
"PE(38:2) PE(18:2_20:0)",772.58508,631.56597,369.33632,337.27372,263.23695,295.29955
"PE(38:3) PE(18:2_20:1)",770.56948,629.55037,367.32072,337.27372,263.23695,293.28395
"PE(38:4) PE(18:2_20:2)",768.55378,627.53467,365.30502,337.27372,263.23695,291.26825
"PE(38:5) PE(18:2_20:3)",766.53818,625.51907,363.28942,337.27372,263.23695,289.25265
"PE(38:6) PE(18:2_20:4)",764.52248,623.50337,361.27372,337.27372,263.23695,287.23695
"PE(38:7) PE(18:2_20:5)",762.50688,621.48777,359.25812,337.27372,263.23695,285.22135
"PE(39:2) PE(18:2_21:0)",786.60078,645.58167,383.35202,337.27372,263.23695,309.31525
"PE(40:2) PE(18:2_22:0)",800.61638,659.59727,397.36762,337.27372,263.23695,323.33085
"PE(40:3) PE(18:2_22:1)",798.60078,657.58167,395.35202,337.27372,263.23695,321.31525
"PE(40:4) PE(18:2_22:2)",796.58508,655.56597,393.33632,337.27372,263.23695,319.29955
"PE(40:5) PE(18:2_22:3)",794.56948,653.55037,391.32072,337.27372,263.23695,317.28395
"PE(40:6) PE(18:2_22:4)",792.55378,651.53467,389.30502,337.27372,263.23695,315.26825
"PE(40:7) PE(18:2_22:5)",790.53818,649.51907,387.28942,337.27372,263.23695,313.25265
"PE(40:8) PE(18:2_22:6)",788.52248,647.50337,385.27372,337.27372,263.23695,311.23695
"PE(41:2) PE(18:2_23:0)",814.63208,673.61297,411.38332,337.27372,263.23695,337.34655
"PE(42:2) PE(18:2_24:0)",828.64768,687.62857,425.39892,337.27372,263.23695,351.36215
"PE(42:3) PE(18:2_24:1)",826.63208,685.61297,423.38332,337.27372,263.23695,349.34655
"PE(43:2) PE(18:2_25:0)",842.66338,701.64427,439.41462,337.27372,263.23695,365.37785
"PE(44:2) PE(18:2_26:0)",856.67898,715.65987,453.43022,337.27372,263.23695,379.39345
"PE(36:6) PE(18:3_18:3)",736.49128,595.47217,335.25812,335.25812,261.22135,261.22135
"PE(36:7) PE(18:3_18:4)",734.47558,593.45647,333.24242,335.25812,261.22135,259.20565
"PE(37:3) PE(18:3_19:0)",756.55388,615.53477,355.32072,335.25812,261.22135,281.28395
"PE(38:3) PE(18:3_20:0)",770.56948,629.55037,369.33632,335.25812,261.22135,295.29955
"PE(38:4) PE(18:3_20:1)",768.55388,627.53477,367.32072,335.25812,261.22135,293.28395
"PE(38:5) PE(18:3_20:2)",766.53818,625.51907,365.30502,335.25812,261.22135,291.26825
"PE(38:6) PE(18:3_20:3)",764.52258,623.50347,363.28942,335.25812,261.22135,289.25265
"PE(38:7) PE(18:3_20:4)",762.50688,621.48777,361.27372,335.25812,261.22135,287.23695
"PE(38:8) PE(18:3_20:5)",760.49128,619.47217,359.25812,335.25812,261.22135,285.22135
"PE(39:3) PE(18:3_21:0)",784.58518,643.56607,383.35202,335.25812,261.22135,309.31525
"PE(40:3) PE(18:3_22:0)",798.60078,657.58167,397.36762,335.25812,261.22135,323.33085
"PE(40:4) PE(18:3_22:1)",796.58518,655.56607,395.35202,335.25812,261.22135,321.31525
"PE(40:5) PE(18:3_22:2)",794.56948,653.55037,393.33632,335.25812,261.22135,319.29955
"PE(40:6) PE(18:3_22:3)",792.55388,651.53477,391.32072,335.25812,261.22135,317.28395
"PE(40:7) PE(18:3_22:4)",790.53818,649.51907,389.30502,335.25812,261.22135,315.26825
"PE(40:8) PE(18:3_22:5)",788.52258,647.50347,387.28942,335.25812,261.22135,313.25265
"PE(40:9) PE(18:3_22:6)",786.50688,645.48777,385.27372,335.25812,261.22135,311.23695
"PE(41:3) PE(18:3_23:0)",812.61648,671.59737,411.38332,335.25812,261.22135,337.34655
"PE(42:3) PE(18:3_24:0)",826.63208,685.61297,425.39892,335.25812,261.22135,351.36215
"PE(42:4) PE(18:3_24:1)",824.61648,683.59737,423.38332,335.25812,261.22135,349.34655
"PE(43:3) PE(18:3_25:0)",840.64778,699.62867,439.41462,335.25812,261.22135,365.37785
"PE(44:3) PE(18:3_26:0)",854.66338,713.64427,453.43022,335.25812,261.22135,379.39345
"PE(36:8) PE(18:4_18:4)",732.45988,591.44077,333.24242,333.24242,259.20565,259.20565
"PE(37:4) PE(18:4_19:0)",754.53818,613.51907,355.32072,333.24242,259.20565,281.28395
"PE(38:4) PE(18:4_20:0)",768.55378,627.53467,369.33632,333.24242,259.20565,295.29955
"PE(38:5) PE(18:4_20:1)",766.53818,625.51907,367.32072,333.24242,259.20565,293.28395
"PE(38:6) PE(18:4_20:2)",764.52248,623.50337,365.30502,333.24242,259.20565,291.26825
"PE(38:7) PE(18:4_20:3)",762.50688,621.48777,363.28942,333.24242,259.20565,289.25265
"PE(38:8) PE(18:4_20:4)",760.49118,619.47207,361.27372,333.24242,259.20565,287.23695
"PE(38:9) PE(18:4_20:5)",758.47558,617.45647,359.25812,333.24242,259.20565,285.22135
"PE(39:4) PE(18:4_21:0)",782.56948,641.55037,383.35202,333.24242,259.20565,309.31525
"PE(40:4) PE(18:4_22:0)",796.58508,655.56597,397.36762,333.24242,259.20565,323.33085
"PE(40:5) PE(18:4_22:1)",794.56948,653.55037,395.35202,333.24242,259.20565,321.31525
"PE(40:6) PE(18:4_22:2)",792.55378,651.53467,393.33632,333.24242,259.20565,319.29955
"PE(40:7) PE(18:4_22:3)",790.53818,649.51907,391.32072,333.24242,259.20565,317.28395
"PE(40:8) PE(18:4_22:4)",788.52248,647.50337,389.30502,333.24242,259.20565,315.26825
"PE(40:9) PE(18:4_22:5)",786.50688,645.48777,387.28942,333.24242,259.20565,313.25265
"PE(40:10) PE(18:4_22:6)",784.49118,643.47207,385.27372,333.24242,259.20565,311.23695
"PE(41:4) PE(18:4_23:0)",810.60078,669.58167,411.38332,333.24242,259.20565,337.34655
"PE(42:4) PE(18:4_24:0)",824.61638,683.59727,425.39892,333.24242,259.20565,351.36215
"PE(42:5) PE(18:4_24:1)",822.60078,681.58167,423.38332,333.24242,259.20565,349.34655
"PE(43:4) PE(18:4_25:0)",838.63208,697.61297,439.41462,333.24242,259.20565,365.37785
"PE(44:4) PE(18:4_26:0)",852.64768,711.62857,453.43022,333.24242,259.20565,379.39345
"PE(38:0) PE(19:0_19:0)",776.61648,635.59737,355.32072,355.32072,281.28395,281.28395
"PE(39:0) PE(19:0_20:0)",790.63208,649.61297,369.33632,355.32072,281.28395,295.29955
"PE(39:1) PE(19:0_20:1)",788.61648,647.59737,367.32072,355.32072,281.28395,293.28395
"PE(39:2) PE(19:0_20:2)",786.60078,645.58167,365.30502,355.32072,281.28395,291.26825
"PE(39:3) PE(19:0_20:3)",784.58518,643.56607,363.28942,355.32072,281.28395,289.25265
"PE(39:4) PE(19:0_20:4)",782.56948,641.55037,361.27372,355.32072,281.28395,287.23695
"PE(39:5) PE(19:0_20:5)",780.55388,639.53477,359.25812,355.32072,281.28395,285.22135
"PE(40:0) PE(19:0_21:0)",804.64778,663.62867,383.35202,355.32072,281.28395,309.31525
"PE(41:0) PE(19:0_22:0)",818.66338,677.64427,397.36762,355.32072,281.28395,323.33085
"PE(41:1) PE(19:0_22:1)",816.64778,675.62867,395.35202,355.32072,281.28395,321.31525
"PE(41:2) PE(19:0_22:2)",814.63208,673.61297,393.33632,355.32072,281.28395,319.29955
"PE(41:3) PE(19:0_22:3)",812.61648,671.59737,391.32072,355.32072,281.28395,317.28395
"PE(41:4) PE(19:0_22:4)",810.60078,669.58167,389.30502,355.32072,281.28395,315.26825
"PE(41:5) PE(19:0_22:5)",808.58518,667.56607,387.28942,355.32072,281.28395,313.25265
"PE(41:6) PE(19:0_22:6)",806.56948,665.55037,385.27372,355.32072,281.28395,311.23695
"PE(42:0) PE(19:0_23:0)",832.67908,691.65997,411.38332,355.32072,281.28395,337.34655
"PE(43:0) PE(19:0_24:0)",846.69468,705.67557,425.39892,355.32072,281.28395,351.36215
"PE(43:1) PE(19:0_24:1)",844.67908,703.65997,423.38332,355.32072,281.28395,349.34655
"PE(44:0) PE(19:0_25:0)",860.71038,719.69127,439.41462,355.32072,281.28395,365.37785
"PE(45:0) PE(19:0_26:0)",874.72598,733.70687,453.43022,355.32072,281.28395,379.39345
