"PC","[M+H]+","[M+H-PC]+","[M+H-tail1-N(CH3)3]+","[M+H-tail2-N(CH3)3]+","[M+H-tail1]+","[M+H-tail2]+","[LPC_tail1]+","[LPC_tail2]+","[PC Head]+"
"PC(8:0) PC(4:0_4:0)",398.19378,215.12774,251.0678,251.0678,310.1413,310.1413,328.15205,328.15205,184.07332
"PC(8:1) PC(4:0_4:1)",396.17812,213.11208,249.05214,251.0678,308.12564,310.1413,328.15205,326.13639,184.07332
"PC(9:0) PC(4:0_5:0)",412.20944,229.1434,265.08346,251.0678,324.15696,310.1413,328.15205,342.16771,184.07332
"PC(9:1) PC(4:0_5:1)",410.19378,227.12774,263.0678,251.0678,322.1413,310.1413,328.15205,340.15205,184.07332
"PC(9:2) PC(4:0_5:2)",408.17812,225.11208,261.05214,251.0678,320.12564,310.1413,328.15205,338.13639,184.07332
"PC(10:0) PC(4:0_6:0)",426.2251,243.15906,279.09912,251.0678,338.17262,310.1413,328.15205,356.18337,184.07332
"PC(10:1) PC(4:0_6:1)",424.20944,241.1434,277.08346,251.0678,336.15696,310.1413,328.15205,354.16771,184.07332
"PC(10:2) PC(4:0_6:2)",422.19378,239.12774,275.0678,251.0678,334.1413,310.1413,328.15205,352.15205,184.07332
"PC(11:0) PC(4:0_7:0)",440.24076,257.17472,293.11478,251.0678,352.18828,310.1413,328.15205,370.19903,184.07332
"PC(11:1) PC(4:0_7:1)",438.2251,255.15906,291.09912,251.0678,350.17262,310.1413,328.15205,368.18337,184.07332
"PC(11:2) PC(4:0_7:2)",436.20944,253.1434,289.08346,251.0678,348.15696,310.1413,328.15205,366.16771,184.07332
"PC(11:3) PC(4:0_7:3)",434.19378,251.12774,287.0678,251.0678,346.1413,310.1413,328.15205,364.15205,184.07332
"PC(12:0) PC(4:0_8:0)",454.25642,271.19038,307.13044,251.0678,366.20394,310.1413,328.15205,384.21469,184.07332
"PC(12:1) PC(4:0_8:1)",452.24076,269.17472,305.11478,251.0678,364.18828,310.1413,328.15205,382.19903,184.07332
"PC(12:2) PC(4:0_8:2)",450.2251,267.15906,303.09912,251.0678,362.17262,310.1413,328.15205,380.18337,184.07332
"PC(12:3) PC(4:0_8:3)",448.20944,265.1434,301.08346,251.0678,360.15696,310.1413,328.15205,378.16771,184.07332
"PC(13:0) PC(4:0_9:0)",468.27208,285.20604,321.1461,251.0678,380.2196,310.1413,328.15205,398.23035,184.07332
"PC(13:1) PC(4:0_9:1)",466.25642,283.19038,319.13044,251.0678,378.20394,310.1413,328.15205,396.21469,184.07332
"PC(13:2) PC(4:0_9:2)",464.24076,281.17472,317.11478,251.0678,376.18828,310.1413,328.15205,394.19903,184.07332
"PC(13:3) PC(4:0_9:3)",462.2251,279.15906,315.09912,251.0678,374.17262,310.1413,328.15205,392.18337,184.07332
"PC(13:4) PC(4:0_9:4)",460.20944,277.1434,313.08346,251.0678,372.15696,310.1413,328.15205,390.16771,184.07332
"PC(14:0) PC(4:0_10:0)",482.28774,299.2217,335.16176,251.0678,394.23526,310.1413,328.15205,412.24601,184.07332
"PC(14:1) PC(4:0_10:1)",480.27208,297.20604,333.1461,251.0678,392.2196,310.1413,328.15205,410.23035,184.07332
"PC(14:2) PC(4:0_10:2)",478.25642,295.19038,331.13044,251.0678,390.20394,310.1413,328.15205,408.21469,184.07332
"PC(14:3) PC(4:0_10:3)",476.24076,293.17472,329.11478,251.0678,388.18828,310.1413,328.15205,406.19903,184.07332
"PC(14:4) PC(4:0_10:4)",474.2251,291.15906,327.09912,251.0678,386.17262,310.1413,328.15205,404.18337,184.07332
"PC(15:0) PC(4:0_11:0)",496.3034,313.23736,349.17742,251.0678,408.25092,310.1413,328.15205,426.26167,184.07332
"PC(15:1) PC(4:0_11:1)",494.28774,311.2217,347.16176,251.0678,406.23526,310.1413,328.15205,424.24601,184.07332
"PC(15:2) PC(4:0_11:2)",492.27208,309.20604,345.1461,251.0678,404.2196,310.1413,328.15205,422.23035,184.07332
"PC(15:3) PC(4:0_11:3)",490.25642,307.19038,343.13044,251.0678,402.20394,310.1413,328.15205,420.21469,184.07332
"PC(15:4) PC(4:0_11:4)",488.24076,305.17472,341.11478,251.0678,400.18828,310.1413,328.15205,418.19903,184.07332
"PC(15:5) PC(4:0_11:5)",486.2251,303.15906,339.09912,251.0678,398.17262,310.1413,328.15205,416.18337,184.07332
"PC(16:0) PC(4:0_12:0)",510.31906,327.25302,363.19308,251.0678,422.26658,310.1413,328.15205,440.27733,184.07332
"PC(16:1) PC(4:0_12:1)",508.3034,325.23736,361.17742,251.0678,420.25092,310.1413,328.15205,438.26167,184.07332
"PC(16:2) PC(4:0_12:2)",506.28774,323.2217,359.16176,251.0678,418.23526,310.1413,328.15205,436.24601,184.07332
"PC(16:3) PC(4:0_12:3)",504.27208,321.20604,357.1461,251.0678,416.2196,310.1413,328.15205,434.23035,184.07332
"PC(16:4) PC(4:0_12:4)",502.25642,319.19038,355.13044,251.0678,414.20394,310.1413,328.15205,432.21469,184.07332
"PC(16:5) PC(4:0_12:5)",500.24076,317.17472,353.11478,251.0678,412.18828,310.1413,328.15205,430.19903,184.07332
"PC(17:0) PC(4:0_13:0)",524.33472,341.26868,377.20874,251.0678,436.28224,310.1413,328.15205,454.29299,184.07332
"PC(17:1) PC(4:0_13:1)",522.31906,339.25302,375.19308,251.0678,434.26658,310.1413,328.15205,452.27733,184.07332
"PC(17:2) PC(4:0_13:2)",520.3034,337.23736,373.17742,251.0678,432.25092,310.1413,328.15205,450.26167,184.07332
"PC(17:3) PC(4:0_13:3)",518.28774,335.2217,371.16176,251.0678,430.23526,310.1413,328.15205,448.24601,184.07332
"PC(17:4) PC(4:0_13:4)",516.27208,333.20604,369.1461,251.0678,428.2196,310.1413,328.15205,446.23035,184.07332
"PC(17:5) PC(4:0_13:5)",514.25642,331.19038,367.13044,251.0678,426.20394,310.1413,328.15205,444.21469,184.07332
"PC(17:6) PC(4:0_13:6)",512.24076,329.17472,365.11478,251.0678,424.18828,310.1413,328.15205,442.19903,184.07332
"PC(18:0) PC(4:0_14:0)",538.35038,355.28434,391.2244,251.0678,450.2979,310.1413,328.15205,468.30865,184.07332
"PC(18:1) PC(4:0_14:1)",536.33472,353.26868,389.20874,251.0678,448.28224,310.1413,328.15205,466.29299,184.07332
"PC(18:2) PC(4:0_14:2)",534.31906,351.25302,387.19308,251.0678,446.26658,310.1413,328.15205,464.27733,184.07332
"PC(18:3) PC(4:0_14:3)",532.3034,349.23736,385.17742,251.0678,444.25092,310.1413,328.15205,462.26167,184.07332
"PC(18:4) PC(4:0_14:4)",530.28774,347.2217,383.16176,251.0678,442.23526,310.1413,328.15205,460.24601,184.07332
"PC(18:5) PC(4:0_14:5)",528.27208,345.20604,381.1461,251.0678,440.2196,310.1413,328.15205,458.23035,184.07332
"PC(18:6) PC(4:0_14:6)",526.25642,343.19038,379.13044,251.0678,438.20394,310.1413,328.15205,456.21469,184.07332
"PC(19:0) PC(4:0_15:0)",552.36604,369.3,405.24006,251.0678,464.31356,310.1413,328.15205,482.32431,184.07332
"PC(19:1) PC(4:0_15:1)",550.35038,367.28434,403.2244,251.0678,462.2979,310.1413,328.15205,480.30865,184.07332
"PC(19:2) PC(4:0_15:2)",548.33472,365.26868,401.20874,251.0678,460.28224,310.1413,328.15205,478.29299,184.07332
"PC(19:3) PC(4:0_15:3)",546.31906,363.25302,399.19308,251.0678,458.26658,310.1413,328.15205,476.27733,184.07332
"PC(19:4) PC(4:0_15:4)",544.3034,361.23736,397.17742,251.0678,456.25092,310.1413,328.15205,474.26167,184.07332
"PC(19:5) PC(4:0_15:5)",542.28774,359.2217,395.16176,251.0678,454.23526,310.1413,328.15205,472.24601,184.07332
"PC(19:6) PC(4:0_15:6)",540.27208,357.20604,393.1461,251.0678,452.2196,310.1413,328.15205,470.23035,184.07332
"PC(20:0) PC(4:0_16:0)",566.3817,383.31566,419.25572,251.0678,478.32922,310.1413,328.15205,496.33997,184.07332
"PC(20:1) PC(4:0_16:1)",564.36604,381.3,417.24006,251.0678,476.31356,310.1413,328.15205,494.32431,184.07332
"PC(20:2) PC(4:0_16:2)",562.35038,379.28434,415.2244,251.0678,474.2979,310.1413,328.15205,492.30865,184.07332
"PC(20:3) PC(4:0_16:3)",560.33472,377.26868,413.20874,251.0678,472.28224,310.1413,328.15205,490.29299,184.07332
"PC(20:4) PC(4:0_16:4)",558.31906,375.25302,411.19308,251.0678,470.26658,310.1413,328.15205,488.27733,184.07332
"PC(20:5) PC(4:0_16:5)",556.3034,373.23736,409.17742,251.0678,468.25092,310.1413,328.15205,486.26167,184.07332
"PC(20:6) PC(4:0_16:6)",554.28774,371.2217,407.16176,251.0678,466.23526,310.1413,328.15205,484.24601,184.07332
"PC(21:0) PC(4:0_17:0)",580.39736,397.33132,433.27138,251.0678,492.34488,310.1413,328.15205,510.35563,184.07332
"PC(21:1) PC(4:0_17:1)",578.3817,395.31566,431.25572,251.0678,490.32922,310.1413,328.15205,508.33997,184.07332
"PC(21:2) PC(4:0_17:2)",576.36604,393.3,429.24006,251.0678,488.31356,310.1413,328.15205,506.32431,184.07332
"PC(21:3) PC(4:0_17:3)",574.35038,391.28434,427.2244,251.0678,486.2979,310.1413,328.15205,504.30865,184.07332
"PC(21:4) PC(4:0_17:4)",572.33472,389.26868,425.20874,251.0678,484.28224,310.1413,328.15205,502.29299,184.07332
"PC(21:5) PC(4:0_17:5)",570.31906,387.25302,423.19308,251.0678,482.26658,310.1413,328.15205,500.27733,184.07332
"PC(21:6) PC(4:0_17:6)",568.3034,385.23736,421.17742,251.0678,480.25092,310.1413,328.15205,498.26167,184.07332
"PC(22:0) PC(4:0_18:0)",594.41302,411.34698,447.28704,251.0678,506.36054,310.1413,328.15205,524.37129,184.07332
"PC(22:1) PC(4:0_18:1)",592.39736,409.33132,445.27138,251.0678,504.34488,310.1413,328.15205,522.35563,184.07332
"PC(22:2) PC(4:0_18:2)",590.3817,407.31566,443.25572,251.0678,502.32922,310.1413,328.15205,520.33997,184.07332
"PC(22:3) PC(4:0_18:3)",588.36604,405.3,441.24006,251.0678,500.31356,310.1413,328.15205,518.32431,184.07332
"PC(22:4) PC(4:0_18:4)",586.35038,403.28434,439.2244,251.0678,498.2979,310.1413,328.15205,516.30865,184.07332
"PC(22:5) PC(4:0_18:5)",584.33472,401.26868,437.20874,251.0678,496.28224,310.1413,328.15205,514.29299,184.07332
"PC(22:6) PC(4:0_18:6)",582.31906,399.25302,435.19308,251.0678,494.26658,310.1413,328.15205,512.27733,184.07332
"PC(23:0) PC(4:0_19:0)",608.42868,425.36264,461.3027,251.0678,520.3762,310.1413,328.15205,538.38695,184.07332
"PC(23:1) PC(4:0_19:1)",606.41302,423.34698,459.28704,251.0678,518.36054,310.1413,328.15205,536.37129,184.07332
"PC(23:2) PC(4:0_19:2)",604.39736,421.33132,457.27138,251.0678,516.34488,310.1413,328.15205,534.35563,184.07332
"PC(23:3) PC(4:0_19:3)",602.3817,419.31566,455.25572,251.0678,514.32922,310.1413,328.15205,532.33997,184.07332
"PC(23:4) PC(4:0_19:4)",600.36604,417.3,453.24006,251.0678,512.31356,310.1413,328.15205,530.32431,184.07332
"PC(23:5) PC(4:0_19:5)",598.35038,415.28434,451.2244,251.0678,510.2979,310.1413,328.15205,528.30865,184.07332
"PC(23:6) PC(4:0_19:6)",596.33472,413.26868,449.20874,251.0678,508.28224,310.1413,328.15205,526.29299,184.07332
"PC(24:0) PC(4:0_20:0)",622.44434,439.3783,475.31836,251.0678,534.39186,310.1413,328.15205,552.40261,184.07332
"PC(24:1) PC(4:0_20:1)",620.42868,437.36264,473.3027,251.0678,532.3762,310.1413,328.15205,550.38695,184.07332
"PC(24:2) PC(4:0_20:2)",618.41302,435.34698,471.28704,251.0678,530.36054,310.1413,328.15205,548.37129,184.07332
"PC(24:3) PC(4:0_20:3)",616.39736,433.33132,469.27138,251.0678,528.34488,310.1413,328.15205,546.35563,184.07332
"PC(24:4) PC(4:0_20:4)",614.3817,431.31566,467.25572,251.0678,526.32922,310.1413,328.15205,544.33997,184.07332
"PC(24:5) PC(4:0_20:5)",612.36604,429.3,465.24006,251.0678,524.31356,310.1413,328.15205,542.32431,184.07332
"PC(24:6) PC(4:0_20:6)",610.35038,427.28434,463.2244,251.0678,522.2979,310.1413,328.15205,540.30865,184.07332
"PC(25:0) PC(4:0_21:0)",636.46,453.39396,489.33402,251.0678,548.40752,310.1413,328.15205,566.41827,184.07332
"PC(25:1) PC(4:0_21:1)",634.44434,451.3783,487.31836,251.0678,546.39186,310.1413,328.15205,564.40261,184.07332
"PC(25:2) PC(4:0_21:2)",632.42868,449.36264,485.3027,251.0678,544.3762,310.1413,328.15205,562.38695,184.07332
"PC(25:3) PC(4:0_21:3)",630.41302,447.34698,483.28704,251.0678,542.36054,310.1413,328.15205,560.37129,184.07332
"PC(25:4) PC(4:0_21:4)",628.39736,445.33132,481.27138,251.0678,540.34488,310.1413,328.15205,558.35563,184.07332
"PC(25:5) PC(4:0_21:5)",626.3817,443.31566,479.25572,251.0678,538.32922,310.1413,328.15205,556.33997,184.07332
"PC(25:6) PC(4:0_21:6)",624.36604,441.3,477.24006,251.0678,536.31356,310.1413,328.15205,554.32431,184.07332
"PC(26:0) PC(4:0_22:0)",650.47566,467.40962,503.34968,251.0678,562.42318,310.1413,328.15205,580.43393,184.07332
"PC(26:1) PC(4:0_22:1)",648.46,465.39396,501.33402,251.0678,560.40752,310.1413,328.15205,578.41827,184.07332
"PC(26:2) PC(4:0_22:2)",646.44434,463.3783,499.31836,251.0678,558.39186,310.1413,328.15205,576.40261,184.07332
"PC(26:3) PC(4:0_22:3)",644.42868,461.36264,497.3027,251.0678,556.3762,310.1413,328.15205,574.38695,184.07332
"PC(26:4) PC(4:0_22:4)",642.41302,459.34698,495.28704,251.0678,554.36054,310.1413,328.15205,572.37129,184.07332
"PC(26:5) PC(4:0_22:5)",640.39736,457.33132,493.27138,251.0678,552.34488,310.1413,328.15205,570.35563,184.07332
"PC(26:6) PC(4:0_22:6)",638.3817,455.31566,491.25572,251.0678,550.32922,310.1413,328.15205,568.33997,184.07332
"PC(27:0) PC(4:0_23:0)",664.49132,481.42528,517.36534,251.0678,576.43884,310.1413,328.15205,594.44959,184.07332
"PC(27:1) PC(4:0_23:1)",662.47566,479.40962,515.34968,251.0678,574.42318,310.1413,328.15205,592.43393,184.07332
"PC(27:2) PC(4:0_23:2)",660.46,477.39396,513.33402,251.0678,572.40752,310.1413,328.15205,590.41827,184.07332
"PC(27:3) PC(4:0_23:3)",658.44434,475.3783,511.31836,251.0678,570.39186,310.1413,328.15205,588.40261,184.07332
"PC(27:4) PC(4:0_23:4)",656.42868,473.36264,509.3027,251.0678,568.3762,310.1413,328.15205,586.38695,184.07332
"PC(27:5) PC(4:0_23:5)",654.41302,471.34698,507.28704,251.0678,566.36054,310.1413,328.15205,584.37129,184.07332
"PC(27:6) PC(4:0_23:6)",652.39736,469.33132,505.27138,251.0678,564.34488,310.1413,328.15205,582.35563,184.07332
"PC(28:0) PC(4:0_24:0)",678.50698,495.44094,531.381,251.0678,590.4545,310.1413,328.15205,608.46525,184.07332
"PC(28:1) PC(4:0_24:1)",676.49132,493.42528,529.36534,251.0678,588.43884,310.1413,328.15205,606.44959,184.07332
"PC(28:2) PC(4:0_24:2)",674.47566,491.40962,527.34968,251.0678,586.42318,310.1413,328.15205,604.43393,184.07332
"PC(28:3) PC(4:0_24:3)",672.46,489.39396,525.33402,251.0678,584.40752,310.1413,328.15205,602.41827,184.07332
"PC(28:4) PC(4:0_24:4)",670.44434,487.3783,523.31836,251.0678,582.39186,310.1413,328.15205,600.40261,184.07332
"PC(28:5) PC(4:0_24:5)",668.42868,485.36264,521.3027,251.0678,580.3762,310.1413,328.15205,598.38695,184.07332
"PC(28:6) PC(4:0_24:6)",666.41302,483.34698,519.28704,251.0678,578.36054,310.1413,328.15205,596.37129,184.07332
"PC(29:0) PC(4:0_25:0)",692.52264,509.4566,545.39666,251.0678,604.47016,310.1413,328.15205,622.48091,184.07332
"PC(29:1) PC(4:0_25:1)",690.50698,507.44094,543.381,251.0678,602.4545,310.1413,328.15205,620.46525,184.07332
"PC(29:2) PC(4:0_25:2)",688.49132,505.42528,541.36534,251.0678,600.43884,310.1413,328.15205,618.44959,184.07332
"PC(29:3) PC(4:0_25:3)",686.47566,503.40962,539.34968,251.0678,598.42318,310.1413,328.15205,616.43393,184.07332
"PC(29:4) PC(4:0_25:4)",684.46,501.39396,537.33402,251.0678,596.40752,310.1413,328.15205,614.41827,184.07332
"PC(29:5) PC(4:0_25:5)",682.44434,499.3783,535.31836,251.0678,594.39186,310.1413,328.15205,612.40261,184.07332
"PC(29:6) PC(4:0_25:6)",680.42868,497.36264,533.3027,251.0678,592.3762,310.1413,328.15205,610.38695,184.07332
"PC(30:0) PC(4:0_26:0)",706.5383,523.47226,559.41232,251.0678,618.48582,310.1413,328.15205,636.49657,184.07332
"PC(30:1) PC(4:0_26:1)",704.52264,521.4566,557.39666,251.0678,616.47016,310.1413,328.15205,634.48091,184.07332
"PC(30:2) PC(4:0_26:2)",702.50698,519.44094,555.381,251.0678,614.4545,310.1413,328.15205,632.46525,184.07332
"PC(30:3) PC(4:0_26:3)",700.49132,517.42528,553.36534,251.0678,612.43884,310.1413,328.15205,630.44959,184.07332
"PC(30:4) PC(4:0_26:4)",698.47566,515.40962,551.34968,251.0678,610.42318,310.1413,328.15205,628.43393,184.07332
"PC(30:5) PC(4:0_26:5)",696.46,513.39396,549.33402,251.0678,608.40752,310.1413,328.15205,626.41827,184.07332
"PC(30:6) PC(4:0_26:6)",694.44434,511.3783,547.31836,251.0678,606.39186,310.1413,328.15205,624.40261,184.07332
"PC(31:0) PC(4:0_27:0)",720.55396,537.48792,573.42798,251.0678,632.50148,310.1413,328.15205,650.51223,184.07332
"PC(31:1) PC(4:0_27:1)",718.5383,535.47226,571.41232,251.0678,630.48582,310.1413,328.15205,648.49657,184.07332
"PC(31:2) PC(4:0_27:2)",716.52264,533.4566,569.39666,251.0678,628.47016,310.1413,328.15205,646.48091,184.07332
"PC(31:3) PC(4:0_27:3)",714.50698,531.44094,567.381,251.0678,626.4545,310.1413,328.15205,644.46525,184.07332
"PC(31:4) PC(4:0_27:4)",712.49132,529.42528,565.36534,251.0678,624.43884,310.1413,328.15205,642.44959,184.07332
"PC(31:5) PC(4:0_27:5)",710.47566,527.40962,563.34968,251.0678,622.42318,310.1413,328.15205,640.43393,184.07332
"PC(31:6) PC(4:0_27:6)",708.46,525.39396,561.33402,251.0678,620.40752,310.1413,328.15205,638.41827,184.07332
"PC(32:0) PC(4:0_28:0)",734.56962,551.50358,587.44364,251.0678,646.51714,310.1413,328.15205,664.52789,184.07332
"PC(32:1) PC(4:0_28:1)",732.55396,549.48792,585.42798,251.0678,644.50148,310.1413,328.15205,662.51223,184.07332
"PC(32:2) PC(4:0_28:2)",730.5383,547.47226,583.41232,251.0678,642.48582,310.1413,328.15205,660.49657,184.07332
"PC(32:3) PC(4:0_28:3)",728.52264,545.4566,581.39666,251.0678,640.47016,310.1413,328.15205,658.48091,184.07332
"PC(32:4) PC(4:0_28:4)",726.50698,543.44094,579.381,251.0678,638.4545,310.1413,328.15205,656.46525,184.07332
"PC(32:5) PC(4:0_28:5)",724.49132,541.42528,577.36534,251.0678,636.43884,310.1413,328.15205,654.44959,184.07332
"PC(32:6) PC(4:0_28:6)",722.47566,539.40962,575.34968,251.0678,634.42318,310.1413,328.15205,652.43393,184.07332
"PC(33:0) PC(4:0_29:0)",748.58528,565.51924,601.4593,251.0678,660.5328,310.1413,328.15205,678.54355,184.07332
"PC(33:1) PC(4:0_29:1)",746.56962,563.50358,599.44364,251.0678,658.51714,310.1413,328.15205,676.52789,184.07332
"PC(33:2) PC(4:0_29:2)",744.55396,561.48792,597.42798,251.0678,656.50148,310.1413,328.15205,674.51223,184.07332
"PC(33:3) PC(4:0_29:3)",742.5383,559.47226,595.41232,251.0678,654.48582,310.1413,328.15205,672.49657,184.07332
"PC(33:4) PC(4:0_29:4)",740.52264,557.4566,593.39666,251.0678,652.47016,310.1413,328.15205,670.48091,184.07332
"PC(33:5) PC(4:0_29:5)",738.50698,555.44094,591.381,251.0678,650.4545,310.1413,328.15205,668.46525,184.07332
"PC(33:6) PC(4:0_29:6)",736.49132,553.42528,589.36534,251.0678,648.43884,310.1413,328.15205,666.44959,184.07332
"PC(34:0) PC(4:0_30:0)",762.60094,579.5349,615.47496,251.0678,674.54846,310.1413,328.15205,692.55921,184.07332
"PC(34:1) PC(4:0_30:1)",760.58528,577.51924,613.4593,251.0678,672.5328,310.1413,328.15205,690.54355,184.07332
"PC(34:2) PC(4:0_30:2)",758.56962,575.50358,611.44364,251.0678,670.51714,310.1413,328.15205,688.52789,184.07332
"PC(34:3) PC(4:0_30:3)",756.55396,573.48792,609.42798,251.0678,668.50148,310.1413,328.15205,686.51223,184.07332
"PC(34:4) PC(4:0_30:4)",754.5383,571.47226,607.41232,251.0678,666.48582,310.1413,328.15205,684.49657,184.07332
"PC(34:5) PC(4:0_30:5)",752.52264,569.4566,605.39666,251.0678,664.47016,310.1413,328.15205,682.48091,184.07332
"PC(34:6) PC(4:0_30:6)",750.50698,567.44094,603.381,251.0678,662.4545,310.1413,328.15205,680.46525,184.07332
"PC(35:0) PC(4:0_31:0)",776.6166,593.55056,629.49062,251.0678,688.56412,310.1413,328.15205,706.57487,184.07332
"PC(35:1) PC(4:0_31:1)",774.60094,591.5349,627.47496,251.0678,686.54846,310.1413,328.15205,704.55921,184.07332
"PC(35:2) PC(4:0_31:2)",772.58528,589.51924,625.4593,251.0678,684.5328,310.1413,328.15205,702.54355,184.07332
"PC(35:3) PC(4:0_31:3)",770.56962,587.50358,623.44364,251.0678,682.51714,310.1413,328.15205,700.52789,184.07332
"PC(35:4) PC(4:0_31:4)",768.55396,585.48792,621.42798,251.0678,680.50148,310.1413,328.15205,698.51223,184.07332
"PC(35:5) PC(4:0_31:5)",766.5383,583.47226,619.41232,251.0678,678.48582,310.1413,328.15205,696.49657,184.07332
"PC(35:6) PC(4:0_31:6)",764.52264,581.4566,617.39666,251.0678,676.47016,310.1413,328.15205,694.48091,184.07332
"PC(36:0) PC(4:0_32:0)",790.63226,607.56622,643.50628,251.0678,702.57978,310.1413,328.15205,720.59053,184.07332
"PC(36:1) PC(4:0_32:1)",788.6166,605.55056,641.49062,251.0678,700.56412,310.1413,328.15205,718.57487,184.07332
"PC(36:2) PC(4:0_32:2)",786.60094,603.5349,639.47496,251.0678,698.54846,310.1413,328.15205,716.55921,184.07332
"PC(36:3) PC(4:0_32:3)",784.58528,601.51924,637.4593,251.0678,696.5328,310.1413,328.15205,714.54355,184.07332
"PC(36:4) PC(4:0_32:4)",782.56962,599.50358,635.44364,251.0678,694.51714,310.1413,328.15205,712.52789,184.07332
"PC(36:5) PC(4:0_32:5)",780.55396,597.48792,633.42798,251.0678,692.50148,310.1413,328.15205,710.51223,184.07332
"PC(36:6) PC(4:0_32:6)",778.5383,595.47226,631.41232,251.0678,690.48582,310.1413,328.15205,708.49657,184.07332
"PC(37:0) PC(4:0_33:0)",804.64792,621.58188,657.52194,251.0678,716.59544,310.1413,328.15205,734.60619,184.07332
"PC(37:1) PC(4:0_33:1)",802.63226,619.56622,655.50628,251.0678,714.57978,310.1413,328.15205,732.59053,184.07332
"PC(37:2) PC(4:0_33:2)",800.6166,617.55056,653.49062,251.0678,712.56412,310.1413,328.15205,730.57487,184.07332
"PC(37:3) PC(4:0_33:3)",798.60094,615.5349,651.47496,251.0678,710.54846,310.1413,328.15205,728.55921,184.07332
"PC(37:4) PC(4:0_33:4)",796.58528,613.51924,649.4593,251.0678,708.5328,310.1413,328.15205,726.54355,184.07332
"PC(37:5) PC(4:0_33:5)",794.56962,611.50358,647.44364,251.0678,706.51714,310.1413,328.15205,724.52789,184.07332
"PC(37:6) PC(4:0_33:6)",792.55396,609.48792,645.42798,251.0678,704.50148,310.1413,328.15205,722.51223,184.07332
"PC(38:0) PC(4:0_34:0)",818.66358,635.59754,671.5376,251.0678,730.6111,310.1413,328.15205,748.62185,184.07332
"PC(38:1) PC(4:0_34:1)",816.64792,633.58188,669.52194,251.0678,728.59544,310.1413,328.15205,746.60619,184.07332
"PC(38:2) PC(4:0_34:2)",814.63226,631.56622,667.50628,251.0678,726.57978,310.1413,328.15205,744.59053,184.07332
"PC(38:3) PC(4:0_34:3)",812.6166,629.55056,665.49062,251.0678,724.56412,310.1413,328.15205,742.57487,184.07332
"PC(38:4) PC(4:0_34:4)",810.60094,627.5349,663.47496,251.0678,722.54846,310.1413,328.15205,740.55921,184.07332
"PC(38:5) PC(4:0_34:5)",808.58528,625.51924,661.4593,251.0678,720.5328,310.1413,328.15205,738.54355,184.07332
"PC(38:6) PC(4:0_34:6)",806.56962,623.50358,659.44364,251.0678,718.51714,310.1413,328.15205,736.52789,184.07332
"PC(39:0) PC(4:0_35:0)",832.67924,649.6132,685.55326,251.0678,744.62676,310.1413,328.15205,762.63751,184.07332
"PC(39:1) PC(4:0_35:1)",830.66358,647.59754,683.5376,251.0678,742.6111,310.1413,328.15205,760.62185,184.07332
"PC(39:2) PC(4:0_35:2)",828.64792,645.58188,681.52194,251.0678,740.59544,310.1413,328.15205,758.60619,184.07332
"PC(39:3) PC(4:0_35:3)",826.63226,643.56622,679.50628,251.0678,738.57978,310.1413,328.15205,756.59053,184.07332
"PC(39:4) PC(4:0_35:4)",824.6166,641.55056,677.49062,251.0678,736.56412,310.1413,328.15205,754.57487,184.07332
"PC(39:5) PC(4:0_35:5)",822.60094,639.5349,675.47496,251.0678,734.54846,310.1413,328.15205,752.55921,184.07332
"PC(39:6) PC(4:0_35:6)",820.58528,637.51924,673.4593,251.0678,732.5328,310.1413,328.15205,750.54355,184.07332
"PC(40:0) PC(4:0_36:0)",846.6949,663.62886,699.56892,251.0678,758.64242,310.1413,328.15205,776.65317,184.07332
"PC(40:1) PC(4:0_36:1)",844.67924,661.6132,697.55326,251.0678,756.62676,310.1413,328.15205,774.63751,184.07332
"PC(40:2) PC(4:0_36:2)",842.66358,659.59754,695.5376,251.0678,754.6111,310.1413,328.15205,772.62185,184.07332
"PC(40:3) PC(4:0_36:3)",840.64792,657.58188,693.52194,251.0678,752.59544,310.1413,328.15205,770.60619,184.07332
"PC(40:4) PC(4:0_36:4)",838.63226,655.56622,691.50628,251.0678,750.57978,310.1413,328.15205,768.59053,184.07332
"PC(40:5) PC(4:0_36:5)",836.6166,653.55056,689.49062,251.0678,748.56412,310.1413,328.15205,766.57487,184.07332
"PC(40:6) PC(4:0_36:6)",834.60094,651.5349,687.47496,251.0678,746.54846,310.1413,328.15205,764.55921,184.07332
"PC(8:2) PC(4:1_4:1)",394.16246,211.09642,249.05214,249.05214,308.12564,308.12564,326.13639,326.13639,184.07332
"PC(9:1) PC(4:1_5:0)",410.19378,227.12774,265.08346,249.05214,324.15696,308.12564,326.13639,342.16771,184.07332
"PC(9:2) PC(4:1_5:1)",408.17812,225.11208,263.0678,249.05214,322.1413,308.12564,326.13639,340.15205,184.07332
"PC(9:3) PC(4:1_5:2)",406.16246,223.09642,261.05214,249.05214,320.12564,308.12564,326.13639,338.13639,184.07332
"PC(10:1) PC(4:1_6:0)",424.20944,241.1434,279.09912,249.05214,338.17262,308.12564,326.13639,356.18337,184.07332
"PC(10:2) PC(4:1_6:1)",422.19378,239.12774,277.08346,249.05214,336.15696,308.12564,326.13639,354.16771,184.07332
"PC(10:3) PC(4:1_6:2)",420.17812,237.11208,275.0678,249.05214,334.1413,308.12564,326.13639,352.15205,184.07332
