"PG","[M+Na]+","[M+Na-194]+","[C3H9NaO6P]+","[M+H-R1]+","[M+H-R2]+"
"PG(32:4) PG(10:0_22:4)",737.43641,543.4407908,195.0034442,229.1798,389.305
"PG(32:5) PG(10:0_22:5)",735.42081,541.4251908,195.0034442,229.1798,387.2894
"PG(32:6) PG(10:0_22:6)",733.40511,539.4094908,195.0034442,229.1798,385.2737
"PG(33:0) PG(10:0_23:0)",759.51471,565.5190908,195.0034442,229.1798,411.3833
"PG(34:0) PG(10:0_24:0)",773.53031,579.5346908,195.0034442,229.1798,425.3989
"PG(34:1) PG(10:0_24:1)",771.51471,577.5190908,195.0034442,229.1798,423.3833
"PG(35:0) PG(10:0_25:0)",787.54601,593.5503908,195.0034442,229.1798,439.4146
"PG(36:0) PG(10:0_26:0)",801.56161,607.5659908,195.0034442,229.1798,453.4302
"PG(24:0) PG(12:0_12:0)",633.37381,439.3781908,195.0034442,257.2111,257.2111
"PG(25:0) PG(12:0_13:0)",647.38951,453.3938908,195.0034442,257.2111,271.2268
"PG(26:0) PG(12:0_14:0)",661.40511,467.4094908,195.0034442,257.2111,285.2424
"PG(26:1) PG(12:0_14:1)",659.38951,465.3938908,195.0034442,257.2111,283.2268
"PG(27:0) PG(12:0_15:0)",675.42081,481.4251908,195.0034442,257.2111,299.2581
"PG(27:1) PG(12:0_15:1)",673.40511,479.4094908,195.0034442,257.2111,297.2424
"PG(28:0) PG(12:0_16:0)",689.43641,495.4407908,195.0034442,257.2111,313.2737
"PG(28:1) PG(12:0_16:1)",687.42081,493.4251908,195.0034442,257.2111,311.2581
"PG(29:0) PG(12:0_17:0)",703.45211,509.4564908,195.0034442,257.2111,327.2894
"PG(29:1) PG(12:0_17:1)",701.43641,507.4407908,195.0034442,257.2111,325.2737
"PG(29:2) PG(12:0_17:2)",699.42081,505.4251908,195.0034442,257.2111,323.2581
"PG(30:0) PG(12:0_18:0)",717.46771,523.4720908,195.0034442,257.2111,341.305
"PG(30:1) PG(12:0_18:1)",715.45211,521.4564908,195.0034442,257.2111,339.2894
"PG(30:2) PG(12:0_18:2)",713.43641,519.4407908,195.0034442,257.2111,337.2737
"PG(30:3) PG(12:0_18:3)",711.42081,517.4251908,195.0034442,257.2111,335.2581
"PG(30:4) PG(12:0_18:4)",709.40511,515.4094908,195.0034442,257.2111,333.2424
"PG(31:0) PG(12:0_19:0)",731.48341,537.4877908,195.0034442,257.2111,355.3207
"PG(32:0) PG(12:0_20:0)",745.49901,551.5033908,195.0034442,257.2111,369.3363
"PG(32:1) PG(12:0_20:1)",743.48341,549.4877908,195.0034442,257.2111,367.3207
"PG(32:2) PG(12:0_20:2)",741.46771,547.4720908,195.0034442,257.2111,365.305
"PG(32:3) PG(12:0_20:3)",739.45211,545.4564908,195.0034442,257.2111,363.2894
"PG(32:4) PG(12:0_20:4)",737.43641,543.4407908,195.0034442,257.2111,361.2737
"PG(32:5) PG(12:0_20:5)",735.42081,541.4251908,195.0034442,257.2111,359.2581
"PG(33:0) PG(12:0_21:0)",759.51471,565.5190908,195.0034442,257.2111,383.352
"PG(34:0) PG(12:0_22:0)",773.53031,579.5346908,195.0034442,257.2111,397.3676
"PG(34:1) PG(12:0_22:1)",771.51471,577.5190908,195.0034442,257.2111,395.352
"PG(34:2) PG(12:0_22:2)",769.49901,575.5033908,195.0034442,257.2111,393.3363
"PG(34:3) PG(12:0_22:3)",767.48341,573.4877908,195.0034442,257.2111,391.3207
"PG(34:4) PG(12:0_22:4)",765.46771,571.4720908,195.0034442,257.2111,389.305
"PG(34:5) PG(12:0_22:5)",763.45211,569.4564908,195.0034442,257.2111,387.2894
"PG(34:6) PG(12:0_22:6)",761.43641,567.4407908,195.0034442,257.2111,385.2737
"PG(35:0) PG(12:0_23:0)",787.54601,593.5503908,195.0034442,257.2111,411.3833
"PG(36:0) PG(12:0_24:0)",801.56161,607.5659908,195.0034442,257.2111,425.3989
