Plasmenyl-PE,[M+H]+,[M+H-PE]+,[M+H-acyl-sn2-RCO]+,[acyl-sn2-RCO]+,[acyl-sn2-RCOO+58]+,[M+H-acyl-sn2-glycerol]+
Plasmenyl-PE(P-16:0/22:5),750.54326,609.52415,297.2788,313.25265,387.28943,392.2929704
Plasmenyl-PE(P-16:0/22:6),748.52756,607.50845,297.2788,311.23695,385.27373,392.2929704
Plasmenyl-PE(P-16:0/23:0),774.63716,633.61805,297.2788,337.34655,411.38333,392.2929704
Plasmenyl-PE(P-16:0/24:0),788.65276,647.63365,297.2788,351.36215,425.39893,392.2929704
Plasmenyl-PE(P-16:0/24:1),786.63716,645.61805,297.2788,349.34655,423.38333,392.2929704
Plasmenyl-PE(P-16:0/25:0),802.66846,661.64935,297.2788,365.37785,439.41463,392.2929704
Plasmenyl-PE(P-16:0/26:0),816.68406,675.66495,297.2788,379.39345,453.43023,392.2929704
Plasmenyl-PE(P-16:0/8:0),564.40236,423.38325,297.2788,127.11175,201.14853,392.2929704
Plasmenyl-PE(P-16:1/10:0),590.41806,449.39895,295.2632,155.14305,229.17983,390.2773203
Plasmenyl-PE(P-16:1/12:0),618.44936,477.43025,295.2632,183.17435,257.21113,390.2773203
Plasmenyl-PE(P-16:1/13:0),632.46506,491.44595,295.2632,197.19005,271.22683,390.2773203
Plasmenyl-PE(P-16:1/14:0),646.48066,505.46155,295.2632,211.20565,285.24243,390.2773203
Plasmenyl-PE(P-16:1/14:1),644.46506,503.44595,295.2632,209.19005,283.22683,390.2773203
Plasmenyl-PE(P-16:1/15:0),660.49636,519.47725,295.2632,225.22135,299.25813,390.2773203
Plasmenyl-PE(P-16:1/15:1),658.48066,517.46155,295.2632,223.20565,297.24243,390.2773203
Plasmenyl-PE(P-16:1/16:0),674.51196,533.49285,295.2632,239.23695,313.27373,390.2773203
Plasmenyl-PE(P-16:1/16:1),672.49636,531.47725,295.2632,237.22135,311.25813,390.2773203
Plasmenyl-PE(P-16:1/17:0),688.52766,547.50855,295.2632,253.25265,327.28943,390.2773203
Plasmenyl-PE(P-16:1/17:1),686.51196,545.49285,295.2632,251.23695,325.27373,390.2773203
Plasmenyl-PE(P-16:1/17:2),684.49636,543.47725,295.2632,249.22135,323.25813,390.2773203
Plasmenyl-PE(P-16:1/18:0),702.54326,561.52415,295.2632,267.26825,341.30503,390.2773203
Plasmenyl-PE(P-16:1/18:1),700.52766,559.50855,295.2632,265.25265,339.28943,390.2773203
Plasmenyl-PE(P-16:1/18:2),698.51196,557.49285,295.2632,263.23695,337.27373,390.2773203
Plasmenyl-PE(P-16:1/18:3),696.49636,555.47725,295.2632,261.22135,335.25813,390.2773203
Plasmenyl-PE(P-16:1/18:4),694.48066,553.46155,295.2632,259.20565,333.24243,390.2773203
Plasmenyl-PE(P-16:1/19:0),716.55896,575.53985,295.2632,281.28395,355.32073,390.2773203
Plasmenyl-PE(P-16:1/20:0),730.57456,589.55545,295.2632,295.29955,369.33633,390.2773203
Plasmenyl-PE(P-16:1/20:1),728.55896,587.53985,295.2632,293.28395,367.32073,390.2773203
Plasmenyl-PE(P-16:1/20:2),726.54326,585.52415,295.2632,291.26825,365.30503,390.2773203
Plasmenyl-PE(P-16:1/20:3),724.52766,583.50855,295.2632,289.25265,363.28943,390.2773203
Plasmenyl-PE(P-16:1/20:4),722.51196,581.49285,295.2632,287.23695,361.27373,390.2773203
Plasmenyl-PE(P-16:1/20:5),720.49636,579.47725,295.2632,285.22135,359.25813,390.2773203
Plasmenyl-PE(P-16:1/21:0),744.59026,603.57115,295.2632,309.31525,383.35203,390.2773203
Plasmenyl-PE(P-16:1/22:0),758.60586,617.58675,295.2632,323.33085,397.36763,390.2773203
Plasmenyl-PE(P-16:1/22:1),756.59026,615.57115,295.2632,321.31525,395.35203,390.2773203
Plasmenyl-PE(P-16:1/22:2),754.57456,613.55545,295.2632,319.29955,393.33633,390.2773203
Plasmenyl-PE(P-16:1/22:3),752.55896,611.53985,295.2632,317.28395,391.32073,390.2773203
Plasmenyl-PE(P-16:1/22:4),750.54326,609.52415,295.2632,315.26825,389.30503,390.2773203
Plasmenyl-PE(P-16:1/22:5),748.52766,607.50855,295.2632,313.25265,387.28943,390.2773203
Plasmenyl-PE(P-16:1/22:6),746.51196,605.49285,295.2632,311.23695,385.27373,390.2773203
Plasmenyl-PE(P-16:1/23:0),772.62156,631.60245,295.2632,337.34655,411.38333,390.2773203
Plasmenyl-PE(P-16:1/24:0),786.63716,645.61805,295.2632,351.36215,425.39893,390.2773203
Plasmenyl-PE(P-16:1/24:1),784.62156,643.60245,295.2632,349.34655,423.38333,390.2773203
Plasmenyl-PE(P-16:1/25:0),800.65286,659.63375,295.2632,365.37785,439.41463,390.2773203
Plasmenyl-PE(P-16:1/26:0),814.66846,673.64935,295.2632,379.39345,453.43023,390.2773203
Plasmenyl-PE(P-16:1/8:0),562.38676,421.36765,295.2632,127.11175,201.14853,390.2773203
Plasmenyl-PE(P-18:0/10:0),620.46496,479.44585,325.3101,155.14305,229.17983,420.3242705
Plasmenyl-PE(P-18:0/12:0),648.49626,507.47715,325.3101,183.17435,257.21113,420.3242705
Plasmenyl-PE(P-18:0/13:0),662.51196,521.49285,325.3101,197.19005,271.22683,420.3242705
Plasmenyl-PE(P-18:0/14:0),676.52756,535.50845,325.3101,211.20565,285.24243,420.3242705
Plasmenyl-PE(P-18:0/14:1),674.51196,533.49285,325.3101,209.19005,283.22683,420.3242705
Plasmenyl-PE(P-18:0/15:0),690.54326,549.52415,325.3101,225.22135,299.25813,420.3242705
Plasmenyl-PE(P-18:0/15:1),688.52756,547.50845,325.3101,223.20565,297.24243,420.3242705
Plasmenyl-PE(P-18:0/16:0),704.55886,563.53975,325.3101,239.23695,313.27373,420.3242705
Plasmenyl-PE(P-18:0/16:1),702.54326,561.52415,325.3101,237.22135,311.25813,420.3242705
Plasmenyl-PE(P-18:0/17:0),718.57456,577.55545,325.3101,253.25265,327.28943,420.3242705
Plasmenyl-PE(P-18:0/17:1),716.55886,575.53975,325.3101,251.23695,325.27373,420.3242705
Plasmenyl-PE(P-18:0/17:2),714.54326,573.52415,325.3101,249.22135,323.25813,420.3242705
Plasmenyl-PE(P-18:0/18:0),732.59016,591.57105,325.3101,267.26825,341.30503,420.3242705
Plasmenyl-PE(P-18:0/18:1),730.57456,589.55545,325.3101,265.25265,339.28943,420.3242705
Plasmenyl-PE(P-18:0/18:2),728.55886,587.53975,325.3101,263.23695,337.27373,420.3242705
Plasmenyl-PE(P-18:0/18:3),726.54326,585.52415,325.3101,261.22135,335.25813,420.3242705
Plasmenyl-PE(P-18:0/18:4),724.52756,583.50845,325.3101,259.20565,333.24243,420.3242705
Plasmenyl-PE(P-18:0/19:0),746.60586,605.58675,325.3101,281.28395,355.32073,420.3242705
Plasmenyl-PE(P-18:0/20:0),760.62146,619.60235,325.3101,295.29955,369.33633,420.3242705
Plasmenyl-PE(P-18:0/20:1),758.60586,617.58675,325.3101,293.28395,367.32073,420.3242705
Plasmenyl-PE(P-18:0/20:2),756.59016,615.57105,325.3101,291.26825,365.30503,420.3242705
Plasmenyl-PE(P-18:0/20:3),754.57456,613.55545,325.3101,289.25265,363.28943,420.3242705
Plasmenyl-PE(P-18:0/20:4),752.55886,611.53975,325.3101,287.23695,361.27373,420.3242705
Plasmenyl-PE(P-18:0/20:5),750.54326,609.52415,325.3101,285.22135,359.25813,420.3242705
Plasmenyl-PE(P-18:0/21:0),774.63716,633.61805,325.3101,309.31525,383.35203,420.3242705
Plasmenyl-PE(P-18:0/22:0),788.65276,647.63365,325.3101,323.33085,397.36763,420.3242705
Plasmenyl-PE(P-18:0/22:1),786.63716,645.61805,325.3101,321.31525,395.35203,420.3242705
Plasmenyl-PE(P-18:0/22:2),784.62146,643.60235,325.3101,319.29955,393.33633,420.3242705
Plasmenyl-PE(P-18:0/22:3),782.60586,641.58675,325.3101,317.28395,391.32073,420.3242705
Plasmenyl-PE(P-18:0/22:4),780.59016,639.57105,325.3101,315.26825,389.30503,420.3242705
Plasmenyl-PE(P-18:0/22:5),778.57456,637.55545,325.3101,313.25265,387.28943,420.3242705
Plasmenyl-PE(P-18:0/22:6),776.55886,635.53975,325.3101,311.23695,385.27373,420.3242705
Plasmenyl-PE(P-18:0/23:0),802.66846,661.64935,325.3101,337.34655,411.38333,420.3242705
Plasmenyl-PE(P-18:0/24:0),816.68406,675.66495,325.3101,351.36215,425.39893,420.3242705
Plasmenyl-PE(P-18:0/24:1),814.66846,673.64935,325.3101,349.34655,423.38333,420.3242705
