"TG","[M+Na]+","[M+Na-acyl-sn1-H2O]+","[M+Na-acyl-sn2-H2O]+","[M+Na-acyl-sn3-H2O]+"
"TG(51:6) TG(14:0_15:1_22:5)",859.6786404,631.4698464,619.4698464,529.4228464
"TG(51:6) TG(14:0_15:0_22:6)",859.6786404,631.4698464,617.4541464,531.4385464
"TG(51:6) TG(14:1_15:1_22:4)",859.6786404,633.4854464,619.4698464,527.4072464
"TG(51:6) TG(14:0_17:2_20:4)",859.6786404,631.4698464,593.4541464,555.4385464
"TG(51:6) TG(14:0_17:1_20:5)",859.6786404,631.4698464,591.4385464,557.4541464
"TG(51:6) TG(14:1_17:1_20:4)",859.6786404,633.4854464,591.4385464,555.4385464
"TG(51:6) TG(13:0_16:0_22:6)",859.6786404,645.4854464,603.4385464,531.4385464
"TG(51:6) TG(13:0_18:4_20:2)",859.6786404,645.4854464,583.4698464,551.4072464
"TG(51:6) TG(13:0_18:2_20:4)",859.6786404,645.4854464,579.4385464,555.4385464
"TG(51:6) TG(12:0_17:2_22:4)",859.6786404,659.5011464,593.4541464,527.4072464
"TG(51:6) TG(12:0_17:1_22:5)",859.6786404,659.5011464,591.4385464,529.4228464
"TG(51:6) TG(12:0_17:0_22:6)",859.6786404,659.5011464,589.4228464,531.4385464
"TG(51:6) TG(10:0_19:0_22:6)",859.6786404,687.5324464,561.3915464,531.4385464
"TG(51:6) TG(21:0_22:6_8:0)",859.6786404,533.3602464,531.4385464,715.5637464
"TG(51:6) TG(17:2_17:2_17:2)",859.6787404,593.4542464,593.4542464,593.4542464
"TG(51:6) TG(16:1_17:2_18:3)",859.6787404,605.4542464,593.4542464,581.4542464
"TG(51:6) TG(15:0_16:1_20:5)",859.6787404,617.4542464,605.4542464,557.4542464
"TG(51:6) TG(15:0_18:3_18:3)",859.6787404,617.4542464,581.4542464,581.4542464
"TG(51:6) TG(14:1_15:0_22:5)",859.6787404,633.4855464,617.4542464,529.4229464
"TG(51:6) TG(14:1_17:2_20:3)",859.6787404,633.4855464,593.4542464,553.4229464
"TG(51:6) TG(14:1_17:0_20:5)",859.6787404,633.4855464,589.4229464,557.4542464
"TG(51:6) TG(13:0_16:1_22:5)",859.6787404,645.4855464,605.4542464,529.4229464
"TG(51:6) TG(13:0_18:3_20:3)",859.6787404,645.4855464,581.4542464,553.4229464
"TG(51:6) TG(13:0_18:1_20:5)",859.6787404,645.4855464,577.4229464,557.4542464
"TG(52:12) TG(22:6_22:6_8:0)",861.6003404,533.3602464,533.3602464,717.4854464
"TG(51:5) TG(16:0_17:1_18:4)",861.6942404,605.4541464,593.4541464,585.4854464
"TG(51:5) TG(15:1_16:0_20:4)",861.6942404,621.4854464,605.4541464,557.4541464
"TG(51:5) TG(15:1_18:0_18:4)",861.6942404,621.4854464,577.4228464,585.4854464
"TG(51:5) TG(15:1_18:2_18:2)",861.6942404,621.4854464,581.4541464,581.4541464
"TG(51:5) TG(14:0_15:1_22:4)",861.6942404,633.4854464,621.4854464,529.4228464
"TG(51:5) TG(14:0_17:1_20:4)",861.6942404,633.4854464,593.4541464,557.4541464
"TG(51:5) TG(12:0_17:1_22:4)",861.6942404,661.5167464,593.4541464,529.4228464
"TG(51:5) TG(17:1_17:2_17:2)",861.6943404,593.4542464,595.4698464,595.4698464
"TG(51:5) TG(16:0_17:2_18:3)",861.6943404,605.4542464,595.4698464,583.4698464
"TG(51:5) TG(16:1_17:2_18:2)",861.6943404,607.4698464,595.4698464,581.4542464
"TG(51:5) TG(16:1_17:1_18:3)",861.6943404,607.4698464,593.4542464,583.4698464
"TG(51:5) TG(16:1_17:0_18:4)",861.6943404,607.4698464,591.4385464,585.4855464
"TG(51:5) TG(15:0_16:1_20:4)",861.6943404,619.4698464,607.4698464,557.4542464
"TG(51:5) TG(15:0_16:0_20:5)",861.6943404,619.4698464,605.4542464,559.4698464
"TG(51:5) TG(15:0_18:1_18:4)",861.6943404,619.4698464,579.4385464,585.4855464
"TG(51:5) TG(15:0_18:2_18:3)",861.6943404,619.4698464,581.4542464,583.4698464
"TG(51:5) TG(15:1_16:1_20:3)",861.6943404,621.4855464,607.4698464,555.4385464
"TG(51:5) TG(15:1_18:1_18:3)",861.6943404,621.4855464,579.4385464,583.4698464
"TG(51:5) TG(14:0_15:0_22:5)",861.6943404,633.4855464,619.4698464,531.4385464
"TG(51:5) TG(14:1_15:1_22:3)",861.6943404,635.5011464,621.4855464,527.4072464
"TG(51:5) TG(14:1_15:0_22:4)",861.6943404,635.5011464,619.4698464,529.4229464
"TG(51:5) TG(14:0_17:2_20:3)",861.6943404,633.4855464,595.4698464,555.4385464
"TG(51:5) TG(14:0_17:0_20:5)",861.6943404,633.4855464,591.4385464,559.4698464
"TG(51:5) TG(14:1_17:2_20:2)",861.6943404,635.5011464,595.4698464,553.4229464
"TG(51:5) TG(14:1_17:1_20:3)",861.6943404,635.5011464,593.4542464,555.4385464
"TG(51:5) TG(14:1_17:0_20:4)",861.6943404,635.5011464,591.4385464,557.4542464
"TG(51:5) TG(14:1_18:4_19:0)",861.6943404,635.5011464,585.4855464,563.4072464
"TG(51:5) TG(13:0_16:1_22:4)",861.6943404,647.5011464,607.4698464,529.4229464
"TG(51:5) TG(13:0_16:0_22:5)",861.6943404,647.5011464,605.4542464,531.4385464
"TG(51:5) TG(13:0_18:4_20:1)",861.6943404,647.5011464,585.4855464,551.4072464
"TG(51:5) TG(13:0_18:3_20:2)",861.6943404,647.5011464,583.4698464,553.4229464
"TG(51:5) TG(13:0_18:2_20:3)",861.6943404,647.5011464,581.4542464,555.4385464
"TG(51:5) TG(13:0_18:1_20:4)",861.6943404,647.5011464,579.4385464,557.4542464
"TG(51:5) TG(13:0_18:0_20:5)",861.6943404,647.5011464,577.4229464,559.4698464
"TG(51:5) TG(12:0_17:2_22:3)",861.6943404,661.5168464,595.4698464,527.4072464
"TG(51:5) TG(12:0_17:0_22:5)",861.6943404,661.5168464,591.4385464,531.4385464
"TG(51:5) TG(12:0_19:0_20:5)",861.6943404,661.5168464,563.4072464,559.4698464
"TG(51:5) TG(10:0_19:0_22:5)",861.6943404,689.5481464,563.4072464,531.4385464
"TG(51:5) TG(10:0_20:5_21:0)",861.6943404,689.5481464,559.4698464,535.3759464
"TG(51:5) TG(20:5_23:0_8:0)",861.6943404,559.4698464,507.3446464,717.5794464
"TG(51:5) TG(21:0_22:5_8:0)",861.6943404,535.3759464,531.4385464,717.5794464
"TG(52:11) TG(10:0_20:5_22:6)",863.6160404,691.4698464,561.3915464,535.3759464
"TG(52:11) TG(22:5_22:6_8:0)",863.6160404,533.3602464,535.3759464,719.5011464
"TG(51:4) TG(17:1_17:1_17:2)",863.7099404,595.4698464,595.4698464,597.4854464
"TG(51:4) TG(16:0_17:2_18:2)",863.7099404,607.4698464,597.4854464,583.4698464
"TG(51:4) TG(16:0_17:1_18:3)",863.7099404,607.4698464,595.4698464,585.4854464
"TG(51:4) TG(16:0_17:0_18:4)",863.7099404,607.4698464,593.4541464,587.5011464
"TG(51:4) TG(16:1_17:1_18:2)",863.7099404,609.4854464,595.4698464,583.4698464
"TG(51:4) TG(15:0_16:0_20:4)",863.7099404,621.4854464,607.4698464,559.4698464
"TG(51:4) TG(15:0_18:0_18:4)",863.7099404,621.4854464,579.4385464,587.5011464
"TG(51:4) TG(15:0_18:2_18:2)",863.7099404,621.4854464,583.4698464,583.4698464
"TG(51:4) TG(15:1_16:1_20:2)",863.7099404,623.5011464,609.4854464,555.4385464
"TG(51:4) TG(15:1_16:0_20:3)",863.7099404,623.5011464,607.4698464,557.4541464
"TG(51:4) TG(15:1_18:0_18:3)",863.7099404,623.5011464,579.4385464,585.4854464
"TG(51:4) TG(15:1_18:1_18:2)",863.7099404,623.5011464,581.4541464,583.4698464
"TG(51:4) TG(14:0_15:1_22:3)",863.7099404,635.5011464,623.5011464,529.4228464
"TG(51:4) TG(14:0_15:0_22:4)",863.7099404,635.5011464,621.4854464,531.4385464
"TG(51:4) TG(14:1_15:1_22:2)",863.7099404,637.5167464,623.5011464,527.4072464
"TG(51:4) TG(14:0_17:2_20:2)",863.7099404,635.5011464,597.4854464,555.4385464
"TG(51:4) TG(14:0_17:1_20:3)",863.7099404,635.5011464,595.4698464,557.4541464
"TG(51:4) TG(14:0_17:0_20:4)",863.7099404,635.5011464,593.4541464,559.4698464
"TG(51:4) TG(14:0_18:4_19:0)",863.7099404,635.5011464,587.5011464,565.4228464
"TG(51:4) TG(14:1_17:1_20:2)",863.7099404,637.5167464,595.4698464,555.4385464
"TG(51:4) TG(13:0_16:0_22:4)",863.7099404,649.5167464,607.4698464,531.4385464
"TG(51:4) TG(13:0_18:4_20:0)",863.7099404,649.5167464,587.5011464,551.4072464
"TG(51:4) TG(13:0_18:2_20:2)",863.7099404,649.5167464,583.4698464,555.4385464
"TG(51:4) TG(13:0_18:0_20:4)",863.7099404,649.5167464,579.4385464,559.4698464
"TG(51:4) TG(12:0_17:2_22:2)",863.7099404,663.5324464,597.4854464,527.4072464
"TG(51:4) TG(12:0_17:1_22:3)",863.7099404,663.5324464,595.4698464,529.4228464
"TG(51:4) TG(12:0_17:0_22:4)",863.7099404,663.5324464,593.4541464,531.4385464
"TG(51:4) TG(12:0_18:4_21:0)",863.7099404,663.5324464,587.5011464,537.3915464
"TG(51:4) TG(12:0_19:0_20:4)",863.7099404,663.5324464,565.4228464,559.4698464
"TG(51:4) TG(10:0_18:4_23:0)",863.7099404,691.5637464,587.5011464,509.3602464
"TG(51:4) TG(10:0_19:0_22:4)",863.7099404,691.5637464,565.4228464,531.4385464
"TG(51:4) TG(10:0_20:4_21:0)",863.7099404,691.5637464,559.4698464,537.3915464
"TG(51:4) TG(18:4_25:0_8:0)",863.7099404,587.5011464,481.3289464,719.5950464
"TG(51:4) TG(20:4_23:0_8:0)",863.7099404,559.4698464,509.3602464,719.5950464
"TG(51:4) TG(21:0_22:4_8:0)",863.7099404,537.3915464,531.4385464,719.5950464
"TG(51:4) TG(17:0_17:2_17:2)",863.7100404,593.4542464,597.4855464,597.4855464
"TG(51:4) TG(16:1_17:2_18:1)",863.7100404,609.4855464,597.4855464,581.4542464
"TG(51:4) TG(16:1_17:0_18:3)",863.7100404,609.4855464,593.4542464,585.4855464
"TG(51:4) TG(15:0_16:1_20:3)",863.7100404,621.4855464,609.4855464,557.4542464
"TG(51:4) TG(15:0_18:1_18:3)",863.7100404,621.4855464,581.4542464,585.4855464
"TG(51:4) TG(14:1_15:0_22:3)",863.7100404,637.5168464,621.4855464,529.4229464
"TG(51:4) TG(14:1_17:2_20:1)",863.7100404,637.5168464,597.4855464,553.4229464
"TG(51:4) TG(14:1_17:0_20:3)",863.7100404,637.5168464,593.4542464,557.4542464
"TG(51:4) TG(14:1_18:3_19:0)",863.7100404,637.5168464,585.4855464,565.4229464
"TG(51:4) TG(13:0_16:1_22:3)",863.7100404,649.5168464,609.4855464,529.4229464
"TG(51:4) TG(13:0_18:3_20:1)",863.7100404,649.5168464,585.4855464,553.4229464
"TG(51:4) TG(13:0_18:1_20:3)",863.7100404,649.5168464,581.4542464,557.4542464
"TG(52:10) TG(12:0_18:4_22:6)",865.6316404,665.4541464,589.4228464,537.3915464
"TG(52:10) TG(10:0_20:4_22:6)",865.6316404,693.4854464,561.3915464,537.3915464
"TG(52:10) TG(22:4_22:6_8:0)",865.6316404,533.3602464,537.3915464,721.5167464
"TG(52:10) TG(14:1_18:4_20:5)",865.6317404,639.4385464,589.4229464,563.4072464
"TG(52:10) TG(12:0_20:5_20:5)",865.6317404,665.4542464,563.4072464,563.4072464
"TG(52:10) TG(10:0_20:5_22:5)",865.6317404,693.4855464,563.4072464,535.3759464
"TG(52:10) TG(22:5_22:5_8:0)",865.6317404,535.3759464,535.3759464,721.5168464
"TG(51:3) TG(17:1_17:1_17:1)",865.7255404,597.4854464,597.4854464,597.4854464
"TG(51:3) TG(16:0_17:1_18:2)",865.7255404,609.4854464,597.4854464,585.4854464
"TG(51:3) TG(15:1_16:0_20:2)",865.7255404,625.5167464,609.4854464,557.4541464
"TG(51:3) TG(15:1_18:0_18:2)",865.7255404,625.5167464,581.4541464,585.4854464
"TG(51:3) TG(14:0_15:1_22:2)",865.7255404,637.5167464,625.5167464,529.4228464
"TG(51:3) TG(14:0_17:1_20:2)",865.7255404,637.5167464,597.4854464,557.4541464
"TG(51:3) TG(12:0_17:1_22:2)",865.7255404,665.5480464,597.4854464,529.4228464
"TG(51:3) TG(17:0_17:1_17:2)",865.7256404,595.4698464,597.4855464,599.5011464
"TG(51:3) TG(16:0_17:2_18:1)",865.7256404,609.4855464,599.5011464,583.4698464
"TG(51:3) TG(16:0_17:0_18:3)",865.7256404,609.4855464,595.4698464,587.5011464
"TG(51:3) TG(16:1_17:2_18:0)",865.7256404,611.5011464,599.5011464,581.4542464
"TG(51:3) TG(16:1_17:1_18:1)",865.7256404,611.5011464,597.4855464,583.4698464
"TG(51:3) TG(16:1_17:0_18:2)",865.7256404,611.5011464,595.4698464,585.4855464
"TG(51:3) TG(15:0_16:1_20:2)",865.7256404,623.5011464,611.5011464,557.4542464
"TG(51:3) TG(15:0_16:0_20:3)",865.7256404,623.5011464,609.4855464,559.4698464
"TG(51:3) TG(15:0_18:0_18:3)",865.7256404,623.5011464,581.4542464,587.5011464
"TG(51:3) TG(15:0_18:1_18:2)",865.7256404,623.5011464,583.4698464,585.4855464
"TG(51:3) TG(15:1_16:1_20:1)",865.7256404,625.5168464,611.5011464,555.4385464
"TG(51:3) TG(15:1_17:2_19:0)",865.7256404,625.5168464,599.5011464,567.4385464
"TG(51:3) TG(15:1_18:1_18:1)",865.7256404,625.5168464,583.4698464,583.4698464
"TG(51:3) TG(14:0_15:0_22:3)",865.7256404,637.5168464,623.5011464,531.4385464
"TG(51:3) TG(14:1_15:1_22:1)",865.7256404,639.5324464,625.5168464,527.4072464
"TG(51:3) TG(14:1_15:0_22:2)",865.7256404,639.5324464,623.5011464,529.4229464
"TG(51:3) TG(14:0_17:2_20:1)",865.7256404,637.5168464,599.5011464,555.4385464
"TG(51:3) TG(14:0_17:0_20:3)",865.7256404,637.5168464,595.4698464,559.4698464
"TG(51:3) TG(14:0_18:3_19:0)",865.7256404,637.5168464,587.5011464,567.4385464
"TG(51:3) TG(14:1_17:2_20:0)",865.7256404,639.5324464,599.5011464,553.4229464
"TG(51:3) TG(14:1_17:1_20:1)",865.7256404,639.5324464,597.4855464,555.4385464
"TG(51:3) TG(14:1_17:0_20:2)",865.7256404,639.5324464,595.4698464,557.4542464
"TG(51:3) TG(14:1_18:2_19:0)",865.7256404,639.5324464,585.4855464,567.4385464
"TG(51:3) TG(13:0_16:1_22:2)",865.7256404,651.5324464,611.5011464,529.4229464
"TG(51:3) TG(13:0_16:0_22:3)",865.7256404,651.5324464,609.4855464,531.4385464
"TG(51:3) TG(13:0_18:3_20:0)",865.7256404,651.5324464,587.5011464,553.4229464
"TG(51:3) TG(13:0_18:2_20:1)",865.7256404,651.5324464,585.4855464,555.4385464
"TG(51:3) TG(13:0_18:1_20:2)",865.7256404,651.5324464,583.4698464,557.4542464
"TG(51:3) TG(13:0_18:0_20:3)",865.7256404,651.5324464,581.4542464,559.4698464
"TG(51:3) TG(12:0_17:2_22:1)",865.7256404,665.5481464,599.5011464,527.4072464
"TG(51:3) TG(12:0_17:0_22:3)",865.7256404,665.5481464,595.4698464,531.4385464
"TG(51:3) TG(12:0_18:3_21:0)",865.7256404,665.5481464,587.5011464,539.4072464
"TG(51:3) TG(12:0_19:0_20:3)",865.7256404,665.5481464,567.4385464,559.4698464
"TG(51:3) TG(10:0_17:2_24:1)",865.7256404,693.5794464,599.5011464,499.3759464
"TG(51:3) TG(10:0_18:3_23:0)",865.7256404,693.5794464,587.5011464,511.3759464
"TG(51:3) TG(10:0_19:0_22:3)",865.7256404,693.5794464,567.4385464,531.4385464
"TG(51:3) TG(10:0_20:3_21:0)",865.7256404,693.5794464,559.4698464,539.4072464
"TG(51:3) TG(18:3_25:0_8:0)",865.7256404,587.5011464,483.3446464,721.6107464
"TG(51:3) TG(20:3_23:0_8:0)",865.7256404,559.4698464,511.3759464,721.6107464
"TG(51:3) TG(21:0_22:3_8:0)",865.7256404,539.4072464,531.4385464,721.6107464
"TG(52:9) TG(16:1_18:4_18:4)",867.6473404,613.4228464,591.4385464,591.4385464
"TG(52:9) TG(14:0_18:4_20:5)",867.6473404,639.4385464,591.4385464,565.4228464
"TG(52:9) TG(14:1_18:4_20:4)",867.6473404,641.4541464,591.4385464,563.4072464
"TG(52:9) TG(12:0_18:4_22:5)",867.6473404,667.4698464,591.4385464,537.3915464
"TG(52:9) TG(12:0_18:3_22:6)",867.6473404,667.4698464,589.4228464,539.4072464
"TG(52:9) TG(12:0_20:4_20:5)",867.6473404,667.4698464,563.4072464,565.4228464
"TG(52:9) TG(10:0_20:5_22:4)",867.6473404,695.5011464,565.4228464,535.3759464
"TG(52:9) TG(10:0_20:4_22:5)",867.6473404,695.5011464,563.4072464,537.3915464
"TG(52:9) TG(10:0_20:3_22:6)",867.6473404,695.5011464,561.3915464,539.4072464
"TG(52:9) TG(22:3_22:6_8:0)",867.6473404,533.3602464,539.4072464,723.5324464
"TG(52:9) TG(22:4_22:5_8:0)",867.6473404,535.3759464,537.3915464,723.5324464
"TG(52:9) TG(14:1_18:3_20:5)",867.6474404,641.4542464,589.4229464,565.4229464
"TG(51:2) TG(17:0_17:1_17:1)",867.7412404,597.4854464,599.5011464,599.5011464
"TG(51:2) TG(16:0_17:2_18:0)",867.7412404,611.5011464,601.5167464,583.4698464
"TG(51:2) TG(16:0_17:1_18:1)",867.7412404,611.5011464,599.5011464,585.4854464
"TG(51:2) TG(16:0_17:0_18:2)",867.7412404,611.5011464,597.4854464,587.5011464
"TG(51:2) TG(16:1_17:1_18:0)",867.7412404,613.5167464,599.5011464,583.4698464
"TG(51:2) TG(15:0_16:0_20:2)",867.7412404,625.5167464,611.5011464,559.4698464
"TG(51:2) TG(15:1_15:1_21:0)",867.7412404,627.5324464,627.5324464,541.4228464
"TG(51:2) TG(15:0_18:0_18:2)",867.7412404,625.5167464,583.4698464,587.5011464
"TG(51:2) TG(15:1_16:1_20:0)",867.7412404,627.5324464,613.5167464,555.4385464
"TG(51:2) TG(15:1_16:0_20:1)",867.7412404,627.5324464,611.5011464,557.4541464
"TG(51:2) TG(15:1_17:1_19:0)",867.7412404,627.5324464,599.5011464,569.4541464
"TG(51:2) TG(15:1_18:0_18:1)",867.7412404,627.5324464,583.4698464,585.4854464
"TG(51:2) TG(14:0_15:1_22:1)",867.7412404,639.5324464,627.5324464,529.4228464
"TG(51:2) TG(14:0_15:0_22:2)",867.7412404,639.5324464,625.5167464,531.4385464
"TG(51:2) TG(14:1_15:1_22:0)",867.7412404,641.5480464,627.5324464,527.4072464
"TG(51:2) TG(14:0_17:2_20:0)",867.7412404,639.5324464,601.5167464,555.4385464
"TG(51:2) TG(14:0_17:1_20:1)",867.7412404,639.5324464,599.5011464,557.4541464
"TG(51:2) TG(14:0_17:0_20:2)",867.7412404,639.5324464,597.4854464,559.4698464
"TG(51:2) TG(14:0_18:2_19:0)",867.7412404,639.5324464,587.5011464,569.4541464
"TG(51:2) TG(14:1_17:1_20:0)",867.7412404,641.5480464,599.5011464,555.4385464
"TG(51:2) TG(13:0_16:0_22:2)",867.7412404,653.5480464,611.5011464,531.4385464
"TG(51:2) TG(13:0_18:2_20:0)",867.7412404,653.5480464,587.5011464,555.4385464
"TG(51:2) TG(13:0_18:0_20:2)",867.7412404,653.5480464,583.4698464,559.4698464
"TG(51:2) TG(12:0_15:1_24:1)",867.7412404,667.5637464,627.5324464,501.3915464
"TG(51:2) TG(12:0_17:2_22:0)",867.7412404,667.5637464,601.5167464,527.4072464
"TG(51:2) TG(12:0_17:1_22:1)",867.7412404,667.5637464,599.5011464,529.4228464
"TG(51:2) TG(12:0_17:0_22:2)",867.7412404,667.5637464,597.4854464,531.4385464
"TG(51:2) TG(12:0_18:2_21:0)",867.7412404,667.5637464,587.5011464,541.4228464
"TG(51:2) TG(12:0_19:0_20:2)",867.7412404,667.5637464,569.4541464,559.4698464
"TG(51:2) TG(10:0_17:2_24:0)",867.7412404,695.5950464,601.5167464,499.3759464
"TG(51:2) TG(10:0_17:1_24:1)",867.7412404,695.5950464,599.5011464,501.3915464
"TG(51:2) TG(10:0_18:2_23:0)",867.7412404,695.5950464,587.5011464,513.3915464
"TG(51:2) TG(10:0_19:0_22:2)",867.7412404,695.5950464,569.4541464,531.4385464
"TG(51:2) TG(10:0_20:2_21:0)",867.7412404,695.5950464,559.4698464,541.4228464
"TG(51:2) TG(17:2_26:0_8:0)",867.7412404,601.5167464,471.3446464,723.6263464
"TG(51:2) TG(18:2_25:0_8:0)",867.7412404,587.5011464,485.3602464,723.6263464
"TG(51:2) TG(20:2_23:0_8:0)",867.7412404,559.4698464,513.3915464,723.6263464
"TG(51:2) TG(21:0_22:2_8:0)",867.7412404,541.4228464,531.4385464,723.6263464
"TG(51:2) TG(17:0_17:0_17:2)",867.7413404,597.4855464,597.4855464,601.5168464
"TG(51:2) TG(16:1_16:1_19:0)",867.7413404,613.5168464,613.5168464,569.4542464
"TG(51:2) TG(16:1_17:0_18:1)",867.7413404,613.5168464,597.4855464,585.4855464
"TG(51:2) TG(15:0_16:1_20:1)",867.7413404,625.5168464,613.5168464,557.4542464
"TG(51:2) TG(15:0_17:2_19:0)",867.7413404,625.5168464,601.5168464,569.4542464
"TG(51:2) TG(15:0_18:1_18:1)",867.7413404,625.5168464,585.4855464,585.4855464
"TG(51:2) TG(14:1_14:1_23:0)",867.7413404,641.5481464,641.5481464,513.3916464
"TG(51:2) TG(14:1_15:0_22:1)",867.7413404,641.5481464,625.5168464,529.4229464
"TG(51:2) TG(14:1_16:1_21:0)",867.7413404,641.5481464,613.5168464,541.4229464
"TG(51:2) TG(14:1_17:0_20:1)",867.7413404,641.5481464,597.4855464,557.4542464
"TG(51:2) TG(14:1_18:1_19:0)",867.7413404,641.5481464,585.4855464,569.4542464
"TG(51:2) TG(13:0_14:1_24:1)",867.7413404,653.5481464,641.5481464,501.3916464
"TG(51:2) TG(13:0_16:1_22:1)",867.7413404,653.5481464,613.5168464,529.4229464
"TG(51:2) TG(13:0_17:2_21:0)",867.7413404,653.5481464,601.5168464,541.4229464
"TG(51:2) TG(13:0_18:1_20:1)",867.7413404,653.5481464,585.4855464,557.4542464
"TG(52:8) TG(16:0_18:4_18:4)",869.6629404,613.4228464,593.4541464,593.4541464
"TG(52:8) TG(15:1_15:1_22:6)",869.6629404,629.4541464,629.4541464,541.4228464
"TG(52:8) TG(14:0_18:4_20:4)",869.6629404,641.4541464,593.4541464,565.4228464
"TG(52:8) TG(12:0_18:4_22:4)",869.6629404,669.4854464,593.4541464,537.3915464
"TG(52:8) TG(12:0_18:2_22:6)",869.6629404,669.4854464,589.4228464,541.4228464
"TG(52:8) TG(12:0_20:4_20:4)",869.6629404,669.4854464,565.4228464,565.4228464
"TG(52:8) TG(10:0_20:4_22:4)",869.6629404,697.5167464,565.4228464,537.3915464
"TG(52:8) TG(10:0_20:2_22:6)",869.6629404,697.5167464,561.3915464,541.4228464
"TG(52:8) TG(22:2_22:6_8:0)",869.6629404,533.3602464,541.4228464,725.5480464
"TG(52:8) TG(22:4_22:4_8:0)",869.6629404,537.3915464,537.3915464,725.5480464
"TG(52:8) TG(17:2_17:2_18:4)",869.6630404,603.4385464,603.4385464,593.4542464
"TG(52:8) TG(16:1_18:3_18:4)",869.6630404,615.4385464,591.4385464,593.4542464
"TG(52:8) TG(15:1_17:2_20:5)",869.6630404,629.4542464,603.4385464,567.4385464
"TG(52:8) TG(14:0_18:3_20:5)",869.6630404,641.4542464,591.4385464,567.4385464
"TG(52:8) TG(14:1_16:1_22:6)",869.6630404,643.4698464,615.4385464,541.4229464
"TG(52:8) TG(14:1_18:4_20:3)",869.6630404,643.4698464,593.4542464,563.4072464
"TG(52:8) TG(14:1_18:3_20:4)",869.6630404,643.4698464,591.4385464,565.4229464
"TG(52:8) TG(14:1_18:2_20:5)",869.6630404,643.4698464,589.4229464,567.4385464
"TG(52:8) TG(13:0_17:2_22:6)",869.6630404,655.4698464,603.4385464,541.4229464
"TG(52:8) TG(12:0_18:3_22:5)",869.6630404,669.4855464,591.4385464,539.4072464
"TG(52:8) TG(12:0_20:3_20:5)",869.6630404,669.4855464,563.4072464,567.4385464
"TG(52:8) TG(10:0_20:5_22:3)",869.6630404,697.5168464,567.4385464,535.3759464
"TG(52:8) TG(10:0_20:3_22:5)",869.6630404,697.5168464,563.4072464,539.4072464
"TG(52:8) TG(22:3_22:5_8:0)",869.6630404,535.3759464,539.4072464,725.5481464
"TG(51:1) TG(16:0_17:1_18:0)",869.7568404,613.5167464,601.5167464,585.4854464
"TG(51:1) TG(15:1_16:0_20:0)",869.7568404,629.5480464,613.5167464,557.4541464
"TG(51:1) TG(15:1_18:0_18:0)",869.7568404,629.5480464,585.4854464,585.4854464
"TG(51:1) TG(14:0_15:1_22:0)",869.7568404,641.5480464,629.5480464,529.4228464
"TG(51:1) TG(14:0_17:1_20:0)",869.7568404,641.5480464,601.5167464,557.4541464
"TG(51:1) TG(12:0_15:1_24:0)",869.7568404,669.5793464,629.5480464,501.3915464
"TG(51:1) TG(12:0_17:1_22:0)",869.7568404,669.5793464,601.5167464,529.4228464
"TG(51:1) TG(10:0_15:1_26:0)",869.7568404,697.6106464,629.5480464,473.3602464
"TG(51:1) TG(10:0_17:1_24:0)",869.7568404,697.6106464,601.5167464,501.3915464
"TG(51:1) TG(17:1_26:0_8:0)",869.7568404,601.5167464,473.3602464,725.6419464
"TG(51:1) TG(17:0_17:0_17:1)",869.7569404,599.5011464,599.5011464,601.5168464
"TG(51:1) TG(16:0_17:0_18:1)",869.7569404,613.5168464,599.5011464,587.5011464
"TG(51:1) TG(16:0_16:1_19:0)",869.7569404,613.5168464,615.5324464,571.4698464
"TG(51:1) TG(16:1_17:0_18:0)",869.7569404,615.5324464,599.5011464,585.4855464
"TG(51:1) TG(15:0_16:1_20:0)",869.7569404,627.5324464,615.5324464,557.4542464
"TG(51:1) TG(15:0_16:0_20:1)",869.7569404,627.5324464,613.5168464,559.4698464
"TG(51:1) TG(15:0_15:1_21:0)",869.7569404,627.5324464,629.5481464,543.4385464
"TG(51:1) TG(15:0_17:1_19:0)",869.7569404,627.5324464,601.5168464,571.4698464
"TG(51:1) TG(15:0_18:0_18:1)",869.7569404,627.5324464,585.4855464,587.5011464
"TG(51:1) TG(15:1_17:0_19:0)",869.7569404,629.5481464,599.5011464,571.4698464
"TG(51:1) TG(14:0_14:1_23:0)",869.7569404,641.5481464,643.5637464,515.4072464
"TG(51:1) TG(14:0_15:0_22:1)",869.7569404,641.5481464,627.5324464,531.4385464
"TG(51:1) TG(14:0_16:1_21:0)",869.7569404,641.5481464,615.5324464,543.4385464
"TG(51:1) TG(14:1_15:0_22:0)",869.7569404,643.5637464,627.5324464,529.4229464
"TG(51:1) TG(14:0_17:0_20:1)",869.7569404,641.5481464,599.5011464,559.4698464
"TG(51:1) TG(14:0_18:1_19:0)",869.7569404,641.5481464,587.5011464,571.4698464
"TG(51:1) TG(14:1_16:0_21:0)",869.7569404,643.5637464,613.5168464,543.4385464
"TG(51:1) TG(14:1_17:0_20:0)",869.7569404,643.5637464,599.5011464,557.4542464
"TG(51:1) TG(14:1_18:0_19:0)",869.7569404,643.5637464,585.4855464,571.4698464
"TG(51:1) TG(13:0_14:1_24:0)",869.7569404,655.5637464,643.5637464,501.3916464
"TG(51:1) TG(13:0_14:0_24:1)",869.7569404,655.5637464,641.5481464,503.4072464
"TG(51:1) TG(13:0_15:1_23:0)",869.7569404,655.5637464,629.5481464,515.4072464
