"DG","[M+Na]+","[M+H-H2O]+","[M+H-R1-2H2O]+","[M+H-R2-2H2O]+","[R1CO]+","[R2CO]+","[R1CO-H2O]+","[R2CO-H2O]+"
"DG(35:1) DG(15:0_20:1)",631.5273,591.5348,367.3207,299.2581,225.2213,293.2839,207.2108,275.2734
"DG(35:2) DG(15:0_20:2)",629.5116,589.5191,365.305,299.2581,225.2213,291.2682,207.2108,273.2577
"DG(35:3) DG(15:0_20:3)",627.496,587.5035,363.2894,299.2581,225.2213,289.2526,207.2108,271.2421
"DG(35:4) DG(15:0_20:4)",625.4803,585.4878,361.2737,299.2581,225.2213,287.2369,207.2108,269.2264
"DG(35:5) DG(15:0_20:5)",623.4647,583.4722,359.2581,299.2581,225.2213,285.2213,207.2108,267.2108
"DG(36:0) DG(15:0_21:0)",647.5586,607.5661,383.352,299.2581,225.2213,309.3152,207.2108,291.3047
"DG(37:0) DG(15:0_22:0)",661.5742,621.5817,397.3676,299.2581,225.2213,323.3308,207.2108,305.3203
"DG(37:1) DG(15:0_22:1)",659.5586,619.5661,395.352,299.2581,225.2213,321.3152,207.2108,303.3047
"DG(37:2) DG(15:0_22:2)",657.5429,617.5504,393.3363,299.2581,225.2213,319.2995,207.2108,301.289
"DG(37:3) DG(15:0_22:3)",655.5273,615.5348,391.3207,299.2581,225.2213,317.2839,207.2108,299.2734
"DG(37:4) DG(15:0_22:4)",653.5116,613.5191,389.305,299.2581,225.2213,315.2682,207.2108,297.2577
"DG(37:5) DG(15:0_22:5)",651.496,611.5035,387.2894,299.2581,225.2213,313.2526,207.2108,295.2421
"DG(37:6) DG(15:0_22:6)",649.4803,609.4878,385.2737,299.2581,225.2213,311.2369,207.2108,293.2264
"DG(38:0) DG(15:0_23:0)",675.5899,635.5974,411.3833,299.2581,225.2213,337.3465,207.2108,319.336
"DG(39:0) DG(15:0_24:0)",689.6055,649.613,425.3989,299.2581,225.2213,351.3621,207.2108,333.3516
"DG(39:1) DG(15:0_24:1)",687.5899,647.5974,423.3833,299.2581,225.2213,349.3465,207.2108,331.336
"DG(40:0) DG(15:0_25:0)",703.6212,663.6287,439.4146,299.2581,225.2213,365.3778,207.2108,347.3673
"DG(41:0) DG(15:0_26:0)",717.6368,677.6443,453.4302,299.2581,225.2213,379.3934,207.2108,361.3829
"DG(30:2) DG(15:1_15:1)",559.4333,519.4408,297.2424,297.2424,223.2056,223.2056,205.1951,205.1951
"DG(31:1) DG(15:1_16:0)",575.4646,535.4721,313.2737,297.2424,223.2056,239.2369,205.1951,221.2264
"DG(31:2) DG(15:1_16:1)",573.449,533.4565,311.2581,297.2424,223.2056,237.2213,205.1951,219.2108
"DG(32:1) DG(15:1_17:0)",589.4803,549.4878,327.2894,297.2424,223.2056,253.2526,205.1951,235.2421
"DG(32:2) DG(15:1_17:1)",587.4646,547.4721,325.2737,297.2424,223.2056,251.2369,205.1951,233.2264
"DG(32:3) DG(15:1_17:2)",585.449,545.4565,323.2581,297.2424,223.2056,249.2213,205.1951,231.2108
"DG(33:1) DG(15:1_18:0)",603.4959,563.5034,341.305,297.2424,223.2056,267.2682,205.1951,249.2577
"DG(33:2) DG(15:1_18:1)",601.4803,561.4878,339.2894,297.2424,223.2056,265.2526,205.1951,247.2421
"DG(33:3) DG(15:1_18:2)",599.4646,559.4721,337.2737,297.2424,223.2056,263.2369,205.1951,245.2264
"DG(33:4) DG(15:1_18:3)",597.449,557.4565,335.2581,297.2424,223.2056,261.2213,205.1951,243.2108
"DG(33:5) DG(15:1_18:4)",595.4333,555.4408,333.2424,297.2424,223.2056,259.2056,205.1951,241.1951
"DG(34:1) DG(15:1_19:0)",617.5116,577.5191,355.3207,297.2424,223.2056,281.2839,205.1951,263.2734
"DG(35:1) DG(15:1_20:0)",631.5272,591.5347,369.3363,297.2424,223.2056,295.2995,205.1951,277.289
"DG(35:2) DG(15:1_20:1)",629.5116,589.5191,367.3207,297.2424,223.2056,293.2839,205.1951,275.2734
"DG(35:3) DG(15:1_20:2)",627.4959,587.5034,365.305,297.2424,223.2056,291.2682,205.1951,273.2577
"DG(35:4) DG(15:1_20:3)",625.4803,585.4878,363.2894,297.2424,223.2056,289.2526,205.1951,271.2421
"DG(35:5) DG(15:1_20:4)",623.4646,583.4721,361.2737,297.2424,223.2056,287.2369,205.1951,269.2264
"DG(35:6) DG(15:1_20:5)",621.449,581.4565,359.2581,297.2424,223.2056,285.2213,205.1951,267.2108
"DG(36:1) DG(15:1_21:0)",645.5429,605.5504,383.352,297.2424,223.2056,309.3152,205.1951,291.3047
"DG(37:1) DG(15:1_22:0)",659.5585,619.566,397.3676,297.2424,223.2056,323.3308,205.1951,305.3203
"DG(37:2) DG(15:1_22:1)",657.5429,617.5504,395.352,297.2424,223.2056,321.3152,205.1951,303.3047
"DG(37:3) DG(15:1_22:2)",655.5272,615.5347,393.3363,297.2424,223.2056,319.2995,205.1951,301.289
"DG(37:4) DG(15:1_22:3)",653.5116,613.5191,391.3207,297.2424,223.2056,317.2839,205.1951,299.2734
"DG(37:5) DG(15:1_22:4)",651.4959,611.5034,389.305,297.2424,223.2056,315.2682,205.1951,297.2577
"DG(37:6) DG(15:1_22:5)",649.4803,609.4878,387.2894,297.2424,223.2056,313.2526,205.1951,295.2421
"DG(37:7) DG(15:1_22:6)",647.4646,607.4721,385.2737,297.2424,223.2056,311.2369,205.1951,293.2264
"DG(38:1) DG(15:1_23:0)",673.5742,633.5817,411.3833,297.2424,223.2056,337.3465,205.1951,319.336
"DG(39:1) DG(15:1_24:0)",687.5898,647.5973,425.3989,297.2424,223.2056,351.3621,205.1951,333.3516
"DG(39:2) DG(15:1_24:1)",685.5742,645.5817,423.3833,297.2424,223.2056,349.3465,205.1951,331.336
"DG(40:1) DG(15:1_25:0)",701.6055,661.613,439.4146,297.2424,223.2056,365.3778,205.1951,347.3673
"DG(41:1) DG(15:1_26:0)",715.6211,675.6286,453.4302,297.2424,223.2056,379.3934,205.1951,361.3829
"DG(32:0) DG(16:0_16:0)",591.4959,551.5034,313.2737,313.2737,239.2369,239.2369,221.2264,221.2264
"DG(32:1) DG(16:0_16:1)",589.4803,549.4878,311.2581,313.2737,239.2369,237.2213,221.2264,219.2108
"DG(33:0) DG(16:0_17:0)",605.5116,565.5191,327.2894,313.2737,239.2369,253.2526,221.2264,235.2421
"DG(33:1) DG(16:0_17:1)",603.4959,563.5034,325.2737,313.2737,239.2369,251.2369,221.2264,233.2264
"DG(33:2) DG(16:0_17:2)",601.4803,561.4878,323.2581,313.2737,239.2369,249.2213,221.2264,231.2108
"DG(34:0) DG(16:0_18:0)",619.5272,579.5347,341.305,313.2737,239.2369,267.2682,221.2264,249.2577
"DG(34:1) DG(16:0_18:1)",617.5116,577.5191,339.2894,313.2737,239.2369,265.2526,221.2264,247.2421
"DG(34:2) DG(16:0_18:2)",615.4959,575.5034,337.2737,313.2737,239.2369,263.2369,221.2264,245.2264
"DG(34:3) DG(16:0_18:3)",613.4803,573.4878,335.2581,313.2737,239.2369,261.2213,221.2264,243.2108
"DG(34:4) DG(16:0_18:4)",611.4646,571.4721,333.2424,313.2737,239.2369,259.2056,221.2264,241.1951
"DG(35:0) DG(16:0_19:0)",633.5429,593.5504,355.3207,313.2737,239.2369,281.2839,221.2264,263.2734
"DG(36:0) DG(16:0_20:0)",647.5585,607.566,369.3363,313.2737,239.2369,295.2995,221.2264,277.289
"DG(36:1) DG(16:0_20:1)",645.5429,605.5504,367.3207,313.2737,239.2369,293.2839,221.2264,275.2734
"DG(36:2) DG(16:0_20:2)",643.5272,603.5347,365.305,313.2737,239.2369,291.2682,221.2264,273.2577
"DG(36:3) DG(16:0_20:3)",641.5116,601.5191,363.2894,313.2737,239.2369,289.2526,221.2264,271.2421
"DG(36:4) DG(16:0_20:4)",639.4959,599.5034,361.2737,313.2737,239.2369,287.2369,221.2264,269.2264
"DG(36:5) DG(16:0_20:5)",637.4803,597.4878,359.2581,313.2737,239.2369,285.2213,221.2264,267.2108
"DG(37:0) DG(16:0_21:0)",661.5742,621.5817,383.352,313.2737,239.2369,309.3152,221.2264,291.3047
"DG(38:0) DG(16:0_22:0)",675.5898,635.5973,397.3676,313.2737,239.2369,323.3308,221.2264,305.3203
"DG(38:1) DG(16:0_22:1)",673.5742,633.5817,395.352,313.2737,239.2369,321.3152,221.2264,303.3047
"DG(38:2) DG(16:0_22:2)",671.5585,631.566,393.3363,313.2737,239.2369,319.2995,221.2264,301.289
"DG(38:3) DG(16:0_22:3)",669.5429,629.5504,391.3207,313.2737,239.2369,317.2839,221.2264,299.2734
"DG(38:4) DG(16:0_22:4)",667.5272,627.5347,389.305,313.2737,239.2369,315.2682,221.2264,297.2577
"DG(38:5) DG(16:0_22:5)",665.5116,625.5191,387.2894,313.2737,239.2369,313.2526,221.2264,295.2421
"DG(38:6) DG(16:0_22:6)",663.4959,623.5034,385.2737,313.2737,239.2369,311.2369,221.2264,293.2264
"DG(39:0) DG(16:0_23:0)",689.6055,649.613,411.3833,313.2737,239.2369,337.3465,221.2264,319.336
"DG(40:0) DG(16:0_24:0)",703.6211,663.6286,425.3989,313.2737,239.2369,351.3621,221.2264,333.3516
"DG(40:1) DG(16:0_24:1)",701.6055,661.613,423.3833,313.2737,239.2369,349.3465,221.2264,331.336
"DG(41:0) DG(16:0_25:0)",717.6368,677.6443,439.4146,313.2737,239.2369,365.3778,221.2264,347.3673
"DG(42:0) DG(16:0_26:0)",731.6524,691.6599,453.4302,313.2737,239.2369,379.3934,221.2264,361.3829
"DG(32:2) DG(16:1_16:1)",587.4647,547.4722,311.2581,311.2581,237.2213,237.2213,219.2108,219.2108
"DG(33:1) DG(16:1_17:0)",603.496,563.5035,327.2894,311.2581,237.2213,253.2526,219.2108,235.2421
"DG(33:2) DG(16:1_17:1)",601.4803,561.4878,325.2737,311.2581,237.2213,251.2369,219.2108,233.2264
"DG(33:3) DG(16:1_17:2)",599.4647,559.4722,323.2581,311.2581,237.2213,249.2213,219.2108,231.2108
"DG(34:1) DG(16:1_18:0)",617.5116,577.5191,341.305,311.2581,237.2213,267.2682,219.2108,249.2577
"DG(34:2) DG(16:1_18:1)",615.496,575.5035,339.2894,311.2581,237.2213,265.2526,219.2108,247.2421
"DG(34:3) DG(16:1_18:2)",613.4803,573.4878,337.2737,311.2581,237.2213,263.2369,219.2108,245.2264
"DG(34:4) DG(16:1_18:3)",611.4647,571.4722,335.2581,311.2581,237.2213,261.2213,219.2108,243.2108
"DG(34:5) DG(16:1_18:4)",609.449,569.4565,333.2424,311.2581,237.2213,259.2056,219.2108,241.1951
"DG(35:1) DG(16:1_19:0)",631.5273,591.5348,355.3207,311.2581,237.2213,281.2839,219.2108,263.2734
"DG(36:1) DG(16:1_20:0)",645.5429,605.5504,369.3363,311.2581,237.2213,295.2995,219.2108,277.289
"DG(36:2) DG(16:1_20:1)",643.5273,603.5348,367.3207,311.2581,237.2213,293.2839,219.2108,275.2734
"DG(36:3) DG(16:1_20:2)",641.5116,601.5191,365.305,311.2581,237.2213,291.2682,219.2108,273.2577
"DG(36:4) DG(16:1_20:3)",639.496,599.5035,363.2894,311.2581,237.2213,289.2526,219.2108,271.2421
"DG(36:5) DG(16:1_20:4)",637.4803,597.4878,361.2737,311.2581,237.2213,287.2369,219.2108,269.2264
"DG(36:6) DG(16:1_20:5)",635.4647,595.4722,359.2581,311.2581,237.2213,285.2213,219.2108,267.2108
"DG(37:1) DG(16:1_21:0)",659.5586,619.5661,383.352,311.2581,237.2213,309.3152,219.2108,291.3047
"DG(38:1) DG(16:1_22:0)",673.5742,633.5817,397.3676,311.2581,237.2213,323.3308,219.2108,305.3203
"DG(38:2) DG(16:1_22:1)",671.5586,631.5661,395.352,311.2581,237.2213,321.3152,219.2108,303.3047
"DG(38:3) DG(16:1_22:2)",669.5429,629.5504,393.3363,311.2581,237.2213,319.2995,219.2108,301.289
"DG(38:4) DG(16:1_22:3)",667.5273,627.5348,391.3207,311.2581,237.2213,317.2839,219.2108,299.2734
"DG(38:5) DG(16:1_22:4)",665.5116,625.5191,389.305,311.2581,237.2213,315.2682,219.2108,297.2577
"DG(38:6) DG(16:1_22:5)",663.496,623.5035,387.2894,311.2581,237.2213,313.2526,219.2108,295.2421
"DG(38:7) DG(16:1_22:6)",661.4803,621.4878,385.2737,311.2581,237.2213,311.2369,219.2108,293.2264
"DG(39:1) DG(16:1_23:0)",687.5899,647.5974,411.3833,311.2581,237.2213,337.3465,219.2108,319.336
"DG(40:1) DG(16:1_24:0)",701.6055,661.613,425.3989,311.2581,237.2213,351.3621,219.2108,333.3516
"DG(40:2) DG(16:1_24:1)",699.5899,659.5974,423.3833,311.2581,237.2213,349.3465,219.2108,331.336
"DG(41:1) DG(16:1_25:0)",715.6212,675.6287,439.4146,311.2581,237.2213,365.3778,219.2108,347.3673
"DG(42:1) DG(16:1_26:0)",729.6368,689.6443,453.4302,311.2581,237.2213,379.3934,219.2108,361.3829
"DG(34:0) DG(17:0_17:0)",619.5273,579.5348,327.2894,327.2894,253.2526,253.2526,235.2421,235.2421
"DG(34:1) DG(17:0_17:1)",617.5116,577.5191,325.2737,327.2894,253.2526,251.2369,235.2421,233.2264
"DG(34:2) DG(17:0_17:2)",615.496,575.5035,323.2581,327.2894,253.2526,249.2213,235.2421,231.2108
"DG(35:0) DG(17:0_18:0)",633.5429,593.5504,341.305,327.2894,253.2526,267.2682,235.2421,249.2577
"DG(35:1) DG(17:0_18:1)",631.5273,591.5348,339.2894,327.2894,253.2526,265.2526,235.2421,247.2421
"DG(35:2) DG(17:0_18:2)",629.5116,589.5191,337.2737,327.2894,253.2526,263.2369,235.2421,245.2264
"DG(35:3) DG(17:0_18:3)",627.496,587.5035,335.2581,327.2894,253.2526,261.2213,235.2421,243.2108
"DG(35:4) DG(17:0_18:4)",625.4803,585.4878,333.2424,327.2894,253.2526,259.2056,235.2421,241.1951
"DG(36:0) DG(17:0_19:0)",647.5586,607.5661,355.3207,327.2894,253.2526,281.2839,235.2421,263.2734
"DG(37:0) DG(17:0_20:0)",661.5742,621.5817,369.3363,327.2894,253.2526,295.2995,235.2421,277.289
"DG(37:1) DG(17:0_20:1)",659.5586,619.5661,367.3207,327.2894,253.2526,293.2839,235.2421,275.2734
"DG(37:2) DG(17:0_20:2)",657.5429,617.5504,365.305,327.2894,253.2526,291.2682,235.2421,273.2577
"DG(37:3) DG(17:0_20:3)",655.5273,615.5348,363.2894,327.2894,253.2526,289.2526,235.2421,271.2421
"DG(37:4) DG(17:0_20:4)",653.5116,613.5191,361.2737,327.2894,253.2526,287.2369,235.2421,269.2264
"DG(37:5) DG(17:0_20:5)",651.496,611.5035,359.2581,327.2894,253.2526,285.2213,235.2421,267.2108
"DG(38:0) DG(17:0_21:0)",675.5899,635.5974,383.352,327.2894,253.2526,309.3152,235.2421,291.3047
"DG(39:0) DG(17:0_22:0)",689.6055,649.613,397.3676,327.2894,253.2526,323.3308,235.2421,305.3203
"DG(39:1) DG(17:0_22:1)",687.5899,647.5974,395.352,327.2894,253.2526,321.3152,235.2421,303.3047
"DG(39:2) DG(17:0_22:2)",685.5742,645.5817,393.3363,327.2894,253.2526,319.2995,235.2421,301.289
"DG(39:3) DG(17:0_22:3)",683.5586,643.5661,391.3207,327.2894,253.2526,317.2839,235.2421,299.2734
"DG(39:4) DG(17:0_22:4)",681.5429,641.5504,389.305,327.2894,253.2526,315.2682,235.2421,297.2577
"DG(39:5) DG(17:0_22:5)",679.5273,639.5348,387.2894,327.2894,253.2526,313.2526,235.2421,295.2421
"DG(39:6) DG(17:0_22:6)",677.5116,637.5191,385.2737,327.2894,253.2526,311.2369,235.2421,293.2264
"DG(40:0) DG(17:0_23:0)",703.6212,663.6287,411.3833,327.2894,253.2526,337.3465,235.2421,319.336
"DG(41:0) DG(17:0_24:0)",717.6368,677.6443,425.3989,327.2894,253.2526,351.3621,235.2421,333.3516
"DG(41:1) DG(17:0_24:1)",715.6212,675.6287,423.3833,327.2894,253.2526,349.3465,235.2421,331.336
"DG(42:0) DG(17:0_25:0)",731.6525,691.66,439.4146,327.2894,253.2526,365.3778,235.2421,347.3673
"DG(43:0) DG(17:0_26:0)",745.6681,705.6756,453.4302,327.2894,253.2526,379.3934,235.2421,361.3829
"DG(34:2) DG(17:1_17:1)",615.4959,575.5034,325.2737,325.2737,251.2369,251.2369,233.2264,233.2264
"DG(34:3) DG(17:1_17:2)",613.4803,573.4878,323.2581,325.2737,251.2369,249.2213,233.2264,231.2108
"DG(35:1) DG(17:1_18:0)",631.5272,591.5347,341.305,325.2737,251.2369,267.2682,233.2264,249.2577
"DG(35:2) DG(17:1_18:1)",629.5116,589.5191,339.2894,325.2737,251.2369,265.2526,233.2264,247.2421
"DG(35:3) DG(17:1_18:2)",627.4959,587.5034,337.2737,325.2737,251.2369,263.2369,233.2264,245.2264
"DG(35:4) DG(17:1_18:3)",625.4803,585.4878,335.2581,325.2737,251.2369,261.2213,233.2264,243.2108
"DG(35:5) DG(17:1_18:4)",623.4646,583.4721,333.2424,325.2737,251.2369,259.2056,233.2264,241.1951
"DG(36:1) DG(17:1_19:0)",645.5429,605.5504,355.3207,325.2737,251.2369,281.2839,233.2264,263.2734
"DG(37:1) DG(17:1_20:0)",659.5585,619.566,369.3363,325.2737,251.2369,295.2995,233.2264,277.289
"DG(37:2) DG(17:1_20:1)",657.5429,617.5504,367.3207,325.2737,251.2369,293.2839,233.2264,275.2734
"DG(37:3) DG(17:1_20:2)",655.5272,615.5347,365.305,325.2737,251.2369,291.2682,233.2264,273.2577
"DG(37:4) DG(17:1_20:3)",653.5116,613.5191,363.2894,325.2737,251.2369,289.2526,233.2264,271.2421
"DG(37:5) DG(17:1_20:4)",651.4959,611.5034,361.2737,325.2737,251.2369,287.2369,233.2264,269.2264
"DG(37:6) DG(17:1_20:5)",649.4803,609.4878,359.2581,325.2737,251.2369,285.2213,233.2264,267.2108
"DG(38:1) DG(17:1_21:0)",673.5742,633.5817,383.352,325.2737,251.2369,309.3152,233.2264,291.3047
"DG(39:1) DG(17:1_22:0)",687.5898,647.5973,397.3676,325.2737,251.2369,323.3308,233.2264,305.3203
"DG(39:2) DG(17:1_22:1)",685.5742,645.5817,395.352,325.2737,251.2369,321.3152,233.2264,303.3047
"DG(39:3) DG(17:1_22:2)",683.5585,643.566,393.3363,325.2737,251.2369,319.2995,233.2264,301.289
"DG(39:4) DG(17:1_22:3)",681.5429,641.5504,391.3207,325.2737,251.2369,317.2839,233.2264,299.2734
"DG(39:5) DG(17:1_22:4)",679.5272,639.5347,389.305,325.2737,251.2369,315.2682,233.2264,297.2577
"DG(39:6) DG(17:1_22:5)",677.5116,637.5191,387.2894,325.2737,251.2369,313.2526,233.2264,295.2421
"DG(39:7) DG(17:1_22:6)",675.4959,635.5034,385.2737,325.2737,251.2369,311.2369,233.2264,293.2264
"DG(40:1) DG(17:1_23:0)",701.6055,661.613,411.3833,325.2737,251.2369,337.3465,233.2264,319.336
"DG(41:1) DG(17:1_24:0)",715.6211,675.6286,425.3989,325.2737,251.2369,351.3621,233.2264,333.3516
"DG(41:2) DG(17:1_24:1)",713.6055,673.613,423.3833,325.2737,251.2369,349.3465,233.2264,331.336
"DG(42:1) DG(17:1_25:0)",729.6368,689.6443,439.4146,325.2737,251.2369,365.3778,233.2264,347.3673
"DG(43:1) DG(17:1_26:0)",743.6524,703.6599,453.4302,325.2737,251.2369,379.3934,233.2264,361.3829
"DG(34:4) DG(17:2_17:2)",611.4647,571.4722,323.2581,323.2581,249.2213,249.2213,231.2108,231.2108
"DG(35:2) DG(17:2_18:0)",629.5116,589.5191,341.305,323.2581,249.2213,267.2682,231.2108,249.2577
"DG(35:3) DG(17:2_18:1)",627.496,587.5035,339.2894,323.2581,249.2213,265.2526,231.2108,247.2421
"DG(35:4) DG(17:2_18:2)",625.4803,585.4878,337.2737,323.2581,249.2213,263.2369,231.2108,245.2264
"DG(35:5) DG(17:2_18:3)",623.4647,583.4722,335.2581,323.2581,249.2213,261.2213,231.2108,243.2108
"DG(35:6) DG(17:2_18:4)",621.449,581.4565,333.2424,323.2581,249.2213,259.2056,231.2108,241.1951
"DG(36:2) DG(17:2_19:0)",643.5273,603.5348,355.3207,323.2581,249.2213,281.2839,231.2108,263.2734
"DG(37:2) DG(17:2_20:0)",657.5429,617.5504,369.3363,323.2581,249.2213,295.2995,231.2108,277.289
"DG(37:3) DG(17:2_20:1)",655.5273,615.5348,367.3207,323.2581,249.2213,293.2839,231.2108,275.2734
"DG(37:4) DG(17:2_20:2)",653.5116,613.5191,365.305,323.2581,249.2213,291.2682,231.2108,273.2577
"DG(37:5) DG(17:2_20:3)",651.496,611.5035,363.2894,323.2581,249.2213,289.2526,231.2108,271.2421
"DG(37:6) DG(17:2_20:4)",649.4803,609.4878,361.2737,323.2581,249.2213,287.2369,231.2108,269.2264
"DG(37:7) DG(17:2_20:5)",647.4647,607.4722,359.2581,323.2581,249.2213,285.2213,231.2108,267.2108
"DG(38:2) DG(17:2_21:0)",671.5586,631.5661,383.352,323.2581,249.2213,309.3152,231.2108,291.3047
"DG(39:2) DG(17:2_22:0)",685.5742,645.5817,397.3676,323.2581,249.2213,323.3308,231.2108,305.3203
"DG(39:3) DG(17:2_22:1)",683.5586,643.5661,395.352,323.2581,249.2213,321.3152,231.2108,303.3047
"DG(39:4) DG(17:2_22:2)",681.5429,641.5504,393.3363,323.2581,249.2213,319.2995,231.2108,301.289
"DG(39:5) DG(17:2_22:3)",679.5273,639.5348,391.3207,323.2581,249.2213,317.2839,231.2108,299.2734
"DG(39:6) DG(17:2_22:4)",677.5116,637.5191,389.305,323.2581,249.2213,315.2682,231.2108,297.2577
"DG(39:7) DG(17:2_22:5)",675.496,635.5035,387.2894,323.2581,249.2213,313.2526,231.2108,295.2421
"DG(39:8) DG(17:2_22:6)",673.4803,633.4878,385.2737,323.2581,249.2213,311.2369,231.2108,293.2264
"DG(40:2) DG(17:2_23:0)",699.5899,659.5974,411.3833,323.2581,249.2213,337.3465,231.2108,319.336
"DG(41:2) DG(17:2_24:0)",713.6055,673.613,425.3989,323.2581,249.2213,351.3621,231.2108,333.3516
"DG(41:3) DG(17:2_24:1)",711.5899,671.5974,423.3833,323.2581,249.2213,349.3465,231.2108,331.336
"DG(42:2) DG(17:2_25:0)",727.6212,687.6287,439.4146,323.2581,249.2213,365.3778,231.2108,347.3673
"DG(43:2) DG(17:2_26:0)",741.6368,701.6443,453.4302,323.2581,249.2213,379.3934,231.2108,361.3829
"DG(36:0) DG(18:0_18:0)",647.5585,607.566,341.305,341.305,267.2682,267.2682,249.2577,249.2577
"DG(36:1) DG(18:0_18:1)",645.5429,605.5504,339.2894,341.305,267.2682,265.2526,249.2577,247.2421
"DG(36:2) DG(18:0_18:2)",643.5272,603.5347,337.2737,341.305,267.2682,263.2369,249.2577,245.2264
"DG(36:3) DG(18:0_18:3)",641.5116,601.5191,335.2581,341.305,267.2682,261.2213,249.2577,243.2108
"DG(36:4) DG(18:0_18:4)",639.4959,599.5034,333.2424,341.305,267.2682,259.2056,249.2577,241.1951
"DG(37:0) DG(18:0_19:0)",661.5742,621.5817,355.3207,341.305,267.2682,281.2839,249.2577,263.2734
"DG(38:0) DG(18:0_20:0)",675.5898,635.5973,369.3363,341.305,267.2682,295.2995,249.2577,277.289
"DG(38:1) DG(18:0_20:1)",673.5742,633.5817,367.3207,341.305,267.2682,293.2839,249.2577,275.2734
"DG(38:2) DG(18:0_20:2)",671.5585,631.566,365.305,341.305,267.2682,291.2682,249.2577,273.2577
"DG(38:3) DG(18:0_20:3)",669.5429,629.5504,363.2894,341.305,267.2682,289.2526,249.2577,271.2421
"DG(38:4) DG(18:0_20:4)",667.5272,627.5347,361.2737,341.305,267.2682,287.2369,249.2577,269.2264
"DG(38:5) DG(18:0_20:5)",665.5116,625.5191,359.2581,341.305,267.2682,285.2213,249.2577,267.2108
"DG(39:0) DG(18:0_21:0)",689.6055,649.613,383.352,341.305,267.2682,309.3152,249.2577,291.3047
"DG(40:0) DG(18:0_22:0)",703.6211,663.6286,397.3676,341.305,267.2682,323.3308,249.2577,305.3203
"DG(40:1) DG(18:0_22:1)",701.6055,661.613,395.352,341.305,267.2682,321.3152,249.2577,303.3047
"DG(40:2) DG(18:0_22:2)",699.5898,659.5973,393.3363,341.305,267.2682,319.2995,249.2577,301.289
"DG(40:3) DG(18:0_22:3)",697.5742,657.5817,391.3207,341.305,267.2682,317.2839,249.2577,299.2734
"DG(40:4) DG(18:0_22:4)",695.5585,655.566,389.305,341.305,267.2682,315.2682,249.2577,297.2577
"DG(40:5) DG(18:0_22:5)",693.5429,653.5504,387.2894,341.305,267.2682,313.2526,249.2577,295.2421
"DG(40:6) DG(18:0_22:6)",691.5272,651.5347,385.2737,341.305,267.2682,311.2369,249.2577,293.2264
"DG(41:0) DG(18:0_23:0)",717.6368,677.6443,411.3833,341.305,267.2682,337.3465,249.2577,319.336
"DG(42:0) DG(18:0_24:0)",731.6524,691.6599,425.3989,341.305,267.2682,351.3621,249.2577,333.3516
"DG(42:1) DG(18:0_24:1)",729.6368,689.6443,423.3833,341.305,267.2682,349.3465,249.2577,331.336
"DG(43:0) DG(18:0_25:0)",745.6681,705.6756,439.4146,341.305,267.2682,365.3778,249.2577,347.3673
"DG(44:0) DG(18:0_26:0)",759.6837,719.6912,453.4302,341.305,267.2682,379.3934,249.2577,361.3829
"DG(36:2) DG(18:1_18:1)",643.5273,603.5348,339.2894,339.2894,265.2526,265.2526,247.2421,247.2421
"DG(36:3) DG(18:1_18:2)",641.5116,601.5191,337.2737,339.2894,265.2526,263.2369,247.2421,245.2264
"DG(36:4) DG(18:1_18:3)",639.496,599.5035,335.2581,339.2894,265.2526,261.2213,247.2421,243.2108
"DG(36:5) DG(18:1_18:4)",637.4803,597.4878,333.2424,339.2894,265.2526,259.2056,247.2421,241.1951
"DG(37:1) DG(18:1_19:0)",659.5586,619.5661,355.3207,339.2894,265.2526,281.2839,247.2421,263.2734
"DG(38:1) DG(18:1_20:0)",673.5742,633.5817,369.3363,339.2894,265.2526,295.2995,247.2421,277.289
"DG(38:2) DG(18:1_20:1)",671.5586,631.5661,367.3207,339.2894,265.2526,293.2839,247.2421,275.2734
"DG(38:3) DG(18:1_20:2)",669.5429,629.5504,365.305,339.2894,265.2526,291.2682,247.2421,273.2577
"DG(38:4) DG(18:1_20:3)",667.5273,627.5348,363.2894,339.2894,265.2526,289.2526,247.2421,271.2421
"DG(38:5) DG(18:1_20:4)",665.5116,625.5191,361.2737,339.2894,265.2526,287.2369,247.2421,269.2264
"DG(38:6) DG(18:1_20:5)",663.496,623.5035,359.2581,339.2894,265.2526,285.2213,247.2421,267.2108
"DG(39:1) DG(18:1_21:0)",687.5899,647.5974,383.352,339.2894,265.2526,309.3152,247.2421,291.3047
"DG(40:1) DG(18:1_22:0)",701.6055,661.613,397.3676,339.2894,265.2526,323.3308,247.2421,305.3203
"DG(40:2) DG(18:1_22:1)",699.5899,659.5974,395.352,339.2894,265.2526,321.3152,247.2421,303.3047
"DG(40:3) DG(18:1_22:2)",697.5742,657.5817,393.3363,339.2894,265.2526,319.2995,247.2421,301.289
"DG(40:4) DG(18:1_22:3)",695.5586,655.5661,391.3207,339.2894,265.2526,317.2839,247.2421,299.2734
"DG(40:5) DG(18:1_22:4)",693.5429,653.5504,389.305,339.2894,265.2526,315.2682,247.2421,297.2577
"DG(40:6) DG(18:1_22:5)",691.5273,651.5348,387.2894,339.2894,265.2526,313.2526,247.2421,295.2421
"DG(40:7) DG(18:1_22:6)",689.5116,649.5191,385.2737,339.2894,265.2526,311.2369,247.2421,293.2264
"DG(41:1) DG(18:1_23:0)",715.6212,675.6287,411.3833,339.2894,265.2526,337.3465,247.2421,319.336
