"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18"
"Daidzein",253.0506,225.0553,224.0475,223.0395,209.0606,208.0525,197.0598,196.0523,195.0444,182.0372,180.0575,169.0655,167.0494,135.0083,133.0291,132.021,117.0341,91.019,89.0396
"scores",0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.05625,0.0333333333333333,0.05625,0.05625,0.0333333333333333,0.05625,0.05625,0.05625,0.05625,0.05625,0.0333333333333333
