"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10"
"Suberic acid",173.0819,112.0854,111.0822,110.0706,109.0664,84.054,83.0504,81.0346,67.0555,59.0142,57.0347
"scores",0.225,0.0142857142857143,0.225,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.225,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.225
