"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18"
"1,5-Anhydrosorbitol",163.0612,143.1,131,130.5,127.2,125.1,115.1,113.1,103.1,101.1,99.2,97.2,89.1,87.2,85.2,83.2,73.2,71.2,59.2
"scores",0.00625,0.00625,0.3,0.00625,0.00625,0.00625,0.00625,0.3,0.00625,0.3,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625,0.00625
