"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8"
"p-Cresol sulfate",187.0071,169.1,164.2,157,155,108.2,107.1,81.1,80.1
"scores",0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.3,0.3,0.3
