"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8"
"Hippuric acid",178.051,160.039398,148.039246,135.063446,134.059998,132.044296,121.028511,102.03347,56.012703
"scores",0.45,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.45,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143
