"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34","fragment35","fragment36","fragment37","fragment38","fragment39","fragment40","fragment41","fragment42","fragment43","fragment44","fragment45","fragment46","fragment47","fragment48","fragment49","fragment50","fragment51","fragment52","fragment53","fragment54","fragment55","fragment56","fragment57","fragment58"
"Glutathione (GSH)",306.0765,288.066193,272.089233,270.128723,254.078293,242.07814,228.099457,210.087982,198.088211,197.05632,192.077484,185.056396,184.108398,181.060944,180.04895,179.045441,177.033081,171.076569,171.039978,170.032196,167.081711,167.045349,166.097595,160.006424,155.081619,153.065918,146.044861,145.06076,144.049088,143.045151,141.065826,137.070892,135.055222,131.045074,129.995987,129.037476,128.034119,127.050018,125.034485,123.055183,120.011322,119.015678,116.016586,112.038742,111.05526,109.075912,107.060272,102.054771,101.070633,99.055008,97.039574,90.000374,87.05497,86.989708,86.059784,86.023254,82.02845,74.023285,58.028347
"scores",0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.128571428571429,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.128571428571429,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.128571428571429,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.128571428571429,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.128571428571429,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.128571428571429,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.00192307692307692,0.128571428571429,0.00192307692307692
