"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12"
"Deoxyuridine",227.0673,185.064331,184.060776,137.034332,136.039215,112.039024,111.018669,111.007576,108.043961,95.031708,94.028412,92.048943,66.033432
"scores",0.225,0.0111111111111111,0.225,0.0111111111111111,0.225,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.225,0.0111111111111111,0.0111111111111111
