"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10"
"gamma-Aminobutyric acid",102.062515,102.0561,101.922226,101.059402,101.023239,96.73484,84.044014,71.254326,71.25013,59.012295,57.033001
"scores",0.225,0.225,0.0142857142857143,0.225,0.0142857142857143,0.0142857142857143,0.225,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0142857142857143
