"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12"
"p-Octopamine",152.0717,152.03421,151.996704,136.015457,135.063477,134.060074,133.052307,123.04425,109.028244,108.020378,107.048981,106.041077,93.033363
"scores",0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.9,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333
