"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18"
"L-Glutamine",145.0619,145.049255,144.10965,144.04451,140.869812,128.034134,127.050163,125.034378,109.039253,101.07074,91.179642,86.023308,84.043938,78.345268,74.023216,72.701607,72.007515,67.643211,58.028214
"scores",0.128571428571429,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.128571428571429,0.128571428571429,0.00833333333333333,0.128571428571429,0.128571428571429,0.00833333333333333,0.00833333333333333,0.128571428571429,0.00833333333333333,0.128571428571429,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333
