"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6"
"Hypoxanthine",135.0312,133.014435,107.034943,93.027206,93.020966,92.023987,65.013023
"scores",0.45,0.02,0.02,0.02,0.02,0.45,0.02
