"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15"
"Oxaloacetic acid",130.9986,130.943008,130.094513,130.085968,130.065155,116.9272,116.919708,115.919456,113.92498,101.932487,100.932289,99.924255,94.979149,85.064529,76.968681,72.751579
"scores",0.00714285714285714,0.00714285714285714,0.00714285714285714,0.00714285714285714,0.00714285714285714,0.00714285714285714,0.00714285714285714,0.45,0.00714285714285714,0.00714285714285714,0.45,0.00714285714285714,0.00714285714285714,0.00714285714285714,0.00714285714285714,0.00714285714285714
