"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14"
"L-Asparagine",131.0462,130.991394,122.948502,115.021973,114.018372,113.034332,111.018745,95.023674,87.054901,72.039795,72.007622,71.02359,71.01239,70.028351,58.0284
"scores",0.128571428571429,0.0125,0.0125,0.0125,0.128571428571429,0.128571428571429,0.0125,0.128571428571429,0.0125,0.0125,0.128571428571429,0.128571428571429,0.0125,0.128571428571429,0.0125
