"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11"
"Pantothenic acid",218.1034,147.084839,146.081253,129.054138,116.070541,116.034126,99.043846,89.042267,88.039024,71.048805,71.012436,59.012527
"scores",0.225,0.0125,0.225,0.0125,0.0125,0.0125,0.0125,0.0125,0.225,0.0125,0.225,0.0125
