"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16"
"D-Glucose",179.0561,143.195663,119.026031,113.028221,101.026192,96.971275,95.015144,89.025742,85.030037,83.014069,73.000313,72.1716,71.014519,60.016373,59.012627,58.005081,54.762085
"scores",0.00769230769230769,0.00769230769230769,0.00769230769230769,0.00769230769230769,0.225,0.00769230769230769,0.00769230769230769,0.225,0.00769230769230769,0.00769230769230769,0.00769230769230769,0.00769230769230769,0.225,0.00769230769230769,0.225,0.00769230769230769,0.00769230769230769
