"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24"
"Uridine",243.0623,201.059021,200.055847,182.044571,164.034119,153.028931,152.03421,140.034149,126.055298,124.039001,122.023506,120.044403,117.018005,111.026779,111.018677,110.023415,108.044136,96.043999,94.028374,84.043983,82.028343,71.012421,68.012505,66.033432,59.012383
"scores",0.005,0.005,0.18,0.005,0.005,0.005,0.18,0.18,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.18,0.005,0.005,0.005,0.005,0.18,0.005,0.005,0.005,0.005
