"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12"
"Phenylacetic acid",135.0452,134.893585,134.036194,133.028198,123.043907,121.02816,117.033356,108.052361,108.020424,107.048912,106.041084,93.033058,91.053764
"scores",0.3,0.01,0.3,0.01,0.01,0.01,0.01,0.01,0.01,0.3,0.01,0.01,0.01
