"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6"
"Guanosine",282.0844,151.045624,150.041061,133.014359,126.029785,108.018692,107.034859
"scores",0.45,0.02,0.45,0.02,0.02,0.02,0.02
