"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14"
"D-Galactose",179.0561,122.01239,119.002258,113.027306,101.026161,95.014725,89.025383,87.008919,85.029671,73.092285,72.189568,71.013374,60.176502,59.012512,58.005238
"scores",0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.3,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.00833333333333333,0.3,0.00833333333333333,0.3,0.00833333333333333
