"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6"
"Aspirin",179.035,138.0277,137.0243,121.0295,107.0502,93.0345,59.0138
"scores",0.025,0.025,0.3,0.025,0.025,0.3,0.3
