"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16"
"L-Tryptophan",203.0826,186.055252,185.07135,161.047516,160.095444,159.091705,157.076035,143.068527,142.065018,132.080627,130.064941,129.057449,117.052505,116.049255,75.026749,74.023285,72.007629
"scores",0.166666666666667,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.166666666666667,0.00909090909090909,0.00909090909090909,0.166666666666667,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.166666666666667,0.00909090909090909,0.166666666666667,0.166666666666667
