"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18"
"Genistein",269.0455,243.0662,215.0712,197.0604,169.0654,165.0188,159.0441,153.0797,153.0182,149.0229,145.0284,141.0689,131.0478,121.0263,119.0465,115.0515,91.0486,68.9871,65.0278
"scores",0.06,0.06,0.06,0.06,0.06,0.025,0.06,0.025,0.06,0.06,0.06,0.06,0.025,0.025,0.06,0.06,0.06,0.06,0.06
