"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18"
"Fructose",179.0561,167.79805,137.891708,117.094536,113.027252,101.025574,95.014923,90.02887,89.025368,87.00914,85.029648,83.013702,74.009636,73.005585,72.217545,71.013382,68.509422,59.012459,58.005104
"scores",0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.225,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.225,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.225,0.00666666666666667,0.225,0.00666666666666667
