"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12"
"Hypotaurine",108.020119,108.0125,107.049164,107.03495,93.368904,91.044998,81.200012,72.458443,70.695976,67.028618,65.013,64.968803,63.960957
"scores",0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.45,0.45
