"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13"
"Glutathione oxidized form (GSSG)",611.1447,338.0514,306.0781,304.0622,288.0674,272.0905,254.0793,210.0891,179.0465,160.0079,143.0465,128.0355,99.0567,74.0261
"scores",0.1,0.02,0.1,0.02,0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.02,0.02
