"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9"
"Sorbitol",181.0718,163.0601,119.0344,113.0243,101.0241,89.0248,85.0307,73.0307,71.0152,59.0155
"scores",0.15,0.025,0.025,0.025,0.15,0.15,0.025,0.15,0.15,0.15
