"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19","fragment20","fragment21","fragment22","fragment23","fragment24","fragment25","fragment26","fragment27","fragment28","fragment29","fragment30","fragment31","fragment32","fragment33","fragment34"
"Mannitol",181.0718,179.05542,164.064102,163.060287,161.044601,149.044388,143.033829,137.034454,131.033707,121.049065,119.033684,115.03875,113.023117,103.038704,102.026199,101.023033,97.028145,91.038681,90.026344,89.022964,87.007378,85.028046,83.012444,73.028015,72.991547,72.015785,71.344994,71.340981,71.012375,69.033218,60.015697,59.01239,58.004486,57.033157,55.017456
"scores",0.1125,0.0037037037037037,0.0037037037037037,0.1125,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.1125,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.1125,0.0037037037037037,0.1125,0.0037037037037037,0.1125,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.0037037037037037,0.1125,0.0037037037037037,0.0037037037037037,0.1125,0.0037037037037037,0.0037037037037037,0.0037037037037037
