"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13"
"L-Tyrosine",180.0666,164.04248,163.039139,162.05481,137.034393,136.075699,134.059952,120.052254,119.048943,107.048866,106.041046,93.033142,74.023277,72.007607
"scores",0.2,0.0111111111111111,0.2,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.2,0.0111111111111111,0.0111111111111111,0.2,0.0111111111111111,0.2
