"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11"
"Caffeic acid",179.035,135.6492,135.5416,135.4208,135.3757,135.3488,135.2203,135.0444,134.037,117.0335,107.0502,89.0394
"scores",0.333333333333333,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.333333333333333,0.333333333333333,0.0111111111111111,0.0111111111111111,0.0111111111111111
