"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10"
"Pseudouridine",243.0623,183.0415,155.0352,154.0349,153.031,141.0442,140.0366,111.0204,97.0299,89.0263,83.0129
"scores",0.0111111111111111,0.45,0.0111111111111111,0.0111111111111111,0.45,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111
