"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15","fragment16","fragment17","fragment18","fragment19"
"Thymidine",241.083,238.996582,225.027466,198.075623,178.16713,160.801193,151.050156,150.05542,126.055222,125.03434,125.024391,113.08313,108.044418,103.347763,82.972023,71.874054,58.343601,55.943409,52.563519,51.374432
"scores",0.3,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.3,0.00588235294117647,0.00588235294117647,0.3,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647,0.00588235294117647
