"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13","fragment14","fragment15"
"L-Methionine",148.0438,148.0289,147.027115,129.842651,103.955452,103.281296,100.622955,100.038971,96.734726,86.715225,86.05407,73.712364,73.117645,72.062241,63.364834,58.863663
"scores",0.2,0.2,0.2,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.2,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.2,0.00909090909090909,0.00909090909090909
