"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9"
"Allantoin",157.0367,156.942871,140.009109,115.033287,114.02961,98.006233,97.002968,72.007561,71.02359,59.023582
"scores",0.225,0.0166666666666667,0.0166666666666667,0.0166666666666667,0.225,0.0166666666666667,0.225,0.0166666666666667,0.225,0.0166666666666667
