"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6"
"L-Phenylalanine",164.0717,148.047363,147.044083,146.06012,103.053604,91.053833,72.007599
"scores",0.3,0.025,0.3,0.025,0.025,0.025,0.3
