"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12"
"Taurine",124.0074,123.055191,123.043541,123.033432,123.007545,106.979599,94.979164,83.048546,80.964088,79.955833,64.968887,57.322273,55.325546
"scores",0.45,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.00909090909090909,0.45,0.00909090909090909,0.00909090909090909,0.00909090909090909
