"","[M-H]-","fragment1","fragment2","fragment3","fragment4","fragment5","fragment6","fragment7","fragment8","fragment9","fragment10","fragment11","fragment12","fragment13"
"D-Mannose",179.0561,119.025398,113.02742,101.026642,95.015274,89.025742,87.00927,85.029778,72.99305,72.290001,71.013496,60.0159,59.012737,58.005024
"scores",0.0111111111111111,0.2,0.0111111111111111,0.2,0.0111111111111111,0.2,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.0111111111111111,0.2,0.0111111111111111,0.2,0.0111111111111111
